"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.840572000E-3,-2.497152328E0,3.234566450E0,8.010998726E0
5.854732000E-3,-2.317587137E0,3.260902643E0,7.675810814E0
7.868892000E-3,-2.176329374E0,3.296815634E0,7.450755596E0
9.883052000E-3,-2.090138197E0,3.327940464E0,7.354987621E0
1.189721200E-2,-2.003946781E0,3.258508444E0,7.319074631E0
1.391137300E-2,-1.989581585E0,3.069366693E0,7.532158375E0
1.592553300E-2,-2.135627985E0,3.134010077E0,7.726089001E0
1.790917500E-2,-2.264914751E0,3.232172251E0,7.781155586E0
1.989281800E-2,-2.308010340E0,3.277662039E0,7.771578789E0
2.187646100E-2,-2.394201756E0,3.368641853E0,7.718906403E0
2.386010300E-2,-2.494758129E0,3.478775024E0,7.637503624E0
2.584374600E-2,-2.612074137E0,3.567360640E0,7.556100368E0
2.782738800E-2,-2.729389906E0,3.646369219E0,7.524975777E0
2.984154800E-2,-2.853888512E0,3.713406801E0,7.558494568E0
3.182519100E-2,-2.992752075E0,3.770867586E0,7.615955830E0
3.383935100E-2,-3.167528868E0,3.823540211E0,7.730877399E0
3.585351100E-2,-4.467580318E0,4.086902142E0,8.422801971E0
3.786767100E-2,-6.751648903E0,4.422090530E0,9.320627213E0
3.985131400E-2,-7.730877399E0,4.675876141E0,9.557653427E0
4.186547400E-2,-7.671022415E0,5.015852451E0,9.370905876E0
4.387963400E-2,-7.077260017E0,5.394136429E0,9.129091263E0
4.589379500E-2,-6.861782074E0,5.518634796E0,9.078812599E0
4.787743700E-2,-6.766014099E0,5.513846397E0,9.009381294E0
4.986108000E-2,-6.734889507E0,5.470750809E0,8.942343712E0
5.187524000E-2,-6.658275127E0,5.231330872E0,8.623914719E0
5.388940000E-2,-6.607996464E0,5.049371243E0,8.360552788E0
5.587304300E-2,-6.528987885E0,4.874594688E0,8.109161377E0
5.788720300E-2,-6.416460514E0,4.745307922E0,7.900865555E0
5.987084500E-2,-6.284779549E0,4.673481941E0,7.728483200E0
6.188500500E-2,-6.121973515E0,4.630385876E0,7.599195957E0
6.389916600E-2,-5.918466568E0,4.618414879E0,7.513004780E0
6.594384300E-2,-5.693411827E0,4.639962673E0,7.465120792E0
6.792748600E-2,-5.461174011E0,4.668693542E0,7.455543995E0
6.994164600E-2,-5.224148273E0,4.651933670E0,7.515398979E0
7.195580600E-2,-4.996698856E0,4.616020679E0,7.625532627E0
7.396996600E-2,-4.797980309E0,4.563348293E0,7.733271599E0
7.595360900E-2,-4.639962673E0,4.508281708E0,7.821856976E0
7.793725200E-2,-4.513070107E0,4.458003521E0,7.881711960E0
7.992089400E-2,-4.434061527E0,4.412513733E0,7.936778545E0
8.190453700E-2,-4.400542736E0,4.374206543E0,7.991845131E0
8.391869700E-2,-4.398148537E0,4.343081951E0,8.032546997E0
8.590233900E-2,-4.405331135E0,4.316745758E0,8.090007782E0
8.791650000E-2,-4.426878929E0,4.285621166E0,8.180987358E0
8.990014200E-2,-4.458003521E0,4.256890774E0,8.315062523E0
9.188378500E-2,-4.489128113E0,4.225766182E0,8.470685959E0
9.386742700E-2,-4.529829502E0,4.209006786E0,8.635885239E0
9.585107000E-2,-4.596867085E0,4.204218388E0,8.813055992E0
9.783471200E-2,-4.690241337E0,4.218583584E0,8.980650902E0
9.981835500E-2,-4.774038315E0,4.242525578E0,9.136273384E0
1.018325150E-1,-4.857835293E0,4.271255970E0,9.275136948E0
1.038161580E-1,-4.934449673E0,4.316745758E0,9.375694275E0
1.057998000E-1,-4.989516258E0,4.374206543E0,9.457097054E0
1.077834430E-1,-5.032611847E0,4.450820923E0,9.536105156E0
1.097976030E-1,-5.082890034E0,4.553771496E0,9.636661530E0
1.118117630E-1,-5.145139217E0,4.673481941E0,9.756371498E0
1.138259230E-1,-5.233725071E0,4.786009312E0,9.871294022E0
1.158400840E-1,-5.346252441E0,4.865017891E0,9.962273598E0
1.178237260E-1,-5.465962410E0,4.903325081E0,1.000776291E1
1.198073690E-1,-5.585672379E0,4.910507679E0,1.002452278E1
1.217910110E-1,-5.710171223E0,4.893748283E0,1.001255131E1
1.237746540E-1,-5.817910194E0,4.860229492E0,1.007719517E1
1.257582960E-1,-5.894524574E0,4.829104900E0,1.013226128E1
1.277419390E-1,-5.925649166E0,4.817133904E0,1.014662647E1
1.297255820E-1,-5.973533154E0,4.795586109E0,1.017056847E1
1.317397420E-1,-6.009446144E0,4.776432514E0,1.020648193E1
1.337233840E-1,-6.033388138E0,4.752490520E0,1.029746151E1
1.357375450E-1,-6.016628742E0,4.728548527E0,1.036210537E1
1.377517050E-1,-5.990292549E0,4.692635536E0,1.042914295E1
1.397658650E-1,-5.961562157E0,4.647145271E0,1.051054573E1
1.417800250E-1,-5.932831764E0,4.599261284E0,1.059673691E1
1.437941850E-1,-5.894524574E0,4.556165695E0,1.069729328E1
1.458083450E-1,-5.849034786E0,4.515464306E0,1.080982113E1
1.477919880E-1,-5.796362400E0,4.467580318E0,1.091516590E1
1.497756300E-1,-5.736507416E0,4.434061527E0,1.101332760E1
1.517592730E-1,-5.667075634E0,4.412513733E0,1.109951878E1
1.537734330E-1,-5.585672379E0,4.381389141E0,1.117373943E1
1.557875930E-1,-5.506663799E0,4.350264549E0,1.122880554E1
1.578017530E-1,-5.425261021E0,4.309563160E0,1.125514221E1
1.598159140E-1,-5.339069843E0,4.273650169E0,1.124556541E1
1.618300740E-1,-5.248090267E0,4.235342979E0,1.120246983E1
1.638442340E-1,-5.169081688E0,4.185064793E0,1.113543224E1
1.658278770E-1,-5.097255230E0,4.134786129E0,1.103487587E1
1.678115190E-1,-5.011064053E0,4.113238335E0,1.090558910E1
1.697951620E-1,-4.920084476E0,4.113238335E0,1.075235939E1
1.717788040E-1,-4.843470097E0,4.129997730E0,1.057758331E1
1.737929640E-1,-4.774038315E0,4.161122322E0,1.037886429E1
1.758071250E-1,-4.718971729E0,4.201824188E0,1.017056847E1
1.777907670E-1,-4.663905144E0,4.266467571E0,9.957485199E0
1.797744100E-1,-4.501099110E0,4.386177540E0,9.777919769E0
1.817885700E-1,-4.331110954E0,4.515464306E0,9.624691010E0
