"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.858039000E-3,-3.572149038E0,2.930502892E0,8.398859978E0
7.116339000E-3,-3.586514235E0,2.978386879E0,8.355764389E0
8.825324000E-3,-3.600879431E0,3.023876667E0,8.329427719E0
1.083948400E-2,-3.593696833E0,3.045424461E0,8.324639320E0
1.285364400E-2,-3.536235809E0,3.047818661E0,8.348581314E0
1.486780400E-2,-3.517082214E0,3.062183857E0,8.401253700E0
1.685144700E-2,-3.533841610E0,3.086126089E0,8.473079681E0
1.883508900E-2,-3.557783842E0,3.095702887E0,8.530540466E0
2.081873200E-2,-3.591302633E0,3.083731890E0,8.576030731E0
2.280237400E-2,-3.586514235E0,3.055001259E0,8.633491516E0
2.478601700E-2,-3.567360640E0,3.002328873E0,8.719682693E0
2.676966000E-2,-3.548206806E0,2.964021683E0,8.832210541E0
2.875330200E-2,-3.481169224E0,2.935291290E0,8.968679428E0
3.076746200E-2,-3.392583847E0,2.901772499E0,9.145850182E0
3.278162300E-2,-3.311181068E0,2.865859509E0,9.356540680E0
3.479578300E-2,-3.220201254E0,2.827552319E0,9.591172218E0
3.680994300E-2,-3.126827478E0,2.784456491E0,9.806650162E0
3.879358500E-2,-3.035847664E0,2.743755102E0,9.979032516E0
4.077722800E-2,-2.935291290E0,2.705447912E0,1.012268448E1
4.276087100E-2,-2.832340717E0,2.667140722E0,1.023760605E1
4.474451300E-2,-2.738966703E0,2.624045134E0,1.035971069E1
4.672815600E-2,-2.647987127E0,2.576161146E0,1.048420906E1
4.874231600E-2,-2.561795712E0,2.523488522E0,1.059673691E1
5.075647600E-2,-2.439691544E0,2.463633537E0,1.067574501E1
5.277063600E-2,-2.336740971E0,2.394201756E0,1.075235939E1
5.478479600E-2,-2.298433542E0,2.331952572E0,1.086967564E1
5.676843900E-2,-2.269703150E0,2.262520552E0,1.100375080E1
5.875208100E-2,-2.243366957E0,2.185906172E0,1.115458584E1
6.073572400E-2,-2.226607561E0,2.118868589E0,1.132457447E1
6.271936700E-2,-2.212242365E0,2.075772762E0,1.147540855E1
6.470300900E-2,-2.173935175E0,2.035071373E0,1.159990692E1
6.671716900E-2,-2.111685991E0,1.984793186E0,1.171961689E1
6.873133000E-2,-2.049436569E0,1.944091797E0,1.183932781E1
7.074549000E-2,-2.015917778E0,1.927332401E0,1.195664310E1
7.275965000E-2,-1.984793186E0,1.908178806E0,1.204762268E1
7.474329200E-2,-1.968033791E0,1.877054095E0,1.211705494E1
7.672693500E-2,-1.984793186E0,1.845929503E0,1.218169785E1
7.871057800E-2,-2.011129379E0,1.824381709E0,1.222479343E1
8.069422000E-2,-2.027888775E0,1.814804912E0,1.225831223E1
8.267786300E-2,-2.059013367E0,1.805228114E0,1.228464890E1
8.469202300E-2,-2.094926596E0,1.795651317E0,1.231816769E1
8.667566500E-2,-2.130839586E0,1.795651317E0,1.231816769E1
8.868982600E-2,-2.157175779E0,1.805228114E0,1.225591850E1
9.070398600E-2,-2.161964178E0,1.821987510E0,1.212423706E1
9.268762800E-2,-2.111685991E0,1.843535304E0,1.191354752E1
9.467127100E-2,-2.059013367E0,1.838746905E0,1.175792408E1
9.665491400E-2,-2.092532396E0,1.762132406E0,1.165976238E1
9.863855600E-2,-2.133233786E0,1.680729628E0,1.150413895E1
1.006221990E-1,-2.147598982E0,1.625662923E0,1.131020927E1
1.026363590E-1,-2.147598982E0,1.582567334E0,1.111149025E1
1.046200010E-1,-2.128445387E0,1.556231141E0,1.093671322E1
1.066341620E-1,-2.090138197E0,1.541865945E0,1.078587818E1
1.086178040E-1,-2.003946781E0,1.544260144E0,1.056800652E1
1.106319640E-1,-1.872265697E0,1.551442742E0,1.034534550E1
1.126156070E-1,-1.817199111E0,1.515529633E0,1.029267311E1
1.146297670E-1,-1.807622313E0,1.465251446E0,1.024239445E1
1.166439270E-1,-1.802833915E0,1.441309452E0,1.015859795E1
1.186580870E-1,-1.795651317E0,1.434126854E0,1.007480049E1
1.206722480E-1,-1.788468719E0,1.419761658E0,9.986215591E0
1.226864080E-1,-1.752555609E0,1.393425345E0,9.909601212E0
1.247005680E-1,-1.675941229E0,1.383848548E0,9.809044838E0
1.267147280E-1,-1.589749932E0,1.405396342E0,9.674968719E0
