"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.773326000E-3,-2.540247917E0,1.127668977E0,1.112106705E1
5.756969000E-3,-2.370259762E0,1.089361787E0,1.086488724E1
7.740611000E-3,-2.214636564E0,1.055842996E0,1.056082344E1
9.754771000E-3,-2.044648170E0,1.036689281E0,1.021845245E1
1.176893200E-2,-1.860294700E0,1.039083481E0,9.854534149E0
1.378309200E-2,-1.666364431E0,1.053448796E0,9.476250648E0
1.579725200E-2,-1.477222443E0,1.079784989E0,9.109937668E0
1.778089400E-2,-1.283292055E0,1.106121182E0,8.796297073E0
1.976453700E-2,-1.125274777E0,1.127668977E0,8.537723541E0
2.174818000E-2,-1.036689281E0,1.158793569E0,8.310274124E0
2.373182200E-2,-1.000776291E0,1.206677675E0,8.111555099E0
2.574598200E-2,-1.029506683E0,1.273715258E0,7.953537941E0
2.772962500E-2,-1.086967587E0,1.343147159E0,7.726089001E0
2.974378500E-2,-1.086967587E0,1.400607944E0,7.362170219E0
3.175794500E-2,-1.065419793E0,1.453280449E0,7.019799232E0
3.374158800E-2,-1.065419793E0,1.522712231E0,6.775590897E0
3.572523000E-2,-1.103726983E0,1.611297727E0,6.622362137E0
3.770887300E-2,-1.192312479E0,1.719036818E0,6.538564682E0
3.969251600E-2,-1.309628367E0,1.833958507E0,6.500257492E0
4.167615800E-2,-1.422155857E0,1.946485996E0,6.505045891E0
4.365980100E-2,-1.534683347E0,2.051830769E0,6.552929878E0
4.567396100E-2,-1.666364431E0,2.133233786E0,6.651092529E0
4.765760300E-2,-1.805228114E0,2.205059767E0,6.813898087E0
4.967176400E-2,-1.936909199E0,2.262520552E0,7.007828236E0
5.168592400E-2,-2.044648170E0,2.303221941E0,7.177816868E0
5.370008400E-2,-2.128445387E0,2.322375536E0,7.311892033E0
5.568372600E-2,-2.173935175E0,2.284068346E0,7.410054207E0
5.766736900E-2,-2.190694571E0,2.212242365E0,7.522581577E0
5.965101200E-2,-2.197877169E0,2.149993181E0,7.697358608E0
6.163465400E-2,-2.171540976E0,2.090138197E0,7.929595947E0
6.361829700E-2,-2.152387381E0,2.068590164E0,8.061277390E0
