"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.801646000E-3,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
9.815807000E-3,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
1.182996700E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
1.384412700E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
1.582776900E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
1.781141200E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
1.979505500E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
2.177869700E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
2.376234000E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
2.580701700E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
2.779066000E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
2.980482000E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
3.181898000E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
3.377210500E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
3.575574800E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
3.773939100E-2,-1.448759735E-1,-1.491370201E-1,2.290318534E-2
3.972303300E-2,2.141181529E-1,-9.832391143E-1,-2.812298238E-1
4.170667600E-2,1.603222936E-1,-9.656622410E-1,-3.030677438E-1
4.372083600E-2,1.059938148E-1,-9.656622410E-1,-3.131877482E-1
4.573499600E-2,5.805691332E-2,-9.693906307E-1,-3.174487948E-1
4.771863900E-2,1.597896591E-2,-9.699232578E-1,-3.201119602E-1
4.973279900E-2,-2.450108156E-2,-9.640643597E-1,-3.249056637E-1
5.174695900E-2,-6.018744037E-2,-9.544769526E-1,-3.222424984E-1
5.376111900E-2,-9.480853379E-2,-9.379653335E-1,-3.211772442E-1
5.571424400E-2,-1.257012039E-1,-9.214537740E-1,-3.158509135E-1
5.769788700E-2,-1.512675583E-1,-9.022790194E-1,-3.142530024E-1
