"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.794291663E-2,5.909005180E-2,-2.112808377E-1,7.246037573E-2
5.795191659E-2,-4.275835678E-2,-2.991757691E-1,4.903465137E-2
6.796091667E-2,-3.823817149E-2,-3.053761423E-1,-5.482385866E-3
7.796991663E-2,1.517645922E-2,-2.964791358E-1,-3.666216880E-2
8.797791658E-2,7.307197899E-2,-2.787025273E-1,-5.653707683E-2
9.798691666E-2,1.155907139E-1,-2.519074380E-1,-6.732014567E-2
1.079959166E-1,1.402385235E-1,-2.058765590E-1,-7.124484330E-2
1.180049166E-1,1.446193159E-1,-1.196687594E-1,-5.897631124E-2
1.280139167E-1,1.309080124E-1,-4.914426059E-2,-4.487034678E-2
1.380229166E-1,1.102197915E-1,2.365562133E-3,-3.149312735E-2
1.480319166E-1,9.155876189E-2,3.146991879E-2,-1.967668161E-2
1.580409167E-1,7.972654700E-2,3.351148590E-2,-9.050791152E-3
1.680499166E-1,7.716511935E-2,5.361915007E-2,1.313067786E-2
1.780579166E-1,1.467291079E-2,1.636719108E-1,1.646563411E-1
1.880669167E-1,-4.141059890E-2,2.445933819E-1,2.758433223E-1
1.980759166E-1,-7.376584411E-2,2.304851562E-1,2.825338244E-1
2.080849166E-1,-5.634157732E-2,1.589294821E-1,2.387186885E-1
2.180939167E-1,-2.225553431E-2,1.112700850E-1,2.270077318E-1
2.281029166E-1,-1.739873551E-3,1.149274036E-1,2.477002293E-1
2.381119166E-1,-1.202793419E-2,1.626960635E-1,2.921158671E-1
2.481209167E-1,-4.301141948E-2,1.760941744E-1,4.048109949E-1
2.581299166E-1,-2.201680653E-2,-4.966194741E-3,5.670469403E-1
2.681379166E-1,4.058958218E-2,-1.141736433E-1,6.747036576E-1
2.781469167E-1,1.121174619E-1,-7.934439182E-2,6.490240097E-1
2.881559166E-1,1.676187962E-1,-3.667575866E-2,5.555438995E-1
2.981649166E-1,1.979998797E-1,-2.467728779E-2,4.225752950E-1
3.081739167E-1,2.116192877E-1,-1.062139124E-2,2.652647793E-1
3.181829166E-1,1.700146794E-1,3.711547703E-2,1.312957257E-1
3.281919166E-1,9.921241552E-2,5.939867720E-2,3.043473698E-3
3.382009167E-1,5.939543992E-2,1.326275989E-2,-3.339051828E-2
3.482099166E-1,1.270330697E-1,-1.204872131E-2,-3.196492791E-2
3.582179167E-1,1.940606236E-1,2.431267127E-2,-4.041268677E-2
3.682269166E-1,1.091675758E-1,-1.112259459E-3,2.518709190E-2
3.782359166E-1,-1.079092026E-1,-3.924224153E-2,1.330227554E-1
3.882449167E-1,-2.930476367E-1,-6.963396445E-3,1.973295808E-1
3.982539166E-1,-4.247763157E-1,8.593972772E-3,3.429762125E-1
4.082629166E-1,-4.962587357E-1,-1.066396758E-1,5.978462696E-1
4.182719167E-1,-4.299836159E-1,-1.703744978E-1,8.490496278E-1
4.282809166E-1,-3.007542491E-1,-9.753757715E-2,9.800989628E-1
4.382899166E-1,-1.774338484E-1,-2.708513476E-2,1.003136158E0
4.482989167E-1,-8.320321888E-2,-1.333167702E-1,9.794982672E-1
4.583069166E-1,-3.351319581E-2,-3.523533046E-1,9.633427858E-1
4.683159166E-1,-4.821677506E-2,-4.809472263E-1,9.431197643E-1
4.783249167E-1,-9.225706756E-2,-5.533832908E-1,9.394332767E-1
4.883339166E-1,-1.312982142E-1,-6.054151058E-1,9.974196553E-1
4.983429166E-1,-7.512397319E-2,-4.466466010E-1,9.896330237E-1
5.083476666E-1,6.641132385E-2,-3.298978806E-1,9.047865868E-1
5.183566667E-1,1.666166484E-1,-3.303144872E-1,7.666571140E-1
5.283656666E-1,1.930818111E-1,-4.655218422E-1,5.471479297E-1
5.383746666E-1,2.400460988E-1,-4.516682029E-1,2.387791276E-1
5.483836667E-1,2.952965498E-1,-3.205418885E-1,-9.990679473E-2
5.583926666E-1,3.138636947E-1,-1.209010482E-1,-3.873276711E-1
5.684006666E-1,2.888568640E-1,3.375670314E-2,-6.107439995E-1
5.784096667E-1,2.303434610E-1,1.363976896E-1,-7.485362291E-1
5.884186666E-1,1.859080791E-1,2.132352144E-1,-8.451802135E-1
5.984276666E-1,1.578190923E-1,2.456135452E-1,-9.485204816E-1
6.084366667E-1,1.642306447E-1,1.745444238E-1,-1.158323050E0
6.184456666E-1,2.639638186E-1,2.387104370E-2,-1.363065362E0
6.284546666E-1,3.821977675E-1,-1.273408532E-1,-1.574990392E0
6.384636667E-1,3.494892716E-1,-2.872838974E-1,-1.737755418E0
6.484726666E-1,3.239106834E-1,-3.117074668E-1,-1.760825515E0
6.584816666E-1,2.572380304E-1,-2.430994064E-1,-1.749715328E0
6.684906667E-1,8.839148283E-2,-1.521223634E-1,-1.678118110E0
6.784996666E-1,-8.093564957E-2,-1.353919655E-1,-1.447633147E0
6.885076666E-1,-4.601841569E-1,-6.530022621E-2,-9.648472071E-1
6.985166667E-1,-4.592469037E-1,9.098830074E-2,-4.712811410E-1
7.085256666E-1,-5.871121883E-1,1.007162929E-1,1.702213734E-1
7.185346666E-1,-6.930685639E-1,2.842137590E-2,6.441562176E-1
7.285436667E-1,-8.475356102E-1,-2.925872803E-1,4.258220196E-1
7.385526666E-1,-1.039465666E0,-6.663096547E-1,2.068060786E-1
7.485616666E-1,-9.660274982E-1,-6.804286242E-1,2.014035881E-1
7.585706667E-1,-6.915860772E-1,-4.111902714E-1,2.474859059E-1
7.685796666E-1,-3.910390139E-1,-1.546556950E-1,2.268011272E-1
7.785886666E-1,-1.180126816E-1,2.401394024E-2,2.065934092E-1
7.885976667E-1,6.521733105E-2,1.117515191E-1,2.382594645E-1
7.986066666E-1,1.516174078E-1,1.558681130E-1,3.091834784E-1
8.086156666E-1,2.366934270E-1,2.117920965E-1,3.957090378E-1
8.186246667E-1,3.204117417E-1,2.507569492E-1,4.612599611E-1
8.286326666E-1,3.295069933E-1,2.644522488E-1,5.094035268E-1
8.386416666E-1,2.579220533E-1,2.344396263E-1,5.140825510E-1
8.486506667E-1,9.494696558E-2,1.297438294E-1,4.930877984E-1
8.586596666E-1,-7.306436449E-2,-4.282378033E-2,4.902995229E-1
8.686686666E-1,-2.046642005E-1,-1.675566584E-1,5.356565714E-1
8.786776667E-1,-2.966613173E-1,-2.357652932E-1,6.552571058E-1
8.886866666E-1,-2.660703659E-1,-2.263970971E-1,9.152634144E-1
8.986956666E-1,-1.193492711E-1,-6.724749506E-2,1.393786311E0
9.087046667E-1,3.630530462E-2,-1.440159604E-2,1.780448079E0
9.187136666E-1,2.146846652E-1,-2.948125303E-1,1.969589233E0
9.287226666E-1,3.744045794E-1,-3.627380431E-1,2.106946468E0
9.387316667E-1,5.003050566E-1,-2.066280395E-1,2.198386192E0
9.487406666E-1,5.631101131E-1,-4.024795592E-1,2.292180538E0
9.587496666E-1,5.528379679E-1,-4.990469813E-1,2.137461662E0
9.687586667E-1,3.521876633E-1,-5.973727107E-1,1.726279974E0
9.787666666E-1,-1.605290547E-2,-6.002707481E-1,1.013416648E0
9.887756666E-1,-3.824031949E-1,-4.940716624E-1,2.735537589E-1
9.987846666E-1,-5.519666672E-1,-1.588633060E-1,-2.852489948E-1
1.008793667E0,-4.338459373E-1,-1.456843764E-1,-3.685670495E-1
1.018802667E0,-1.491847634E-1,-1.955416799E-1,-3.949106634E-1
1.028811667E0,1.620157212E-1,-5.517178401E-2,-4.520762265E-1
1.038820667E0,3.636758626E-1,1.276974976E-1,-5.288749933E-1
1.048829667E0,4.154424071E-1,2.656833231E-1,-5.203794837E-1
