"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.808499965E-3,-2.061213684E0,9.958940277E0,4.986131287E-1
1.281749993E-2,-2.016756134E0,9.989925842E0,5.038522339E-1
2.282550000E-2,-2.123334503E0,9.896819458E0,5.457650757E-1
3.283449996E-2,-1.921703796E0,9.651329956E0,6.842271423E-1
4.284349992E-2,-1.792821808E0,9.500743103E0,6.682104492E-1
5.285149999E-2,-1.880539398E0,9.252559204E0,4.972659302E-1
6.286049995E-2,-2.045196991E0,9.009464722E0,2.893482971E-1
7.286849990E-2,-2.176623688E0,9.229058075E0,1.808239746E-1
8.287749998E-2,-2.224823456E0,9.596992950E0,1.737886047E-1
9.288549994E-2,-2.168540497E0,9.912536774E0,2.103126526E-1
1.028944999E-1,-1.904190216E0,1.032717453E1,2.724334717E-1
1.129025000E-1,-1.936972046E0,1.051832703E1,3.080593872E-1
1.229114999E-1,-1.820813599E0,9.905052338E0,3.252735901E-1
1.329195000E-1,-2.000290375E0,9.497300262E0,2.423460388E-1
1.429285000E-1,-2.113305359E0,9.436826019E0,3.076103210E-1
1.529364999E-1,-1.987267456E0,9.602381744E0,4.441264343E-1
1.629455000E-1,-2.043400726E0,9.787397003E0,5.080435181E-1
1.729545000E-1,-2.163301392E0,9.664652252E0,7.972421265E-1
1.829624999E-1,-2.335892487E0,9.238189087E0,7.933502197E-1
1.929715000E-1,-2.292183380E0,9.031019897E0,8.264314270E-1
2.029794999E-1,-2.140698395E0,9.179511108E0,7.888595581E-1
2.129884999E-1,-1.843865662E0,9.298064575E0,7.563771057E-1
2.229965000E-1,-1.507215729E0,9.530830536E0,7.444020081E-1
2.330054999E-1,-1.306333466E0,9.898466034E0,6.749464417E-1
2.430135000E-1,-1.174457703E0,1.029109955E1,4.602928162E-1
2.530225000E-1,-1.112336884E0,1.059122543E1,2.531236267E-1
2.630304999E-1,-1.143621826E0,1.079584991E1,4.385879517E-2
2.730395000E-1,-1.290017395E0,1.081291443E1,-2.454895020E-2
2.830475000E-1,-1.409468994E0,1.067699707E1,-5.748046875E-2
2.930564999E-1,-1.531465302E0,1.021655457E1,-1.315763855E-1
3.030655000E-1,-1.569037170E0,9.735455017E0,-1.658551025E-1
3.130734999E-1,-1.504072266E0,9.453441467E0,-1.284329224E-1
3.230824999E-1,-1.342558136E0,9.404493256E0,-5.748046875E-2
3.330905000E-1,-1.044378204E0,9.408385162E0,-3.861968994E-2
3.430994999E-1,-7.214996338E-1,9.344468079E0,-1.152603149E-2
3.531074999E-1,-4.177812195E-1,9.368567963E0,2.448907471E-1
3.631165000E-1,-1.490899658E-1,9.365424500E0,5.601351929E-1
3.731244999E-1,1.392105103E-2,9.457033997E0,5.975573730E-1
3.831335000E-1,2.903961182E-2,9.616751862E0,4.878355408E-1
3.931425000E-1,-1.706451416E-2,9.660910034E0,6.198609924E-1
4.031504999E-1,-1.106199646E-1,9.711355133E0,6.352789307E-1
4.131595000E-1,-8.232879639E-3,9.589209137E0,5.289999390E-1
4.231674999E-1,1.410067749E-1,9.396709442E0,3.915856934E-1
4.331764999E-1,1.023870850E-1,9.437424774E0,1.794767761E-1
4.431845000E-1,1.175056458E-1,9.601782990E0,-3.861968994E-2
4.531934999E-1,1.544787598E-1,9.741741943E0,-1.823208618E-1
4.632014999E-1,3.038681030E-2,9.713001709E0,-1.851649475E-1
4.732105000E-1,-4.715194702E-2,9.669891357E0,-1.648072815E-1
4.832184999E-1,2.844085693E-3,9.685159607E0,7.738906860E-2
4.932275000E-1,2.085163879E-1,9.647138672E0,5.403762817E-1
5.032355000E-1,4.083508301E-1,9.656269684E0,7.405101013E-1
5.132444999E-1,6.138734436E-1,9.806706848E0,7.976911926E-1
5.232535000E-1,8.809181213E-1,1.001237915E1,8.860075378E-1
5.332614999E-1,1.229842529E0,1.005623795E1,1.010548553E0
5.432704999E-1,1.246907043E0,1.007794281E1,9.264234924E-1
5.532785000E-1,9.225315857E-1,1.004650818E1,8.529263306E-1
5.632874999E-1,8.343649292E-1,9.832902374E0,8.129594421E-1
5.732954999E-1,6.779402161E-1,9.756860504E0,6.981481934E-1
5.833045000E-1,6.938072205E-1,9.840237122E0,8.708889771E-1
5.933124999E-1,7.984396362E-1,9.880503387E0,1.161135406E0
6.033214999E-1,7.896080017E-1,9.900861053E0,1.189276886E0
6.133305000E-1,6.526428223E-1,9.877509613E0,1.039438477E0
6.233384999E-1,5.069956970E-1,1.016835480E1,1.010398865E0
6.333475000E-1,2.151026917E-1,1.017988083E1,8.324189758E-1
6.433555000E-1,-3.987707520E-1,9.797126770E0,4.593946838E-1
6.533644999E-1,-2.351609802E-1,9.514514465E0,5.069956970E-1
6.633725000E-1,-7.077282715E-1,9.891879730E0,2.240840149E-1
6.733814999E-1,-9.912387085E-1,9.820328522E0,1.221459961E-1
6.833894999E-1,-8.002359009E-1,9.735455017E0,1.682501221E-1
6.933985000E-1,-4.683760071E-1,9.803413696E0,1.510359192E-1
7.034074999E-1,2.784210205E-1,1.005429199E1,4.593946838E-1
7.134154999E-1,8.336164856E-1,1.047746201E1,4.683760071E-1
7.234245000E-1,7.313790894E-1,1.033825150E1,1.601669312E-1
7.334324999E-1,4.049079895E-1,9.759704590E0,-2.249821472E-1
7.434415000E-1,-2.409988403E-2,9.314230957E0,-3.957769775E-1
7.534495000E-1,-4.790039062E-3,9.244326324E0,1.116677856E-1
7.634584999E-1,-2.158511353E-1,9.587263184E0,6.581813049E-1
7.734665000E-1,-4.778063965E-1,9.573940887E0,1.198108521E0
7.834754999E-1,-1.615141296E-1,9.440568237E0,1.464704132E0
7.934834999E-1,-2.201921082E-1,9.732012177E0,1.354682922E0
8.034925000E-1,-2.097138977E-1,9.740245056E0,1.042881317E0
8.135014999E-1,2.056723022E-1,9.674980774E0,1.115779724E0
8.235094999E-1,3.348536682E-1,1.000145187E1,1.227597198E0
8.335185000E-1,2.475851440E-1,1.004875351E1,1.305884399E0
8.435264999E-1,-2.255809021E-1,9.263187103E0,1.166524200E0
8.535354999E-1,1.428030396E-1,8.904832306E0,1.285377045E0
8.635435000E-1,9.804611206E-1,9.334438934E0,1.520388336E0
8.735524999E-1,1.181343384E0,9.900711365E0,1.503024445E0
8.835605000E-1,1.208137665E0,9.415270844E0,1.650617523E0
8.935695000E-1,1.254690857E0,8.994795227E0,1.482517090E0
9.035784999E-1,9.883946228E-1,8.967701569E0,1.042581940E0
9.135865000E-1,7.089257812E-1,8.825048218E0,9.768685913E-1
9.235954999E-1,6.715036011E-1,8.760233002E0,1.104553070E0
9.336034999E-1,6.698570251E-1,8.831484833E0,1.496737518E0
9.436125000E-1,5.761518860E-1,9.076824646E0,1.570534058E0
9.536203749E-1,6.667135620E-1,8.859776001E0,2.085463257E0
9.636293750E-1,5.200186157E-1,9.042545929E0,1.907633057E0
9.736373749E-1,2.267784119E-1,8.977281647E0,1.806593170E0
9.836463749E-1,1.576222229E-1,8.804690552E0,2.019001465E0
9.936553750E-1,-2.395019531E-3,9.115893402E0,1.862576752E0
1.003663375E0,1.281335449E-1,9.145831146E0,1.857487335E0
1.013672375E0,5.403762817E-2,9.405391388E0,1.681303711E0
1.023680375E0,-1.541793823E-2,9.667346649E0,1.701062622E0
1.033689375E0,3.685336304E-1,9.486223297E0,1.806742859E0
1.043697375E0,4.553530884E-1,9.429491272E0,1.541344757E0
1.053706375E0,2.441423035E-1,9.752369843E0,8.190966797E-1
1.063714375E0,1.175056458E-1,1.040830582E1,-4.086502075E-2
1.073723375E0,8.470884705E-1,1.067909271E1,-1.975891113E-1
1.083732375E0,1.559307404E0,1.090153015E1,-7.429051208E-1
1.093740375E0,2.040107574E0,1.126033401E1,-1.751807098E0
1.103749375E0,2.815046082E0,1.021026764E1,-2.807411957E0
1.113757375E0,2.938988342E0,9.589807892E0,-3.318149872E0
1.123766375E0,3.135379944E0,8.825946350E0,-3.351979523E0
1.133774375E0,3.221900024E0,7.886499939E0,-2.940335541E0
1.143783375E0,2.514171753E0,7.082072754E0,-2.312241669E0
1.153791375E0,6.906637573E-1,7.079977112E0,-1.434467010E0
