"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.638333326E-2,8.996292114E-2,-9.509574738E0,-1.808239746E-1
3.645033331E-2,1.004411316E-1,-9.545949097E0,7.364685059E-2
4.651633324E-2,6.107299805E-2,-9.634265442E0,1.242416382E-1
5.658333329E-2,9.879455566E-2,-9.748927002E0,-3.103047180E-1
6.665033335E-2,2.668949890E-1,-9.849368134E0,1.823208618E-1
7.671633328E-2,4.697232056E-1,-9.913434906E0,3.532653809E-1
8.678333333E-2,7.147636414E-1,-9.947863312E0,5.053491211E-1
9.685033327E-2,9.448352051E-1,-9.899364166E0,4.908293152E-1
1.069163333E-1,1.078806610E0,-9.867480469E0,2.401007080E-1
1.169833333E-1,9.774673462E-1,-9.887389069E0,-1.513352966E-1
1.270503333E-1,7.527845764E-1,-1.003992188E1,-4.346960449E-1
1.371163332E-1,4.105961609E-1,-1.017119888E1,-4.333488464E-1
1.471869999E-1,3.367996216E-2,-1.022553589E1,-3.492237854E-1
1.572530000E-1,-1.517843628E-1,-1.026759842E1,-2.832110596E-1
1.673200000E-1,-3.498225403E-1,-1.015652939E1,-2.127076721E-1
1.773869999E-1,-4.339476013E-1,-9.989327087E0,-1.041833496E-1
1.874530000E-1,-4.447251892E-1,-9.911189575E0,4.415817261E-2
1.975199999E-1,-4.303550720E-1,-9.764794006E0,9.310638428E-2
2.075870000E-1,-2.302212524E-1,-9.666747894E0,1.026864624E-1
2.176529999E-1,1.496887207E-4,-9.663305054E0,1.892065430E-1
2.277200000E-1,1.660047913E-1,-9.679770813E0,1.585203552E-1
2.377860000E-1,2.613565063E-1,-9.691147156E0,1.395098877E-1
2.478529999E-1,2.600093079E-1,-9.714947662E0,1.812730408E-1
2.579200000E-1,2.612068176E-1,-9.744885406E0,1.493893433E-1
2.679859999E-1,3.089575195E-1,-9.708211670E0,1.285826111E-1
2.780530000E-1,3.029699707E-1,-9.631720734E0,1.115180969E-1
2.881199999E-1,2.555186462E-1,-9.532626801E0,1.681004333E-1
2.981860000E-1,2.369572449E-1,-9.387877808E0,2.547702026E-1
3.082529999E-1,3.668870544E-1,-9.350156250E0,3.794609070E-1
3.183190000E-1,5.330415344E-1,-9.422605591E0,5.090913391E-1
3.283860000E-1,6.484515381E-1,-9.510023804E0,6.445596313E-1
3.384529999E-1,6.744973755E-1,-9.514664154E0,8.610095215E-1
3.485190000E-1,4.041595459E-1,-9.669891357E0,3.248245239E-2
3.585859999E-1,2.933898926E-1,-9.708211670E0,3.487747192E-2
3.686530000E-1,8.322692871E-2,-9.768536224E0,3.547622681E-1
3.787189999E-1,-9.310638428E-2,-9.799222412E0,4.733157349E-1
3.887860000E-1,-1.838177490E-1,-9.746981049E0,6.912625122E-1
3.988529999E-1,-1.577719116E-1,-9.705367584E0,7.929011536E-1
4.089190000E-1,-2.520758057E-1,-9.846224670E0,2.541714478E-1
4.189860000E-1,-2.414479065E-1,-9.904004517E0,1.853146362E-1
4.290519999E-1,-2.179467773E-1,-9.864636383E0,1.466949463E-1
4.391190000E-1,-1.823208618E-1,-9.796378326E0,7.319778442E-2
4.491859999E-1,-2.463876343E-1,-9.754315796E0,-4.715194702E-2
4.592520000E-1,-3.405418396E-1,-9.708061981E0,-1.342707825E-1
4.693189999E-1,-4.240681458E-1,-9.594448242E0,-1.965412903E-1
4.793860000E-1,-5.210664368E-1,-9.557175751E0,-2.710862732E-1
4.894520000E-1,-6.997947693E-1,-9.418114929E0,-2.239343262E-1
4.995189999E-1,-7.427554321E-1,-9.380692749E0,3.487747192E-2
5.095850000E-1,-7.979905701E-1,-9.560768280E0,4.867877197E-1
5.196519999E-1,-8.150550842E-1,-9.846374359E0,1.279090118E0
5.297190000E-1,-7.056326294E-1,-9.950258331E0,1.658251648E0
5.397849999E-1,-5.745053101E-1,-1.004680756E1,1.913021851E0
5.498520000E-1,-5.143304443E-1,-1.009141479E1,2.198627930E0
5.599189999E-1,-4.595443726E-1,-1.004366409E1,2.434836731E0
5.699850000E-1,-7.800279236E-1,-1.034872971E1,2.603086853E0
5.800520000E-1,-1.125659180E0,-1.050874695E1,2.008373566E0
5.901179999E-1,-1.101708984E0,-1.032567764E1,1.504521332E0
6.001850000E-1,-7.068301392E-1,-1.037163208E1,1.379980316E0
6.102519999E-1,-2.326162720E-1,-1.038869659E1,1.558259583E0
6.203180000E-1,1.534309387E-1,-9.896520081E0,1.720073090E0
6.303849999E-1,5.430706787E-1,-9.593250732E0,1.685644684E0
6.404520000E-1,7.982899475E-1,-9.620194702E0,1.428629150E0
6.505180000E-1,1.053209839E0,-9.751471710E0,1.291364594E0
6.605849999E-1,1.172511749E0,-9.842332764E0,1.287921753E0
6.706510000E-1,1.322948914E0,-9.923014984E0,1.401385803E0
6.807179999E-1,1.510658569E0,-9.879904633E0,1.480870514E0
6.907850000E-1,1.725012817E0,-9.671687622E0,1.497635651E0
7.008509999E-1,1.777703247E0,-9.438771973E0,1.500928802E0
7.109180000E-1,1.835632782E0,-9.311536560E0,1.527423706E0
7.209849999E-1,1.783241730E0,-9.264683990E0,1.575922852E0
7.310510000E-1,1.536854095E0,-9.336534576E0,1.470991058E0
7.411180000E-1,1.277293854E0,-9.422306213E0,1.289268951E0
7.511839999E-1,1.030157776E0,-9.477092285E0,1.181942139E0
7.612510000E-1,8.135581970E-1,-9.580527191E0,1.163530426E0
7.713179999E-1,6.466552734E-1,-9.678573303E0,1.183738403E0
7.813840000E-1,5.689668274E-1,-9.743538208E0,1.229692841E0
7.914509999E-1,4.927752686E-1,-9.714648285E0,1.397942963E0
8.015180000E-1,4.035607910E-1,-9.668244781E0,1.393751678E0
8.115840000E-1,3.061134338E-1,-9.565558319E0,1.281036072E0
8.216509999E-1,1.917512512E-1,-9.634115753E0,1.338666229E0
8.317180000E-1,-6.286926270E-3,-9.840237122E0,1.466051331E0
8.417839999E-1,-2.797682190E-1,-9.923164673E0,1.462309113E0
8.518510000E-1,-5.749543762E-1,-9.863887939E0,1.505120087E0
8.619169999E-1,-8.535250854E-1,-9.711205444E0,1.781595154E0
8.719840000E-1,-9.249266052E-1,-9.757608948E0,2.102228394E0
8.820509999E-1,-9.095086670E-1,-9.770332489E0,2.228415985E0
8.921170000E-1,-1.038240967E0,-9.450747070E0,2.350112915E0
9.021840000E-1,-1.045126648E0,-9.475445709E0,2.565514984E0
9.122509999E-1,-1.227597198E0,-9.442663879E0,2.808609467E0
9.223170000E-1,-1.306782532E0,-9.422306213E0,2.953807526E0
9.323839999E-1,-1.229992218E0,-9.439221039E0,2.928659821E0
9.424500000E-1,-1.002764740E0,-9.587263184E0,2.813100128E0
9.525169999E-1,-7.631130981E-1,-9.648036804E0,2.563569031E0
9.625840000E-1,-6.162684631E-1,-9.633666687E0,2.458038483E0
9.726500000E-1,-5.977070618E-1,-9.639354858E0,2.579136658E0
9.827169999E-1,-4.819976807E-1,-9.816885681E0,2.753074951E0
9.927840000E-1,-1.622625732E-1,-1.019499939E1,2.741249542E0
1.002850000E0,3.074606323E-1,-1.044003983E1,2.592309265E0
1.012917000E0,7.722441101E-1,-1.068283493E1,2.681074677E0
1.022984000E0,1.073417816E0,-1.100092346E1,2.771636353E0
1.033050000E0,1.376088409E0,-1.123952728E1,2.803220673E0
1.043117000E0,1.511856079E0,-1.122860001E1,2.623743896E0
1.053183000E0,1.548230438E0,-1.098954712E1,2.420017548E0
1.063250000E0,1.553170166E0,-1.085048630E1,2.409988403E0
1.073317000E0,1.675914917E0,-1.085003723E1,2.459685059E0
1.083383000E0,1.815275116E0,-1.060424835E1,2.362986145E0
1.093450000E0,1.800006866E0,-1.023227188E1,2.210153961E0
1.103517000E0,1.674717407E0,-9.982740784E0,2.306403809E0
1.113583000E0,1.678609314E0,-9.813891907E0,2.651885376E0
1.123650000E0,1.713786163E0,-9.531129913E0,2.604733429E0
1.133716000E0,1.537153473E0,-9.263636169E0,1.849853210E0
1.143779250E0,1.139430542E0,-9.273815002E0,9.596543884E-1
1.153846250E0,7.333250427E-1,-9.932744751E0,4.691244507E-1
1.163912250E0,1.775308228E-1,-1.082518890E1,3.680845642E-1
1.173979250E0,-2.935395813E-1,-1.113639175E1,4.200265503E-1
1.184046250E0,-6.601272583E-2,-1.106798401E1,7.942483521E-1
1.194112250E0,2.230361938E-2,-1.120300323E1,1.709295502E0
1.204179250E0,-4.119433594E-1,-1.214274902E1,2.338886261E0
1.214246250E0,-6.973997498E-1,-1.297397049E1,2.222877502E0
1.224312250E0,-1.284179535E0,-1.366268829E1,8.405021667E-1
1.234379250E0,-1.397344208E0,-1.370519989E1,-9.355545044E-1
1.244445250E0,-1.134490814E0,-1.263103363E1,-1.948049011E0
1.254512250E0,-5.257067871E-1,-1.079435303E1,-1.242566071E0
1.264579250E0,7.390132141E-1,-9.270072784E0,-9.222322083E-1
1.274645250E0,1.006057892E0,-8.242459717E0,-1.336720276E-1
1.284712250E0,1.274749146E0,-8.778794403E0,3.748205566E-1
1.294779250E0,1.685944061E0,-9.389524384E0,6.242019653E-2
1.304845250E0,2.275118866E0,-9.049730988E0,3.561094666E-1
1.314912250E0,2.300416260E0,-8.702752533E0,2.386038208E-1
1.324978250E0,2.283651123E0,-8.589288483E0,-1.014590149E0
1.335045250E0,2.728825378E0,-8.864715729E0,-1.558259583E0
1.345112250E0,1.945953369E-3,-7.247478790E0,2.117197266E0
1.355178250E0,-6.643185425E-1,-7.675289154E0,3.335364075E0
1.365245250E0,-2.038760376E-1,-8.218509521E0,4.114044800E0
1.375312250E0,-3.204835510E-1,-8.920250244E0,3.348087616E0
1.385378250E0,-4.343966675E-1,-9.294771423E0,1.648072815E0
1.395445250E0,-4.005670166E-1,-9.264833679E0,7.982899475E-1
1.405512250E0,-2.639012146E-1,-9.066196747E0,9.598040771E-1
1.415578250E0,-2.143542480E-1,-8.815767517E0,1.251846771E0
1.425645250E0,-1.068777466E-1,-8.393495636E0,1.459465027E0
1.435711250E0,-8.681945801E-3,-8.010741577E0,1.389560394E0
1.445778250E0,1.227447510E-2,-7.738308105E0,1.360670471E0
1.455845250E0,3.787124634E-2,-7.574398956E0,1.509011993E0
1.465911250E0,-1.170565796E-1,-7.476951599E0,1.664089508E0
1.475978250E0,-2.453398132E-1,-7.465275879E0,1.744322662E0
1.486045250E0,-7.364685059E-2,-7.487280121E0,1.947001190E0
1.496111250E0,3.516188049E-1,-7.475754089E0,2.436483307E0
1.506178250E0,7.691006470E-1,-7.448660431E0,3.044818268E0
1.516245250E0,1.271605682E0,-7.553592224E0,4.051175537E0
1.526311250E0,2.154769135E0,-7.867489471E0,4.250860291E0
1.536378250E0,3.503763885E0,-8.064928894E0,3.240311737E0
1.546444250E0,4.652774506E0,-8.407566376E0,1.860930176E0
1.556511250E0,5.610183563E0,-8.623866577E0,8.132588196E-1
1.566578250E0,6.237528992E0,-8.849896545E0,5.766009521E-1
1.576644250E0,6.480024719E0,-9.269024963E0,5.604345703E-1
1.586711250E0,6.377338257E0,-9.983040161E0,1.196461945E0
1.596778250E0,6.003565521E0,-1.037208115E1,2.799328766E0
1.606844250E0,5.627697144E0,-1.095571747E1,4.315974884E0
1.616911250E0,5.504203949E0,-1.150971542E1,5.131329346E0
1.626978250E0,5.615722046E0,-1.141541153E1,5.158123627E0
1.637044250E0,5.782325592E0,-1.075528427E1,4.817581787E0
1.647111250E0,5.298232269E0,-1.006551865E1,3.304827576E0
1.657177250E0,4.471800842E0,-1.029693741E1,1.738335114E0
1.667244250E0,3.257226562E0,-1.117291580E1,1.163829803E0
1.677311250E0,1.069675598E0,-1.131362320E1,6.807843018E-1
1.687377250E0,-8.848100281E-1,-1.115225876E1,-4.201762390E-1
1.697444250E0,-1.749112701E0,-1.145223495E1,-1.946402435E0
1.707511250E0,-1.670376434E0,-1.232746490E1,-2.143692169E0
1.717577250E0,-1.382525024E0,-1.381058075E1,-1.951192474E0
1.727644250E0,-9.871971130E-1,-1.561163544E1,-1.129700775E0
1.737711250E0,-1.600172424E0,-1.530851578E1,7.622149658E-1
1.747777250E0,-2.768941956E0,-1.160446838E1,3.331771545E0
1.757844250E0,-2.565664673E0,-8.610993347E0,4.138593750E0
1.767911250E0,-3.604504395E-1,-8.387508087E0,3.682492218E0
1.777977250E0,3.508703613E-1,-8.731343079E0,2.693798218E0
1.788044250E0,-3.412902832E-1,-9.540111237E0,1.644031219E0
1.798110250E0,-1.420695648E0,-1.002165985E1,9.012757874E-1
1.808177250E0,-2.198627930E0,-1.061846878E1,3.607498169E-1
1.818244250E0,-2.335742798E0,-1.133233429E1,5.382806396E-1
1.828310250E0,-1.969304810E0,-1.172990753E1,7.011419678E-1
1.838377250E0,-1.393302612E0,-1.135269196E1,8.020321655E-1
1.848444250E0,-1.005608826E0,-1.019544846E1,1.304986267E0
1.858510250E0,-5.429209900E-1,-8.991502075E0,1.884580994E0
1.868577250E0,-3.448828125E-1,-8.164920959E0,2.223625946E0
1.878644250E0,-3.270698547E-1,-7.786058807E0,2.415377197E0
1.888710250E0,-4.842430115E-1,-7.954308929E0,2.237097931E0
1.898777250E0,-7.840695190E-1,-8.334368591E0,1.934726715E0
1.908843250E0,-1.010997620E0,-8.187973022E0,1.791025543E0
1.918910250E0,-1.095721436E0,-8.678203583E0,1.670975189E0
1.928977250E0,-1.017434235E0,-9.130712585E0,1.852996674E0
1.939043250E0,-9.836045837E-1,-9.301507416E0,2.293081512E0
1.949110250E0,-6.731501770E-1,-9.235794067E0,1.987417145E0
1.959177250E0,-1.080752563E-1,-9.167386322E0,8.396040344E-1
1.969243250E0,4.117936707E-1,-9.350904694E0,2.644999695E-1
1.979310250E0,9.292675781E-1,-9.596094818E0,9.854008484E-1
1.989376250E0,1.078956299E0,-9.455986176E0,1.843715973E0
1.999443250E0,8.376580811E-1,-9.521699524E0,1.495839386E0
2.009510250E0,7.424560547E-1,-9.324110413E0,1.475332031E0
2.019576250E0,7.261399841E-1,-9.052724762E0,1.495989075E0
2.029643250E0,8.165519714E-1,-8.960965576E0,1.591041412E0
2.039710250E0,7.797285461E-1,-9.071884918E0,1.464853821E0
2.049776250E0,6.262976074E-1,-9.226213989E0,1.382075958E0
2.059843250E0,5.255570984E-1,-9.300309906E0,1.411265259E0
2.069910250E0,1.707948303E-1,-9.250014496E0,1.422791290E0
2.079976250E0,-2.293231201E-1,-9.190438385E0,1.697021027E0
2.090043250E0,-4.742138672E-1,-9.071136475E0,1.851649475E0
2.100109250E0,-5.905220032E-1,-8.849297791E0,2.056872711E0
2.110176250E0,-4.331991577E-1,-8.821904755E0,2.302811279E0
2.120243250E0,-2.269281006E-1,-8.795110474E0,2.566712494E0
2.130309250E0,-7.304809570E-2,-8.786278839E0,2.790197754E0
2.140375583E0,7.334747314E-2,-8.629255371E0,3.063379669E0
2.150442583E0,3.787124634E-2,-8.208630066E0,3.126847687E0
2.160508583E0,-1.270857239E-1,-7.738757172E0,3.103196869E0
2.170575583E0,-2.139051819E-1,-7.605234833E0,3.210224304E0
2.180642583E0,-2.724334717E-1,-7.927215271E0,3.135679321E0
2.190708583E0,-3.290158081E-1,-8.765322418E0,2.981799316E0
2.200775583E0,-4.751119995E-1,-9.699080658E0,3.246448975E0
2.210841583E0,-4.346960449E-1,-1.046833099E1,4.259542236E0
2.220908583E0,-2.544708252E-1,-1.102442459E1,5.339845734E0
2.230975583E0,1.685494995E-1,-1.112157257E1,5.502108307E0
2.241041583E0,1.112785950E0,-1.102098175E1,4.844825134E0
2.251108583E0,1.966610413E0,-1.032537827E1,4.318519592E0
2.261175583E0,2.730921021E0,-9.027277679E0,4.285288696E0
2.271241583E0,3.659889221E0,-7.861052856E0,4.005520477E0
2.281308583E0,4.294419708E0,-6.998995514E0,2.984344025E0
2.291375583E0,4.234394531E0,-6.719826050E0,1.595681763E0
2.301441583E0,3.372037811E0,-7.251221008E0,-2.124082947E-1
2.311508583E0,1.964814148E0,-9.056766357E0,-1.234333191E0
2.321575583E0,8.363108826E-1,-1.199829941E1,-1.203197937E0
2.331641583E0,6.725514221E-1,-1.506856476E1,-2.418969727E-1
2.341708583E0,5.873785400E-1,-1.786684570E1,1.440903625E0
2.351774583E0,-5.834866333E-1,-1.885104904E1,1.781295776E0
2.361841583E0,-1.532513123E0,-1.862067810E1,1.265767822E0
2.371908583E0,-1.761087799E0,-1.777763123E1,-1.475930786E-1
2.381974583E0,-1.683998108E0,-1.604109238E1,-1.464704132E0
2.392041583E0,-8.789721680E-1,-1.362032639E1,-2.045646057E0
2.402108583E0,1.047821045E-2,-1.161913788E1,-1.955084381E0
2.412174583E0,4.977149963E-1,-9.890682220E0,-1.219364319E0
2.422241583E0,1.116079102E0,-8.608748016E0,-7.047344971E-1
2.432308583E0,2.377805328E0,-8.322094116E0,7.032376099E-1
2.442374583E0,4.227808228E0,-9.301507416E0,9.101074219E-1
2.452441583E0,4.073479156E0,-8.114775238E0,-1.602717133E0
2.462507583E0,3.629652100E0,-7.614066467E0,-2.439327393E0
2.472574583E0,3.981420593E0,-8.321794739E0,-1.753154297E0
2.482641583E0,2.371668091E0,-7.617209930E0,1.201251984E0
2.492707583E0,2.914439392E-1,-7.825576630E0,2.686613159E0
2.502774583E0,1.272354126E-2,-8.211025085E0,3.623814240E0
2.512841583E0,-4.206253052E-2,-8.339607697E0,2.540666656E0
2.522907583E0,1.499880981E-1,-8.575367432E0,1.465751953E0
2.532974583E0,5.063969421E-1,-8.574918365E0,8.458909607E-1
2.543041583E0,6.545887756E-1,-8.394244080E0,6.418652344E-1
2.553107583E0,8.170010376E-1,-8.164022827E0,5.766009521E-1
2.563174583E0,1.015488281E0,-7.791746979E0,4.186793518E-1
2.573240583E0,1.116378479E0,-7.432943115E0,4.170327759E-1
2.583307583E0,8.891510010E-1,-7.152426453E0,7.261399841E-1
2.593374583E0,5.336402893E-1,-6.982080688E0,1.122216339E0
2.603440583E0,1.529818726E-1,-6.874155121E0,1.536554718E0
2.613507583E0,-1.112187195E-1,-6.813082123E0,1.703757019E0
2.623574583E0,-9.819580078E-2,-6.883884888E0,1.913321228E0
2.633640583E0,1.616638184E-2,-6.994654541E0,2.277364197E0
2.643707583E0,4.354444885E-1,-7.086264038E0,2.834505615E0
2.653774583E0,1.131796417E0,-7.095245361E0,3.611390076E0
2.663840583E0,2.131268005E0,-7.236551514E0,4.036955109E0
2.673907583E0,3.175795898E0,-7.311545563E0,3.902983704E0
2.683974583E0,4.147275696E0,-7.559430084E0,3.187321930E0
2.694040583E0,5.115162964E0,-8.278235321E0,1.739532623E0
2.704107583E0,6.122118988E0,-9.211843872E0,4.215234375E-1
2.714174583E0,6.902895355E0,-9.979597321E0,-1.339714050E-1
2.724240583E0,7.262896729E0,-1.044542862E1,-2.814147949E-2
2.734307583E0,7.103178864E0,-1.064137115E1,1.633253632E0
2.744373583E0,6.417305145E0,-1.093101883E1,4.296814728E0
2.754440583E0,5.630840607E0,-1.107951004E1,6.685697021E0
2.764507583E0,5.079387360E0,-1.112262039E1,7.593259735E0
2.774573583E0,4.403991852E0,-1.112815887E1,6.957531738E0
2.784640583E0,3.551065521E0,-1.208137665E1,5.109923859E0
2.794707583E0,3.008743286E0,-1.313698151E1,3.134182434E0
2.804773583E0,1.884131927E0,-1.328921494E1,1.372645569E0
2.814840583E0,5.129832458E-1,-1.327634171E1,-5.424719238E-1
2.824907583E0,-6.206094360E-1,-1.398945877E1,-2.909499664E0
2.834973583E0,-1.368454285E0,-1.559501999E1,-5.404810638E0
2.845040583E0,-1.312470703E0,-1.587912918E1,-4.525389404E0
2.855107583E0,-1.112636261E0,-1.322544754E1,-7.279362488E-1
2.865173583E0,-9.428892517E-1,-9.567953339E0,2.125430145E0
2.875240583E0,-3.796105957E-1,-7.704628143E0,2.054926758E0
2.885306583E0,-4.565505981E-2,-7.488926697E0,2.788251801E0
2.895373583E0,-5.565426636E-1,-9.027577057E0,3.296594696E0
2.905440583E0,-1.578467560E0,-1.154968231E1,3.036286011E0
2.915506583E0,-2.887495422E0,-1.333307373E1,3.178340607E0
2.925573583E0,-3.736529846E0,-1.369532043E1,2.957250366E0
2.935640583E0,-3.754193115E0,-1.261097534E1,9.139993286E-1
2.945706583E0,-2.497705994E0,-1.067310516E1,-1.238823853E0
2.955773583E0,-9.792636108E-1,-9.159452820E0,-1.059197388E0
2.965840583E0,-2.086660767E-1,-8.450377350E0,-4.251159668E-2
2.975906583E0,1.272354126E-2,-7.958949280E0,-7.634124756E-2
2.985973583E0,7.589218140E-2,-7.652237091E0,-1.255888367E-1
2.996040583E0,-2.460882568E-1,-7.338938599E0,8.431965637E-1
3.006106583E0,-5.917195129E-1,-7.199279022E0,2.223625946E0
3.016173583E0,-9.665400696E-1,-7.505841522E0,3.260370026E0
3.026240583E0,-1.090033264E0,-8.023914185E0,3.566782837E0
3.036306583E0,-8.217910767E-1,-8.700806580E0,3.435505829E0
3.046373583E0,-4.483177185E-1,-9.097930756E0,2.837798767E0
3.056439583E0,1.835183716E-1,-9.549092560E0,1.625320129E0
3.066506583E0,9.292675781E-1,-1.008243347E1,-1.681004333E-1
3.076573583E0,8.698411560E-1,-1.001701950E1,-9.321116638E-1
3.086639583E0,7.798782349E-1,-9.760752411E0,1.481918335E-2
3.096706583E0,1.199904785E0,-9.286239166E0,1.081201630E0
3.106773583E0,1.617686005E0,-8.754095764E0,1.304088135E0
3.116839583E0,1.604812775E0,-8.469986572E0,1.358425140E0
3.126906583E0,1.257235565E0,-8.425978088E0,1.286424866E0
3.136973583E0,8.217910767E-1,-8.621621246E0,1.001866608E0
3.147040250E0,4.658312988E-1,-8.862470398E0,9.550140381E-1
3.157107250E0,3.909869385E-1,-8.943601685E0,1.232387238E0
3.167173250E0,2.911445618E-1,-8.875343628E0,1.435365143E0
3.177240250E0,3.628454590E-1,-8.941056976E0,1.503623199E0
3.187307250E0,6.176156616E-1,-9.150022430E0,1.527872772E0
3.197373250E0,6.738986206E-1,-9.245673523E0,1.629960480E0
3.207440250E0,4.308041382E-1,-9.272318115E0,1.744322662E0
3.217507250E0,1.431024170E-1,-9.272018738E0,1.768422546E0
3.227573250E0,-4.954696655E-2,-9.089847565E0,1.974394226E0
3.237640250E0,4.595443726E-2,-8.934021606E0,2.137704620E0
3.247707250E0,1.782792664E-1,-8.760981445E0,2.074685669E0
3.257773250E0,2.179467773E-1,-8.832682343E0,2.201921082E0
3.267840250E0,3.597019958E-1,-9.096733246E0,3.068918152E0
3.277907250E0,5.210664368E-1,-9.154662781E0,3.491788788E0
3.287973250E0,5.882766724E-1,-8.985065460E0,3.406615906E0
3.298040250E0,4.647834778E-1,-9.087003479E0,2.656376038E0
3.308106250E0,3.544628906E-1,-9.497300262E0,2.005828857E0
3.318173250E0,2.020797729E-2,-1.016072067E1,1.509610748E0
3.328240250E0,-4.772076416E-1,-1.074570419E1,1.529818726E0
3.338306250E0,-7.390132141E-1,-1.110271179E1,2.422711945E0
3.348373250E0,-5.213658142E-1,-1.136227203E1,3.629352722E0
3.358440250E0,-5.538482666E-3,-1.144774429E1,4.227359161E0
3.368506250E0,4.501139832E-1,-1.107951004E1,4.301604767E0
3.378573250E0,6.069877625E-1,-1.034843033E1,4.129612427E0
3.388640250E0,8.855584717E-1,-9.129814453E0,3.827091522E0
3.398706250E0,1.610500946E0,-8.066425781E0,3.850592651E0
3.408773250E0,2.314037933E0,-7.423662415E0,3.384761353E0
3.418840250E0,2.985691223E0,-7.429649963E0,2.718347168E0
3.428906250E0,3.424728241E0,-7.935747528E0,1.973047028E0
3.438973250E0,3.212319946E0,-8.967551880E0,1.441352692E0
3.449040250E0,2.174977112E0,-1.049168243E1,8.996292114E-1
3.459106250E0,9.961784363E-1,-1.204545135E1,3.809577942E-1
3.469173250E0,7.479945374E-1,-1.375429779E1,-5.312452698E-1
3.479239250E0,1.594484253E0,-1.518607040E1,-1.556912384E0
3.489306250E0,1.912872162E0,-1.592478424E1,-1.745819550E0
3.499373250E0,1.222507782E0,-1.607237732E1,-1.304537201E0
3.509439250E0,3.192860413E-1,-1.586760315E1,-1.124461670E0
3.519506250E0,-6.610253906E-1,-1.472562790E1,-2.012115784E0
3.529573250E0,-1.181193695E0,-1.310150528E1,-2.012115784E0
3.539639250E0,-1.000220032E0,-1.145582748E1,-9.312135315E-1
3.549706250E0,-6.571334839E-1,-9.296867065E0,7.391629028E-1
3.559773250E0,9.270222473E-1,-8.314609680E0,1.852547607E0
3.569839250E0,2.586770782E0,-9.303603058E0,1.055604858E0
