Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
14.00,-1.14,5.24,4.89
14.00,-1.24,5.30,5.13
14.00,-1.36,5.40,5.38
14.00,-1.49,5.51,5.57
14.00,-1.52,5.76,5.81
14.01,-1.55,6.07,6.01
14.01,-1.57,6.44,6.20
14.01,-1.64,6.84,6.40
14.01,-1.81,7.20,6.59
14.02,-2.15,7.38,6.75
14.02,-2.33,7.76,7.01
14.02,-2.51,8.19,7.31
14.02,-2.60,8.69,7.57
14.03,-2.87,9.08,7.77
14.03,-3.05,9.54,7.92
14.03,-3.36,9.94,8.08
14.03,-3.71,10.29,8.23
14.04,-4.21,10.40,8.29
14.04,-4.44,10.67,8.35
14.04,-4.65,11.07,8.55
14.04,-4.69,11.51,8.70
14.04,-4.81,11.86,8.73
14.05,-5.01,12.13,8.74
14.05,-5.15,12.35,8.70
14.05,-5.24,12.49,8.59
14.05,-5.28,12.59,8.43
14.06,-5.33,12.60,8.23
14.06,-5.35,12.49,7.96
14.06,-5.34,12.41,7.66
14.06,-5.30,12.30,7.32
14.07,-5.23,12.13,6.97
14.07,-5.20,11.96,6.53
14.07,-5.19,11.79,6.08
14.07,-5.18,11.64,5.63
14.08,-5.14,11.44,5.21
14.08,-5.13,11.32,4.77
14.08,-5.11,11.15,4.36
14.08,-5.05,11.00,3.93
14.09,-5.04,10.81,3.52
14.09,-5.07,10.63,3.19
14.09,-5.21,10.50,2.86
14.09,-5.30,10.37,2.69
14.09,-5.32,10.18,2.52
14.10,-5.35,10.02,2.44
14.10,-5.38,9.94,2.41
14.10,-5.38,9.83,2.47
14.10,-5.44,9.67,2.58
14.11,-5.57,9.55,2.75
14.11,-5.69,9.43,2.95
14.11,-5.84,9.30,3.24
14.11,-5.92,9.20,3.50
14.12,-5.96,9.07,3.81
14.12,-6.04,8.96,4.08
14.12,-6.06,8.82,4.36
14.12,-6.08,8.78,4.58
14.13,-6.07,8.77,4.89
14.13,-6.09,8.74,5.11
14.13,-6.10,8.71,5.37
14.13,-6.07,8.71,5.54
14.14,-6.06,8.69,5.69
14.14,-6.15,8.71,5.83
14.14,-6.21,8.72,5.97
14.14,-6.19,8.80,6.05
14.14,-6.13,8.87,6.05
14.15,-6.10,8.90,5.95
14.15,-6.12,8.85,5.80
14.15,-6.13,8.75,5.67
14.15,-6.14,8.68,5.47
14.16,-6.13,8.59,5.28
14.16,-6.03,8.48,5.07
14.16,-5.86,8.39,4.87
14.16,-5.72,8.30,4.69
14.17,-5.59,8.25,4.53
14.17,-5.49,8.16,4.42
14.17,-5.44,8.06,4.32
14.17,-5.36,7.94,4.23
14.18,-5.24,7.84,4.18
14.18,-5.07,7.74,4.16
14.18,-4.89,7.69,4.13
14.18,-4.71,7.57,4.14
14.19,-4.55,7.45,4.14
14.19,-4.44,7.38,4.18
14.19,-4.32,7.28,4.22
14.19,-4.22,7.23,4.29
14.19,-4.10,7.18,4.32
14.20,-3.98,7.13,4.39
14.20,-3.86,7.06,4.45
14.20,-3.75,6.95,4.55
14.20,-3.64,6.85,4.65
14.21,-3.55,6.77,4.75
14.21,-3.39,6.71,4.87
14.21,-3.27,6.66,4.99
14.21,-3.18,6.64,5.08
14.22,-3.08,6.63,5.19
14.22,-3.04,6.61,5.31
14.22,-3.01,6.55,5.41
14.22,-2.94,6.50,5.51
14.23,-2.90,6.47,5.57
14.23,-2.88,6.43,5.66
14.23,-2.85,6.40,5.74
14.23,-2.83,6.35,5.78
14.23,-2.84,6.30,5.84
14.24,-2.84,6.28,5.85
14.24,-2.85,6.26,5.90
14.24,-2.81,6.25,5.91
14.24,-2.80,6.28,5.90
14.25,-2.83,6.28,5.91
14.25,-2.84,6.31,5.90
14.25,-2.87,6.32,5.89
14.25,-2.88,6.31,5.88
14.26,-2.92,6.33,5.85
14.26,-2.92,6.33,5.84
14.26,-2.95,6.30,5.81
14.26,-2.99,6.28,5.80
14.27,-2.99,6.27,5.79
14.27,-3.01,6.25,5.76
14.27,-3.02,6.22,5.77
14.27,-3.03,6.21,5.70
14.28,-3.02,6.17,5.69
14.28,-3.05,6.14,5.62
14.28,-3.05,6.10,5.57
14.28,-3.05,6.08,5.51
14.28,-3.02,6.02,5.44
14.29,-3.01,6.04,5.40
14.29,-3.00,5.99,5.33
14.29,-3.02,5.96,5.28
14.29,-2.99,5.94,5.24
14.30,-2.96,5.87,5.18
14.30,-2.94,5.85,5.14
14.30,-2.92,5.82,5.08
14.30,-2.90,5.80,5.02
14.31,-2.87,5.78,4.97
14.31,-2.86,5.78,4.94
14.31,-2.84,5.77,4.89
14.31,-2.81,5.78,4.85
14.32,-2.79,5.82,4.86
14.32,-2.78,5.81,4.84
14.32,-2.75,5.82,4.84
14.32,-2.78,5.83,4.80
14.33,-2.76,5.87,4.83
14.33,-2.74,5.91,4.86
14.33,-2.70,5.95,4.86
14.33,-2.69,5.93,4.89
14.33,-2.75,5.97,4.87
14.34,-2.75,6.02,4.89
14.34,-2.68,6.10,4.91
14.34,-2.63,6.13,4.93
14.34,-2.62,6.15,4.91
14.35,-2.58,6.15,4.85
14.35,-2.59,6.13,4.82
14.35,-2.60,6.18,4.83
14.35,-2.62,6.30,4.87
14.36,-2.58,6.39,4.95
14.36,-2.61,6.42,5.00
14.36,-2.67,6.40,5.01
14.36,-2.63,6.44,5.00
14.37,-2.64,6.40,4.92
14.37,-2.63,6.47,4.92
14.37,-2.64,6.52,4.99
14.37,-2.65,6.58,5.06
14.38,-2.70,6.59,5.11
14.38,-2.80,6.58,5.11
14.38,-2.89,6.55,5.13
14.38,-2.94,6.49,5.13
