Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
22.00,1.20,-0.87,0.26
22.00,1.20,-0.89,0.29
22.00,1.20,-0.91,0.32
22.00,1.20,-0.91,0.34
22.01,1.20,-0.92,0.35
22.01,1.20,-0.92,0.37
22.01,1.21,-0.91,0.39
22.01,1.22,-0.88,0.41
22.01,1.22,-0.87,0.43
22.02,1.22,-0.87,0.44
22.02,1.21,-0.87,0.46
22.02,1.20,-0.88,0.48
22.02,1.18,-0.89,0.49
22.03,1.17,-0.90,0.51
22.03,1.15,-0.89,0.52
22.03,1.13,-0.89,0.52
22.03,1.11,-0.89,0.52
22.04,1.09,-0.90,0.52
22.04,1.08,-0.91,0.52
22.04,1.06,-0.92,0.52
22.04,1.04,-0.92,0.51
22.05,1.02,-0.93,0.49
22.05,1.01,-0.92,0.48
22.05,1.00,-0.92,0.46
22.05,0.99,-0.93,0.44
22.06,0.98,-0.93,0.43
22.06,0.98,-0.93,0.41
22.06,0.97,-0.95,0.39
22.06,0.96,-0.95,0.37
22.06,0.96,-0.95,0.35
22.07,0.95,-0.94,0.33
22.07,0.94,-0.94,0.32
22.07,0.93,-0.94,0.30
22.07,0.92,-0.94,0.28
22.08,0.91,-0.93,0.26
22.08,0.90,-0.90,0.25
22.08,0.90,-0.88,0.23
22.08,0.89,-0.85,0.22
22.09,0.88,-0.83,0.20
22.09,0.86,-0.81,0.19
22.09,0.85,-0.79,0.18
22.09,1.03,-1.14,0.44
22.10,1.11,-1.41,0.72
22.10,0.96,-1.18,0.44
22.10,0.83,-1.04,0.21
22.10,0.80,-1.02,0.17
22.11,0.79,-1.05,0.27
22.11,0.68,-0.79,0.18
22.11,0.60,-0.62,0.13
22.11,0.54,-0.55,0.15
22.11,0.47,-0.45,0.15
22.12,0.41,-0.34,0.14
22.12,0.38,-0.26,0.15
22.12,0.35,-0.27,0.17
22.12,0.31,-0.28,0.19
22.13,0.28,-0.28,0.19
22.13,0.26,-0.28,0.20
22.13,0.24,-0.27,0.20
22.13,0.23,-0.29,0.22
22.14,0.21,-0.28,0.22
22.14,0.22,-0.29,0.24
22.14,0.22,-0.30,0.25
22.14,0.22,-0.29,0.24
22.15,0.24,-0.32,0.25
22.15,0.25,-0.36,0.27
22.15,0.24,-0.37,0.26
22.15,0.24,-0.40,0.25
22.16,0.24,-0.43,0.25
22.16,0.24,-0.46,0.27
22.16,0.23,-0.46,0.28
22.16,0.23,-0.44,0.28
22.16,0.23,-0.42,0.28
22.17,0.23,-0.43,0.28
22.17,0.22,-0.47,0.28
22.17,0.20,-0.51,0.29
22.17,0.18,-0.54,0.29
22.18,0.15,-0.57,0.29
22.18,0.13,-0.58,0.28
22.18,0.10,-0.59,0.28
22.18,0.07,-0.59,0.28
22.19,0.04,-0.58,0.27
22.19,0.00,-0.58,0.25
22.19,-0.03,-0.57,0.23
22.19,-0.07,-0.57,0.21
22.20,-0.11,-0.56,0.18
22.20,-0.14,-0.55,0.16
22.20,-0.17,-0.54,0.12
22.20,-0.20,-0.53,0.09
22.20,-0.23,-0.51,0.06
22.21,-0.25,-0.49,0.02
22.21,-0.27,-0.47,-0.01
22.21,-0.28,-0.43,-0.05
22.21,-0.30,-0.39,-0.08
22.22,-0.32,-0.35,-0.11
22.22,-0.33,-0.30,-0.14
22.22,-0.35,-0.24,-0.18
22.22,-0.38,-0.19,-0.20
22.23,-0.39,-0.15,-0.24
22.23,-0.41,-0.10,-0.29
22.23,-0.43,-0.04,-0.33
22.23,-0.46,0.04,-0.36
22.24,-0.49,0.12,-0.39
22.24,-0.52,0.19,-0.42
22.24,-0.56,0.26,-0.45
22.24,-0.60,0.32,-0.49
22.25,-0.64,0.38,-0.52
22.25,-0.69,0.47,-0.57
22.25,-0.73,0.54,-0.61
22.25,-0.79,0.64,-0.65
22.25,-0.88,0.80,-0.69
22.26,-0.94,0.89,-0.71
22.26,-1.03,1.02,-0.74
22.26,-1.12,1.17,-0.77
22.26,-1.20,1.28,-0.79
22.27,-1.27,1.37,-0.80
22.27,-1.32,1.45,-0.81
22.27,-1.37,1.54,-0.81
22.27,-1.42,1.61,-0.82
22.28,-1.46,1.68,-0.84
22.28,-1.50,1.73,-0.86
22.28,-1.54,1.77,-0.88
22.28,-1.57,1.83,-0.91
22.29,-1.61,1.90,-0.94
22.29,-1.64,1.95,-0.97
22.29,-1.67,1.97,-1.02
22.29,-1.70,2.00,-1.07
22.30,-1.72,2.02,-1.14
22.30,-1.72,2.01,-1.22
22.30,-1.72,1.99,-1.30
22.30,-1.71,1.96,-1.39
22.30,-1.69,1.92,-1.47
22.31,-1.66,1.88,-1.57
22.31,-1.62,1.84,-1.67
22.31,-1.58,1.80,-1.78
22.31,-1.53,1.77,-1.89
22.32,-1.47,1.75,-2.01
22.32,-1.41,1.73,-2.13
22.32,-1.35,1.71,-2.25
22.32,-1.28,1.70,-2.38
22.33,-1.22,1.70,-2.51
22.33,-1.15,1.72,-2.64
22.33,-1.10,1.76,-2.77
22.33,-1.04,1.81,-2.89
22.34,-0.99,1.88,-3.01
22.34,-0.95,1.95,-3.12
22.34,-0.93,2.04,-3.21
22.34,-0.90,2.12,-3.30
22.35,-0.89,2.21,-3.37
22.35,-0.89,2.28,-3.44
22.35,-0.89,2.34,-3.48
22.35,-0.91,2.38,-3.50
22.35,-0.94,2.39,-3.49
22.36,-0.98,2.37,-3.46
22.36,-1.03,2.29,-3.40
22.36,-1.09,2.15,-3.31
22.36,-1.13,1.94,-3.22
22.37,-1.17,1.68,-3.12
22.37,-1.20,1.40,-3.03
22.37,-1.23,1.10,-2.93
22.37,-1.25,0.80,-2.82
22.38,-1.26,0.51,-2.72
22.38,-1.27,0.22,-2.61
22.38,-1.28,-0.06,-2.50
22.38,-1.28,-0.31,-2.40
22.39,-1.27,-0.51,-2.29
22.39,-1.25,-0.66,-2.18
22.39,-1.24,-0.78,-2.06
22.39,-1.22,-0.87,-1.94
22.39,-1.20,-0.92,-1.83
22.40,-1.18,-0.93,-1.72
22.40,-1.17,-0.92,-1.61
22.40,-1.16,-0.88,-1.49
22.40,-1.15,-0.81,-1.38
22.41,-1.16,-0.72,-1.27
22.41,-1.17,-0.59,-1.15
22.41,-1.19,-0.44,-1.03
22.41,-1.23,-0.28,-0.90
22.42,-1.28,-0.13,-0.76
22.42,-1.35,-0.03,-0.61
22.42,-1.44,0.04,-0.44
22.42,-1.54,0.10,-0.28
22.43,-1.64,0.18,-0.14
22.43,-1.74,0.27,-0.03
22.43,-1.83,0.34,0.04
22.43,-1.93,0.38,0.07
22.44,-2.02,0.42,0.08
