Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
19.00,0.37,5.87,5.15
19.00,0.48,5.84,5.05
19.00,0.54,5.86,4.98
19.00,0.60,5.88,4.68
19.01,0.53,5.82,4.67
19.01,0.45,5.93,4.89
19.01,0.45,6.07,4.75
19.01,0.47,6.18,4.42
19.02,0.24,6.36,4.46
19.02,-0.04,6.59,4.40
19.02,-0.15,7.15,4.37
19.02,0.40,8.42,4.84
19.03,0.56,8.20,5.64
19.03,0.56,7.69,5.52
19.03,0.63,7.10,4.91
19.03,0.57,6.22,4.34
19.03,0.53,5.54,4.67
19.04,0.36,5.30,4.96
19.04,0.07,5.18,4.60
19.04,-0.09,5.24,4.58
19.04,-0.07,5.46,4.65
19.05,-0.14,5.70,4.87
19.05,-0.12,6.01,4.93
19.05,0.01,6.24,4.70
19.05,-0.14,6.36,4.88
19.06,-0.26,6.49,5.16
19.06,-0.36,6.60,5.30
19.06,-0.49,6.75,5.33
19.06,-0.62,6.97,5.33
19.07,-0.71,7.12,5.19
19.07,-0.63,7.21,5.07
19.07,-0.52,7.25,5.05
19.07,-0.50,7.27,5.14
19.08,-0.52,7.30,5.28
19.08,-0.55,7.41,5.51
19.08,-0.65,7.50,5.46
19.08,-0.70,7.60,5.27
19.08,-0.73,7.66,5.07
19.09,-0.70,7.75,4.95
19.09,-0.77,7.90,4.88
19.09,-0.94,8.26,4.79
19.09,-0.54,8.60,3.90
19.10,-0.39,8.69,4.01
19.10,-0.48,8.56,4.68
19.10,-0.50,8.22,4.44
19.10,-0.55,8.05,4.80
19.11,-0.51,8.13,5.06
19.11,-0.27,8.24,5.07
19.11,-0.13,8.40,5.05
19.11,-0.02,8.60,4.89
19.12,-0.03,8.52,5.03
19.12,-0.08,8.46,5.48
19.12,-0.08,8.42,5.70
19.12,-0.12,8.50,5.80
19.13,-0.28,8.72,5.78
19.13,-0.29,8.78,5.62
19.13,-0.09,8.84,5.43
19.13,0.12,8.93,5.39
19.13,0.37,8.99,5.57
19.14,0.38,9.14,5.67
19.14,0.35,9.18,5.59
19.14,0.47,9.18,4.51
19.14,0.53,9.25,4.04
19.15,0.73,9.37,3.92
19.15,1.22,9.83,3.04
19.15,0.80,9.95,3.36
19.15,0.18,10.22,4.11
19.16,0.05,11.65,4.78
19.16,0.89,12.29,6.38
19.16,1.22,11.09,7.30
19.16,1.39,9.39,6.35
19.17,1.42,8.30,5.69
19.17,1.42,7.77,5.21
19.17,1.49,7.61,4.87
19.17,1.61,7.70,4.96
19.17,1.73,8.03,5.16
19.18,1.81,8.09,5.07
19.18,1.69,8.17,5.14
19.18,1.56,8.24,5.33
19.18,1.51,8.39,5.19
19.19,1.60,8.44,4.97
19.19,1.71,8.51,4.87
19.19,1.77,8.57,4.67
19.19,1.80,8.61,4.58
19.20,1.80,8.65,4.56
19.20,1.78,8.68,4.60
19.20,1.83,8.69,4.67
19.20,1.90,8.69,4.76
19.21,1.89,8.78,4.82
19.21,1.48,9.06,4.92
19.21,1.50,9.04,4.76
19.21,1.84,8.86,4.61
19.22,1.82,8.88,4.67
19.22,1.98,8.67,4.64
19.22,2.21,8.46,4.67
19.22,2.21,8.38,4.77
19.22,2.28,8.25,4.77
19.23,2.31,8.17,4.81
19.23,2.29,8.13,4.86
19.23,2.18,8.15,4.91
19.23,1.97,8.34,4.87
19.24,1.96,8.30,4.75
19.24,2.19,8.13,4.65
19.24,2.43,8.00,4.70
19.24,2.49,7.95,4.89
19.25,2.43,7.96,5.05
19.25,2.36,7.97,5.00
19.25,2.24,7.99,4.97
19.25,2.11,8.04,4.95
19.26,2.13,8.05,4.91
19.26,2.15,8.08,4.85
