Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
19.00,0.53,-2.05,0.08
19.00,0.52,-2.03,0.06
19.00,0.52,-2.00,0.04
19.00,0.51,-1.99,0.03
19.01,0.50,-1.99,0.01
19.01,0.49,-1.97,-0.01
19.01,0.48,-1.92,-0.03
19.01,0.47,-1.88,-0.05
19.01,0.45,-1.86,-0.06
19.02,0.44,-1.82,-0.06
19.02,0.42,-1.79,-0.06
19.02,0.41,-1.76,-0.06
19.02,0.43,-1.78,-0.05
19.03,0.45,-1.82,-0.05
19.03,0.47,-1.82,-0.05
19.03,0.46,-1.77,-0.06
19.03,0.44,-1.69,-0.08
19.04,0.43,-1.57,-0.10
19.04,0.43,-1.48,-0.12
19.04,0.42,-1.44,-0.13
19.04,0.41,-1.42,-0.13
19.05,0.40,-1.40,-0.14
19.05,0.39,-1.37,-0.14
19.05,0.39,-1.35,-0.15
19.05,0.38,-1.36,-0.15
19.05,0.37,-1.34,-0.15
19.06,0.37,-1.31,-0.14
19.06,0.37,-1.27,-0.14
19.06,0.37,-1.22,-0.13
19.06,0.38,-1.17,-0.12
19.07,0.39,-1.12,-0.11
19.07,0.39,-1.09,-0.11
19.07,0.40,-1.07,-0.10
19.07,0.41,-1.03,-0.10
19.08,0.41,-0.99,-0.09
19.08,0.43,-0.93,-0.09
19.08,0.44,-0.88,-0.08
19.08,0.45,-0.84,-0.07
19.09,0.45,-0.81,-0.05
19.09,0.44,-0.79,-0.03
19.09,0.43,-0.74,-0.01
19.09,0.41,-0.69,0.01
19.10,0.39,-0.69,0.02
19.10,0.37,-0.65,0.02
19.10,0.36,-0.59,0.03
19.10,0.34,-0.59,0.04
19.10,0.32,-0.58,0.05
19.11,0.31,-0.56,0.07
19.11,0.31,-0.55,0.07
19.11,0.30,-0.53,0.07
19.11,0.30,-0.53,0.06
19.12,0.30,-0.53,0.06
19.12,0.31,-0.50,0.06
19.12,0.32,-0.48,0.06
19.12,0.34,-0.45,0.06
19.13,0.35,-0.42,0.07
19.13,0.37,-0.40,0.08
19.13,0.38,-0.39,0.09
19.13,0.39,-0.38,0.09
19.14,0.41,-0.35,0.08
19.14,0.43,-0.28,0.07
19.14,0.44,-0.24,0.07
19.14,0.43,-0.29,0.07
19.15,0.42,-0.35,0.06
19.15,0.39,-0.42,0.05
19.15,0.34,-0.50,0.04
19.15,0.31,-0.52,0.04
19.15,0.28,-0.50,0.05
19.16,0.29,-0.51,0.08
19.16,0.33,-0.54,0.09
19.16,0.38,-0.50,0.08
19.16,0.40,-0.39,0.06
19.17,0.42,-0.34,0.04
19.17,0.43,-0.35,0.02
19.17,0.44,-0.38,0.00
19.17,0.45,-0.38,-0.03
19.18,0.47,-0.35,-0.06
19.18,0.49,-0.37,-0.10
19.18,0.50,-0.39,-0.12
19.18,0.52,-0.40,-0.14
19.19,0.53,-0.41,-0.16
19.19,0.53,-0.42,-0.18
19.19,0.53,-0.43,-0.19
19.19,0.54,-0.44,-0.21
19.20,0.55,-0.45,-0.23
19.20,0.55,-0.46,-0.24
19.20,0.56,-0.46,-0.26
19.20,0.57,-0.46,-0.27
19.20,0.58,-0.46,-0.28
19.21,0.59,-0.44,-0.28
19.21,0.60,-0.39,-0.27
19.21,0.61,-0.37,-0.27
19.21,0.61,-0.38,-0.27
19.22,0.62,-0.37,-0.27
19.22,0.62,-0.38,-0.26
19.22,0.62,-0.38,-0.27
19.22,0.63,-0.39,-0.27
19.23,0.63,-0.39,-0.27
19.23,0.64,-0.40,-0.27
19.23,0.64,-0.40,-0.27
19.23,0.65,-0.39,-0.27
19.24,0.66,-0.37,-0.26
19.24,0.67,-0.37,-0.24
19.24,0.68,-0.39,-0.24
19.24,0.69,-0.41,-0.24
19.25,0.70,-0.42,-0.23
19.25,0.72,-0.42,-0.23
19.25,0.74,-0.41,-0.23
19.25,0.76,-0.41,-0.22
19.25,0.78,-0.41,-0.21
19.26,0.79,-0.40,-0.19
19.26,0.81,-0.40,-0.18
19.26,0.83,-0.41,-0.17
19.26,0.85,-0.40,-0.16
19.27,0.86,-0.40,-0.15
19.27,0.88,-0.40,-0.14
19.27,0.89,-0.40,-0.13
19.27,0.90,-0.39,-0.12
19.28,0.92,-0.39,-0.11
19.28,0.93,-0.39,-0.11
19.28,0.94,-0.38,-0.11
19.28,0.95,-0.38,-0.10
19.29,0.95,-0.37,-0.10
19.29,0.94,-0.38,-0.09
19.29,0.94,-0.38,-0.09
19.29,0.93,-0.39,-0.09
19.29,0.91,-0.41,-0.10
19.30,0.89,-0.42,-0.10
19.30,0.86,-0.43,-0.10
19.30,0.83,-0.40,-0.09
19.30,0.79,-0.37,-0.06
19.31,0.74,-0.39,-0.04
19.31,0.68,-0.42,-0.03
19.31,0.62,-0.49,-0.04
19.31,0.54,-0.57,-0.05
19.32,0.51,-0.51,-0.05
19.32,0.50,-0.38,-0.06
19.32,0.46,-0.39,-0.05
19.32,0.41,-0.45,-0.04
19.33,0.35,-0.50,-0.04
19.33,0.31,-0.54,-0.04
19.33,0.27,-0.56,-0.04
19.33,0.25,-0.58,-0.05
19.34,0.24,-0.59,-0.06
19.34,0.23,-0.58,-0.07
19.34,0.23,-0.54,-0.09
19.34,0.24,-0.57,-0.11
19.34,0.25,-0.62,-0.12
19.35,0.26,-0.66,-0.14
19.35,0.28,-0.69,-0.16
19.35,0.31,-0.68,-0.18
19.35,0.34,-0.66,-0.19
19.36,0.37,-0.64,-0.21
19.36,0.39,-0.63,-0.22
19.36,0.41,-0.61,-0.23
19.36,0.43,-0.58,-0.23
19.37,0.45,-0.55,-0.24
19.37,0.47,-0.51,-0.24
19.37,0.48,-0.46,-0.24
19.37,0.49,-0.41,-0.24
19.38,0.50,-0.36,-0.24
19.38,0.50,-0.30,-0.24
19.38,0.50,-0.24,-0.22
19.38,0.50,-0.20,-0.21
19.39,0.50,-0.16,-0.21
19.39,0.49,-0.11,-0.21
19.39,0.49,-0.07,-0.20
19.39,0.48,-0.04,-0.19
19.39,0.46,-0.02,-0.19
19.40,0.44,0.00,-0.18
19.40,0.42,0.01,-0.17
19.40,0.39,0.02,-0.16
19.40,0.37,0.03,-0.16
19.41,0.34,0.04,-0.15
19.41,0.32,0.04,-0.14
19.41,0.29,0.05,-0.13
19.41,0.26,0.05,-0.13
19.42,0.24,0.06,-0.13
19.42,0.21,0.07,-0.13
19.42,0.19,0.08,-0.12
19.42,0.17,0.09,-0.12
19.43,0.15,0.11,-0.12
19.43,0.13,0.13,-0.11
19.43,0.12,0.15,-0.11
19.43,0.10,0.18,-0.10
19.44,0.10,0.21,-0.09
19.44,0.09,0.26,-0.08
19.44,0.10,0.32,-0.08
19.44,0.10,0.37,-0.07
19.44,0.10,0.42,-0.07
19.45,0.11,0.48,-0.06
19.45,0.11,0.57,-0.06
19.45,0.11,0.64,-0.05
19.45,0.11,0.70,-0.05
19.46,0.11,0.77,-0.05
19.46,0.10,0.85,-0.05
19.46,0.10,0.94,-0.05
19.46,0.09,1.03,-0.05
19.47,0.08,1.12,-0.05
19.47,0.07,1.20,-0.06
19.47,0.03,1.25,-0.06
19.47,-0.02,1.30,-0.07
19.48,-0.09,1.35,-0.07
19.48,-0.18,1.41,-0.07
19.48,-0.28,1.48,-0.07
19.48,-0.38,1.57,-0.07
19.48,-0.51,1.64,-0.07
19.49,-0.64,1.71,-0.07
19.49,-0.78,1.80,-0.08
19.49,-0.92,1.87,-0.08
19.49,-1.06,1.93,-0.08
19.50,-1.20,1.98,-0.07
19.50,-1.33,2.03,-0.07
19.50,-1.45,2.08,-0.08
19.50,-1.55,2.11,-0.10
19.51,-1.65,2.14,-0.12
19.51,-1.73,2.17,-0.16
19.51,-1.80,2.22,-0.21
19.51,-1.88,2.28,-0.26
19.52,-1.95,2.35,-0.33
19.52,-2.03,2.41,-0.41
19.52,-2.09,2.47,-0.49
19.52,-2.16,2.53,-0.58
19.53,-2.21,2.58,-0.67
19.53,-2.26,2.62,-0.76
19.53,-2.31,2.64,-0.85
19.53,-2.35,2.65,-0.94
19.53,-2.37,2.66,-1.02
19.54,-2.39,2.66,-1.10
19.54,-2.39,2.67,-1.17
19.54,-2.38,2.68,-1.24
19.54,-2.36,2.69,-1.31
19.55,-2.33,2.70,-1.37
19.55,-2.29,2.71,-1.42
19.55,-2.25,2.73,-1.47
19.55,-2.20,2.75,-1.51
19.56,-2.16,2.76,-1.55
19.56,-2.11,2.78,-1.58
19.56,-2.06,2.78,-1.61
19.56,-2.01,2.77,-1.63
19.57,-1.96,2.74,-1.65
19.57,-1.91,2.69,-1.68
19.57,-1.87,2.63,-1.71
19.57,-1.84,2.58,-1.73
19.58,-1.82,2.52,-1.75
19.58,-1.80,2.46,-1.78
19.58,-1.80,2.39,-1.80
19.58,-1.80,2.32,-1.82
19.58,-1.81,2.26,-1.84
19.59,-1.83,2.21,-1.86
19.59,-1.85,2.17,-1.87
19.59,-1.87,2.13,-1.87
19.59,-1.90,2.10,-1.87
19.60,-1.92,2.08,-1.86
19.60,-1.93,2.05,-1.85
19.60,-1.95,2.02,-1.82
19.60,-1.95,1.97,-1.79
19.61,-1.95,1.92,-1.74
19.61,-1.95,1.88,-1.70
19.61,-1.95,1.83,-1.66
19.61,-1.95,1.78,-1.61
19.62,-1.94,1.73,-1.56
19.62,-1.94,1.65,-1.50
19.62,-1.93,1.57,-1.45
19.62,-1.93,1.48,-1.40
19.63,-1.93,1.40,-1.35
19.63,-1.93,1.32,-1.30
19.63,-1.93,1.24,-1.26
19.63,-1.93,1.17,-1.23
19.63,-1.93,1.09,-1.21
19.64,-1.93,1.01,-1.19
19.64,-1.93,0.93,-1.17
19.64,-1.93,0.85,-1.15
19.64,-1.93,0.77,-1.13
19.65,-1.92,0.69,-1.11
19.65,-1.92,0.62,-1.09
19.65,-1.93,0.54,-1.05
19.65,-1.94,0.47,-1.01
19.66,-1.96,0.42,-0.97
19.66,-1.97,0.39,-0.91
19.66,-1.98,0.38,-0.86
19.66,-1.98,0.39,-0.80
19.67,-1.99,0.41,-0.75
19.67,-2.00,0.45,-0.69
19.67,-2.00,0.48,-0.64
19.67,-2.00,0.53,-0.59
19.68,-2.01,0.59,-0.55
19.68,-2.01,0.65,-0.51
19.68,-2.02,0.73,-0.48
19.68,-2.02,0.81,-0.46
19.68,-2.03,0.87,-0.45
19.69,-2.04,0.91,-0.43
19.69,-2.06,0.92,-0.43
19.69,-2.07,0.92,-0.44
19.69,-2.06,0.90,-0.46
19.70,-2.05,0.90,-0.49
19.70,-2.04,0.91,-0.52
19.70,-2.02,0.91,-0.54
19.70,-2.00,0.92,-0.57
19.71,-1.98,0.92,-0.59
19.71,-1.95,0.93,-0.60
19.71,-1.91,0.96,-0.61
19.71,-1.88,1.00,-0.62
19.72,-1.84,1.04,-0.62
19.72,-1.81,1.09,-0.63
19.72,-1.77,1.13,-0.64
19.72,-1.72,1.18,-0.64
19.72,-1.68,1.24,-0.65
19.73,-1.63,1.30,-0.66
19.73,-1.58,1.36,-0.68
19.73,-1.53,1.41,-0.70
19.73,-1.49,1.44,-0.71
19.74,-1.45,1.47,-0.73
19.74,-1.42,1.49,-0.74
19.74,-1.39,1.50,-0.75
19.74,-1.36,1.51,-0.77
19.75,-1.34,1.51,-0.78
19.75,-1.33,1.51,-0.80
19.75,-1.32,1.50,-0.81
19.75,-1.32,1.48,-0.82
19.76,-1.32,1.47,-0.82
19.76,-1.32,1.45,-0.82
19.76,-1.33,1.43,-0.82
19.76,-1.35,1.42,-0.82
19.77,-1.37,1.40,-0.82
19.77,-1.38,1.37,-0.82
19.77,-1.41,1.35,-0.81
19.77,-1.44,1.33,-0.80
19.77,-1.48,1.32,-0.79
19.78,-1.51,1.31,-0.78
19.78,-1.55,1.28,-0.77
19.78,-1.58,1.25,-0.77
19.78,-1.61,1.22,-0.77
19.79,-1.64,1.19,-0.78
19.79,-1.66,1.16,-0.78
19.79,-1.68,1.13,-0.78
19.79,-1.70,1.11,-0.78
19.80,-1.71,1.09,-0.78
19.80,-1.72,1.07,-0.77
19.80,-1.73,1.04,-0.76
19.80,-1.73,1.01,-0.75
19.81,-1.73,0.97,-0.73
19.81,-1.72,0.94,-0.71
19.81,-1.71,0.90,-0.69
19.81,-1.70,0.86,-0.68
19.82,-1.69,0.82,-0.67
19.82,-1.68,0.78,-0.65
19.82,-1.66,0.75,-0.63
19.82,-1.64,0.73,-0.60
19.82,-1.62,0.70,-0.58
19.83,-1.60,0.67,-0.55
19.83,-1.58,0.66,-0.53
19.83,-1.56,0.65,-0.49
19.83,-1.55,0.65,-0.46
19.84,-1.53,0.64,-0.42
19.84,-1.51,0.63,-0.39
19.84,-1.48,0.63,-0.36
19.84,-1.46,0.62,-0.33
19.85,-1.44,0.61,-0.31
19.85,-1.41,0.61,-0.28
19.85,-1.39,0.60,-0.26
19.85,-1.36,0.60,-0.23
19.86,-1.33,0.60,-0.21
19.86,-1.31,0.60,-0.19
19.86,-1.28,0.60,-0.17
19.86,-1.25,0.60,-0.15
19.87,-1.22,0.61,-0.12
19.87,-1.19,0.61,-0.10
19.87,-1.16,0.62,-0.08
19.87,-1.13,0.63,-0.06
19.87,-1.10,0.63,-0.03
19.88,-1.07,0.62,-0.01
19.88,-1.03,0.62,0.01
19.88,-0.99,0.61,0.03
19.88,-0.96,0.61,0.05
19.89,-0.92,0.60,0.07
19.89,-0.88,0.60,0.08
19.89,-0.85,0.59,0.10
19.89,-0.81,0.59,0.12
19.90,-0.77,0.58,0.13
19.90,-0.73,0.57,0.15
19.90,-0.69,0.56,0.17
19.90,-0.65,0.55,0.18
19.91,-0.60,0.55,0.19
19.91,-0.56,0.54,0.21
19.91,-0.52,0.53,0.22
19.91,-0.47,0.50,0.23
19.91,-0.42,0.47,0.24
19.92,-0.39,0.47,0.25
19.92,-0.36,0.48,0.27
19.92,-0.34,0.48,0.28
19.92,-0.31,0.48,0.30
19.93,-0.29,0.47,0.31
19.93,-0.27,0.46,0.32
19.93,-0.25,0.45,0.33
19.93,-0.23,0.44,0.34
19.94,-0.21,0.44,0.35
19.94,-0.20,0.43,0.37
19.94,-0.19,0.42,0.38
19.94,-0.18,0.42,0.38
19.95,-0.17,0.41,0.39
19.95,-0.17,0.40,0.40
19.95,-0.17,0.39,0.41
19.95,-0.17,0.37,0.42
19.96,-0.17,0.36,0.43
19.96,-0.17,0.34,0.44
19.96,-0.17,0.31,0.45
19.96,-0.18,0.29,0.46
19.96,-0.18,0.26,0.47
19.97,-0.18,0.24,0.48
19.97,-0.19,0.21,0.49
19.97,-0.19,0.19,0.51
19.97,-0.19,0.16,0.52
19.98,-0.19,0.13,0.53
19.98,-0.19,0.11,0.54
19.98,-0.19,0.08,0.55
19.98,-0.20,0.06,0.56
19.99,-0.19,0.04,0.58
19.99,-0.19,0.02,0.59
19.99,-0.18,0.01,0.60
19.99,-0.18,-0.01,0.61
20.00,-0.17,-0.03,0.63
20.00,-0.16,-0.05,0.64
20.00,-0.14,-0.06,0.65
20.00,-0.13,-0.07,0.66
20.01,-0.12,-0.08,0.67
20.01,-0.11,-0.09,0.68
20.01,-0.10,-0.09,0.68
20.01,-0.09,-0.10,0.69
20.01,-0.08,-0.10,0.69
20.02,-0.07,-0.10,0.70
20.02,-0.06,-0.11,0.70
20.02,-0.05,-0.13,0.70
20.02,-0.04,-0.13,0.70
20.03,-0.03,-0.14,0.70
20.03,-0.02,-0.14,0.70
20.03,-0.01,-0.14,0.70
20.03,0.00,-0.15,0.70
20.04,0.01,-0.14,0.70
20.04,0.03,-0.13,0.70
20.04,0.04,-0.12,0.69
20.04,0.05,-0.11,0.69
20.05,0.06,-0.10,0.69
20.05,0.08,-0.08,0.69
20.05,0.09,-0.06,0.68
20.05,0.10,-0.04,0.68
20.06,0.11,-0.01,0.68
20.06,0.12,0.02,0.67
20.06,0.13,0.05,0.67
20.06,0.14,0.08,0.66
20.06,0.16,0.11,0.66
20.07,0.18,0.12,0.65
