Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
23.78,-0.45,9.92,0.48
23.78,-0.45,9.92,0.45
23.78,-0.41,9.93,0.45
23.78,-0.40,9.92,0.49
23.79,-0.41,9.89,0.47
23.79,-0.45,9.90,0.47
23.79,-0.48,9.91,0.43
23.79,-0.46,9.92,0.39
23.80,-0.45,9.91,0.35
23.80,-0.45,9.91,0.36
23.80,-0.44,9.92,0.35
23.80,-0.48,9.92,0.35
23.80,-0.47,9.90,0.37
23.81,-0.47,9.94,0.37
23.81,-0.46,9.93,0.37
23.81,-0.45,9.95,0.37
23.81,-0.45,9.95,0.38
23.82,-0.45,9.94,0.42
23.82,-0.45,9.94,0.42
23.82,-0.47,9.97,0.44
23.82,-0.45,9.98,0.45
23.83,-0.44,9.99,0.46
23.83,-0.45,9.98,0.49
23.83,-0.43,10.00,0.48
23.83,-0.43,9.98,0.53
23.84,-0.43,10.01,0.55
23.84,-0.46,10.00,0.54
23.84,-0.47,9.99,0.54
23.84,-0.46,10.01,0.54
23.84,-0.46,10.00,0.52
23.85,-0.46,10.02,0.54
23.85,-0.46,10.01,0.50
23.85,-0.47,10.02,0.49
23.85,-0.47,10.01,0.48
23.86,-0.46,10.01,0.48
23.86,-0.47,10.01,0.48
23.86,-0.46,10.01,0.49
23.86,-0.45,10.03,0.47
23.87,-0.44,10.02,0.51
23.87,-0.45,10.04,0.52
23.87,-0.46,10.01,0.52
23.87,-0.45,10.00,0.53
23.88,-0.47,10.00,0.56
23.88,-0.47,9.99,0.56
23.88,-0.46,9.99,0.57
23.88,-0.45,9.99,0.59
23.89,-0.47,9.98,0.59
23.89,-0.48,9.96,0.57
23.89,-0.48,9.95,0.57
23.89,-0.48,9.97,0.56
23.89,-0.47,9.96,0.51
23.90,-0.50,9.97,0.50
23.90,-0.50,9.96,0.50
23.90,-0.50,9.96,0.48
23.90,-0.50,9.94,0.44
23.91,-0.51,9.96,0.46
23.91,-0.51,9.97,0.39
23.91,-0.55,9.96,0.35
23.91,-0.54,9.95,0.35
23.92,-0.52,9.94,0.29
23.92,-0.53,9.95,0.31
23.92,-0.51,9.96,0.30
23.92,-0.49,9.94,0.30
23.93,-0.50,9.93,0.30
23.93,-0.49,9.94,0.32
23.93,-0.46,9.94,0.33
23.93,-0.45,9.95,0.32
23.94,-0.48,9.94,0.37
23.94,-0.48,9.94,0.43
23.94,-0.47,9.94,0.42
23.94,-0.44,9.95,0.42
