Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
29.94,-1.28,-0.19,-0.04
29.95,-1.24,-0.12,-0.04
29.95,-1.19,-0.05,-0.03
29.95,-1.14,0.02,-0.02
29.95,-1.08,0.09,-0.01
29.96,-1.02,0.16,0.01
29.96,-0.96,0.24,0.02
29.96,-0.89,0.32,0.03
29.96,-0.83,0.40,0.04
29.97,-0.76,0.48,0.04
29.97,-0.69,0.55,0.05
29.97,-0.63,0.61,0.05
29.97,-0.57,0.67,0.05
29.97,-0.50,0.72,0.06
29.98,-0.44,0.76,0.06
29.98,-0.39,0.79,0.06
29.98,-0.34,0.81,0.05
29.98,-0.30,0.82,0.05
29.99,-0.25,0.81,0.04
29.99,-0.22,0.79,0.04
29.99,-0.19,0.77,0.02
29.99,-0.18,0.72,0.01
30.00,-0.17,0.66,-0.01
30.00,-0.17,0.60,-0.02
30.00,-0.18,0.53,-0.03
30.00,-0.19,0.46,-0.05
30.01,-0.20,0.41,-0.06
30.01,-0.20,0.36,-0.07
30.01,-0.21,0.33,-0.08
30.01,-0.21,0.31,-0.09
30.02,-0.21,0.29,-0.10
30.02,-0.21,0.27,-0.11
30.02,-0.20,0.25,-0.12
30.02,-0.19,0.24,-0.13
30.02,-0.18,0.22,-0.14
30.03,-0.17,0.19,-0.14
30.03,-0.16,0.17,-0.15
30.03,-0.15,0.15,-0.15
30.03,-0.14,0.14,-0.15
30.04,-0.14,0.14,-0.15
30.04,-0.15,0.14,-0.15
30.04,-0.15,0.15,-0.15
30.04,-0.15,0.17,-0.15
30.05,-0.16,0.20,-0.15
30.05,-0.16,0.23,-0.14
30.05,-0.17,0.25,-0.14
30.05,-0.17,0.27,-0.14
30.06,-0.18,0.28,-0.14
30.06,-0.19,0.30,-0.14
30.06,-0.19,0.31,-0.14
30.06,-0.19,0.32,-0.14
30.06,-0.20,0.33,-0.13
30.07,-0.20,0.34,-0.13
30.07,-0.21,0.36,-0.12
30.07,-0.21,0.37,-0.11
30.07,-0.22,0.37,-0.10
30.08,-0.22,0.38,-0.10
30.08,-0.23,0.38,-0.09
30.08,-0.23,0.39,-0.09
30.08,-0.23,0.41,-0.08
30.09,-0.23,0.42,-0.07
30.09,-0.23,0.43,-0.07
30.09,-0.23,0.43,-0.07
30.09,-0.23,0.43,-0.06
30.10,-0.23,0.42,-0.06
30.10,-0.24,0.41,-0.06
30.10,-0.25,0.42,-0.05
30.10,-0.26,0.41,-0.05
30.11,-0.27,0.41,-0.04
30.11,-0.28,0.40,-0.03
30.11,-0.29,0.39,-0.03
30.11,-0.29,0.38,-0.02
30.11,-0.30,0.38,-0.02
30.12,-0.30,0.38,-0.01
30.12,-0.30,0.38,0.00
30.12,-0.31,0.40,0.01
30.12,-0.31,0.42,0.02
30.13,-0.32,0.42,0.02
30.13,-0.32,0.42,0.03
30.13,-0.32,0.41,0.03
30.13,-0.32,0.41,0.03
30.14,-0.31,0.41,0.03
30.14,-0.31,0.41,0.03
30.14,-0.31,0.41,0.03
30.14,-0.30,0.41,0.04
30.15,-0.30,0.40,0.04
30.15,-0.29,0.39,0.04
30.15,-0.28,0.38,0.05
30.15,-0.28,0.36,0.05
30.16,-0.27,0.35,0.05
30.16,-0.26,0.33,0.05
30.16,-0.25,0.32,0.05
30.16,-0.25,0.30,0.06
30.16,-0.24,0.29,0.06
30.17,-0.23,0.27,0.06
30.17,-0.22,0.26,0.06
30.17,-0.21,0.25,0.06
30.17,-0.21,0.24,0.06
30.18,-0.20,0.22,0.06
30.18,-0.19,0.21,0.07
30.18,-0.17,0.20,0.07
30.18,-0.16,0.19,0.07
30.19,-0.15,0.17,0.07
30.19,-0.13,0.16,0.07
30.19,-0.12,0.14,0.07
30.19,-0.10,0.13,0.08
30.20,-0.09,0.12,0.08
30.20,-0.08,0.11,0.08
30.20,-0.07,0.10,0.09
30.20,-0.05,0.09,0.09
30.21,-0.04,0.08,0.09
30.21,-0.02,0.07,0.09
30.21,-0.01,0.07,0.10
30.21,0.01,0.06,0.10
30.21,0.02,0.06,0.10
30.22,0.04,0.06,0.10
30.22,0.05,0.05,0.11
30.22,0.06,0.05,0.11
30.22,0.07,0.05,0.12
30.23,0.09,0.05,0.12
30.23,0.10,0.04,0.13
30.23,0.11,0.04,0.13
30.23,0.12,0.04,0.14
30.24,0.13,0.03,0.14
30.24,0.13,0.02,0.15
30.24,0.14,0.02,0.16
30.24,0.14,0.03,0.16
30.25,0.14,0.03,0.17
30.25,0.15,0.04,0.17
30.25,0.15,0.05,0.18
30.25,0.16,0.06,0.18
30.25,0.16,0.07,0.19
30.26,0.16,0.08,0.20
30.26,0.16,0.09,0.20
30.26,0.16,0.10,0.21
30.26,0.15,0.11,0.21
30.27,0.15,0.12,0.22
30.27,0.14,0.13,0.22
30.27,0.14,0.13,0.23
30.27,0.13,0.14,0.23
30.28,0.12,0.14,0.24
30.28,0.11,0.15,0.24
30.28,0.10,0.15,0.24
30.28,0.10,0.15,0.25
30.29,0.09,0.14,0.25
30.29,0.08,0.14,0.25
30.29,0.08,0.14,0.26
30.29,0.07,0.13,0.26
30.30,0.07,0.13,0.26
30.30,0.07,0.12,0.27
30.30,0.08,0.12,0.27
30.30,0.09,0.11,0.27
30.30,0.10,0.10,0.28
30.31,0.11,0.09,0.28
30.31,0.13,0.09,0.28
30.31,0.15,0.08,0.28
30.31,0.18,0.08,0.28
30.32,0.20,0.08,0.28
30.32,0.23,0.08,0.27
30.32,0.26,0.09,0.27
30.32,0.30,0.09,0.27
30.33,0.33,0.10,0.27
30.33,0.36,0.11,0.26
30.33,0.39,0.12,0.25
30.33,0.41,0.14,0.25
30.34,0.44,0.17,0.24
30.34,0.46,0.19,0.23
30.34,0.48,0.21,0.23
30.34,0.49,0.24,0.22
30.35,0.49,0.26,0.21
30.35,0.50,0.29,0.20
