Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
19.04,-1.29,9.58,2.25
19.04,-1.30,9.58,2.25
19.04,-1.30,9.57,2.21
19.05,-1.30,9.56,2.22
19.05,-1.35,9.60,2.20
19.05,-1.36,9.58,2.19
19.05,-1.37,9.60,2.17
19.05,-1.39,9.61,2.17
19.06,-1.40,9.63,2.17
19.06,-1.42,9.62,2.18
19.06,-1.40,9.66,2.17
19.06,-1.42,9.68,2.17
19.07,-1.41,9.70,2.16
19.07,-1.41,9.68,2.15
19.07,-1.44,9.71,2.15
19.07,-1.40,9.70,2.14
19.08,-1.41,9.71,2.10
19.08,-1.40,9.71,2.10
19.08,-1.40,9.70,2.12
19.08,-1.40,9.66,2.12
19.09,-1.37,9.69,2.11
19.09,-1.38,9.68,2.11
19.09,-1.36,9.69,2.07
19.09,-1.35,9.69,2.09
19.10,-1.35,9.71,2.09
19.10,-1.35,9.66,2.09
19.10,-1.33,9.68,2.11
19.10,-1.35,9.68,2.10
19.10,-1.33,9.67,2.12
19.11,-1.31,9.67,2.14
19.11,-1.32,9.68,2.13
19.11,-1.31,9.66,2.13
19.11,-1.30,9.66,2.15
19.12,-1.27,9.66,2.16
19.12,-1.27,9.66,2.19
19.12,-1.27,9.65,2.18
19.12,-1.26,9.66,2.22
19.13,-1.27,9.65,2.22
19.13,-1.26,9.66,2.22
19.13,-1.26,9.64,2.23
19.13,-1.27,9.66,2.23
19.14,-1.28,9.62,2.23
19.14,-1.28,9.62,2.22
19.14,-1.28,9.61,2.21
19.14,-1.29,9.63,2.21
19.15,-1.31,9.64,2.23
19.15,-1.31,9.62,2.23
19.15,-1.32,9.63,2.21
19.15,-1.30,9.65,2.21
19.15,-1.31,9.65,2.18
19.16,-1.33,9.69,2.18
19.16,-1.31,9.66,2.16
19.16,-1.31,9.66,2.15
19.16,-1.31,9.67,2.14
19.17,-1.30,9.66,2.13
19.17,-1.34,9.67,2.10
19.17,-1.32,9.66,2.10
19.17,-1.31,9.63,2.08
19.18,-1.31,9.64,2.08
19.18,-1.30,9.65,2.10
19.18,-1.28,9.64,2.10
19.18,-1.28,9.65,2.09
19.19,-1.27,9.64,2.08
19.19,-1.24,9.65,2.06
19.19,-1.24,9.61,2.07
19.19,-1.23,9.64,2.08
19.20,-1.23,9.63,2.07
19.20,-1.24,9.65,2.08
19.20,-1.24,9.63,2.10
19.20,-1.23,9.65,2.12
19.20,-1.24,9.64,2.13
19.21,-1.24,9.65,2.12
19.21,-1.25,9.63,2.12
19.21,-1.25,9.64,2.13
19.21,-1.24,9.64,2.13
19.22,-1.26,9.64,2.16
19.22,-1.23,9.65,2.13
19.22,-1.28,9.63,2.18
19.22,-1.31,9.64,2.17
19.23,-1.28,9.66,2.18
19.23,-1.29,9.68,2.17
19.23,-1.31,9.68,2.16
19.23,-1.32,9.70,2.18
19.24,-1.31,9.70,2.15
19.24,-1.32,9.70,2.16
19.24,-1.35,9.72,2.15
19.24,-1.35,9.71,2.14
19.24,-1.33,9.72,2.14
19.25,-1.35,9.75,2.14
19.25,-1.35,9.74,2.13
19.25,-1.37,9.73,2.12
19.25,-1.35,9.75,2.12
19.26,-1.34,9.73,2.12
19.26,-1.33,9.75,2.11
19.26,-1.33,9.73,2.09
19.26,-1.32,9.74,2.09
19.27,-1.34,9.73,2.07
19.27,-1.36,9.72,2.07
19.27,-1.33,9.72,2.05
19.27,-1.33,9.72,2.06
19.28,-1.33,9.71,2.05
19.28,-1.34,9.72,2.04
19.28,-1.34,9.72,2.04
19.28,-1.35,9.74,2.05
