"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.661774167E-1,3.367658705E-2,-4.137829691E-2,1.571867242E-2
1.761864167E-1,2.814600244E-2,-3.961022571E-2,1.595063508E-2
1.861964167E-1,1.518874336E-2,-2.057741582E-2,1.615318097E-2
1.962064167E-1,9.674401954E-3,4.321806133E-3,1.465728320E-2
2.062164167E-1,2.545733936E-3,4.021988064E-2,6.814414635E-3
2.162254167E-1,-4.153181799E-3,6.548795849E-2,-3.401674330E-4
2.262054167E-1,-3.503736109E-3,7.535346597E-2,-5.075601861E-3
2.362144167E-1,6.318856031E-4,4.727122933E-2,-6.638611667E-3
2.462244167E-1,1.142606884E-2,7.443305105E-3,-3.381395712E-3
2.562344167E-1,2.150293812E-2,-2.509333566E-2,-3.315433860E-4
2.662444167E-1,2.185747400E-2,-2.950157411E-2,6.401943043E-3
2.762544167E-1,1.775673777E-2,-2.309614047E-2,9.231552482E-3
2.862634167E-1,9.145466611E-3,-2.238355577E-3,8.403329179E-3
2.962734167E-1,6.134762429E-3,2.777919918E-2,7.140992209E-3
3.062834167E-1,1.135656983E-2,4.325836524E-2,5.933815613E-3
3.162934167E-1,2.320337668E-2,4.333186522E-2,7.489901036E-3
3.263024167E-1,3.579498082E-2,2.468017116E-2,8.204609156E-3
3.363124167E-1,4.421163350E-2,3.618028015E-3,1.403906196E-2
3.463224167E-1,4.682866111E-2,-1.599020511E-2,2.194862999E-2
3.563324167E-1,4.599562287E-2,-2.391204238E-2,2.871252783E-2
3.663114167E-1,4.023395106E-2,-1.677389815E-2,3.338839114E-2
3.763214167E-1,3.242263198E-2,-9.211320430E-3,3.216972947E-2
3.863304167E-1,2.557410672E-2,-3.387331963E-3,3.066699207E-2
3.963404167E-1,2.884207107E-2,-9.302981198E-4,2.968322113E-2
4.063504167E-1,3.752327338E-2,3.926843405E-3,2.840585075E-2
4.163604167E-1,5.005877092E-2,3.124166280E-3,3.261844069E-2
4.263704167E-1,5.895983800E-2,-5.049690604E-3,3.707650676E-2
4.363794167E-1,5.979287624E-2,-1.447381824E-2,4.603777453E-2
4.463894167E-1,6.425921619E-2,-2.586177178E-2,5.793555826E-2
4.563994167E-1,6.357504427E-2,-3.695809841E-2,6.804358959E-2
4.664094167E-1,6.265396625E-2,-5.164861307E-2,7.481684536E-2
4.764184167E-1,5.906375870E-2,-5.995794386E-2,8.485217392E-2
4.864284167E-1,5.548898503E-2,-7.385709882E-2,9.228102863E-2
4.964384167E-1,5.700485408E-2,-8.504211158E-2,9.982683510E-2
5.064174167E-1,5.200866982E-2,-8.335062861E-2,1.030154228E-1
5.164274167E-1,4.971142858E-2,-9.193053842E-2,1.135956198E-1
5.264427500E-1,4.798365012E-2,-9.865666181E-2,1.107499599E-1
5.364517500E-1,5.970049277E-2,-1.189654022E-1,8.461874723E-2
5.464617500E-1,7.958141714E-2,-1.606162786E-1,3.351930529E-2
5.564717500E-1,8.733627200E-2,-1.677889675E-1,8.971884847E-3
5.664817500E-1,8.527749032E-2,-1.495672464E-1,-1.362152956E-2
5.764907500E-1,7.607520372E-2,-1.242783964E-1,-2.971527725E-2
5.865007500E-1,6.198415533E-2,-5.486124381E-2,-1.727725007E-2
5.965107500E-1,4.948434234E-2,2.918429673E-3,-4.526033998E-3
6.065207500E-1,3.942130506E-2,-4.288913310E-2,-1.154689305E-2
6.165307500E-1,1.627124660E-2,-1.585097313E-1,-2.786674351E-2
6.265397500E-1,-6.366221234E-3,-2.110023201E-1,-2.771382779E-2
6.365497500E-1,-2.549144626E-2,-2.411820590E-1,-8.209103718E-3
6.465287500E-1,-3.839218616E-2,-2.644764483E-1,2.469304949E-2
6.565387500E-1,-4.608179629E-2,-2.191963196E-1,4.708623886E-2
6.665487500E-1,-5.090732127E-2,-1.998496205E-1,8.368141949E-3
6.765587500E-1,-3.759604692E-2,-1.510037929E-1,2.550531551E-2
6.865677500E-1,1.508267783E-2,-4.411711544E-2,1.129438952E-1
6.965777500E-1,9.179688990E-2,-6.011472642E-2,7.834890485E-2
7.065877500E-1,1.403835416E-1,-1.583274752E-1,3.024840727E-2
7.165977500E-1,1.402461231E-1,-2.172786742E-1,-2.047481015E-3
7.266067500E-1,1.147653982E-1,-1.602662802E-1,3.316689283E-3
7.366167500E-1,9.160096198E-2,-1.267240345E-1,3.593348712E-2
7.466267500E-1,7.739686966E-2,-1.123345345E-1,2.418911457E-2
7.566367500E-1,8.677998930E-2,-1.106990874E-1,9.851720184E-3
7.666467500E-1,8.825470507E-2,-9.214808047E-2,4.273794591E-3
7.766557500E-1,8.060450852E-2,-5.724602193E-2,5.983544514E-3
7.866357500E-1,7.265931368E-2,6.996542215E-4,3.817898035E-2
7.966447500E-1,9.128306806E-2,4.182791337E-2,3.643327951E-2
8.066547500E-1,1.172968373E-1,5.386401340E-2,2.736877277E-2
8.166647500E-1,1.250913739E-1,5.795276538E-2,1.744343713E-2
8.266747500E-1,1.094895601E-1,7.370820642E-2,1.030575298E-2
8.366837500E-1,1.015085876E-1,7.447439432E-2,-7.279367186E-3
8.466937500E-1,1.003681421E-1,6.221786141E-2,-2.674451843E-2
8.567037500E-1,1.018672362E-1,4.716647416E-2,-3.636518866E-2
8.667137500E-1,9.320297837E-2,4.709379748E-2,-3.495259956E-2
8.767227500E-1,7.229450345E-2,6.034542248E-2,-1.409951597E-2
8.867327500E-1,5.600653589E-2,7.580610365E-2,-6.082650274E-3
8.967427500E-1,7.497463375E-2,7.634805888E-2,-1.355281752E-2
9.067527500E-1,9.202183038E-2,9.712213278E-2,8.314847946E-6
9.167617500E-1,9.464451671E-2,1.087217927E-1,1.091742143E-2
9.267417500E-1,8.414854109E-2,1.228184551E-1,3.004536591E-2
9.367507500E-1,7.195818424E-2,1.229233891E-1,2.050219290E-2
9.467607500E-1,8.261380345E-2,8.757717907E-2,-1.204078086E-2
9.567707500E-1,8.623676747E-2,8.360373974E-2,-2.112349123E-2
9.667807500E-1,9.000090510E-2,8.186523616E-2,-1.707026735E-2
9.767907500E-1,1.023089737E-1,7.585662603E-2,-1.077721734E-2
9.867997500E-1,1.084292755E-1,7.189609855E-2,-1.432344317E-3
9.968097500E-1,1.034449041E-1,8.246272057E-2,9.182216600E-3
1.006819750E0,9.381574392E-2,9.194652736E-2,1.475184783E-2
1.016829750E0,8.918610215E-2,1.080948710E-1,1.655427366E-2
1.026838750E0,9.025336057E-2,1.266913414E-1,2.430699766E-2
1.036848750E0,8.123935759E-2,1.640285850E-1,4.045267776E-2
1.046858750E0,9.014628083E-2,1.625734121E-1,2.383172885E-2
1.056868750E0,9.817571193E-2,1.683649868E-1,-4.922524095E-4
