"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.933416672E-3,5.065466309E-1,9.843081207E0,-2.442919922E-1
1.191241667E-2,4.933740234E-1,9.895023193E0,-1.505868530E-1
2.189141668E-2,4.357438660E-1,9.887838135E0,-9.086105347E-2
3.190141667E-2,4.227209473E-1,9.801168365E0,-1.121168518E-1
4.191141667E-2,4.340972900E-1,9.720336456E0,-1.468446350E-1
5.189041667E-2,4.016148376E-1,9.744885406E0,-1.942959595E-1
6.190041667E-2,3.608995056E-1,9.799222412E0,-2.324665833E-1
7.191041666E-2,3.743714905E-1,9.804611206E0,-2.189945984E-1
8.191941667E-2,4.242178345E-1,9.919871521E0,-1.784289551E-1
9.192941667E-2,4.348457336E-1,9.925709381E0,-1.793270874E-1
1.019394167E-1,4.215234375E-1,9.909393311E0,-1.901046753E-1
1.119494167E-1,3.701802063E-1,9.855804749E0,-1.944456482E-1
1.219584167E-1,3.213816833E-1,9.801018677E0,-2.240840149E-1
1.319684167E-1,2.987786865E-1,9.883796539E0,-2.628533936E-1
1.419784167E-1,2.990780640E-1,9.884694672E0,-2.612068176E-1
1.519884167E-1,3.697311401E-1,9.898016968E0,-2.564167786E-1
1.619984167E-1,4.016148376E-1,9.980645142E0,-2.453398132E-1
1.720074167E-1,4.537065125E-1,9.930649109E0,-2.492317200E-1
1.820174167E-1,4.707710266E-1,9.872270508E0,-2.758763123E-1
1.920274167E-1,4.590953064E-1,9.806557159E0,-2.743794250E-1
2.020064167E-1,4.957690430E-1,9.678722992E0,-2.519261169E-1
2.120164167E-1,5.572911072E-1,9.646689606E0,-2.230361938E-1
2.220264167E-1,6.120771790E-1,9.665999451E0,-2.249821472E-1
2.320354167E-1,6.105802917E-1,9.802216187E0,-2.149530029E-1
2.420454167E-1,5.830375671E-1,9.931996307E0,-1.935475159E-1
2.520554167E-1,5.505551147E-1,9.971663818E0,-1.673519897E-1
2.620654167E-1,5.194198608E-1,9.972711639E0,-1.808239746E-1
2.720744167E-1,4.891827393E-1,9.915680237E0,-2.544708252E-1
2.820844167E-1,4.974156189E-1,9.843829651E0,-3.218307495E-1
2.920944167E-1,4.948709106E-1,9.792785797E0,-3.513194275E-1
3.021044167E-1,4.704716492E-1,9.812245331E0,-3.402424622E-1
3.121134167E-1,4.343966675E-1,9.799072723E0,-2.646496582E-1
