"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.616916667E-3,-2.117346954E0,7.376360779E0,7.392676849E0
1.264391665E-2,-1.999242554E0,7.407496033E0,7.303013306E0
2.267191667E-2,-1.970053253E0,7.308851166E0,6.557563477E0
3.269891665E-2,-2.175725555E0,7.354955292E0,6.654112701E0
4.272591666E-2,-2.438129883E0,7.346722412E0,6.715784454E0
5.275391665E-2,-2.641407166E0,7.402107239E0,6.750362549E0
6.278091666E-2,-2.649041290E0,7.424410858E0,6.477929077E0
7.280891665E-2,-2.499202881E0,7.141948242E0,6.155349884E0
8.283591666E-2,-2.383194122E0,6.972201233E0,5.990542603E0
9.286291667E-2,-2.269730072E0,6.924001465E0,5.929619293E0
1.028909167E-1,-2.058070221E0,6.717281342E0,5.955365753E0
1.129179167E-1,-1.889670410E0,6.604416046E0,6.201304321E0
1.229459167E-1,-1.746867371E0,6.712940369E0,6.399641876E0
1.329729166E-1,-1.603615265E0,6.761439514E0,6.398743744E0
1.429999167E-1,-1.507066040E0,6.588998108E0,6.475683746E0
1.530279166E-1,-1.450334015E0,6.130052490E0,6.818620605E0
1.630549167E-1,-1.494941254E0,5.542973328E0,6.881340179E0
1.730829166E-1,-1.210832062E0,5.092559967E0,8.225245514E0
1.831099167E-1,-9.904902649E-1,4.696483612E0,9.319320374E0
1.931369167E-1,-7.990383911E-1,4.425696716E0,1.080722626E1
2.031649167E-1,-7.161108398E-1,4.086951141E0,1.092293564E1
2.131919167E-1,-7.848179626E-1,4.205205231E0,1.043435165E1
2.232199167E-1,-7.147636414E-1,4.631967773E0,1.023691223E1
2.332469167E-1,-5.545967102E-1,4.842130737E0,9.651180267E0
2.432739167E-1,-4.914280701E-1,5.024301910E0,8.707841949E0
2.533019167E-1,-4.824467468E-1,5.186714172E0,8.219257965E0
2.633289167E-1,-3.733236694E-1,5.070406036E0,7.964188385E0
2.733569167E-1,-2.320175171E-1,4.794679413E0,7.616311798E0
2.833839167E-1,-1.356179810E-1,4.758454742E0,7.146738281E0
2.934109167E-1,-6.316864014E-2,4.585713959E0,7.075037384E0
3.034389167E-1,3.308120728E-2,4.277205505E0,7.398365021E0
3.134659167E-1,-1.160087585E-1,4.263883209E0,7.721093903E0
3.234939167E-1,-2.409988403E-1,4.650379486E0,7.801327057E0
