"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.068333311E-4,-2.315235443E0,7.862400055E0,8.602910156E0
1.093683334E-2,-2.202370148E0,7.891439667E0,8.885821838E0
2.096583333E-2,-1.461111603E0,7.107519836E0,9.321715393E0
3.099483333E-2,-3.978726196E-1,6.718778229E0,9.317673798E0
4.102483334E-2,2.959346008E-1,6.715485077E0,8.404572601E0
5.105383333E-2,6.207591248E-1,6.439608765E0,8.181386719E0
6.108383334E-2,8.126600647E-1,5.928571472E0,8.332572327E0
7.111283334E-2,9.439370728E-1,5.516478424E0,8.242759094E0
8.114283334E-2,8.265811157E-1,5.278623047E0,8.103698273E0
9.117183334E-2,5.770500183E-1,5.338648224E0,8.067024536E0
1.012008333E-1,4.748126221E-1,5.481750641E0,8.226293335E0
1.112308333E-1,4.689747620E-1,5.328170013E0,8.153245239E0
1.212598333E-1,7.017407227E-1,5.139562225E0,9.422306213E0
1.312898333E-1,5.517526245E-1,4.633614349E0,9.366322632E0
1.413188333E-1,7.123686218E-1,4.193080444E0,9.485774231E0
1.513478333E-1,8.837622070E-1,4.083208923E0,9.343420258E0
1.613778333E-1,1.326242065E0,4.519850922E0,8.676407318E0
1.714068333E-1,1.779349823E0,4.950355682E0,8.076604614E0
1.814368333E-1,1.902543640E0,5.202431488E0,7.479496307E0
1.914658333E-1,2.286345520E0,4.871918793E0,8.302784271E0
2.014948333E-1,1.424288177E0,4.153862000E0,8.436755676E0
2.115252083E-1,2.752775574E-1,4.464915161E0,8.116870880E0
2.215542083E-1,-7.888595581E-2,5.235662384E0,8.553512878E0
2.315842083E-1,-9.131011963E-3,5.289400635E0,9.608219604E0
2.416132083E-1,8.083190918E-3,4.732109528E0,1.088895630E1
2.516432083E-1,4.857398987E-1,3.986360321E0,1.086470673E1
2.616722083E-1,1.452579346E0,3.550167389E0,1.029693741E1
2.717012083E-1,2.258503418E0,3.567231903E0,9.326505432E0
2.817312083E-1,2.709665222E0,3.908222809E0,8.431217194E0
2.917602083E-1,3.031495972E0,4.352648621E0,7.917635193E0
3.017902083E-1,2.913391571E0,4.446653137E0,7.991431732E0
3.118192083E-1,2.832859039E0,4.280049591E0,8.167465668E0
3.218482083E-1,2.707120514E0,4.124223633E0,7.922275543E0
3.318782083E-1,2.259850616E0,3.547173615E0,7.417375488E0
3.419072083E-1,2.025288391E0,3.487148438E0,7.677684174E0
3.519372083E-1,1.977537689E0,3.559597778E0,8.222401428E0
3.619662083E-1,2.100132751E0,4.140839081E0,8.141868896E0
3.719962083E-1,3.200494537E0,3.730242920E0,7.512876892E0
3.820252083E-1,3.662134552E0,1.963766327E0,6.701863403E0
3.920542083E-1,4.004173279E0,1.731449432E0,6.831493835E0
4.020842083E-1,3.185525665E0,2.400108948E0,8.134534149E0
4.121132083E-1,2.416275330E0,2.580184479E0,8.863368530E0
4.221432083E-1,2.129022675E0,2.391127625E0,8.771010590E0
4.321722083E-1,2.000739441E0,2.411784668E0,8.515791321E0
4.422012083E-1,1.907633057E0,2.572700043E0,7.955656128E0
4.522312083E-1,6.930587769E-1,3.106490021E0,8.795559540E0
4.622602083E-1,1.058299255E-1,2.804268494E0,9.485325165E0
4.722902083E-1,1.779948578E0,2.420316925E0,8.006699982E0
4.823192083E-1,2.800376587E0,3.011138306E0,7.553442535E0
4.923482083E-1,3.109483795E0,3.092568970E0,7.822433167E0
5.023782083E-1,4.332889709E0,2.731519775E0,7.026089172E0
5.124072083E-1,4.071233826E0,2.324665833E0,6.527326355E0
5.224372083E-1,1.804647217E0,3.154839478E0,8.182584229E0
5.324662083E-1,1.521136780E0,4.093836823E0,9.824370117E0
5.424962083E-1,2.524051208E0,3.357218628E0,9.391021271E0
5.525252083E-1,2.722239075E0,2.993325348E0,9.150920563E0
5.625542083E-1,2.601889343E0,3.662134552E0,9.287885742E0
5.725842083E-1,2.617307281E0,4.161795502E0,9.325756989E0
5.826132083E-1,2.720442810E0,4.033661957E0,9.227561188E0
5.926432083E-1,3.048111420E0,3.075504456E0,8.978928223E0
6.026722083E-1,3.256927185E0,2.116149445E0,8.787027283E0
6.127012083E-1,3.010539551E0,2.188149719E0,8.731492767E0
6.227312083E-1,3.418890381E0,2.652933197E0,8.725654907E0
