"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.342793000E-3,-4.225766182E0,7.762300968E0,4.299986362E0
1.031979300E-2,-4.218583584E0,7.872434616E0,4.230554581E0
1.231979300E-2,-4.213795185E0,7.961019993E0,4.173093796E0
1.432012600E-2,-4.209006786E0,8.032846451E0,4.127603531E0
1.632037600E-2,-4.204218388E0,8.090307236E0,4.091690540E0
1.832057600E-2,-4.218583584E0,8.186075211E0,4.096478939E0
2.031874200E-2,-4.230554581E0,8.272266388E0,4.110844135E0
2.231888400E-2,-4.252102375E0,8.351274490E0,4.132391930E0
2.431900900E-2,-4.271255970E0,8.420706749E0,4.149151325E0
2.631912000E-2,-4.295197964E0,8.487744331E0,4.168305397E0
2.831922000E-2,-4.338293552E0,8.569147110E0,4.189853191E0
3.031685600E-2,-4.374206543E0,8.633790970E0,4.206612587E0
3.231460600E-2,-4.402936935E0,8.686463356E0,4.220977783E0
3.431460600E-2,-4.426878929E0,8.724770546E0,4.220977783E0
3.631460600E-2,-4.448426723E0,8.753500938E0,4.211400986E0
3.831460600E-2,-4.467580318E0,8.760683060E0,4.177882195E0
4.031460600E-2,-4.479551315E0,8.743924141E0,4.120420933E0
4.231460600E-2,-4.486733913E0,8.717587471E0,4.060565948E0
4.431460600E-2,-4.481945515E0,8.664915085E0,3.986345768E0
4.631460600E-2,-4.465186119E0,8.593089104E0,3.912125587E0
4.831460600E-2,-4.431667328E0,8.523657799E0,3.847482204E0
5.031460600E-2,-4.395754337E0,8.444648743E0,3.804386616E0
5.231460600E-2,-4.333505154E0,8.358457565E0,3.928884983E0
5.431460600E-2,-4.242525578E0,8.279448509E0,4.101267338E0
5.631460600E-2,-4.158728123E0,8.193257332E0,4.206612587E0
5.831460600E-2,-4.079719543E0,8.111854553E0,4.242525578E0
6.031464400E-2,-4.012681961E0,8.059182167E0,4.321534157E0
6.231468100E-2,-3.955221176E0,8.018480301E0,4.383783340E0
6.431471600E-2,-3.897760391E0,7.977779388E0,4.381389141E0
6.631475000E-2,-3.837905407E0,7.939472198E0,4.326322556E0
6.831478300E-2,-3.782838583E0,7.889194012E0,4.194641590E0
7.031471600E-2,-3.739742994E0,7.848492622E0,4.089296341E0
7.231384900E-2,-3.703830004E0,7.814973831E0,4.005499363E0
7.431384900E-2,-3.684676409E0,7.781454563E0,3.890577793E0
7.631381500E-2,-3.682282209E0,7.747935772E0,3.761290789E0
7.831378100E-2,-3.682282209E0,7.712022781E0,3.636792421E0
8.031414700E-2,-3.687070608E0,7.680898190E0,3.529053211E0
8.231411300E-2,-3.696647406E0,7.644985199E0,3.433285236E0
8.431407900E-2,-3.703830004E0,7.606678009E0,3.347094059E0
8.631404500E-2,-3.711012602E0,7.573159218E0,3.277662039E0
8.831401100E-2,-3.715801001E0,7.542034626E0,3.224989653E0
9.031487700E-2,-3.722983599E0,7.522881031E0,3.191470861E0
9.231577700E-2,-3.727771997E0,7.508515835E0,3.169923067E0
9.431577700E-2,-3.730166197E0,7.498939037E0,3.167528868E0
9.631577700E-2,-3.727771997E0,7.498939037E0,3.186682463E0
9.831577700E-2,-3.720589399E0,7.506121635E0,3.213018656E0
1.003157770E-1,-3.711012602E0,7.525275230E0,3.260902643E0
1.023157770E-1,-3.701435804E0,7.556399822E0,3.327940464E0
1.043157770E-1,-3.694253206E0,7.587524414E0,3.394978046E0
1.063157770E-1,-3.694253206E0,7.628225803E0,3.476380825E0
1.083158100E-1,-3.730166197E0,7.688080788E0,3.591302633E0
1.103149760E-1,-3.773261786E0,7.743147373E0,3.691859007E0
1.123141090E-1,-3.806780815E0,7.788637638E0,3.770867586E0
1.143141420E-1,-3.861847401E0,7.838915825E0,3.849876404E0
1.163141750E-1,-3.919308186E0,7.884405613E0,3.916913986E0
1.183142080E-1,-3.995922565E0,7.927501202E0,3.976768970E0
1.203142080E-1,-4.101267338E0,7.963414192E0,4.019864559E0
1.223141740E-1,-4.211400986E0,7.987356186E0,4.046200752E0
1.243141400E-1,-4.343081951E0,7.987356186E0,4.048594952E0
1.263141060E-1,-4.496310711E0,7.963414192E0,4.007893562E0
1.283140720E-1,-4.637568474E0,7.929895401E0,3.948038578E0
1.303149050E-1,-4.783615112E0,7.870040417E0,3.835511208E0
1.323157710E-1,-4.922778130E0,7.793426037E0,3.684676409E0
1.343157370E-1,-5.044882298E0,7.719205379E0,3.543418407E0
1.363157370E-1,-5.155015469E0,7.635408401E0,3.406949043E0
1.383157700E-1,-5.250783443E0,7.556399822E0,3.287238836E0
1.403158030E-1,-5.329792023E0,7.491756439E0,3.191470861E0
1.423158360E-1,-5.389647484E0,7.431901455E0,3.126827478E0
1.443158690E-1,-5.430348873E0,7.379229069E0,3.083731890E0
1.463159020E-1,-5.454290867E0,7.338527679E0,3.055001259E0
1.483159350E-1,-5.413589478E0,7.321768284E0,3.033453465E0
1.503151010E-1,-5.380070686E0,7.309797287E0,3.016694069E0
1.523142340E-1,-5.353734493E0,7.300220490E0,3.004723072E0
1.543142340E-1,-5.298667431E0,7.302614689E0,2.980781078E0
1.563142340E-1,-5.222053051E0,7.316979885E0,2.952050686E0
1.583142340E-1,-5.145438671E0,7.333739281E0,2.918531895E0
1.603142340E-1,-5.030517101E0,7.427113056E0,2.820369720E0
1.623142340E-1,-4.881777287E0,7.594707012E0,2.621650934E0
1.643142340E-1,-4.740519524E0,7.743147373E0,2.403778553E0
1.663142340E-1,-4.623203278E0,7.872434616E0,2.140416384E0
1.683142000E-1,-4.522646904E0,7.977779388E0,1.879448295E0
1.703150330E-1,-4.446032524E0,8.063970566E0,1.659181833E0
1.723158990E-1,-4.386177540E0,8.140584946E0,1.491587639E0
1.743158650E-1,-4.345476151E0,8.217199326E0,1.398213744E0
1.763158310E-1,-4.328716755E0,8.289025307E0,1.388636947E0
1.783157970E-1,-4.321534157E0,8.360851288E0,1.414973259E0
1.803157630E-1,-4.328716755E0,8.439860344E0,1.513135433E0
1.823157630E-1,-4.340687752E0,8.521263123E0,1.666364431E0
1.843157630E-1,-4.355052948E0,8.597877502E0,1.826775908E0
