"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.238193600E-2,-1.594538331E0,4.956296921E0,7.743147373E0
1.440893600E-2,-1.606509328E0,4.951508522E0,7.489362240E0
1.642243600E-2,-1.616086125E0,4.946720123E0,7.285854816E0
1.843143600E-2,-1.623268723E0,4.944325924E0,7.123049259E0
2.043818600E-2,-1.654393315E0,4.908412933E0,7.199663639E0
2.244358600E-2,-1.678335428E0,4.867412090E0,7.271489620E0
2.444808600E-2,-1.695094824E0,4.826710701E0,7.350498676E0
2.645194300E-2,-1.709460020E0,4.790797710E0,7.422324657E0
2.845531800E-2,-1.719036818E0,4.750096321E0,7.494150639E0
3.045831800E-2,-1.721431017E0,4.711789131E0,7.568370819E0
3.246101800E-2,-1.695094824E0,4.666299343E0,7.666532993E0
3.446110800E-2,-1.673547029E0,4.630385876E0,7.745541573E0
3.646119100E-2,-1.656787634E0,4.601655483E0,7.810185432E0
3.846372900E-2,-1.637633920E0,4.572925091E0,7.867646217E0
4.046565700E-2,-1.616086125E0,4.546588898E0,7.917924404E0
4.246752300E-2,-1.589749932E0,4.522646904E0,7.970596790E0
4.446927300E-2,-1.553836942E0,4.501099110E0,8.018480301E0
4.647092000E-2,-1.517923832E0,4.479551315E0,8.066365242E0
4.847247500E-2,-1.479616642E0,4.455609322E0,8.109460831E0
5.047394800E-2,-1.436521053E0,4.436455727E0,8.150161743E0
5.247534800E-2,-1.393425345E0,4.422090530E0,8.183680534E0
5.447668100E-2,-1.338358760E0,4.405331135E0,8.212410927E0
5.647795300E-2,-1.280897856E0,4.390965939E0,8.233959198E0
5.847912600E-2,-1.225831270E0,4.378994942E0,8.253112793E0
6.048025100E-2,-1.165976286E0,4.371812344E0,8.267477989E0
6.248133100E-2,-1.103726983E0,4.364629745E0,8.281843185E0
6.448236900E-2,-1.043871999E0,4.357447147E0,8.296208382E0
6.648336900E-2,-9.816226959E-1,4.347870350E0,8.303390503E0
6.848433300E-2,-9.193734527E-1,4.333505154E0,8.308178902E0
7.048526400E-2,-8.643068075E-1,4.321534157E0,8.312967300E0
7.248619700E-2,-7.829039693E-1,4.299986362E0,8.324938774E0
7.448536300E-2,-7.086837292E-1,4.278438568E0,8.334515572E0
7.648452900E-2,-6.512228847E-1,4.261679173E0,8.341697693E0
7.848452900E-2,-6.033388376E-1,4.247313976E0,8.346486092E0
8.048456200E-2,-5.458779931E-1,4.228160381E0,8.351274490E0
8.248459500E-2,-4.955997467E-1,4.209006786E0,8.356062889E0
8.448462800E-2,-4.429273009E-1,4.187458992E0,8.368034363E0
8.648466100E-2,-3.854664862E-1,4.163516521E0,8.384793282E0
8.848466100E-2,-3.327940404E-1,4.139574528E0,8.401553154E0
9.048466100E-2,-2.777273953E-1,4.113238335E0,8.420706749E0
9.248466100E-2,-2.202665508E-1,4.086902142E0,8.442254066E0
9.448552700E-2,-1.675941199E-1,4.067748547E0,8.461407661E0
9.648639300E-2,-1.173158810E-1,4.055777550E0,8.475772858E0
9.848619300E-2,-7.182604820E-2,4.046200752E0,8.490138054E0
1.004861930E-1,-3.112462163E-2,4.036623955E0,8.504503250E0
1.024861590E-1,2.394201700E-3,4.024652958E0,8.523657799E0
1.044861250E-1,3.351882473E-2,4.012681961E0,8.545205116E0
1.064860910E-1,6.224924326E-2,4.003105164E0,8.564358711E0
1.084860570E-1,9.576806426E-2,3.991134167E0,8.588300705E0
1.104860230E-1,1.316810995E-1,3.983951569E0,8.617031097E0
1.124859890E-1,1.771709323E-1,3.983951569E0,8.676886559E0
1.144850890E-1,2.130839527E-1,3.983951569E0,8.724770546E0
1.164841890E-1,2.418143749E-1,3.983951569E0,8.763077736E0
1.184843890E-1,2.657563984E-1,3.983951569E0,8.794201851E0
1.204844220E-1,2.873041928E-1,3.981557369E0,8.830115318E0
1.224844550E-1,3.016694188E-1,3.979163170E0,8.868422508E0
1.244844880E-1,3.160346150E-1,3.974374771E0,8.904335022E0
1.264845210E-1,3.280056417E-1,3.964797974E0,8.947430611E0
1.284845540E-1,3.303998411E-1,3.952826977E0,8.990526199E0
1.304845870E-1,3.256114423E-1,3.940855980E0,9.031228065E0
1.324845870E-1,3.088520169E-1,3.926490784E0,9.067141533E0
1.344854530E-1,2.777273953E-1,3.909731388E0,9.098265648E0
1.364860860E-1,2.418143749E-1,3.897760391E0,9.124602318E0
1.384860860E-1,1.891419291E-1,3.888183594E0,9.146149635E0
1.404860520E-1,1.173158810E-1,3.885789394E0,9.155726433E0
1.424860180E-1,4.548983276E-2,3.885789394E0,9.158121109E0
1.444859840E-1,-4.070143029E-2,3.888183594E0,9.150938034E0
1.464859500E-1,-1.412578970E-1,3.895366192E0,9.141361237E0
1.484859500E-1,-2.370259613E-1,3.902548790E0,9.131784439E0
1.504859500E-1,-3.399766386E-1,3.909731388E0,9.117419243E0
1.524859830E-1,-4.812345505E-1,3.921702385E0,9.098265648E0
1.544851490E-1,-5.961562395E-1,3.931279182E0,9.083900452E0
1.564843150E-1,-6.967126727E-1,3.938461781E0,9.069535255E0
1.584844480E-1,-7.781155705E-1,3.943250179E0,9.059958458E0
1.604839810E-1,-8.499416113E-1,3.948038578E0,9.050381660E0
1.624840140E-1,-9.121908545E-1,3.957615376E0,9.040804863E0
1.644840470E-1,-9.720458984E-1,3.967192173E0,9.031228065E0
1.664840800E-1,-1.022324085E0,3.974374771E0,9.021651268E0
1.684840800E-1,-1.070208192E0,3.986345768E0,9.014469147E0
1.704840800E-1,-1.110909581E0,4.003105164E0,9.007286072E0
1.724840800E-1,-1.142034173E0,4.022258759E0,9.004891396E0
1.744849460E-1,-1.168370485E0,4.043806553E0,9.007286072E0
1.764858120E-1,-1.194706678E0,4.070142746E0,9.007286072E0
1.784856120E-1,-1.211466074E0,4.094084740E0,9.009679794E0
1.804855780E-1,-1.223437071E0,4.120420933E0,9.016862869E0
1.824860110E-1,-1.228225470E0,4.146757126E0,9.033622742E0
1.844859770E-1,-1.223437071E0,4.168305397E0,9.055170059E0
1.864859430E-1,-1.211466074E0,4.185064793E0,9.079112053E0
1.884859090E-1,-1.192312479E0,4.197035789E0,9.110237122E0
1.904858750E-1,-1.161187768E0,4.199429989E0,9.150938034E0
1.924858410E-1,-1.079784989E0,4.165910721E0,9.225158691E0
1.944849410E-1,-1.015141487E0,4.139574528E0,9.285013199E0
1.964842740E-1,-9.624691010E-1,4.118026733E0,9.332897186E0
1.984842400E-1,-9.074024558E-1,4.094084740E0,9.378387451E0
2.004842730E-1,-8.475474119E-1,4.070142746E0,9.423876762E0
2.024843060E-1,-7.709329724E-1,4.041412354E0,9.471760750E0
2.044843390E-1,-6.895300746E-1,4.017470360E0,9.517251015E0
