"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.712568700E-2,6.657706574E-3,-1.765623689E-1,-1.440727711E-1
5.959115500E-2,-4.428706169E-1,-6.003919840E-1,-3.539236784E-1
6.205662400E-2,-3.810871243E-1,-6.685668826E-1,-5.403394699E-1
6.452209300E-2,-3.342168629E-1,-6.419360638E-1,-5.722964406E-1
6.698756200E-2,-3.278254569E-1,-6.632407308E-1,-6.330147386E-1
6.945303000E-2,-3.097164929E-1,-6.909367442E-1,-7.063826323E-1
7.191849900E-2,-2.894770801E-1,-7.207632661E-1,-7.734923363E-1
7.430678000E-2,-2.681724131E-1,-7.612421513E-1,-8.448629379E-1
7.677224900E-2,-2.479329854E-1,-8.123733401E-1,-9.151683450E-1
7.923771800E-2,-2.330197245E-1,-8.667002320E-1,-9.822779894E-1
8.170318700E-2,-2.181064636E-1,-9.178314209E-1,-1.040865779E0
8.416865500E-2,-2.170412242E-1,-9.242228270E-1,-1.086670876E0
8.663417600E-2,-2.308892608E-1,-8.688306808E-1,-1.123953938E0
8.909964500E-2,-2.585853040E-1,-7.942643762E-1,-1.154845715E0
9.156511400E-2,-3.033251166E-1,-7.282199264E-1,-1.181476593E0
9.403058200E-2,-3.587172329E-1,-6.941324472E-1,-1.199585557E0
9.649605100E-2,-4.258269072E-1,-7.047848105E-1,-1.213433623E0
9.896152000E-2,-4.981296062E-1,-7.665683031E-1,-1.219824910E0
1.014269890E-1,-5.705654621E-1,-8.730916381E-1,-1.210237861E0
1.038924570E-1,-6.451317668E-1,-1.015699744E0,-1.196389794E0
1.063579260E-1,-7.154371142E-1,-1.176549911E0,-1.174019933E0
1.088233950E-1,-7.804163694E-1,-1.336334825E0,-1.143128157E0
1.112888640E-1,-8.358084559E-1,-1.485467434E0,-1.105844975E0
1.137543320E-1,-8.901353478E-1,-1.645119309E0,-1.061105251E0
1.162198530E-1,-9.465926886E-1,-1.802773714E0,-1.014235020E0
1.186853220E-1,-1.000919580E0,-1.957232475E0,-9.684299827E-1
1.211507910E-1,-1.041398406E0,-2.119148016E0,-9.247553945E-1
1.236162590E-1,-1.071224928E0,-2.295843363E0,-8.768199086E-1
1.260817280E-1,-1.089333892E0,-2.482259274E0,-8.267539740E-1
1.285471970E-1,-1.098787904E0,-2.675066471E0,-7.798837423E-1
1.310126660E-1,-1.082942486E0,-2.842174768E0,-7.351439595E-1
1.334781870E-1,-1.055246472E0,-2.974263668E0,-6.989260316E-1
1.359436550E-1,-1.020093799E0,-3.047764778E0,-6.712299585E-1
1.384091240E-1,-9.764192104E-1,-3.056286812E0,-6.445991397E-1
1.408745930E-1,-9.327446818E-1,-3.007286072E0,-6.298190355E-1
1.433400620E-1,-9.007876515E-1,-2.914610624E0,-6.191666722E-1
1.458055820E-1,-8.698959351E-1,-2.792109013E0,-6.170362234E-1
1.482710510E-1,-8.358084559E-1,-2.655892134E0,-6.159709692E-1
1.507365200E-1,-8.123733401E-1,-2.514216185E0,-6.149057746E-1
1.532019890E-1,-7.953296304E-1,-2.387453556E0,-6.106448174E-1
1.556674570E-1,-7.836120725E-1,-2.281995535E0,-6.053186655E-1
1.581329260E-1,-7.761554122E-1,-2.210624933E0,-5.957315564E-1
1.605983950E-1,-7.708292603E-1,-2.170145988E0,-5.850792527E-1
1.630638640E-1,-7.655031085E-1,-2.157496452E0,-5.701659918E-1
1.655293840E-1,-7.601768970E-1,-2.164819717E0,-5.563179255E-1
1.679948530E-1,-7.601768970E-1,-2.178667784E0,-5.403394699E-1
1.704603220E-1,-7.623074055E-1,-2.182928801E0,-5.158390999E-1
1.729257910E-1,-7.697640061E-1,-2.175472260E0,-4.945344329E-1
1.753912590E-1,-7.804163694E-1,-2.146843910E0,-4.668383598E-1
1.778567280E-1,-7.953296304E-1,-2.092517138E0,-4.306204617E-1
1.803221970E-1,-8.123733401E-1,-2.005167961E0,-3.954677582E-1
1.827877180E-1,-8.400694132E-1,-1.907166600E0,-3.581846058E-1
1.852531870E-1,-8.741568327E-1,-1.805969477E0,-3.177057505E-1
1.877186550E-1,-9.210271239E-1,-1.663228154E0,-2.814878225E-1
1.901841240E-1,-9.689626098E-1,-1.489728332E0,-2.484655976E-1
1.926495930E-1,-1.020093799E0,-1.305443048E0,-2.207695395E-1
1.951151140E-1,-1.064833522E0,-1.131810069E0,-1.994648874E-1
1.975805820E-1,-1.108374953E0,-9.922645688E-1,-1.781602204E-1
2.000460510E-1,-1.141397238E0,-8.762873411E-1,-1.589860320E-1
2.025115200E-1,-1.164832354E0,-7.900034189E-1,-1.419423074E-1
2.049769890E-1,-1.188267469E0,-7.207632661E-1,-1.291595101E-1
2.074424570E-1,-1.207441688E0,-6.579145193E-1,-1.163767055E-1
2.099079260E-1,-1.221289635E0,-6.003919840E-1,-1.025286764E-1
2.123733950E-1,-1.228746295E0,-5.492607951E-1,-8.761541545E-2
2.148388640E-1,-1.227681041E0,-4.959991276E-1,-7.270215452E-2
2.173043320E-1,-1.218093991E0,-4.395417869E-1,-5.459319428E-2
2.197698010E-1,-1.193593621E0,-3.724320829E-1,-3.435376659E-2
2.222352700E-1,-1.162701845E0,-2.990641594E-1,-1.531272475E-2
2.247007910E-1,-1.122223020E0,-2.234326303E-1,1.025286783E-2
2.271662590E-1,-1.073355436E0,-1.446053833E-1,3.688369319E-2
2.296317280E-1,-1.015832901E0,-7.003907114E-2,6.457975507E-2
2.320971970E-1,-9.508536458E-1,-1.864157850E-3,9.334104508E-2
2.345626660E-1,-8.826786876E-1,4.820179567E-2,1.338198930E-1
2.370281340E-1,-8.145037889E-1,7.696308941E-2,1.817553788E-1
2.394936030E-1,-7.420679331E-1,1.067896113E-1,2.296908647E-1
2.419591240E-1,-6.706973314E-1,1.355509013E-1,2.754958868E-1
2.444245930E-1,-6.035876870E-1,1.632469594E-1,3.213009238E-1
2.468900620E-1,-5.386084318E-1,1.973344237E-1,3.607145250E-1
2.493555300E-1,-4.769580960E-1,2.356828004E-1,3.905410469E-1
2.518209990E-1,-4.215659797E-1,2.770937383E-1,4.203675687E-1
2.542865200E-1,-3.704347908E-1,3.324858546E-1,4.459331632E-1
2.567519890E-1,-3.299559355E-1,3.985303044E-1,4.629769027E-1
2.592174570E-1,-2.948032320E-1,4.688356817E-1,4.746944606E-1
2.616829260E-1,-2.703028917E-1,5.519238710E-1,4.832163453E-1
2.641483950E-1,-2.543243766E-1,6.467295885E-1,4.864120185E-1
2.666138640E-1,-2.426068187E-1,7.426005602E-1,4.864120185E-1
2.690793320E-1,-2.394111156E-1,8.384715319E-1,4.810858667E-1
2.715448010E-1,-2.479329854E-1,9.320788980E-1,4.768249393E-1
2.740102700E-1,-2.607157826E-1,1.013036609E0,4.661726058E-1
2.764757910E-1,-2.820204496E-1,1.084407210E0,4.565854967E-1
2.789412590E-1,-3.097164929E-1,1.135538459E0,4.416722357E-1
2.814067280E-1,-3.384777904E-1,1.154712558E0,4.235632718E-1
2.838721970E-1,-3.715000153E-1,1.147256017E0,4.022586346E-1
2.863376660E-1,-4.109136462E-1,1.118494630E0,3.713668585E-1
2.888031340E-1,-4.567186534E-1,1.091863871E0,3.276923001E-1
2.912686030E-1,-5.034557581E-1,1.069494009E0,2.744306624E-1
2.937341240E-1,-5.556522012E-1,1.031145573E0,2.179733068E-1
2.961995930E-1,-6.078485847E-1,9.832100868E-1,1.615159512E-1
2.986650620E-1,-6.568493247E-1,9.288831949E-1,1.093195379E-1
3.011305300E-1,-7.133066654E-1,8.757547140E-1,6.457975507E-2
3.035959990E-1,-7.644378543E-1,8.320801258E-1,2.942706272E-2
3.060615200E-1,-8.145037889E-1,7.990579009E-1,-3.994623839E-4
3.085269890E-1,-8.709611297E-1,7.734923363E-1,-1.744319126E-2
3.109924570E-1,-9.220923185E-1,7.564486265E-1,-1.531272475E-2
3.134579260E-1,-9.678973556E-1,7.500572205E-1,-7.856093347E-3
3.159233950E-1,-1.010506630E0,7.468615174E-1,1.557903271E-2
3.183888640E-1,-1.052050710E0,7.500572205E-1,4.753602296E-2
3.208543320E-1,-1.089333892E0,7.585790753E-1,8.268871158E-2
3.233198530E-1,-1.126483917E0,7.734923363E-1,1.263632625E-1
3.257853220E-1,-1.163767099E0,7.873403430E-1,1.721682847E-1
3.282507910E-1,-1.203180671E0,8.054493070E-1,2.158428431E-1
3.307162590E-1,-1.237268209E0,8.256887197E-1,2.573869228E-1
3.331817280E-1,-1.272420883E0,8.395367861E-1,2.978657782E-1
3.356472490E-1,-1.309703946E0,8.512543440E-1,3.362141848E-1
3.381127180E-1,-1.345921874E0,8.619066477E-1,3.734973371E-1
3.405781870E-1,-1.375748396E0,8.672328591E-1,4.043890834E-1
3.430436550E-1,-1.403444529E0,8.661676049E-1,4.363460839E-1
3.455091240E-1,-1.426879644E0,8.565804958E-1,4.640421271E-1
3.479745930E-1,-1.448184252E0,8.427324891E-1,4.938686490E-1
3.504400620E-1,-1.463097572E0,8.246235251E-1,5.247604251E-1
3.529055300E-1,-1.473749876E0,7.969274521E-1,5.599130988E-1
3.553709990E-1,-1.479076028E0,7.649704814E-1,5.906717181E-1
3.578364680E-1,-1.474815130E0,7.330134511E-1,6.279548407E-1
3.603019370E-1,-1.469488978E0,7.021217346E-1,6.652380228E-1
3.627674050E-1,-1.457771420E0,6.680342555E-1,7.057169080E-1
3.652329260E-1,-1.439662457E0,6.318163276E-1,7.440652847E-1
3.676983950E-1,-1.419422984E0,5.955983996E-1,7.824136615E-1
3.701638640E-1,-1.399183631E0,5.540543199E-1,8.207620382E-1
3.726293320E-1,-1.380009413E0,5.103797913E-1,8.516538143E-1
3.750948010E-1,-1.360835195E0,4.699009061E-1,8.782846332E-1
3.775602700E-1,-1.343791485E0,4.283568263E-1,9.049154520E-1
3.800257390E-1,-1.331008673E0,4.411396384E-1,9.283505678E-1
3.824912590E-1,-1.308638811E0,5.412715077E-1,9.549813867E-1
3.849567280E-1,-1.284138441E0,7.287525535E-1,9.794817567E-1
3.874221970E-1,-1.257507563E0,9.310136437E-1,9.965254664E-1
3.898876660E-1,-1.223420143E0,1.074820161E0,1.009308338E0
3.923531340E-1,-1.184006453E0,1.131277442E0,1.021025896E0
3.948186550E-1,-1.153114796E0,1.119559884E0,1.033808708E0
