"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","SM-A520F"
"deviceBrand","samsung"
"deviceBoard","universal7880"
"deviceManufacturer","samsung"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","8.0.0"
"accelerometer Name","K6DS3TR Accelerometer"
"accelerometer Vendor","STM"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023942017"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.25"
"accelerometer Version","1"
"linear_acceleration Name","Samsung Linear Acceleration Sensor"
"linear_acceleration Vendor","Samsung Electronics"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023942017"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","12.35"
"linear_acceleration Version","1"
"gyroscope Name","K6DS3TR Gyroscope"
"gyroscope Vendor","STM"
"gyroscope Range","17.453293"
"gyroscope Resolution","6.1086525E-4"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","200000"
"gyroscope Power","6.1"
"gyroscope Version","1"
"magnetic_field Name","AK09916 Magnetometer"
"magnetic_field Vendor","Asahi Kasei Microdevices"
"magnetic_field Range","2000.0"
"magnetic_field Resolution","0.06"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","6.0"
"magnetic_field Version","1"
"pressure Name","LPS25H Barometer"
"pressure Vendor","STM"
"pressure Range","1013.25"
"pressure Resolution","1.0"
"pressure MinDelay","180000"
"pressure MaxDelay","180000"
"pressure Power","1.0"
"pressure Version","1"
"light Name","TMD3725 Light"
"light Vendor","AMS, Inc."
"light Range","60000.0"
"light Resolution","1.0"
"light MinDelay","200000"
"light MaxDelay","200000"
"light Power","0.75"
"light Version","1"
"proximity Name","TMD3725 Proximity"
"proximity Vendor","AMS, Inc."
"proximity Range","8.0"
"proximity Resolution","8.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Samsung Rotation Vector Sensor"
"attitude Vendor","Samsung Electronics"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","0"
"attitude Power","12.35"
"attitude Version","3"
