"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.733522800E-2,-3.220000982E0,4.007521629E0,6.963444233E0
1.985085300E-2,-3.066689014E0,4.002730370E0,7.080823421E0
2.236647800E-2,-2.865467072E0,3.911701441E0,7.123942375E0
2.488210300E-2,-2.685804605E0,3.911701441E0,7.143106461E0
2.739772800E-2,-2.508537531E0,3.873373508E0,7.207785130E0
2.991335300E-2,-2.357620955E0,3.760785103E0,7.234135628E0
3.242897800E-2,-2.216286421E0,3.710479498E0,7.303605080E0
3.494460300E-2,-2.072556496E0,3.693711042E0,7.375470161E0
3.746028000E-2,-1.995900512E0,3.657778502E0,7.492849350E0
3.997590500E-2,-1.921640038E0,3.641010046E0,7.660534382E0
4.249153000E-2,-1.833006501E0,3.626636982E0,7.789891720E0
4.500715500E-2,-1.722813487E0,3.655383110E0,7.959971905E0
4.771387400E-2,-1.629389048E0,3.676942587E0,8.151612282E0
5.022949900E-2,-1.538360000E0,3.739225388E0,8.285759926E0
5.274512400E-2,-1.394629955E0,3.799113035E0,8.484586716E0
5.526074900E-2,-1.255691051E0,3.897328615E0,8.683412552E0
5.777637400E-2,-1.114356518E0,4.021894455E0,8.910985947E0
6.029205100E-2,-9.251120090E-1,4.158438206E0,9.157722473E0
6.280767600E-2,-7.598224878E-1,4.278213024E0,9.313429832E0
6.532330100E-2,-6.208835244E-1,4.383615017E0,9.512255669E0
6.783892600E-2,-5.418319702E-1,4.436316013E0,9.675149918E0
7.035455100E-2,-4.148705006E-1,4.484226227E0,9.773365974E0
7.287022800E-2,-3.094685078E-1,4.469852924E0,9.830857277E0
7.538585300E-2,-2.974910140E-1,4.316541195E0,9.794924736E0
7.812788400E-2,-2.591629922E-1,4.014708042E0,9.679941177E0
8.064350900E-2,-1.657384932E-1,3.533212423E0,9.581725121E0
8.315913400E-2,-9.387350082E-2,3.037343979E0,9.497882843E0
8.567475900E-2,-8.668699861E-2,2.577408075E0,9.387689590E0
8.819038400E-2,-1.681340039E-1,2.194128036E0,9.418831825E0
9.070606200E-2,-2.735359967E-1,1.911458969E0,9.416436195E0
9.322168700E-2,-4.004974961E-1,1.755751491E0,9.483510017E0
9.573731200E-2,-5.106905103E-1,1.695863962E0,9.533815384E0
9.825293700E-2,-6.376519799E-1,1.717423558E0,9.598493576E0
1.007685620E-1,-8.197100163E-1,1.897086024E0,9.715873718E0
1.032842390E-1,-9.442759752E-1,2.098308086E0,9.871581078E0
1.057998640E-1,-9.658355117E-1,2.364208460E0,1.002728844E1
1.085449680E-1,-9.754174948E-1,2.563035011E0,1.016383171E1
1.110605930E-1,-8.915749788E-1,2.781025410E0,1.029558468E1
1.135762180E-1,-7.454494834E-1,2.924755573E0,1.043691921E1
1.160918430E-1,-6.352565289E-1,3.015784502E0,1.055669403E1
1.186074680E-1,-4.148705006E-1,3.025366545E0,1.066449165E1
1.211231450E-1,-1.058510020E-1,2.869658947E0,1.073875237E1
1.236387700E-1,1.528629959E-1,2.658854961E0,1.077468491E1
1.261543950E-1,4.235545099E-1,2.440864563E0,1.082978058E1
1.286700200E-1,6.918504834E-1,2.242038012E0,1.086331844E1
1.311856450E-1,9.385870099E-1,2.045607090E0,1.083696747E1
1.337013220E-1,1.170950532E0,1.930623055E0,1.084415436E1
1.362169470E-1,1.266770482E0,1.885108471E0,1.082019901E1
1.389524680E-1,1.271561503E0,1.935413957E0,1.086092281E1
1.414680930E-1,1.240419984E0,2.014465570E0,1.083696747E1
1.439837180E-1,1.240419984E0,2.124658585E0,1.080582619E1
1.464993430E-1,1.233233452E0,2.277970552E0,1.079863930E1
1.490149680E-1,1.130226970E0,2.476797104E0,1.080343056E1
1.515306450E-1,1.065548539E0,2.598967552E0,1.077468491E1
1.540462700E-1,9.577509761E-1,2.713951588E0,1.074114704E1
1.565618950E-1,8.571400046E-1,2.891218424E0,1.072198391E1
