"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.671842800E-2,-3.204269409E0,2.343719482E0,8.481689453E0
3.169279300E-2,-3.204269409E0,2.343719482E0,8.481689453E0
3.666715900E-2,-3.204269409E0,2.343719482E0,8.481689453E0
4.164152400E-2,-3.204269409E0,2.343719482E0,8.481689453E0
4.661588900E-2,-3.204269409E0,2.343719482E0,8.481689453E0
5.159025400E-2,-2.819763184E0,2.349853516E0,8.185440063E0
5.656462000E-2,-1.943405151E0,2.318984985E0,7.514205933E0
6.153898500E-2,-1.827789307E0,2.197845459E0,7.417938232E0
6.651335000E-2,-1.856399536E0,2.024108887E0,7.328048706E0
7.148771500E-2,-1.890365601E0,1.833770752E0,7.127670288E0
7.646208000E-2,-1.912475586E0,1.804840088E0,7.091217041E0
8.143644600E-2,-2.006378174E0,1.717468262E0,7.335784912E0
8.641081100E-2,-2.077316284E0,1.507949829E0,7.557403564E0
9.138517600E-2,-2.083190918E0,1.270736694E0,7.801101685E0
9.635954100E-2,-2.066162109E0,1.047225952E0,8.104888916E0
1.013339070E-1,-2.049194336E0,8.554534912E-1,8.394454956E0
1.063082720E-1,-2.044708252E0,7.221069336E-1,8.713958740E0
1.112826370E-1,-2.068084717E0,5.182952881E-1,8.988281250E0
1.162570020E-1,-2.112075806E0,3.037719727E-1,9.209396362E0
1.212313680E-1,-2.148712158E0,1.564178467E-1,9.492813110E0
1.262057330E-1,-2.158615112E0,6.880187988E-2,9.731872559E0
1.311800980E-1,-2.114974976E0,3.327941895E-2,1.001577759E1
1.361544630E-1,-1.982482910E0,5.661010742E-3,1.034094238E1
1.411288290E-1,-1.945648193E0,-1.235961914E-3,1.041748047E1
1.461031940E-1,-1.945648193E0,-1.235961914E-3,1.041748047E1
1.510775590E-1,-1.945648193E0,-1.235961914E-3,1.041748047E1
1.560519240E-1,-1.945648193E0,-1.235961914E-3,1.041748047E1
1.610262890E-1,-3.901672363E-1,-1.752166748E-1,1.162094116E1
1.660006550E-1,7.855224609E-2,-2.491607666E-1,1.191140747E1
1.709750200E-1,4.235839844E-1,-2.396087646E-1,1.196185303E1
1.759493850E-1,-1.204986572E0,5.421905518E-1,1.209796143E1
1.809237500E-1,-1.988693237E0,4.034576416E-1,1.215287781E1
1.858981160E-1,-1.755142212E0,2.264404297E-2,1.208616638E1
1.908724810E-1,-1.370498657E0,-3.999786377E-1,1.176719666E1
1.958468460E-1,-1.111557007E0,-7.152709961E-1,1.139550781E1
2.008212110E-1,-1.019775391E0,-9.569396973E-1,1.116120911E1
2.057955770E-1,-8.928070068E-1,-1.141281128E0,1.098085022E1
2.107699420E-1,-8.879547119E-1,-1.256851196E0,1.084384155E1
2.157443070E-1,-8.507537842E-1,-1.361785889E0,1.077157593E1
2.207186720E-1,-8.278503418E-1,-1.387573242E0,1.075599670E1
2.256930380E-1,-7.183837891E-1,-1.389480591E0,1.083392334E1
2.306674030E-1,-5.446319580E-1,-1.324295044E0,1.093894958E1
2.356417680E-1,-4.259643555E-1,-1.263885498E0,1.114819336E1
2.406161330E-1,-2.651062012E-1,-1.148880005E0,1.134767151E1
2.455904980E-1,-1.182250977E-1,-1.024932861E0,1.156497192E1
2.505648640E-1,4.325866699E-2,-9.158935547E-1,1.174377441E1
2.555392290E-1,2.302703857E-1,-7.911834717E-1,1.188687134E1
2.605135940E-1,3.914794922E-1,-6.389465332E-1,1.196473694E1
2.654879590E-1,4.940032959E-1,-5.344390869E-1,1.193978882E1
2.704623250E-1,6.431121826E-1,-4.231109619E-1,1.189855957E1
2.754366900E-1,8.197631836E-1,-3.323211670E-1,1.186711121E1
2.804110550E-1,9.548034668E-1,-2.877502441E-1,1.177749634E1
2.853854200E-1,1.014083862E0,-2.950134277E-1,1.161148071E1
2.903597860E-1,9.630889893E-1,-3.725585938E-1,1.135124207E1
2.953341510E-1,8.688507080E-1,-4.771881104E-1,1.099145508E1
3.003085160E-1,7.785491943E-1,-5.780487061E-1,1.060217285E1
3.052828810E-1,7.197265625E-1,-6.398010254E-1,1.025392151E1
3.102572460E-1,7.062683105E-1,-6.729125977E-1,9.983840942E0
3.152316120E-1,8.187408447E-1,-6.623382568E-1,9.716033936E0
3.202059770E-1,9.632873535E-1,-6.203613281E-1,9.376571655E0
3.251803420E-1,1.071533203E0,-5.962524414E-1,9.004150391E0
3.301547070E-1,1.081893921E0,-5.367584229E-1,8.675399780E0
3.351290730E-1,1.013534546E0,-4.884948730E-1,8.336090088E0
3.401034380E-1,8.785400391E-1,-3.766174316E-1,8.026000977E0
3.450778030E-1,6.815948486E-1,-2.303466797E-1,7.783905029E0
3.500521680E-1,4.249572754E-1,-1.126403809E-1,7.587280273E0
3.550265340E-1,1.050109863E-1,-6.324768066E-2,7.480407715E0
3.600008990E-1,-1.695098877E-1,-1.966857910E-2,7.333023071E0
3.649752640E-1,-4.302062988E-1,3.340148926E-2,7.160659790E0
3.699496290E-1,-7.222442627E-1,5.761718750E-2,7.071121216E0
3.749239950E-1,-9.180145264E-1,1.336975098E-1,7.011199951E0
3.798983600E-1,-1.015151978E0,1.556701660E-1,6.986175537E0
3.848727250E-1,-1.029205322E0,6.895446777E-2,6.983108521E0
3.898470900E-1,-7.669219971E-1,-1.437072754E-1,6.913696289E0
3.948214550E-1,-4.684295654E-1,2.897644043E-2,7.073822021E0
3.997958210E-1,-1.652526855E-1,1.762237549E-1,7.393280029E0
4.047701860E-1,3.829956055E-3,2.359619141E-1,7.681808472E0
4.097445510E-1,-2.024841309E-2,2.313842773E-1,7.983657837E0
4.147189160E-1,-1.507720947E-1,1.819915771E-1,8.226577759E0
4.196932820E-1,-2.648925781E-1,9.449768066E-2,8.495086670E0
4.246676470E-1,-2.176361084E-1,-2.281188965E-2,8.773757935E0
4.296420120E-1,-1.402435303E-1,-2.061309814E-1,9.012054443E0
4.346163770E-1,-1.277160645E-2,-4.006195068E-1,9.084655762E0
4.395907430E-1,2.491912842E-1,-4.943542480E-1,8.910018921E0
4.445651080E-1,5.570831299E-1,-6.121368408E-1,8.644210815E0
4.495394730E-1,8.288116455E-1,-7.507629395E-1,8.366119385E0
4.545138380E-1,1.060317993E0,-9.004974365E-1,8.098800659E0
4.594882040E-1,1.045944214E0,-9.898834229E-1,7.896423340E0
4.644625690E-1,7.739105225E-1,-1.015548706E0,7.816757202E0
4.694369340E-1,2.996368408E-1,-1.005706787E0,7.864074707E0
4.744112990E-1,-2.543792725E-1,-1.007522583E0,7.983200073E0
4.793856640E-1,-7.435607910E-1,-1.163314819E0,8.061386108E0
4.843600300E-1,-1.086914062E0,-1.500488281E0,8.127899170E0
