Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.016520211,0.193180442,0.467909008,-0.295191944
0.03338068,0.147977755,0.608403862,-0.218225181
0.050240315,0.1797418,0.809983492,-0.218225181
0.067100732,0.326345146,0.80020988,-0.334286153
0.083962034,0.406976998,0.625507593,-0.559077978
0.100822451,0.292137712,0.502116442,-0.656813502
0.117682138,0.085518613,0.504559815,-0.617719293
0.134542503,0.054976255,0.52410692,-0.511431873
0.151403805,0.154086217,0.629172683,-0.375823766
0.168264274,0.218836024,0.773332655,-0.298857033
0.185123909,0.202954009,0.990794241,-0.323290914
0.201984326,0.167524859,1.248571754,-0.40270105
0.218845628,0.003665084,1.473363638,-0.526092231
0.235706045,-0.35062632,1.459924936,-0.57251662
0.252565732,-0.825865507,0.941926479,-0.026419144
0.269426097,-0.967582047,1.373184681,0.902221382
0.286287399,-0.643832982,0.97369051,1.528950691
0.303147868,-1.408613801,-0.189515367,1.397007704
0.320007503,-2.062220335,0.389720559,0.909551561
0.33686792,-1.241241574,0.784327865,1.627907991
0.353729222,-0.179589093,0.863738,1.719534993
0.370589638,-0.034207448,0.201426879,0.975523055
0.387449326,-0.241895512,0.59496522,0.246018738
0.404309743,-0.405602574,0.889393628,-1.063637733
0.421170993,-0.703696013,0.640167952,-1.576749444
0.438031461,0.043981001,-0.107661828,-1.118614078
0.454891149,0.968956471,-0.332453609,-0.389262408
0.471751513,1.829029441,-0.156529605,0.283891261
0.488612815,2.166217089,-0.050242186,0.590536594
0.505473284,1.899887681,-0.078341164,0.380405128
0.52233292,1.380667567,-0.136982501,-0.048409645
0.539193336,0.851673782,-0.293359399,-0.312295675
0.556054586,0.486387134,-0.372769535,-0.361163437
0.572915055,0.213949248,-0.283585846,-0.276866525
0.589774743,0.090405397,-0.096666582,-0.066735066
0.606635107,0.140647575,0.102469631,0.226471618
0.623496409,0.21517095,0.238077715,0.401173949
0.640356878,0.265260428,0.087809294,0.53189528
0.657216513,0.373991221,-0.189515367,0.630852521
0.67407693,0.461953253,-0.4240807,0.678498566
0.690938232,0.370326161,-0.470505089,0.589314878
0.707798649,0.157751307,-0.367882758,0.452485114
0.724658336,0.004886778,-0.202954009,0.478140682
0.741518753,-0.039094225,-0.189515367,0.572211146
0.758380003,-0.367730051,0.057266932,0.819146156
0.775240472,-1.226581335,0.327414125,1.353026628
0.792100159,-1.896069884,0.289541602,1.933331609
0.808960524,-2.124526739,-0.254265159,2.296174765
0.825821826,-2.203936815,-0.448514611,2.604041815
0.842682295,-1.52223134,1.853310585,1.764737725
0.85954193,-1.327981949,0.952921748,0.384070218
0.876402347,-1.396396875,-1.352568507,0.204481125
0.893263649,-0.905275643,-0.922532082,-0.034971006
0.910124065,-0.12216945,-0.383764803,-0.133928254
0.926983753,0.496160686,-0.356887519,-0.190126211
0.94384417,1.036149621,-0.414307147,-0.280531615
0.960705472,1.265828252,-0.304354638,-0.484554589
0.977565888,1.202300072,-0.361774296,-0.813190401
0.994425576,1.021489382,-0.565797269,-1.123500824
1.011285993,0.832126677,-0.530368149,-1.30919838
1.028147243,0.786924005,-0.260373652,-1.411820769
1.045007711,0.887102962,0.074370652,-1.472905397
1.061867399,1.236507535,0.109799795,-1.503447771
1.078727763,1.534600973,0.217308909,-1.409377337
1.095589065,1.526049137,0.497229666,-1.295759797
1.112449534,1.309809208,0.739125192,-1.058750987
1.12930917,0.876107693,0.706139445,-0.92314291
1.146169586,0.332453609,0.65482825,-0.939024925
1.163030888,0.094070479,0.722021461,-0.945133448
1.179891357,0.070858285,0.785549581,-0.826629043
1.196750993,0.10017895,0.944369853,-0.649483323
1.213611409,0.114839286,1.105633497,-0.530978978
1.230472711,0.12216945,0.955365121,-0.506545067
1.247333128,0,0.954143405,-0.408809543
1.264192815,0.01099525,0.921157658,-0.231663823
1.281053232,-0.107509121,0.58763504,0.049325917
1.297914482,-0.390942246,1.125180602,0.651621342
1.314774951,-0.136829794,1.712815762,1.002400398
1.331634638,-0.532658815,0.071927264,1.384790778
1.348495003,-1.674943209,0.768445849,1.168550849
1.365356305,-1.674943209,-0.096666582,0.980409861
1.382216774,-1.374406338,0.696365893,1.884463787
1.399076461,0.1797418,1.044548869,2.022515297
1.415936826,0.188293666,0.669488609,1.410446286
1.432798128,-0.064749807,0.97369051,0.33031565
1.449658597,-0.194249421,0.675597072,-1.292094707
1.466518284,-0.376281917,0.239299417,-1.901720285
1.483378649,0.015882028,0.421484619,-1.476570487
1.500239951,0.45950985,0.498451352,-0.47355935
1.51710042,1.350125194,0.612068951,0.198372647
1.533960055,2.141783237,0.544875741,0.74080503
1.550820472,2.36046648,0.474017471,0.898556292
1.567681774,1.963415861,0.564422846,0.555107474
1.584542243,1.38677597,0.566866279,0.040774055
1.601401878,0.986060202,0.482569337,-0.254876018
1.618262295,0.716065705,0.571753025,-0.33917293
1.635123597,0.585344374,0.840525806,-0.187682822
1.651984065,0.563353896,1.0335536,0.11163234
1.668843701,0.574349165,1.174048424,0.459815264
1.685704118,0.564575553,1.262010455,0.760352135
1.70256542,0.509599328,1.327981949,0.970636308
1.719425888,0.513264418,1.132510781,1.169772506
1.736285524,0.405755281,0.993237615,1.240630746
1.75314594,0.226166204,1.078756213,1.279724956
1.770007243,-0.174702317,1.309656501,1.43732357
1.786867711,-0.798988223,1.303548098,1.368908763
1.803727347,-1.45503819,0.746455371,1.602252364
1.820587763,-2.449497461,0.331079215,2.071382999
1.837449065,-2.484926701,2.747591019,1.202758312
1.854309482,-2.830666304,2.919849873,-0.377045482
1.87116917,-3.104325771,0.030389652,-0.451568842
