Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.067214374,1.29302156,9.311071396,-3.255734205
0.084421614,1.187737346,9.478569031,-2.874976397
0.101625572,0.809372246,9.311071396,-2.752942562
0.118827031,0.744766057,8.882456779,-3.085843801
0.136026614,0.747158885,8.743673325,-3.404089212
0.153224999,0.72323066,9.016454697,-3.24616313
0.170411458,0.737587571,9.224630356,-3.315554857
0.187280364,0.828514814,9.306285858,-3.485445261
0.204136302,1.125224829,9.162417412,-3.571586847
0.220991406,1.422233939,8.858528137,-3.394518137
0.23784651,1.537089467,8.791529655,-2.626122952
0.254702395,1.470090389,8.539983749,-2.491825581
0.271558333,1.479661703,8.449056625,-2.748156786
0.288413437,1.379163146,8.597412109,-2.851048231
0.305268489,1.142273664,8.853742599,-3.870988846
0.322124427,0.8356933,9.140881538,-3.969094515
0.338980312,0.24915266,9.356534958,-4.447957993
0.355835416,-0.229710966,9.34457016,-4.62502718
0.37269052,-0.5697909,9.382855415,-4.043272018
0.389546458,-0.689432025,9.26530838,-3.909274101
0.406402343,-0.643968403,9.552745819,-3.578765392
0.423257447,-0.509671211,10.01246738,-3.277269602
0.440112552,-0.442672193,10.2469635,-2.858226538
0.456968437,-0.466600418,9.713065147,-2.695514679
0.473824374,-0.401994199,8.875278473,-2.578266382
0.490679479,-0.306281298,8.633303642,-2.286042929
0.507534583,-0.311066955,8.880064011,-2.30039978
0.524390468,-0.284745902,9.227023125,-2.764906645
0.541246406,-0.093320087,9.303893089,-3.128914595
0.55810151,0.076869428,9.102596283,-2.999403238
0.574956562,0.179760799,9.042776108,-2.697907448
0.591812499,0.055334024,8.765208244,-2.750549555
0.608668437,0.112761766,8.671588898,-2.939582586
0.625523541,0.115154587,8.858528137,-3.411267757
0.642378593,0.091226362,9.155238152,-3.667598963
0.659234531,0.064905316,9.318249702,-3.590729475
0.676090416,0.062512495,9.179166794,-3.377768278
0.69294552,-0.043070808,8.772386551,-3.064009428
0.709800624,0.072083779,8.391629219,-3.128914595
0.726656562,0.488434911,8.508877754,-3.384946823
0.743512447,0.677767038,8.571090698,-3.380161047
0.760367552,0.952941597,8.786744118,-3.428017616
0.777222656,0.735194743,9.337391853,-3.792025566
0.794078541,0.567398071,9.713065147,-3.638885021
0.810934479,0.155832574,9.564710617,-3.241377354
0.827789583,-0.157926291,9.210273743,-2.666800737
0.844644687,-0.4953143,8.872885704,-2.338685036
0.861500572,-0.430708081,8.865707397,-2.353041887
0.87835651,-0.248853549,9.332606316,-2.982653379
0.895211614,-0.227318153,9.847362518,-3.593122244
0.912066718,-0.174676046,9.801599503,-3.959523201
0.928922604,0.052941199,9.581459999,-4.060021877
0.945778541,0.270688057,9.500103951,-4.251746655
0.962633645,0.77108711,9.320642471,-4.708775997
0.979488697,1.230808139,8.738887787,-4.672883511
0.996344635,1.374377489,8.193024635,-3.820739508
1.013200572,1.544267893,7.84098053,-2.31475687
1.030055677,1.663909078,7.23529768,-0.895214796
1.046910729,1.525125384,6.229713917,-0.964606643
1.063766666,0.797408164,7.094120979,-1.290030479
1.080622552,-0.023928227,9.509675026,-2.896511793
1.097477656,0.438185632,15.38943863,-6.253043652
1.11433276,0.677767038,19.19612122,-7.227520943
1.131188697,3.133999348,19.06212234,-1.189531922
1.148044583,3.004786968,13.3402853,2.885145903
1.164899687,3.866502285,9.390034676,3.462115288
1.181754791,4.443471432,6.916752815,1.597209096
1.198610729,5.078167915,5.149952412,-1.955833435
1.215466614,4.218546391,6.409175396,-4.110270977
1.232321718,2.451745987,7.637590885,-4.009772778
1.249176822,1.185344458,7.680661678,-2.559123755
1.26603276,0.280259341,7.52722168,-2.642872572
1.282888645,-0.16031912,6.864110947,-2.786442041
1.299743749,0.170189515,6.617650032,-3.265305519
1.316598854,0.617946446,6.339783669,-3.73699069
1.333454739,0.550648332,5.940182209,-3.662813187
1.350310677,0.756730139,5.490032673,-3.698705673
1.367165781,1.67587316,5.173880577,-3.875774384
1.384020885,2.880360365,5.130809784,-4.443172455
1.40087677,4.474578381,5.81545639,-5.046463013
1.417732708,5.604588985,7.268796921,-5.225924492
1.434587812,6.775576591,8.169096947,-4.962714195
1.451442916,7.496115208,7.778767109,-4.605884552
1.468298802,7.270890713,7.266404152,-6.322435856
1.485154739,7.431509018,7.96780014,-8.455636978
1.502009843,7.903193951,9.986145973,-10.15783119
1.518864947,8.0252285,12.96191978,-11.43380356
1.535720833,4.86730051,15.34397507,-7.186842918
1.55257677,2.427817583,17.27378654,-2.470290184
1.569431874,2.207378864,11.26690483,-2.700300455
1.586286979,-0.102891371,7.438687325,-5.68564558
1.603142916,-2.535195589,8.063512802,-3.78484726
1.619998802,-5.345864773,7.963014603,-2.262114763
1.636853906,-4.776073933,10.29482079,-4.158127785
1.65370901,-6.262914181,14.64975739,-1.325922847
1.670564947,-4.440779686,16.29452324,-1.438684583
1.687420885,0.991226792,12.75853062,-5.800501347
1.704275937,4.525126934,8.130512238,-6.0927248
1.721131041,5.698207855,5.197809219,-2.274078846
1.737986979,2.207378864,5.537889004,-1.728216171
1.754842916,-0.502492726,7.17069149,-5.642574787
1.77169802,-1.108175993,7.22094059,-6.873084068
1.788553072,-0.301495642,7.244868755,-6.006583214
1.80540901,1.529910922,8.346165657,-4.816751957
1.822264947,1.752742529,8.470592499,-3.133700371
1.839120052,0.972084224,7.838587761,-1.721037745
1.855975156,0.809372246,7.611269951,-0.897607565
1.872831041,1.304985642,7.326224804,-1.120140076
1.889686979,1.307378531,7.230511665,-1.965404749
1.906542083,1.082154036,7.575078487,-2.683550596
1.923397187,0.419043064,7.948657513,-2.870190859
1.940253072,-0.301495642,8.245666504,-2.922832966
1.95710901,-1.1395818,9.042776108,-3.593122244
1.973964114,-1.919941068,9.667601585,-4.412065983
1.990819218,-2.211865425,9.093025208,-4.869394302
2.007675156,-1.905584097,8.224131584,-4.230211258
