"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.062586970E-1,-2.188367128E0,9.476539612E0,2.011190891E0
4.082556970E-1,-2.188367128E0,9.476539612E0,2.011190891E0
4.102546970E-1,-2.188367128E0,9.476539612E0,2.011190891E0
4.122540300E-1,-2.188367128E0,9.476539612E0,2.011190891E0
4.142535300E-1,-2.118933201E0,9.464568138E0,2.171607256E0
4.162531300E-1,-2.133298874E0,9.498087883E0,1.757397652E0
4.182527960E-1,-2.118933201E0,9.443019867E0,2.159635782E0
4.202525100E-1,-2.116539001E0,9.462174416E0,2.169213057E0
4.222522600E-1,-2.121327400E0,9.488511086E0,1.774157643E0
4.242518150E-1,-2.106961727E0,9.450202942E0,2.171607256E0
4.262514150E-1,-2.118933201E0,9.478934288E0,2.154847383E0
4.282510510E-1,-2.111750364E0,9.457385063E0,1.929785490E0
4.302507170E-1,-2.092596292E0,9.454991341E0,2.164424419E0
4.322504090E-1,-2.109356165E0,9.483722687E0,2.114144564E0
4.342501230E-1,-2.133298874E0,9.505270958E0,1.755003452E0
4.362498560E-1,-2.099778891E0,9.483722687E0,2.178790092E0
4.382496060E-1,-2.104567528E0,9.524425507E0,2.099778891E0
4.402492530E-1,-2.116539001E0,9.517242432E0,1.745426297E0
4.422489190E-1,-2.075836182E0,9.495694160E0,2.171607256E0
4.442486030E-1,-2.087807655E0,9.526819229E0,2.073441982E0
4.462482530E-1,-2.094990492E0,9.514847755E0,1.738243461E0
4.482479670E-1,-2.063864946E0,9.502876282E0,2.150058746E0
4.502476940E-1,-2.073441982E0,9.534002304E0,2.023162127E0
4.522474330E-1,-2.087807655E0,9.524425507E0,1.743032098E0
4.542470990E-1,-2.073441982E0,9.505270958E0,2.145270348E0
4.562467790E-1,-2.083019018E0,9.534002304E0,1.999219418E0
4.582464710E-1,-2.083019018E0,9.517242432E0,1.776551962E0
4.602461740E-1,-2.063864946E0,9.512454033E0,2.171607256E0
4.622458880E-1,-2.073441982E0,9.541185379E0,1.994430900E0
4.642456120E-1,-2.092596292E0,9.505270958E0,1.781340480E0
4.662453450E-1,-2.078230619E0,9.498087883E0,2.150058746E0
4.682451780E-1,-2.092596292E0,9.529213905E0,1.965699673E0
4.702449110E-1,-2.083019018E0,9.512454033E0,1.783734679E0
4.722446440E-1,-2.073441982E0,9.502876282E0,2.154847383E0
4.742443770E-1,-2.097384691E0,9.524425507E0,1.953728199E0
4.762441100E-1,-2.083019018E0,9.498087883E0,1.800494671E0
4.782438430E-1,-2.056682110E0,9.493299484E0,2.114144564E0
