"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.862500984E-5,-5.839057617E0,3.155587921E0,7.962990875E0
9.914374969E-3,-6.403533783E0,2.849474487E0,7.723189545E0
1.988737501E-2,-6.675667877E0,2.532882843E0,7.440128174E0
2.986037498E-2,-6.720125427E0,2.426603851E0,7.978109436E0
3.983337502E-2,-6.465804291E0,2.590962067E0,9.084458771E0
4.980637500E-2,-5.769751740E0,2.597099304E0,9.934241638E0
5.978037498E-2,-5.357658691E0,3.194357300E0,1.079420334E1
6.975337502E-2,-4.868026886E0,3.461551666E0,1.115779724E1
7.972637500E-2,-4.330794067E0,3.154689789E0,1.110750183E1
8.969937498E-2,-3.947291565E0,2.922672272E0,1.060933777E1
9.967237501E-2,-3.920796661E0,2.598446503E0,9.691745911E0
1.096453750E-1,-4.179758148E0,2.167792053E0,8.773405609E0
1.196193750E-1,-4.421355743E0,1.661694489E0,8.094567261E0
1.295923750E-1,-4.377197571E0,1.136586456E0,7.630681915E0
1.395653750E-1,-4.593198395E0,9.439370728E-1,7.383845215E0
1.495383750E-1,-5.360203400E0,1.316512299E0,8.354576569E0
1.595113750E-1,-5.807772675E0,1.522483978E0,9.736652527E0
1.694843750E-1,-4.922214203E0,1.091530151E0,9.912237396E0
1.794573750E-1,-4.037553864E0,5.617817688E-1,9.680070190E0
1.894313750E-1,-4.144281921E0,6.836283875E-1,9.895921326E0
1.994043750E-1,-4.626279602E0,1.043629761E0,1.057475967E1
2.093773750E-1,-4.108656006E0,1.225501556E0,1.145358215E1
2.193503750E-1,-2.903063049E0,5.685177612E-1,1.166778671E1
2.293233750E-1,-2.172582092E0,-9.548643494E-1,1.147408951E1
2.392963750E-1,-1.968406677E0,-1.862576752E0,9.870923309E0
2.492703750E-1,-2.468666382E0,-2.414628754E0,8.448281708E0
2.592433750E-1,-3.264860687E0,-2.711012421E0,7.188052368E0
2.692163750E-1,-4.440665588E0,-2.015408936E0,6.659501495E0
2.791893750E-1,-5.084327087E0,-5.646258545E-1,7.016060028E0
2.891623750E-1,-5.116510162E0,4.584965515E-1,7.574099579E0
2.991353750E-1,-4.765190735E0,9.946815491E-1,8.170160065E0
3.091093750E-1,-3.958069153E0,1.144519958E0,8.359366608E0
3.190823750E-1,-3.073259125E0,8.574169922E-1,7.822133789E0
3.290553750E-1,-2.501448212E0,4.135899353E-1,7.521558838E0
3.390283750E-1,-2.579136658E0,8.547225952E-2,7.463778992E0
3.490013750E-1,-3.032244415E0,-5.583389282E-2,7.958649902E0
3.589743750E-1,-3.722309418E0,-2.704875183E-1,8.831484833E0
3.689483750E-1,-4.700824585E0,-7.217990112E-1,9.400152283E0
3.789213750E-1,-5.475463715E0,-1.121617584E0,9.443262634E0
3.888943750E-1,-5.681285706E0,-1.216969299E0,8.937464447E0
3.988673750E-1,-4.662204895E0,-4.451742554E-1,8.110134888E0
4.088403750E-1,-2.908002777E0,4.638853455E-1,7.284451904E0
4.188133750E-1,-2.315534821E0,5.117857361E-1,7.165599060E0
4.287863750E-1,-2.924767914E0,3.700305176E-1,8.033793640E0
4.387603750E-1,-3.106340332E0,4.073030090E-1,8.167765045E0
4.487333750E-1,-2.776276703E0,3.020718384E-1,7.787705383E0
