"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.919399999E-2,-1.226635501E-1,9.183857441E-1,-3.507804573E-1
2.923500002E-2,-2.590816915E-1,1.117982864E0,-4.350158274E-1
3.927700000E-2,-3.246732056E-1,1.198636174E0,-4.680251777E-1
4.931900004E-2,-3.428085148E-1,1.119115949E0,-4.585830569E-1
5.936100002E-2,-3.998145461E-1,8.958977461E-1,-3.175258040E-1
6.940300000E-2,-4.519425631E-1,4.940008521E-1,-1.498665959E-1
7.944500004E-2,-3.996431231E-1,-7.182257622E-2,-1.280039102E-1
8.948700002E-2,-5.343546867E-1,-4.104414880E-1,7.970926166E-2
9.952800005E-2,-8.960655332E-1,-8.165250421E-1,5.198826790E-1
1.095700000E-1,-1.184111714E0,-4.547925591E-1,6.384891868E-1
1.196120000E-1,-1.468122602E0,3.936860263E-1,3.508989215E-1
1.296540000E-1,-1.541123748E0,1.174057126E0,-2.149551660E-1
1.396960000E-1,-1.486586452E0,1.637852192E0,-7.305423617E-1
1.497380000E-1,-1.458388090E0,1.573167562E0,-9.662330747E-1
1.597790000E-1,-1.473676205E0,1.397719502E0,-8.848510981E-1
1.698210000E-1,-1.525326371E0,1.301838517E0,-6.756441593E-1
1.798630000E-1,-1.562699795E0,1.420441031E0,-6.035691500E-1
1.899050000E-1,-1.632161379E0,1.874970078E0,-7.699206471E-1
1.999470000E-1,-1.803308368E0,2.592846394E0,-1.172050357E0
2.099890000E-1,-2.111403227E0,3.450326920E0,-1.646587253E0
2.200300000E-1,-2.489256382E0,4.186957836E0,-2.016858339E0
2.300720000E-1,-2.859700918E0,4.807334900E0,-2.370666742E0
2.401140000E-1,-3.218385696E0,5.358630180E0,-2.816723347E0
2.501560000E-1,-3.543711901E0,5.678999901E0,-3.280504942E0
2.601980000E-1,-3.761372805E0,5.975194454E0,-3.773039103E0
2.702400000E-1,-3.843403339E0,6.311951637E0,-4.285202980E0
2.802810000E-1,-3.809885502E0,6.697830200E0,-4.715241432E0
2.903230000E-1,-3.585477114E0,7.060184956E0,-5.036211967E0
3.003650000E-1,-3.256492853E0,7.317404747E0,-5.223053455E0
3.104070000E-1,-3.085248232E0,7.478648186E0,-5.295260429E0
3.204490000E-1,-3.057199478E0,7.312318802E0,-5.352893829E0
3.304910000E-1,-3.032521725E0,7.040157795E0,-5.458613873E0
3.405330000E-1,-2.938983202E0,6.783426762E0,-5.671356678E0
3.505740000E-1,-2.729064941E0,6.555520535E0,-5.842648983E0
3.606160000E-1,-2.421709299E0,6.201252460E0,-5.865062237E0
3.706580000E-1,-2.129261732E0,5.988186836E0,-5.749767303E0
3.807000000E-1,-1.883954883E0,5.732643604E0,-5.587529182E0
3.907420000E-1,-1.864857793E0,5.706530571E0,-5.398033142E0
4.007840000E-1,-1.971800804E0,5.865928650E0,-5.242578030E0
4.108250000E-1,-2.071578503E0,6.195432663E0,-5.117700100E0
4.208670000E-1,-1.993930459E0,6.643265247E0,-4.906549931E0
4.309090000E-1,-1.700859904E0,6.936549664E0,-4.618876457E0
4.409510000E-1,-1.312629819E0,6.998805523E0,-4.287868500E0
4.509930000E-1,-9.647123814E-1,6.961139679E0,-3.946120501E0
4.610350000E-1,-7.261037827E-1,6.782573700E0,-3.575427771E0
4.710760000E-1,-6.641001105E-1,6.409831047E0,-3.248160124E0
4.811180000E-1,-8.196662664E-1,6.007101536E0,-2.968382359E0
4.911600000E-1,-1.073797584E0,5.733587742E0,-2.692021608E0
5.012020000E-1,-1.367809296E0,5.639636993E0,-2.411209822E0
5.112440000E-1,-1.655846596E0,5.631321430E0,-2.004335403E0
5.212860000E-1,-1.883092523E0,5.365081310E0,-1.557772636E0
5.313280000E-1,-2.091122389E0,5.018390179E0,-1.169203043E0
5.413690000E-1,-2.290539265E0,4.453382015E0,-7.128876448E-1
5.514110000E-1,-2.525816917E0,3.802652597E0,-1.723055989E-1
5.614530000E-1,-2.689991236E0,3.430661917E0,3.160510063E-1
5.714950000E-1,-2.610044479E0,3.116232634E0,7.153547406E-1
5.815370000E-1,-2.332104206E0,2.883699417E0,1.030536532E0
5.915790000E-1,-1.889895797E0,2.716260910E0,1.149555564E0
6.016200000E-1,-1.583770275E0,2.626991749E0,1.152330279E0
6.116620000E-1,4.117370546E-1,3.451096296E0,1.188312531E0
6.217040000E-1,1.638092399E0,3.287223339E0,1.026285052E0
6.317460000E-1,7.299498916E-1,2.587088346E0,6.162842512E-1
6.417880000E-1,5.232446194E-1,1.595750928E0,4.429566860E-1
6.518300000E-1,4.086176753E-1,7.882482409E-1,3.263989091E-1
6.618710000E-1,3.142208755E-1,5.075393319E-1,1.974246800E-1
6.719130000E-1,2.255022824E-1,2.469842136E-1,1.034395397E-1
6.819550000E-1,1.368640214E-1,-7.443633676E-1,4.664549604E-2
6.919970000E-1,-1.279444396E-1,-3.734912276E-1,1.726789176E-1
7.020390000E-1,-3.265123963E-1,-3.238717318E-1,2.596990168E-1
7.120810000E-1,-5.647495389E-1,-3.533620834E-1,3.529430032E-1
7.221230000E-1,-7.105261683E-1,-3.757707477E-1,3.404248357E-1
7.321640000E-1,-5.705088377E-1,-5.321608186E-1,4.323845208E-1
7.422060000E-1,-5.238584876E-1,-5.794934034E-1,3.752107024E-1
7.522480000E-1,-7.845895886E-1,-5.006352663E-1,1.908081025E-1
7.622900000E-1,-8.908209801E-1,-3.906775713E-1,1.360950470E-1
7.723320000E-1,-9.436599016E-1,-2.958803773E-1,1.281361431E-1
7.823740000E-1,-1.058363795E0,-1.303308457E-1,1.022736654E-1
7.924150000E-1,-1.205155134E0,4.311202466E-2,1.379063874E-1
8.024570000E-1,-1.261841893E0,9.020097554E-2,1.673867851E-1
8.124990000E-1,-1.235952616E0,4.320417643E-1,2.000588775E-1
8.225410000E-1,-1.122707248E0,8.904846907E-1,2.367668301E-1
8.325830000E-1,-9.116829038E-1,1.307794094E0,3.290551901E-1
8.426250000E-1,-4.972604215E-1,1.497343540E0,3.731606007E-1
8.526660000E-1,-1.828150451E-1,1.330176830E0,4.035930336E-1
8.627080000E-1,5.074818060E-2,1.162889838E0,2.369286865E-1
8.727500000E-1,1.154509544E0,1.840851665E0,-1.046976924E0
8.827920000E-1,2.003144503E0,2.614074469E0,-1.385960340E0
8.928340000E-1,2.603749037E0,2.087223768E0,-7.881578803E-1
9.028760000E-1,2.876546383E0,1.602236629E0,2.444797195E-2
9.129170000E-1,2.668418169E0,1.423601747E0,3.362859488E-1
9.229589167E-1,1.899747849E0,1.263039827E0,8.853553981E-2
9.330009167E-1,1.079849482E0,1.080557942E0,-3.929317892E-1
9.430429167E-1,7.953501344E-1,6.534718871E-1,-6.483273506E-1
9.530849167E-1,8.359265327E-1,8.776372671E-2,-6.969813704E-1
9.631269167E-1,8.794835806E-1,-2.374186218E-1,-7.658579350E-1
9.731689167E-1,8.650056720E-1,7.637148350E-2,-8.733217120E-1
9.832099167E-1,6.043007970E-1,5.391713381E-1,-1.078005552E0
9.932519167E-1,6.230913103E-3,6.907809973E-1,-1.029149175E0
1.003293917E0,-5.456039906E-1,5.551118255E-1,-6.729705334E-1
1.013335917E0,-9.330954552E-1,3.144762814E-1,-3.127538562E-1
1.023377917E0,-1.228189945E0,1.762079000E-1,-9.712836146E-2
1.033419917E0,-1.321194172E0,1.452251971E-1,-4.199960455E-2
1.043460917E0,-1.294910908E0,8.662125468E-2,2.279030904E-2
1.053502917E0,-1.243331909E0,-2.790444344E-2,2.268818319E-1
1.063544917E0,-1.175301433E0,7.131028920E-2,4.649228752E-1
1.073586917E0,-1.136313319E0,5.081722140E-1,6.103795767E-1
1.083628917E0,-1.083833933E0,8.633654714E-1,6.965847611E-1
1.093670917E0,-8.493360877E-2,1.116706967E0,3.677853048E-1
1.103711917E0,5.578386784E-1,8.544284701E-1,2.686153352E-1
1.113753917E0,8.688695431E-1,1.649361104E-1,4.809993207E-1
1.123795917E0,1.058296561E0,-2.366999984E-1,6.750862598E-1
1.133837917E0,1.195868373E0,-2.095668763E-1,7.407425642E-1
1.143879917E0,1.205982327E0,4.455141723E-2,5.698861480E-1
1.153921917E0,1.181507826E0,2.768873274E-1,4.339396954E-1
1.163963917E0,1.181890011E0,4.950998127E-1,4.578391612E-1
1.174004917E0,1.110931873E0,5.933851600E-1,5.137341619E-1
1.184046917E0,1.060189366E0,5.821729898E-1,5.155720115E-1
1.194088917E0,1.103290558E0,5.849334598E-1,4.324005544E-1
1.204130917E0,1.058424354E0,5.352806449E-1,3.007253408E-1
1.214172917E0,9.394259453E-1,3.577652276E-1,1.830619723E-1
1.224214917E0,8.733771443E-1,7.172547281E-2,6.728209555E-2
1.234255917E0,1.000420570E0,-7.024336457E-1,1.847369373E-1
1.244297917E0,9.899094105E-1,-9.994972348E-1,3.830031455E-1
1.254339917E0,1.030258298E0,-8.063355684E-1,5.065668225E-1
1.264381917E0,1.126033306E0,-6.068669558E-1,5.884276032E-1
1.274423917E0,1.100933433E0,-2.557712197E-1,5.053145289E-1
1.284465917E0,1.311424375E0,-9.703004360E-2,6.943637729E-1
1.294506917E0,1.323550582E0,1.360061765E-2,3.895121217E-1
1.304548917E0,1.438400269E0,4.838975891E-2,2.680583894E-1
1.314590917E0,1.218882203E0,4.116062820E-1,2.012560666E-1
1.324632917E0,1.275727034E0,1.398416162E-1,3.922420144E-1
1.334674917E0,1.534891844E0,-9.229686111E-4,1.009835362E0
1.344716917E0,1.511303186E0,-3.590805829E-1,6.186760664E-1
1.354757917E0,1.464884281E0,-7.512515187E-1,4.993189275E-1
1.364799917E0,1.391717196E0,-1.069579959E0,6.154633164E-1
1.374841917E0,8.767751455E-1,-1.526288986E-1,8.300629258E-1
1.384883917E0,6.316588521E-1,4.039034992E-2,3.859581649E-1
1.394925917E0,5.122796893E-1,-4.128801823E-2,2.892756164E-1
1.404967917E0,4.214131236E-1,-3.555846810E-1,3.624244034E-1
1.415009917E0,4.100365937E-1,-6.264112592E-1,4.481540918E-1
1.425050917E0,3.754765093E-1,-1.015943050E0,3.050699234E-1
1.435092917E0,3.823512793E-1,-9.494646788E-1,1.320726722E-1
1.445134917E0,4.001105726E-1,-6.124059558E-1,-1.792945266E-1
1.455176917E0,3.555659056E-1,-1.621064246E-1,-1.746290624E-1
1.465218917E0,1.884174049E-1,-4.879450798E-2,4.465562850E-2
1.475260917E0,7.271120697E-2,9.616027772E-2,2.713845968E-1
1.485301917E0,9.604236484E-2,1.072171852E-1,2.810774446E-1
1.495343917E0,1.676034778E-1,-1.075805873E-1,1.977724731E-1
1.505385917E0,1.357797682E-1,-4.140934050E-1,7.849135250E-2
1.515427917E0,7.285565883E-2,-7.059739828E-1,-7.136951387E-2
1.525469917E0,8.730784059E-2,-1.057340264E0,-1.416681856E-1
1.535511917E0,1.835586131E-1,-1.271468163E0,-2.197104394E-1
1.545552917E0,3.912225962E-1,-1.091488004E0,-4.237903357E-1
1.555594917E0,1.327185988E0,-5.292699337E-1,-6.341599226E-1
1.565636917E0,1.885719538E0,-5.675973892E-1,-1.346161664E-1
1.575678917E0,1.298211455E0,-4.657726586E-1,6.315579265E-2
1.585720917E0,1.096056819E0,1.378269315E0,3.321257234E-1
1.595762917E0,1.128444672E0,3.424625397E0,1.027160406E0
1.605804917E0,1.200548410E0,5.756734848E0,1.687481880E0
1.615845917E0,2.979839444E-1,4.706743240E0,1.780519128E0
1.625887917E0,-1.064671427E-1,2.815225840E0,1.273887634E0
1.635929917E0,-2.529074848E-1,4.996704459E-1,4.454735667E-2
1.645971917E0,-4.062693417E-1,-1.639769971E-1,-2.832052112E-1
1.656013917E0,-4.386081100E-1,1.963727474E-1,-2.501204014E-1
1.666055917E0,-2.693650126E-1,3.902053535E-1,-2.462928891E-1
1.676096917E0,-3.273481876E-2,3.428659141E-1,-3.674915433E-1
1.686138917E0,1.240630522E-1,1.640769839E-1,-6.138150096E-1
1.696180917E0,1.770541519E-1,5.346414447E-2,-9.539942741E-1
1.706222917E0,3.069607615E-1,2.647686601E-1,-1.358533502E0
1.716264917E0,4.414306879E-1,4.081192315E-1,-1.712105989E0
1.726306917E0,3.397589028E-1,6.573582888E-1,-1.247293830E0
1.736347917E0,-3.254098445E-2,1.078494310E0,-4.136884212E-1
