"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.757626500E-2,3.049316816E-2,8.242476732E-2,1.837579533E-2
3.003970200E-2,2.516685054E-2,1.005342454E-1,2.263684943E-2
3.250314000E-2,1.131842472E-2,1.239700392E-1,2.796316706E-2
3.496657700E-2,-3.994738217E-4,1.548626870E-1,3.009369411E-2
3.743001500E-2,-6.791055202E-3,1.814942658E-1,3.222422302E-2
3.989345200E-2,-1.105210930E-2,2.049300671E-1,3.755053878E-2
4.235689000E-2,-1.105210930E-2,2.304963917E-1,3.861580417E-2
4.482027500E-2,-8.921582252E-3,2.592585087E-1,4.181159288E-2
4.728371300E-2,-1.105210930E-2,2.976079881E-1,4.500738531E-2
4.974715000E-2,-1.211737283E-2,3.380880058E-1,4.287685826E-2
5.221058800E-2,-1.957421750E-2,3.657848537E-1,3.861580417E-2
5.467402500E-2,-3.448790684E-2,3.828290701E-1,3.115895763E-2
5.713746300E-2,-4.833633080E-2,3.913511932E-1,2.689790353E-2
5.960090000E-2,-6.218475848E-2,3.849596083E-1,1.518000476E-2
6.206433800E-2,-7.709844410E-2,3.753722310E-1,7.723160554E-3
6.452777500E-2,-9.094687551E-2,3.593932688E-1,-1.864211168E-3
6.699116000E-2,-9.946898371E-2,3.391532600E-1,-2.929474693E-3
6.945459800E-2,-1.058605611E-1,3.221090436E-1,-7.989476435E-4
7.191803500E-2,-1.101216152E-1,2.965427339E-1,1.331579406E-3
7.438147300E-2,-1.133174077E-1,2.731069326E-1,6.657897029E-3
7.684491000E-2,-1.133174077E-1,2.475406080E-1,1.304947771E-2
7.930834800E-2,-1.090563536E-1,2.229063958E-1,1.624526829E-2
8.177178500E-2,-1.090563536E-1,1.984053254E-1,1.944105886E-2
8.423522300E-2,-1.069258228E-1,1.771000624E-1,2.796316706E-2
8.669866000E-2,-1.015995070E-1,1.611211151E-1,2.902843058E-2
8.916204600E-2,-9.520792961E-2,1.440768987E-1,3.542001173E-2
9.162548300E-2,-8.668582141E-2,1.334242523E-1,3.648527712E-2
9.408892100E-2,-8.135949820E-2,1.142495126E-1,3.968106583E-2
9.655235800E-2,-8.349002898E-2,8.442213386E-2,3.755053878E-2
9.901579600E-2,-8.455529064E-2,6.950844824E-2,3.435475007E-2
