"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.380366666E-2,1.124816775E0,8.814584613E-1,1.976559907E-1
2.382666664E-2,1.299250722E0,3.089065254E-1,5.379477739E-1
3.384966665E-2,1.350814104E0,-8.580590785E-2,7.256156802E-1
4.387266666E-2,1.375165462E0,-5.879638791E-1,8.031248450E-1
5.389566664E-2,8.474428654E-1,-7.771164775E-1,8.055251837E-1
6.391866665E-2,1.286465526E-1,-9.658272266E-1,8.116416335E-1
7.394166666E-2,-2.621787190E-1,-1.024777889E0,8.138882518E-1
8.396466664E-2,-2.315241396E-1,-9.231290221E-1,7.835639119E-1
9.398766665E-2,2.849412151E-2,-6.673315763E-1,7.268995643E-1
1.040106667E-1,2.849343717E-1,-4.601946771E-1,6.941466331E-1
1.140336666E-1,4.473552406E-1,-3.489983678E-1,5.950333476E-1
1.240566667E-1,3.981302977E-1,-3.157388866E-1,3.484430611E-1
1.340796667E-1,2.675635219E-1,-3.287550807E-1,4.881212860E-2
1.441026666E-1,2.103208601E-1,-2.696574628E-1,-5.267668888E-2
1.541256667E-1,1.457969993E-1,-9.968148917E-2,-9.854564816E-2
1.641486667E-1,1.597317494E-2,1.317951083E-1,-1.834884435E-1
1.741716666E-1,-1.460291147E0,-5.168710649E-2,-5.196608305E-1
1.841946667E-1,-1.901306510E0,8.621716406E-4,-3.720732778E-2
1.942176667E-1,-1.384945631E0,6.640872359E-1,-1.807682067E-1
2.042406666E-1,-1.125994623E-1,6.790997982E-1,-5.276311040E-1
2.142636667E-1,1.258786798E0,6.817360520E-1,-6.811527610E-1
2.242876666E-1,2.057695866E0,7.855748534E-1,-6.538623571E-1
2.343106667E-1,1.759340286E0,7.117877007E-1,-3.290933073E-1
2.443336667E-1,1.112819314E0,6.021674275E-1,-5.489510298E-2
2.543566666E-1,4.887231886E-1,5.311009884E-1,2.863620818E-1
2.643796667E-1,3.315939754E-2,5.506795049E-1,7.794098258E-1
2.744026667E-1,-3.555595875E-1,3.430562615E-1,9.112378955E-1
2.844256666E-1,-6.871404648E-1,3.241581619E-1,6.849519014E-1
2.944486667E-1,-8.620206714E-1,3.154762685E-1,3.151203096E-1
