"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","moto g(6) play"
"deviceBrand","motorola"
"deviceBoard","msm8937"
"deviceManufacturer","motorola"
"deviceBaseOS","motorola/aljeter/aljeter:9/PPP29.55-35-18/f7946:user/release-keys"
"deviceCodename","REL"
"deviceRelease","9"
"accelerometer Name","BMI160 Accelerometer"
"accelerometer Vendor","BOSCH"
"accelerometer Range","39.22661"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","2062701"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","39.22661"
"linear_acceleration Resolution","0.0023956299"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0799866"
"linear_acceleration Version","2"
"gyroscope Name","BMI160 Gyroscope"
"gyroscope Vendor","BOSCH"
"gyroscope Range","17.453293"
"gyroscope Resolution","0.0010681152"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","2062701"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","EPL259x ALS/PS ALS"
"light Vendor","Eminent"
"light Range","30000.0"
"light Resolution","0.0010070801"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.32"
"light Version","1"
"proximity Name","EPL259x ALS/PS PROX"
"proximity Vendor","Eminent"
"proximity Range","5.0"
"proximity Resolution","0.0010070801"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.32"
"proximity Version","2"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
