"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.355766000E-3,-3.648763418E0,3.524264812E0,7.570465565E0
5.430962000E-3,-3.586514235E0,3.495534420E0,7.489062786E0
7.414604000E-3,-3.457227230E0,3.459621429E0,7.333439827E0
9.398247000E-3,-3.335123062E0,3.423708439E0,7.137115479E0
1.138188900E-2,-3.236960649E0,3.397372246E0,6.890512466E0
1.336553200E-2,-3.172317266E0,3.392583847E0,6.605602264E0
1.534917500E-2,-3.153163671E0,3.385401249E0,6.399701118E0
1.736333500E-2,-3.167528868E0,3.380612850E0,6.430825710E0
1.937749500E-2,-3.201047659E0,3.378218651E0,6.584054470E0
2.136113800E-2,-3.236960649E0,3.380612850E0,6.756437302E0
2.337529800E-2,-3.270479441E0,3.380612850E0,6.919242859E0
2.535894000E-2,-3.299209833E0,3.383007050E0,7.067683220E0
2.734258300E-2,-3.318363667E0,3.380612850E0,7.201758862E0
2.932622500E-2,-3.337517262E0,3.383007050E0,7.326257229E0
3.130986800E-2,-3.349488258E0,3.380612850E0,7.436390400E0
3.332402800E-2,-3.349488258E0,3.373430252E0,7.532158375E0
3.533818800E-2,-3.347094059E0,3.373430252E0,7.620744228E0
3.735234800E-2,-3.342305660E0,3.373430252E0,7.709329605E0
3.936650900E-2,-3.335123062E0,3.368641853E0,7.769184589E0
4.138066900E-2,-3.308786631E0,3.390189648E0,7.821856976E0
4.339482900E-2,-3.284844637E0,3.404554844E0,7.852981567E0
4.537847200E-2,-3.272873640E0,3.406949043E0,7.864952564E0
4.736211400E-2,-3.241749048E0,3.411737442E0,7.874529362E0
4.937627400E-2,-3.203441858E0,3.421314240E0,7.881711960E0
5.135991700E-2,-3.148375273E0,3.462015629E0,7.900865555E0
5.337407700E-2,-3.119644880E0,3.493140221E0,7.903259754E0
5.538823700E-2,-3.093308687E0,3.521870613E0,7.903259754E0
5.740239700E-2,-3.064578056E0,3.548206806E0,7.898471355E0
5.938604000E-2,-3.035847664E0,3.569754839E0,7.886500359E0
6.136968200E-2,-3.009511471E0,3.588908434E0,7.872135162E0
6.335332500E-2,-2.999934673E0,3.600879431E0,7.864952564E0
6.533696800E-2,-2.968810081E0,3.615244627E0,7.860164165E0
6.732061000E-2,-2.935291290E0,3.627215624E0,7.867346764E0
6.930425300E-2,-2.904166698E0,3.627215624E0,7.879317760E0
7.131841300E-2,-2.873042107E0,3.612850428E0,7.900865555E0
7.330205500E-2,-2.841917515E0,3.591302633E0,7.931990147E0
7.531621600E-2,-2.803610086E0,3.564966440E0,7.963114738E0
7.733037600E-2,-2.736572504E0,3.509899616E0,8.032546997E0
7.931401800E-2,-2.712630510E0,3.488351822E0,8.051700592E0
8.132817900E-2,-2.624045134E0,3.435679436E0,8.097189903E0
8.334233900E-2,-2.559401512E0,3.394978046E0,8.125920296E0
8.535649900E-2,-2.504334927E0,3.368641853E0,8.154650688E0
8.734014100E-2,-2.454056740E0,3.337517262E0,8.180987358E0
8.932378400E-2,-2.408566952E0,3.308786631E0,8.207323074E0
9.130742700E-2,-2.387019157E0,3.296815634E0,8.221688271E0
9.329106900E-2,-2.339135170E0,3.275267839E0,8.248024940E0
9.530522900E-2,-2.298433542E0,3.251325846E0,8.276755333E0
9.728887200E-2,-2.257732153E0,3.215412855E0,8.336610794E0
9.927251400E-2,-2.243366957E0,3.205836058E0,8.355764389E0
1.012866750E-1,-2.197877169E0,3.179499865E0,8.415618896E0
1.033008350E-1,-2.154781580E0,3.172317266E0,8.458714485E0
1.053149950E-1,-2.097320795E0,3.157952070E0,8.480262756E0
1.072986380E-1,-2.044648170E0,3.143586874E0,8.489839554E0
1.093127980E-1,-2.006340981E0,3.136404276E0,8.492233276E0
1.112964400E-1,-1.965639591E0,3.124433279E0,8.475474358E0
1.133106000E-1,-1.939303398E0,3.117250681E0,8.453926086E0
1.153247610E-1,-1.924938202E0,3.126827478E0,8.429984093E0
1.173389210E-1,-1.903390408E0,3.134010077E0,8.403648376E0
1.193530810E-1,-1.889025092E0,3.141192675E0,8.379706383E0
1.213672410E-1,-1.877054095E0,3.150769472E0,8.353369713E0
1.233814010E-1,-1.874659896E0,3.167528868E0,8.329427719E0
1.253955610E-1,-1.877054095E0,3.189076662E0,8.312667847E0
1.273792040E-1,-1.877054095E0,3.201047659E0,8.298302650E0
1.293628470E-1,-1.881842494E0,3.208230257E0,8.274360657E0
1.313464890E-1,-1.891419291E0,3.222595453E0,8.245630264E0
1.333301320E-1,-1.903390408E0,3.236960649E0,8.209717751E0
1.353442920E-1,-1.915361404E0,3.256114244E0,8.166622162E0
1.373279340E-1,-1.922544003E0,3.270479441E0,8.128314972E0
1.393420950E-1,-1.929726601E0,3.299209833E0,8.080430984E0
1.413257370E-1,-1.920149803E0,3.325546265E0,8.027758598E0
1.433398970E-1,-1.898601890E0,3.354276657E0,7.994239330E0
1.453540570E-1,-1.884236693E0,3.385401249E0,7.979874134E0
1.473377000E-1,-1.886630893E0,3.414131641E0,7.984662533E0
1.493518600E-1,-1.915361404E0,3.450044632E0,8.018181801E0
1.513355030E-1,-1.960851192E0,3.488351822E0,8.068459511E0
1.533496630E-1,-2.013523579E0,3.517082214E0,8.118738174E0
1.553638230E-1,-2.073378563E0,3.538630009E0,8.171410561E0
1.573779830E-1,-2.133233786E0,3.550601006E0,8.226476669E0
1.593616260E-1,-2.190694571E0,3.550601006E0,8.291120529E0
1.613757860E-1,-2.245761156E0,3.550601006E0,8.350975990E0
1.633899460E-1,-2.293645144E0,3.552995205E0,8.413225174E0
1.653735890E-1,-2.327163935E0,3.557783842E0,8.487444878E0
1.673572310E-1,-2.346317768E0,3.560178041E0,8.568847656E0
1.693408740E-1,-2.363077164E0,3.560178041E0,8.659827232E0
1.713245160E-1,-2.365471363E0,3.550601006E0,8.757989883E0
1.733081590E-1,-2.360682964E0,3.533841610E0,8.868123055E0
1.753223190E-1,-2.355894566E0,3.514688015E0,8.983044624E0
1.773364790E-1,-2.358288765E0,3.488351822E0,9.097966194E0
1.793506390E-1,-2.375048161E0,3.466804028E0,9.203310966E0
1.813648000E-1,-2.394201756E0,3.450044632E0,9.287108421E0
1.833789600E-1,-2.415749550E0,3.423708439E0,9.366117477E0
1.853931200E-1,-2.430114746E0,3.399766445E0,9.445125580E0
1.873767630E-1,-2.434903145E0,3.366247654E0,9.507374763E0
1.893604050E-1,-2.432508945E0,3.330334663E0,9.548076630E0
1.913745650E-1,-2.420537949E0,3.292027235E0,9.579200745E0
1.933887250E-1,-2.398990154E0,3.241749048E0,9.583989143E0
1.954028860E-1,-2.367865562E0,3.198653460E0,9.564835548E0
1.974170460E-1,-2.327163935E0,3.157952070E0,9.543288231E0
1.994312060E-1,-2.298433542E0,3.122039080E0,9.514557838E0
2.014453660E-1,-2.281674147E0,3.086126089E0,9.469067574E0
2.034290090E-1,-2.274491549E0,3.055001259E0,9.418789864E0
2.054126510E-1,-2.286462545E0,3.021482468E0,9.385271072E0
2.073962940E-1,-2.308010340E0,2.985569477E0,9.370905876E0
2.093799360E-1,-2.336740971E0,2.952050686E0,9.373299599E0
2.113940970E-1,-2.360682964E0,2.916137695E0,9.382876396E0
2.134082570E-1,-2.391807556E0,2.885013103E0,9.378087997E0
2.153918990E-1,-2.422932148E0,2.861071110E0,9.361329079E0
2.174060590E-1,-2.444479942E0,2.851494312E0,9.342175484E0
2.193897020E-1,-2.449268341E0,2.841917515E0,9.330204010E0
2.214038620E-1,-2.444479942E0,2.832340717E0,9.320627213E0
2.233875050E-1,-2.439691544E0,2.817975283E0,9.315838814E0
2.253711470E-1,-2.434903145E0,2.794033289E0,9.323021889E0
2.273853070E-1,-2.420537949E0,2.767697096E0,9.342175484E0
2.293994680E-1,-2.406172752E0,2.729389906E0,9.370905876E0
2.314136280E-1,-2.408566952E0,2.695871115E0,9.402029991E0
2.334277880E-1,-2.492363930E0,2.647987127E0,9.409213066E0
2.354114300E-1,-2.667140722E0,2.578555346E0,9.375694275E0
2.373950730E-1,-2.758120298E0,2.559401512E0,9.346963882E0
2.393787160E-1,-2.837129116E0,2.564189911E0,9.296685219E0
2.413623580E-1,-2.978386879E0,2.559401512E0,9.203310966E0
2.433460010E-1,-3.052607059E0,2.604891539E0,9.095572472E0
2.453296430E-1,-3.050212860E0,2.695871115E0,8.999804497E0
2.473132860E-1,-3.033453465E0,2.796427488E0,8.918401718E0
2.492969290E-1,-3.050212860E0,2.904166698E0,8.834604263E0
2.513110890E-1,-3.078943491E0,3.026270866E0,8.731653214E0
2.533252490E-1,-3.083731890E0,3.157952070E0,8.626308441E0
2.553088910E-1,-3.069366693E0,3.296815634E0,8.523358345E0
2.573230520E-1,-3.057395458E0,3.428496838E0,8.415618896E0
2.593372120E-1,-3.062183857E0,3.538630009E0,8.303091049E0
2.613208540E-1,-3.062183857E0,3.624821424E0,8.188169479E0
2.633044970E-1,-3.040636063E0,3.689464808E0,8.094796181E0
2.652881390E-1,-3.014299870E0,3.722983599E0,8.010998726E0
2.673023000E-1,-2.990357876E0,3.718195200E0,7.939172745E0
2.693164600E-1,-2.952050686E0,3.679888010E0,7.860164165E0
2.713001020E-1,-2.875436306E0,3.610456228E0,7.766790390E0
2.732837450E-1,-2.734178305E0,3.502717018E0,7.671022415E0
2.752673880E-1,-2.528276920E0,3.373430252E0,7.580042362E0
2.772510300E-1,-2.279279947E0,3.239354849E0,7.493851185E0
2.792346730E-1,-2.039859772E0,3.100491285E0,7.426813602E0
2.812183150E-1,-1.848323703E0,2.978386879E0,7.388506413E0
2.832324750E-1,-1.719036818E0,2.889801502E0,7.393294811E0
2.852466360E-1,-1.651999116E0,2.829946518E0,7.422025204E0
