"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.079693000E-3,-2.284068346E0,5.027823448E0,4.273650169E0
9.093853000E-3,-2.250549555E0,5.073313236E0,4.213795185E0
1.107749600E-2,-2.221819162E0,5.133168221E0,4.141968727E0
1.306113800E-2,-2.219424963E0,5.200206280E0,4.046200752E0
1.504478100E-2,-2.248155355E0,5.281609058E0,3.971980572E0
1.702842300E-2,-2.286462545E0,5.377377033E0,3.960009575E0
1.901206600E-2,-2.322375536E0,5.494692802E0,3.991134167E0
2.102622600E-2,-2.331952572E0,5.600037575E0,4.039018154E0
2.300986900E-2,-2.319981337E0,5.681440830E0,4.153939724E0
2.502402900E-2,-2.308010340E0,5.770026207E0,4.352658749E0
2.703818900E-2,-2.293645144E0,5.841852188E0,4.589684486E0
2.905234900E-2,-2.293645144E0,5.856217384E0,4.826710701E0
3.103599200E-2,-2.303221941E0,5.896918774E0,5.114014626E0
3.301963400E-2,-2.296039343E0,5.975927353E0,5.468356609E0
3.503379500E-2,-2.257732153E0,6.014234543E0,5.801150799E0
3.701743700E-2,-2.183511972E0,6.050147533E0,6.086060524E0
3.903159700E-2,-1.944091797E0,6.090848923E0,6.189011574E0
4.101524000E-2,-1.640028119E0,6.081272125E0,5.947196960E0
4.299888200E-2,-1.505952835E0,6.033388138E0,5.564124584E0
4.501304300E-2,-1.455674648E0,6.023811340E0,5.343858242E0
4.702720300E-2,-1.460463047E0,6.066906929E0,5.334281445E0
4.904136300E-2,-1.510741234E0,6.129156113E0,5.446808815E0
5.102500600E-2,-1.525106430E0,6.172252178E0,5.523423195E0
5.300864800E-2,-1.527500629E0,6.217741966E0,5.549759388E0
5.499229100E-2,-1.527500629E0,6.246472359E0,5.616796970E0
5.700645100E-2,-1.563413739E0,6.284779549E0,5.667075634E0
5.902061100E-2,-1.584961534E0,6.296750546E0,5.741295815E0
6.103477100E-2,-1.570596337E0,6.296750546E0,5.793968201E0
6.304893100E-2,-1.549048543E0,6.279991150E0,5.851428986E0
6.506309100E-2,-1.496376038E0,6.272808552E0,5.937620163E0
6.704673400E-2,-1.412579060E0,6.222530365E0,5.959167957E0
6.903037700E-2,-1.331176162E0,6.141127586E0,5.949591160E0
7.104453700E-2,-1.204283476E0,6.033388138E0,5.889736176E0
7.305869700E-2,-1.060631394E0,5.971138954E0,5.865794182E0
7.507285700E-2,-9.864110947E-1,6.014234543E0,6.016628742E0
7.708701700E-2,-9.241618514E-1,6.064512730E0,6.141127586E0
7.907066000E-2,-8.355764151E-1,6.078877926E0,6.260837555E0
8.108482000E-2,-7.876923680E-1,6.086060524E0,6.351817131E0
8.309898000E-2,-7.517793179E-1,6.078877926E0,6.337451935E0
8.511314000E-2,-7.038952708E-1,6.076483727E0,6.155492783E0
8.709678300E-2,-6.224924326E-1,6.057330132E0,5.911283970E0
8.908042500E-2,-4.692635238E-1,5.983109951E0,5.540182590E0
9.109458600E-2,-2.849099934E-1,5.908889771E0,5.085284233E0
9.307822800E-2,-1.364694983E-1,5.887341976E0,4.589684486E0
9.509238800E-2,-3.591302410E-2,5.918466568E0,4.101267338E0
9.710654800E-2,3.112462163E-2,5.973533154E0,3.672705412E0
9.912070900E-2,5.985504389E-2,6.057330132E0,3.313575268E0
1.011348690E-1,7.182605099E-3,6.189011574E0,3.078943491E0
1.031490290E-1,-1.484405100E-1,6.366182327E0,3.069366693E0
1.051631890E-1,-3.519476354E-1,6.543353081E0,3.198653460E0
1.071773490E-1,-5.626373887E-1,6.698976517E0,3.404554844E0
1.091609920E-1,-7.637503147E-1,6.801927090E0,3.632004023E0
1.111446340E-1,-9.433154464E-1,6.845022678E0,3.869029999E0
1.131282770E-1,-1.098938584E0,6.854599476E0,4.113238335E0
1.151424370E-1,-1.228225470E0,6.840234280E0,4.371812344E0
1.171260800E-1,-1.331176162E0,6.823474884E0,4.625597477E0
1.191402400E-1,-1.448492050E0,6.799532890E0,4.860229492E0
1.211238820E-1,-1.599326730E0,6.763619900E0,5.078101635E0
1.231380430E-1,-1.740584612E0,6.737283707E0,5.307945251E0
1.251216850E-1,-1.850717902E0,6.720524311E0,5.556941986E0
1.271358450E-1,-1.920149803E0,6.710947514E0,5.817910194E0
1.291500060E-1,-1.958456993E0,6.696582317E0,6.076483727E0
1.311336480E-1,-1.991975784E0,6.691793919E0,6.327875137E0
1.331172910E-1,-2.027888775E0,6.694188118E0,6.574477673E0
1.351009330E-1,-2.044648170E0,6.701370716E0,6.799532890E0
1.370845760E-1,-2.047042370E0,6.715735912E0,7.000645638E0
1.390682180E-1,-2.037465572E0,6.725312710E0,7.182605267E0
1.410518610E-1,-2.006340981E0,6.732495308E0,7.352593422E0
1.430660210E-1,-1.929726601E0,6.732495308E0,7.510610580E0
1.450801810E-1,-1.807622313E0,6.710947514E0,7.659051418E0
1.470943410E-1,-1.659181833E0,6.675034523E0,7.797914982E0
1.491085020E-1,-1.505952835E0,6.636727333E0,7.934384346E0
1.510921440E-1,-1.345541358E0,6.593631268E0,8.073247910E0
1.530757870E-1,-1.173158884E0,6.555324078E0,8.212111473E0
1.550594290E-1,-9.959878922E-1,6.528987885E0,8.327033043E0
1.570735900E-1,-8.307880163E-1,6.507440090E0,8.425195694E0
1.590572320E-1,-6.679822803E-1,6.476315498E0,8.523358345E0
1.610408750E-1,-4.860229492E-1,6.430825710E0,8.614337921E0
1.630245170E-1,-2.825157940E-1,6.361393929E0,8.690952301E0
1.650386770E-1,-5.506663769E-2,6.275202751E0,8.753201485E0
1.670223200E-1,1.747767180E-1,6.169857979E0,8.801085472E0
1.690364800E-1,3.806780577E-1,6.040570736E0,8.829815865E0
1.710201230E-1,5.506663918E-1,5.901707172E0,8.848969460E0
1.730037650E-1,6.943184733E-1,5.758055210E0,8.836998940E0
1.749874080E-1,7.613561153E-1,5.588066578E0,8.772355080E0
1.769710500E-1,7.158663273E-1,5.382165432E0,8.659827232E0
1.789546930E-1,6.272808313E-1,5.166687489E0,8.520963669E0
1.809383360E-1,5.386953950E-1,4.965574265E0,8.329427719E0
1.828914610E-1,4.501099288E-1,4.793191910E0,8.066065788E0
