"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.124371000E-3,-1.613875628E-1,4.165183902E-1,3.312972486E-1
1.110801300E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
1.309165600E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
1.507529800E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
1.705894100E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
1.904258400E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
2.105674400E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
2.307090400E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
2.508506400E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
2.709922400E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
2.908286700E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
3.106650900E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
3.305015200E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
3.506431200E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
3.707847200E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
3.906211500E-2,-1.613875628E-1,4.165183902E-1,3.312972486E-1
4.104575700E-2,-2.386192381E-1,-2.167813182E-1,-5.246427655E-1
4.305991800E-2,-2.412824035E-1,-2.998719513E-1,-4.857605994E-1
4.507407800E-2,-2.434129268E-1,-2.833603323E-1,-5.086637735E-1
4.708823800E-2,-2.439455539E-1,-2.716424465E-1,-5.315669775E-1
4.907188100E-2,-2.471413612E-1,-2.716424465E-1,-5.470132828E-1
5.105552300E-2,-2.396845073E-1,-2.780340314E-1,-5.667206645E-1
5.303916600E-2,-2.402171344E-1,-2.881540358E-1,-5.869607329E-1
5.505332600E-2,-2.439455539E-1,-2.988066673E-1,-5.997439027E-1
5.706748600E-2,-2.439455539E-1,-3.121224940E-1,-6.183860302E-1
5.908164600E-2,-2.428802997E-1,-3.323625028E-1,-6.338323355E-1
6.109580600E-2,-2.391518652E-1,-3.547330499E-1,-6.530070901E-1
6.310996600E-2,-2.375539690E-1,-3.776362538E-1,-6.679208279E-1
6.512412700E-2,-2.380866110E-1,-4.037352204E-1,-6.881608367E-1
6.710776900E-2,-2.322276533E-1,-4.308994710E-1,-7.078682184E-1
6.909141200E-2,-2.322276533E-1,-4.580637217E-1,-7.334345579E-1
7.110557200E-2,-2.311623842E-1,-4.884237647E-1,-7.552725077E-1
7.311973200E-2,-2.263686955E-1,-5.225121975E-1,-7.803062201E-1
7.513389200E-2,-2.178465873E-1,-5.518069863E-1,-8.042746782E-1
7.711753500E-2,-2.109223604E-1,-5.848301649E-1,-8.298410177E-1
7.913169500E-2,-1.986718178E-1,-6.221144199E-1,-8.538094759E-1
8.114585500E-2,-1.901497096E-1,-6.535397172E-1,-8.841695189E-1
8.316001500E-2,-1.832254827E-1,-6.807039976E-1,-9.118663669E-1
8.517417500E-2,-1.832254827E-1,-7.036072016E-1,-9.432916641E-1
8.715781800E-2,-1.874865443E-1,-7.121292949E-1,-9.779127836E-1
8.914146100E-2,-1.970739216E-1,-7.110640407E-1,-1.013066530E0
9.115562100E-2,-2.125202566E-1,-7.078682184E-1,-1.051948667E0
9.313926300E-2,-2.359560728E-1,-6.897587180E-1,-1.091896057E0
9.515342300E-2,-2.625876963E-1,-6.759102941E-1,-1.130245566E0
9.716758400E-2,-2.972087860E-1,-6.551376581E-1,-1.168595076E0
9.918174400E-2,-3.312972486E-1,-6.370281577E-1,-1.208542466E0
1.011959040E-1,-3.616572917E-1,-6.263754964E-1,-1.235706806E0
1.032100640E-1,-3.946804702E-1,-6.215817928E-1,-1.262338400E0
1.052242240E-1,-4.340952635E-1,-6.258428693E-1,-1.296959519E0
1.072689020E-1,-4.612595141E-1,-6.295713186E-1,-1.314536333E0
1.091915090E-1,-4.724447727E-1,-6.338323355E-1,-1.324656367E0
1.111751520E-1,-4.889563918E-1,-6.439523697E-1,-1.338504791E0
1.131587950E-1,-5.070658922E-1,-6.593986750E-1,-1.355016351E0
1.151729550E-1,-5.177185535E-1,-6.807039976E-1,-1.368332148E0
1.171871150E-1,-5.294364095E-1,-6.988134980E-1,-1.380582690E0
1.191707570E-1,-5.374259353E-1,-7.201187611E-1,-1.388039589E0
1.211544000E-1,-5.464806557E-1,-7.424893379E-1,-1.398159623E0
1.231685600E-1,-5.496764779E-1,-7.696535587E-1,-1.404018521E0
1.251827200E-1,-5.550028086E-1,-8.021441102E-1,-1.411475420E0
1.272273980E-1,-5.534048676E-1,-8.570052385E-1,-1.423725963E0
1.292110410E-1,-5.454154015E-1,-8.958874345E-1,-1.425323844E0
1.311641660E-1,-5.411543250E-1,-9.305084944E-1,-1.433845997E0
1.331478080E-1,-5.358279943E-1,-9.502158761E-1,-1.438107014E0
1.351314510E-1,-5.235774517E-1,-9.827064872E-1,-1.442368031E0
1.371150930E-1,-5.118595958E-1,-1.014131784E0,-1.446096539E0
1.390987360E-1,-4.953479767E-1,-1.045024395E0,-1.449292302E0
1.411128960E-1,-4.857605994E-1,-1.072188616E0,-1.457281828E0
1.431270560E-1,-4.692489803E-1,-1.102016091E0,-1.465271235E0
1.451412160E-1,-4.538026452E-1,-1.130245566E0,-1.477521777E0
1.471858940E-1,-4.287689328E-1,-1.170725584E0,-1.500957608E0
1.491390190E-1,-4.117247164E-1,-1.194694042E0,-1.522262931E0
1.511226620E-1,-4.021373391E-1,-1.203748822E0,-1.532382965E0
1.531063040E-1,-3.824299276E-1,-1.225054145E0,-1.552090287E0
1.550899470E-1,-3.611246645E-1,-1.243163586E0,-1.577124000E0
1.571041070E-1,-3.392867148E-1,-1.256479383E0,-1.601092458E0
1.590877500E-1,-3.179814517E-1,-1.267664671E0,-1.628789306E0
1.610713920E-1,-2.929477394E-1,-1.270860553E0,-1.660214663E0
1.630550350E-1,-2.668487430E-1,-1.275121570E0,-1.703357816E0
1.650691950E-1,-2.380866110E-1,-1.271393180E0,-1.743305326E0
1.671138730E-1,-2.114549875E-1,-1.262338400E0,-1.788046360E0
1.690975150E-1,-1.789644361E-1,-1.244228840E0,-1.840776920E0
1.710506400E-1,-1.470064968E-1,-1.224521518E0,-1.898301244E0
1.730648000E-1,-1.134506613E-1,-1.192563534E0,-1.955825567E0
1.750179250E-1,-8.149272949E-2,-1.151018262E0,-2.005892992E0
1.770015680E-1,-4.953479767E-2,-1.103081346E0,-2.060754061E0
1.789852110E-1,-1.491370238E-2,-1.053013921E0,-2.115082502E0
1.809688530E-1,1.065264456E-2,-1.000815988E0,-2.170476437E0
1.829524960E-1,3.142530099E-2,-9.438242912E-1,-2.218945980E0
1.849666560E-1,4.580637068E-2,-8.793758154E-1,-2.270078659E0
1.870113340E-1,4.900216311E-2,-8.133293986E-1,-2.322809219E0
1.889644590E-1,4.261057824E-2,-7.430219650E-1,-2.365952253E0
1.909481010E-1,1.810949668E-2,-6.631271243E-1,-2.405899763E0
1.929317440E-1,-2.183792181E-2,-5.858954787E-1,-2.437325001E0
1.949153860E-1,-7.297061384E-2,-5.054680109E-1,-2.461826086E0
1.969295470E-1,-1.363538504E-1,-4.303668439E-1,-2.476207256E0
1.989131890E-1,-2.114549875E-1,-3.659183383E-1,-2.479935646E0
2.009273490E-1,-2.886866629E-1,-3.174487948E-1,-2.483664036E0
2.029415090E-1,-3.717772961E-1,-2.833603323E-1,-2.473011494E0
2.049556700E-1,-4.538026452E-1,-2.631203234E-1,-2.461293459E0
2.070003470E-1,-5.336974859E-1,-2.561961114E-1,-2.441586018E0
2.089534720E-1,-6.130596995E-1,-2.551308274E-1,-2.414954424E0
2.109371150E-1,-6.886934638E-1,-2.572613657E-1,-2.385659695E0
2.129207570E-1,-7.616640925E-1,-2.673813701E-1,-2.349440813E0
2.149044000E-1,-8.287757635E-1,-2.838929892E-1,-2.311091185E0
2.169185600E-1,-8.868326545E-1,-3.073287904E-1,-2.273274422E0
2.189327200E-1,-9.416937828E-1,-3.424825370E-1,-2.235457420E0
2.209468810E-1,-9.896306992E-1,-3.861583769E-1,-2.202966928E0
2.229610410E-1,-1.033839107E0,-4.367584288E-1,-2.167813063E0
2.249752010E-1,-1.072721362E0,-4.900216460E-1,-2.132659435E0
2.270198790E-1,-1.107342362E0,-5.528722405E-1,-2.098038435E0
2.289424860E-1,-1.140365601E0,-6.135923266E-1,-2.061819315E0
2.309261290E-1,-1.170192957E0,-6.801713705E-1,-2.026133060E0
2.329097710E-1,-1.196824670E0,-7.499461770E-1,-1.998968720E0
2.349239310E-1,-1.227717280E0,-8.111988902E-1,-1.973402381E0
2.369380910E-1,-1.257544637E0,-8.772453070E-1,-1.944107652E0
2.389217340E-1,-1.286839485E0,-9.507485032E-1,-1.919606566E0
2.409053770E-1,-1.315601587E0,-1.027980208E0,-1.903627634E0
2.428890190E-1,-1.337439537E0,-1.108940244E0,-1.880724430E0
2.449031790E-1,-1.363005877E0,-1.196824670E0,-1.867941260E0
2.469478570E-1,-1.381115317E0,-1.284708977E0,-1.856223345E0
2.489315000E-1,-1.398692250E0,-1.377919555E0,-1.843972802E0
2.508846250E-1,-1.417866945E0,-1.458347082E0,-1.840244293E0
2.528682670E-1,-1.432248116E0,-1.535046101E0,-1.833320141E0
2.548519100E-1,-1.440770149E0,-1.610679865E0,-1.825330615E0
2.568660700E-1,-1.454085946E0,-1.676726222E0,-1.822134852E0
2.588802300E-1,-1.467934370E0,-1.733185291E0,-1.821069598E0
2.608638730E-1,-1.480717540E0,-1.776328444E0,-1.823200107E0
2.628780330E-1,-1.500424981E0,-1.807753801E0,-1.843440175E0
2.648921930E-1,-1.517469168E0,-1.839711666E0,-1.863680124E0
2.669368710E-1,-1.538241863E0,-1.854625463E0,-1.896170735E0
2.688899960E-1,-1.559547186E0,-1.867408633E0,-1.928128719E0
2.708736380E-1,-1.572862983E0,-1.886583328E0,-1.960619211E0
2.728572810E-1,-1.577656627E0,-1.902562261E0,-1.992044568E0
2.748409230E-1,-1.572330356E0,-1.921204448E0,-2.024002552E0
2.768550840E-1,-1.555818796E0,-1.933454990E0,-2.050101519E0
2.788387260E-1,-1.533980846E0,-1.936650753E0,-2.066080332E0
2.808223690E-1,-1.499359727E0,-1.938248634E0,-2.078863621E0
2.828060110E-1,-1.459412336E0,-1.935585499E0,-2.094309807E0
2.848201720E-1,-1.418399572E0,-1.924932837E0,-2.098571062E0
2.868648490E-1,-1.375256419E0,-1.903627634E0,-2.100701571E0
2.888179740E-1,-1.332113147E0,-1.875398040E0,-2.094309807E0
2.908016170E-1,-1.287904739E0,-1.837581158E0,-2.087918282E0
2.927852590E-1,-1.244761467E0,-1.803492665E0,-2.078863621E0
2.947689020E-1,-1.201618314E0,-1.769936919E0,-2.071939468E0
2.967525450E-1,-1.161670923E0,-1.735848427E0,-2.066612959E0
2.987361870E-1,-1.116929770E0,-1.700694680E0,-2.057025671E0
3.007503470E-1,-1.072721362E0,-1.668736815E0,-2.051699400E0
3.027645070E-1,-1.024251819E0,-1.634648323E0,-2.043177128E0
3.047786680E-1,-9.779127836E-1,-1.601625085E0,-2.037318230E0
3.068233450E-1,-9.342369437E-1,-1.562210321E0,-2.029861450E0
3.087764700E-1,-8.937568665E-1,-1.512675524E0,-2.023469925E0
3.107601130E-1,-8.543421030E-1,-1.471662879E0,-2.020273924E0
3.127437560E-1,-8.197209835E-1,-1.421062827E0,-2.013882399E0
3.147273980E-1,-7.898935676E-1,-1.369397402E0,-2.010154009E0
3.167415580E-1,-7.664577961E-1,-1.311340570E0,-1.999501348E0
3.187252010E-1,-7.483482957E-1,-1.252750993E0,-1.990979314E0
3.207088430E-1,-7.355651259E-1,-1.195759296E0,-1.981924534E0
3.226924860E-1,-7.313040495E-1,-1.140365601E0,-1.973935008E0
3.247066460E-1,-7.259777188E-1,-1.086037159E0,-1.978196144E0
3.267513240E-1,-7.307714224E-1,-1.032773852E0,-1.979261398E0
3.287044490E-1,-7.360977530E-1,-9.864348769E-1,-1.990446687E0
3.306880910E-1,-7.515440583E-1,-9.331716895E-1,-2.003229856E0
3.326717340E-1,-7.744472623E-1,-8.815063238E-1,-2.019208670E0
3.346553770E-1,-8.069378138E-1,-8.250473142E-1,-2.039981365E0
3.366390190E-1,-8.484831452E-1,-7.712514400E-1,-2.066080332E0
3.386226620E-1,-8.996158242E-1,-7.099987864E-1,-2.094309807E0
3.406673400E-1,-9.603359103E-1,-6.492787004E-1,-2.125202656E0
3.426204650E-1,-1.025317073E0,-5.890912414E-1,-2.156095266E0
3.446346250E-1,-1.101483464E0,-5.374259353E-1,-2.189118385E0
3.466793020E-1,-1.178182483E0,-4.910869002E-1,-2.224272251E0
3.486324270E-1,-1.261805773E0,-4.468784332E-1,-2.261556387E0
3.506160700E-1,-1.347026944E0,-4.053331316E-1,-2.291916370E0
3.525997130E-1,-1.429052234E0,-3.637878001E-1,-2.319613457E0
3.545833550E-1,-1.511077642E0,-3.270362020E-1,-2.351571321E0
3.565975150E-1,-1.589374542E0,-2.913498282E-1,-2.369148254E0
3.585506400E-1,-1.661279917E0,-2.604571581E-1,-2.388322830E0
3.605648000E-1,-1.720934749E0,-2.327602804E-1,-2.406432390E0
3.625789610E-1,-1.777926326E0,-2.087918371E-1,-2.416019678E0
3.645931210E-1,-1.818939090E0,-1.933455020E-1,-2.424541950E0
3.666072810E-1,-1.850896955E0,-1.736381054E-1,-2.433063984E0
3.685604060E-1,-1.871137023E0,-1.608549356E-1,-2.433063984E0
3.705440480E-1,-1.881789684E0,-1.470064968E-1,-2.429868221E0
3.725276910E-1,-1.884985447E0,-1.400822699E-1,-2.417617798E0
3.745418510E-1,-1.880724430E0,-1.352885813E-1,-2.403769255E0
3.765560110E-1,-1.871669650E0,-1.374191195E-1,-2.382463932E0
3.785701720E-1,-1.870071769E0,-1.470064968E-1,-2.356364965E0
3.805843320E-1,-1.861549616E0,-1.640507281E-1,-2.319080830E0
3.825984920E-1,-1.855690718E0,-1.896170676E-1,-2.278068066E0
3.846126520E-1,-1.852494836E0,-2.157160491E-1,-2.234924793E0
3.865962950E-1,-1.846103311E0,-2.503371537E-1,-2.180596352E0
3.885494200E-1,-1.841309667E0,-2.854908705E-1,-2.124137402E0
3.905635800E-1,-1.838646412E0,-3.281014562E-1,-2.062884569E0
3.925472220E-1,-1.834918022E0,-3.749730885E-1,-2.004827738E0
3.945613820E-1,-1.833320141E0,-4.282363057E-1,-1.945705533E0
3.965755430E-1,-1.828526497E0,-4.793690145E-1,-1.880191803E0
3.985591850E-1,-1.824265361E0,-5.283711553E-1,-1.815743208E0
4.005428280E-1,-1.812014818E0,-5.757754445E-1,-1.747033715E0
4.025569880E-1,-1.794970632E0,-6.237123609E-1,-1.683650494E0
4.045711480E-1,-1.772600055E0,-6.764429212E-1,-1.627724051E0
4.065853080E-1,-1.751827359E0,-7.291735411E-1,-1.571265101E0
4.085384330E-1,-1.725195765E0,-7.792409658E-1,-1.529187083E0
4.105220760E-1,-1.699096799E0,-8.261125684E-1,-1.486043930E0
4.125057180E-1,-1.670867324E0,-8.665926456E-1,-1.458879709E0
4.144893610E-1,-1.639974594E0,-9.060074091E-1,-1.431715488E0
4.165035210E-1,-1.608016729E0,-9.390306473E-1,-1.414138556E0
4.185176810E-1,-1.581385136E0,-9.672601223E-1,-1.407214403E0
4.205013240E-1,-1.548894525E0,-9.859022498E-1,-1.400822759E0
4.225154840E-1,-1.522795558E0,-9.938917160E-1,-1.397626996E0
4.245296440E-1,-1.497229218E0,-9.885654449E-1,-1.402953267E0
4.265743220E-1,-1.478054404E0,-9.704559445E-1,-1.415736437E0
4.285274470E-1,-1.464738607E0,-9.358348250E-1,-1.432248116E0
4.305110900E-1,-1.459944963E0,-8.889631629E-1,-1.456749201E0
4.324947320E-1,-1.454085946E0,-8.319715261E-1,-1.479119658E0
4.344783750E-1,-1.448227048E0,-7.723167539E-1,-1.502555490E0
4.364620170E-1,-1.439172268E0,-7.126619220E-1,-1.522262931E0
4.384761770E-1,-1.418399572E0,-6.562029123E-1,-1.540904999E0
4.404903380E-1,-1.392300606E0,-6.050702333E-1,-1.556884050E0
4.425044980E-1,-1.352885842E0,-5.608617067E-1,-1.562210321E0
4.445186580E-1,-1.306014180E0,-5.177185535E-1,-1.569134593E0
4.465328180E-1,-1.244228840E0,-4.846953154E-1,-1.572330356E0
4.484859430E-1,-1.175519347E0,-4.569984376E-1,-1.566471338E0
4.504695860E-1,-1.100418210E0,-4.383563101E-1,-1.563275576E0
4.524532280E-1,-1.012001276E0,-4.319647253E-1,-1.551557660E0
4.544673880E-1,-9.203884602E-1,-4.293015897E-1,-1.540372372E0
4.564815480E-1,-8.303736448E-1,-4.127899706E-1,-1.516936541E0
4.584957090E-1,-7.435545921E-1,-3.792341352E-1,-1.483913422E0
4.605098690E-1,-6.636597514E-1,-3.520699143E-1,-1.447161794E0
4.625240290E-1,-5.949501991E-1,-3.355582952E-1,-1.413605928E0
4.645381890E-1,-5.368933082E-1,-3.403519988E-1,-1.374191165E0
4.665218320E-1,-4.799016416E-1,-3.573962152E-1,-1.334776402E0
4.684749570E-1,-4.298342168E-1,-3.834952116E-1,-1.294828892E0
4.704585990E-1,-3.904194236E-1,-3.930825889E-1,-1.249022603E0
4.724422420E-1,-3.557983339E-1,-4.127899706E-1,-1.197889924E0
4.744564020E-1,-3.302319944E-1,-4.282363057E-1,-1.140898228E0
4.764705620E-1,-3.126551211E-1,-4.362258017E-1,-1.087635040E0
4.784542050E-1,-3.142530024E-1,-4.330300093E-1,-1.034371734E0
4.804683650E-1,-3.115898669E-1,-4.703142643E-1,-9.832391143E-1
4.824825250E-1,-3.217098713E-1,-4.985437691E-1,-9.310411215E-1
4.844966850E-1,-3.323625028E-1,-5.470132828E-1,-8.804410696E-1
4.865413630E-1,-3.462109566E-1,-5.933523178E-1,-8.239820600E-1
4.884944880E-1,-3.605920076E-1,-6.253102422E-1,-7.733820081E-1
4.904781310E-1,-3.893541694E-1,-6.402239203E-1,-7.195861340E-1
4.924617730E-1,-4.127899706E-1,-6.759102941E-1,-6.657902598E-1
4.944454160E-1,-4.431500137E-1,-6.929545403E-1,-6.258428693E-1
4.964290580E-1,-4.740426838E-1,-7.099987864E-1,-5.885586143E-1
4.984127010E-1,-5.060006380E-1,-7.382282615E-1,-5.496764779E-1
5.004268610E-1,-5.347627401E-1,-7.520766854E-1,-5.219795704E-1
5.024410210E-1,-5.640575290E-1,-7.600662112E-1,-4.980111420E-1
5.044551810E-1,-6.008091569E-1,-7.472830415E-1,-4.777711034E-1
5.064998590E-1,-6.332997084E-1,-7.265103459E-1,-4.580637217E-1
5.084529840E-1,-6.732471585E-1,-6.913566589E-1,-4.463458061E-1
5.104366270E-1,-7.078682184E-1,-6.743124127E-1,-4.420847595E-1
5.124202690E-1,-7.398261428E-1,-6.609966159E-1,-4.378236830E-1
5.144039120E-1,-7.664577961E-1,-6.482134461E-1,-4.394215941E-1
5.164180720E-1,-7.909588814E-1,-6.396912932E-1,-4.367584288E-1
5.184017150E-1,-8.080030680E-1,-6.279733777E-1,-4.335626364E-1
5.203853570E-1,-8.181231022E-1,-6.178534031E-1,-4.266384244E-1
5.223995170E-1,-8.287757635E-1,-5.997439027E-1,-4.229099751E-1
5.244136770E-1,-8.335694075E-1,-5.821670294E-1,-4.218447208E-1
5.264583550E-1,-8.378304839E-1,-5.656554103E-1,-4.197141826E-1
5.284114800E-1,-8.404936790E-1,-5.544701219E-1,-4.133225977E-1
5.303951230E-1,-8.410263062E-1,-5.502091050E-1,-4.122573435E-1
5.323787650E-1,-8.410263062E-1,-5.544701219E-1,-4.127899706E-1
5.343624080E-1,-8.356999755E-1,-5.597964525E-1,-4.101268053E-1
5.363765680E-1,-8.346347213E-1,-5.800365210E-1,-4.063983858E-1
5.383602110E-1,-8.245146871E-1,-6.087986231E-1,-4.074636400E-1
5.403743710E-1,-8.090683818E-1,-6.498113275E-1,-4.058657587E-1
5.423885310E-1,-7.925567627E-1,-6.711165905E-1,-4.016047120E-1
5.444026910E-1,-7.733820081E-1,-6.876282096E-1,-3.877562582E-1
5.464473690E-1,-7.536746264E-1,-7.185208797E-1,-3.781688809E-1
5.483699760E-1,-7.265103459E-1,-7.595335841E-1,-3.691141307E-1
5.503536190E-1,-7.004113793E-1,-7.850999236E-1,-3.611246645E-1
5.523372610E-1,-6.769755483E-1,-8.122641444E-1,-3.494067490E-1
