"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.849668000E-3,4.474110901E-2,5.006742850E-2,1.491370238E-2
9.833310000E-3,4.474110901E-2,5.006742850E-2,1.491370238E-2
1.181695300E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
1.380059500E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
1.578423800E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
1.779839800E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
1.981255800E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
2.182671900E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
2.381036100E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
2.582452100E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
2.780816400E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
2.982232400E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
3.183648400E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
3.385064400E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
3.586480400E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
3.781792900E-2,4.474110901E-2,5.006742850E-2,1.491370238E-2
3.980157200E-2,-4.143878818E-1,9.960222989E-2,-1.864212751E-1
4.178521500E-2,-4.101268053E-1,1.544633508E-1,-2.087918371E-1
4.376885700E-2,-4.026699662E-1,1.656486243E-1,-1.949433982E-1
4.578301700E-2,-3.968110085E-1,1.800296903E-1,-1.826928556E-1
4.776666000E-2,-3.888215125E-1,2.066612989E-1,-1.608549356E-1
4.978082000E-2,-3.813646734E-1,2.269013226E-1,-1.597896665E-1
5.179498000E-2,-3.739078343E-1,2.482066154E-1,-1.496696621E-1
5.380914000E-2,-3.675162494E-1,2.743056118E-1,-1.406149119E-1
5.582330100E-2,-3.605920076E-1,3.009372056E-1,-1.342233270E-1
5.783746100E-2,-3.536677957E-1,3.275688291E-1,-1.272991002E-1
5.979058600E-2,-3.483414650E-1,3.499393761E-1,-1.230380461E-1
6.177422800E-2,-3.424825370E-1,3.744404614E-1,-1.235706806E-1
6.375787100E-2,-3.360909224E-1,3.984089196E-1,-1.251685768E-1
6.577203100E-2,-3.302319944E-1,4.202468395E-1,-1.294296384E-1
6.775567400E-2,-3.217098713E-1,4.420847595E-1,-1.347559541E-1
6.976983400E-2,-3.142530024E-1,4.623247683E-1,-1.443433315E-1
7.178399400E-2,-3.051982522E-1,4.830974340E-1,-1.533980817E-1
7.379815400E-2,-2.982740402E-1,4.980111420E-1,-1.661812514E-1
7.581231400E-2,-2.876214087E-1,5.123922229E-1,-1.800296903E-1
7.782647400E-2,-2.801645398E-1,5.161206126E-1,-1.938781291E-1
