"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.583991800E-2,-5.102694035E-1,9.791430473E0,-5.090730190E-1
1.808845300E-2,-4.911268353E-1,9.772287369E0,-4.899304509E-1
2.035529900E-2,-4.630111754E-1,9.772287369E0,-4.516452849E-1
2.260717100E-2,-4.438686073E-1,9.757930756E0,-4.612165689E-1
2.486170800E-2,-4.719842672E-1,9.734002113E0,-4.857429862E-1
2.711683500E-2,-4.863412082E-1,9.724431038E0,-4.953143001E-1
2.936903100E-2,-5.054838061E-1,9.700503349E0,-5.096712112E-1
3.162244900E-2,-5.102694035E-1,9.700503349E0,-5.000999570E-1
3.387580600E-2,-5.431707501E-1,9.690931320E0,-4.767699242E-1
3.612946900E-2,-5.766702294E-1,9.691530228E0,-4.671986103E-1
3.838282600E-2,-6.053841114E-1,9.677172661E0,-4.432703853E-1
4.063587800E-2,-6.245267391E-1,9.653244972E0,-4.725824594E-1
4.288935700E-2,-6.382854581E-1,9.653244972E0,-5.156532526E-1
4.514344600E-2,-6.191428304E-1,9.681958199E0,-5.246263742E-1
4.739558200E-2,-6.005984545E-1,9.686744690E0,-4.911268353E-1
4.964857200E-2,-5.958128572E-1,9.691530228E0,-4.671986103E-1
5.190174600E-2,-6.197410822E-1,9.710074425E0,-4.336991012E-1
5.415223500E-2,-6.149554253E-1,9.700503349E0,-4.336991012E-1
5.639594900E-2,-6.197410822E-1,9.677172661E0,-4.289134443E-1
5.866181800E-2,-6.149554253E-1,9.677172661E0,-4.145565331E-1
6.091548000E-2,-6.293123364E-1,9.671789169E0,-3.906283081E-1
6.316981400E-2,-6.203392744E-1,9.662218094E0,-3.667000830E-1
6.540974200E-2,-6.442674994E-1,9.653244972E0,-3.481557071E-1
6.767445200E-2,-6.819544435E-1,9.610174179E0,-3.529413342E-1
6.992780900E-2,-7.345965505E-1,9.614959717E0,-3.104687333E-1
7.218427900E-2,-7.393822074E-1,9.647860527E0,-2.572284341E-1
7.443482900E-2,-7.585247755E-1,9.629316330E0,-2.530409992E-1
7.668782000E-2,-7.633104324E-1,9.634101868E0,-2.865405083E-1
7.894111600E-2,-7.680960894E-1,9.657432556E0,-2.380858511E-1
8.119538800E-2,-7.639086246E-1,9.686145782E0,-1.806581169E-1
8.344728000E-2,-7.830511928E-1,9.695717812E0,-1.184447184E-1
8.570039200E-2,-7.692924738E-1,9.695118904E0,-8.494520187E-2
8.795368800E-2,-7.740781307E-1,9.709476471E0,-5.623133108E-2
9.020722800E-2,-7.884350419E-1,9.723833084E0,1.076770201E-2
9.246064700E-2,-7.698906660E-1,9.723833084E0,5.862415582E-2
9.471083000E-2,-7.794619799E-1,9.723833084E0,8.255238086E-2
9.695649700E-2,-7.651050687E-1,9.704689980E0,6.340979785E-2
9.922114400E-2,-7.842476368E-1,9.685547829E0,4.845465720E-2
1.014726700E-1,-7.698906660E-1,9.675976753E0,3.409772366E-2
1.037277360E-1,-7.555337548E-1,9.642477036E0,2.452643216E-2
1.059759660E-1,-7.459624410E-1,9.647262573E0,1.974078640E-2
1.082334740E-1,-7.316055298E-1,9.647262573E0,1.974078640E-2
1.104865260E-1,-7.363911867E-1,9.632905960E0,1.016949583E-2
1.127401270E-1,-7.411768436E-1,9.623932838E0,-8.973085321E-3
1.149933010E-1,-7.316055298E-1,9.628120422E0,1.016949583E-2
1.172472060E-1,-7.363911867E-1,9.642477036E0,1.974078640E-2
1.194994640E-1,-7.220342159E-1,9.652048111E0,5.324030295E-2
1.217522720E-1,-7.172485590E-1,9.675976753E0,4.426721856E-2
1.240054460E-1,-6.987041831E-1,9.695118904E0,3.469592705E-2
1.262561180E-1,-6.795616150E-1,9.723833084E0,4.965107143E-2
1.285020280E-1,-6.610172391E-1,9.747162819E0,9.750752151E-2
1.307688740E-1,-6.562315822E-1,9.766305923E0,1.740778536E-1
1.330187520E-1,-6.711867452E-1,9.766305923E0,2.219343036E-1
1.352760760E-1,-6.759724021E-1,9.784850121E0,2.315055877E-1
1.375251610E-1,-6.759724021E-1,9.775279045E0,2.267199457E-1
1.397785790E-1,-6.807580590E-1,9.789635658E0,2.362912297E-1
1.420315690E-1,-7.088736892E-1,9.789635658E0,2.458625287E-1
1.442846210E-1,-6.951149702E-1,9.803992271E0,2.506481707E-1
1.465381620E-1,-6.951149702E-1,9.818349838E0,2.506481707E-1
1.487911540E-1,-6.903293133E-1,9.847063065E0,2.560320199E-1
1.510450600E-1,-6.855437160E-1,9.851848602E0,2.512463629E-1
1.532986600E-1,-6.855437160E-1,9.866206169E0,2.321037948E-1
1.555509790E-1,-6.807580590E-1,9.861420631E0,2.129612118E-1
1.578042750E-1,-6.753742099E-1,9.866206169E0,1.842473447E-1
1.600573270E-1,-6.610172391E-1,9.856635094E0,1.603191197E-1
1.623090970E-1,-6.514459848E-1,9.847063065E0,1.220339537E-1
1.645532380E-1,-6.658028960E-1,9.847063065E0,1.028913707E-1
1.668040310E-1,-6.987041831E-1,9.838089943E0,8.374879509E-2
1.690705110E-1,-6.843472719E-1,9.833304405E0,8.853443712E-2
1.713269810E-1,-6.891329288E-1,9.814162254E0,7.836493850E-2
1.735806430E-1,-6.514459848E-1,9.809376717E0,7.896314561E-2
1.758314980E-1,-6.466603279E-1,9.785448074E0,8.315058798E-2
1.780830840E-1,-6.418746710E-1,9.804591179E0,9.332008660E-2
1.803368690E-1,-6.323033571E-1,9.795019150E0,8.374879509E-2
1.825897980E-1,-6.227321029E-1,9.785448074E0,1.166501045E-1
1.848427270E-1,-6.227321029E-1,9.775876999E0,1.214357466E-1
1.870968170E-1,-6.131607890E-1,9.761520386E0,1.357926875E-1
1.893506620E-1,-5.988038778E-1,9.761520386E0,1.214357466E-1
1.916031040E-1,-5.802595019E-1,9.775876999E0,1.124626622E-1
1.938550570E-1,-5.563312769E-1,9.761520386E0,1.172483116E-1
1.961041410E-1,-5.419743061E-1,9.728020668E0,1.357926875E-1
1.983626870E-1,-5.084748268E-1,9.728020668E0,1.172483116E-1
2.006126260E-1,-4.755735099E-1,9.742377281E0,1.172483116E-1
2.028574980E-1,-4.372883439E-1,9.728020668E0,1.124626622E-1
2.051222690E-1,-4.235295951E-1,9.732208252E0,1.363908947E-1
2.073771520E-1,-3.900300860E-1,9.717850685E0,1.555334777E-1
2.096330720E-1,-3.619144261E-1,9.727422714E0,1.848455518E-1
2.118816080E-1,-3.379862010E-1,9.736993790E0,2.135594189E-1
2.141317900E-1,-3.332005441E-1,9.746564865E0,2.327020019E-1
2.163751370E-1,-3.146561682E-1,9.746564865E0,2.422732860E-1
2.186420440E-1,-3.050848842E-1,9.736993790E0,2.997010350E-1
2.208947290E-1,-2.769692242E-1,9.760323524E0,2.949153781E-1
2.231521760E-1,-2.769692242E-1,9.755537987E0,3.044866920E-1
2.254027250E-1,-2.626122832E-1,9.774680138E0,3.050848842E-1
2.276518110E-1,-2.482553422E-1,9.789037704E0,2.859423161E-1
2.298949740E-1,-2.578266263E-1,9.779465675E0,2.667997181E-1
2.321604770E-1,-2.530409992E-1,9.789037704E0,2.572284341E-1
2.344144460E-1,-2.530409992E-1,9.789037704E0,2.524427772E-1
2.366710980E-1,-2.434697002E-1,9.803394318E0,2.380858511E-1
2.389211590E-1,-2.482553422E-1,9.812965393E0,2.572284341E-1
2.411745160E-1,-2.476571500E-1,9.803394318E0,2.333002090E-1
2.434286050E-1,-2.572284341E-1,9.808179855E0,2.237289101E-1
2.456774460E-1,-2.428714931E-1,9.803394318E0,2.189432681E-1
2.479205490E-1,-2.763710022E-1,9.827322960E0,2.189432681E-1
2.501869060E-1,-2.667997181E-1,9.827322960E0,2.237289101E-1
2.524405680E-1,-2.524427772E-1,9.808179855E0,2.237289101E-1
2.546961220E-1,-2.667997181E-1,9.832108498E0,2.093719840E-1
2.569430090E-1,-2.667997181E-1,9.832108498E0,2.333002090E-1
2.592003340E-1,-2.763710022E-1,9.832108498E0,2.285145670E-1
2.614544240E-1,-2.907279432E-1,9.846465111E0,2.333002090E-1
2.637043010E-1,-2.859423161E-1,9.851250648E0,2.141576260E-1
2.659472820E-1,-2.667997181E-1,9.856036186E0,2.243271172E-1
2.682122960E-1,-2.667997181E-1,9.851250648E0,2.051845491E-1
2.704664470E-1,-2.955136001E-1,9.865608215E0,2.099701911E-1
2.727194370E-1,-3.050848842E-1,9.865608215E0,2.093719840E-1
2.749607710E-1,-3.002992272E-1,9.865608215E0,1.956132501E-1
2.772265180E-1,-3.332005441E-1,9.836894035E0,2.093719840E-1
2.794809740E-1,-3.481557071E-1,9.832108498E0,2.524427772E-1
2.817365270E-1,-3.667000830E-1,9.827322960E0,2.715853751E-1
2.839815230E-1,-3.864408433E-1,9.812965393E0,3.140579760E-1
