"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.419376700E-2,-3.439682424E-1,-9.719047546E0,1.782652885E-1
1.640331400E-2,-5.383850932E-1,-9.728020668E0,5.742774159E-2
1.870695100E-2,-6.945167780E-1,-9.694520950E0,-1.100698411E-1
2.096753000E-2,-9.026923180E-1,-9.702896118E0,-2.356930375E-1
2.321952400E-2,-1.177866936E0,-9.592825890E0,-3.457628787E-1
2.547239300E-2,-1.439282775E0,-9.463613510E0,-4.372883439E-1
2.772422300E-2,-1.604985833E0,-9.381659508E0,-5.808576941E-1
2.997642000E-2,-1.680359721E0,-9.376873970E0,-6.047859192E-1
3.222941100E-2,-1.761117458E0,-9.486345291E0,-6.873382926E-1
3.448209700E-2,-1.879562140E0,-9.524032593E0,-7.214360237E-1
3.673496600E-2,-1.941775560E0,-9.528818130E0,-7.028916478E-1
3.898887200E-2,-2.008176327E0,-9.509675026E0,-6.311069727E-1
4.124180100E-2,-2.057229280E0,-9.476774216E0,-4.253242314E-1
4.349546400E-2,-2.129612207E0,-9.501300812E0,-1.818545163E-1
4.574808900E-2,-2.178066730E0,-9.497113228E0,-1.016949583E-2
4.799650200E-2,-2.236690998E0,-9.482755661E0,2.243271172E-1
5.025529000E-2,-2.318047047E0,-9.583254814E0,3.475574851E-1
5.250608400E-2,-2.375474691E0,-9.645467758E0,3.804588020E-1
5.476066000E-2,-2.389831543E0,-9.650253296E0,4.283152521E-1
5.701352900E-2,-2.313859463E0,-9.540781975E0,4.193421602E-1
5.926719200E-2,-2.227717876E0,-9.425926208E0,3.439682424E-1
6.151737500E-2,-2.151147604E0,-9.330811501E0,2.590230405E-1
6.376084300E-2,-2.022533417E0,-9.202198029E0,1.459621787E-1
6.602622400E-2,-1.931606054E0,-9.072985649E0,-1.196411322E-3
6.827933700E-2,-1.826321840E0,-8.973084450E0,-5.264209956E-2
7.053519700E-2,-1.744965911E0,-8.967700958E0,-1.818545163E-1
7.278476900E-2,-1.691127419E0,-8.924630165E0,-4.348955154E-1
7.503867500E-2,-1.652842283E0,-8.929415703E0,-5.156532526E-1
7.729191000E-2,-1.652842283E0,-8.981459618E0,-5.210371017E-1
7.954551200E-2,-1.685145378E0,-9.043074608E0,-6.939185858E-1
8.179917300E-2,-1.789233088E0,-9.181260109E0,-7.621139884E-1
8.405112600E-2,-2.166102648E0,-9.395418167E0,-5.497509837E-1
8.630094300E-2,-2.440679073E0,-9.504291534E0,-7.286145091E-1
8.854044500E-2,-2.438884497E0,-9.594022751E0,-9.876375198E-1
9.079715900E-2,-2.364108801E0,-9.565906525E0,-8.099704385E-1
9.306327200E-2,-2.321636200E0,-9.509077072E0,-7.710871100E-1
9.531980300E-2,-2.292922258E0,-9.390034676E0,-7.513462901E-1
9.757316000E-2,-2.207977057E0,-9.261420250E0,-7.214360237E-1
9.982364900E-2,-2.122433662E0,-9.195018768E0,-6.532405615E-1
1.020751140E-1,-2.061416626E0,-9.228518486E0,-5.527420044E-1
1.043253570E-1,-1.928016901E0,-9.224330902E0,-5.617151260E-1
1.065821930E-1,-1.766501307E0,-9.233902931E0,-5.706881881E-1
1.088353060E-1,-1.557727575E0,-9.177073479E0,-5.551348329E-1
1.110894570E-1,-1.329213023E0,-9.172885895E0,-5.874379873E-1
1.133416550E-1,-1.162313581E0,-9.230313301E0,-5.922235847E-1
1.155918380E-1,-9.200403094E-1,-9.244669914E0,-6.197410822E-1
1.178356710E-1,-6.819544435E-1,-9.197412491E0,-6.711867452E-1
1.201006870E-1,-4.624129832E-1,-9.144769669E0,-8.327022791E-1
1.223550810E-1,-2.626122832E-1,-9.068798065E0,-8.697910309E-1
1.246102690E-1,-1.004985496E-1,-9.006584167E0,-1.007378340E0
1.268602680E-1,2.333002165E-2,-8.968298912E0,-1.034895778E0
1.291129540E-1,1.854437590E-1,-8.968897820E0,-1.077368379E0
1.313667990E-1,2.901297510E-1,-8.978468895E0,-1.158126116E0
1.336198520E-1,3.906283081E-1,-8.978468895E0,-1.201196909E0
1.358732700E-1,5.054838061E-1,-9.011369705E0,-1.325025558E0
1.381260160E-1,5.581258535E-1,-9.064012527E0,-1.363310695E0
1.403789450E-1,5.868397355E-1,-9.178269386E0,-1.435693622E0
1.426305330E-1,5.724828243E-1,-9.287740707E0,-1.446461320E0
1.448799220E-1,5.826523304E-1,-9.363713264E0,-1.465603828E0
1.471382840E-1,6.017948985E-1,-9.397212982E0,-1.585245013E0
1.493915180E-1,6.263213158E-1,-9.449256897E0,-1.662413478E0
1.516428610E-1,6.550351977E-1,-9.444471359E0,-1.700100541E0
1.538852930E-1,6.173482537E-1,-9.415757179E0,-1.733600020E0
1.561504920E-1,5.599204898E-1,-9.420542717E0,-1.729412556E0
1.584038480E-1,5.365904570E-1,-9.387042999E0,-1.748555183E0
1.606599510E-1,4.983053207E-1,-9.406186104E0,-1.729412556E0
1.629103170E-1,4.408775866E-1,-9.410971642E0,-1.691725612E0
1.651631860E-1,3.834498227E-1,-9.444471359E0,-1.605584025E0
1.674162990E-1,3.595215976E-1,-9.463613510E0,-1.558325768E0
1.696691070E-1,2.685943544E-1,-9.473184586E0,-1.477568030E0
1.719230130E-1,2.159522474E-1,-9.497113228E0,-1.386640668E0
1.741758810E-1,1.399801224E-1,-9.482755661E0,-1.363310695E0
1.764289340E-1,5.862415582E-2,-9.492327690E0,-1.296909928E0
1.786818630E-1,2.572284266E-2,-9.544371605E0,-1.335195065E0
1.809349140E-1,-3.649054468E-2,-9.573084831E0,-1.264008522E0
