"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.928866100E-2,-2.861819267E-1,2.834331393E-1,-3.084778599E-2
9.169381700E-2,-2.886253297E-1,2.919849753E-1,-3.817795217E-2
9.409897300E-2,-2.910687327E-1,3.042019308E-1,-4.062134400E-2
9.650412900E-2,-2.935121059E-1,3.176405728E-1,-4.550812021E-2
9.890928600E-2,-2.983988822E-1,3.347443044E-1,-4.917320609E-2
1.013144420E-1,-3.045073450E-1,3.542914093E-1,-5.161659420E-2
1.037195980E-1,-3.118375242E-1,3.750602305E-1,-5.528167635E-2
1.061247540E-1,-3.179459870E-1,3.958290219E-1,-5.283828825E-2
1.085299110E-1,-3.301629424E-1,4.178195298E-1,-5.283828825E-2
1.109350670E-1,-3.362714052E-1,4.398100376E-1,-5.405998230E-2
1.133402230E-1,-3.484883606E-1,4.630222321E-1,-4.917320609E-2
1.157453270E-1,-3.619270027E-1,4.862344265E-1,-4.550812021E-2
1.181504840E-1,-3.717005551E-1,5.082249045E-1,-4.184303805E-2
1.205556400E-1,-3.875826001E-1,5.302154422E-1,-4.184303805E-2
1.229607960E-1,-4.022429287E-1,5.558710098E-1,-4.062134400E-2
1.253659520E-1,-4.144598544E-1,5.827482939E-1,-3.695625812E-2
1.277711090E-1,-4.340069890E-1,6.096255779E-1,-3.451287001E-2
1.301762650E-1,-4.486673176E-1,6.340594292E-1,-3.451287001E-2
1.325814210E-1,-4.682144225E-1,6.584933400E-1,-3.451287001E-2
1.349865770E-1,-4.853181541E-1,6.841489077E-1,-3.329117596E-2
1.373917340E-1,-5.024218559E-1,7.085828185E-1,-2.962609194E-2
1.397968900E-1,-5.158604980E-1,7.305732965E-1,-3.084778599E-2
1.422020460E-1,-5.305208564E-1,7.488987446E-1,-2.718270384E-2
1.446072020E-1,-5.402944088E-1,7.647807598E-1,-2.473931387E-2
1.470123070E-1,-5.500679612E-1,7.757760286E-1,-2.229592577E-2
1.494174630E-1,-5.561764240E-1,7.843278646E-1,-1.985253580E-2
1.518226190E-1,-5.598415136E-1,7.904363275E-1,-1.985253580E-2
1.542277750E-1,-5.598415136E-1,7.904363275E-1,-2.107422985E-2
1.566329320E-1,-5.561764240E-1,7.892146707E-1,-2.107422985E-2
1.590380880E-1,-5.512896776E-1,7.831062078E-1,-2.473931387E-2
1.614432440E-1,-5.427377820E-1,7.733326554E-1,-2.596100792E-2
1.638484000E-1,-5.305208564E-1,7.586722970E-1,-2.596100792E-2
1.662535570E-1,-5.158604980E-1,7.379034758E-1,-2.962609194E-2
1.686587130E-1,-5.012001991E-1,7.159129977E-1,-3.329117596E-2
1.710638690E-1,-4.816530645E-1,6.878139973E-1,-3.695625812E-2
1.734690250E-1,-4.657710493E-1,6.621584296E-1,-4.306473210E-2
1.758741290E-1,-4.462239146E-1,6.340594292E-1,-4.917320609E-2
1.782792860E-1,-4.242334068E-1,6.096255779E-1,-5.528167635E-2
1.806844420E-1,-4.034646153E-1,5.827482939E-1,-6.016845629E-2
1.830895980E-1,-3.814741075E-1,5.595360994E-1,-6.994201243E-2
1.854947540E-1,-3.582619131E-1,5.448757410E-1,-7.238540053E-2
1.878999110E-1,-3.374931216E-1,5.277720094E-1,-7.360709459E-2
1.903050670E-1,-3.130592108E-1,5.045598149E-1,-7.482878864E-2
1.927102230E-1,-2.898470163E-1,4.825693369E-1,-7.971556485E-2
1.951153790E-1,-2.715215981E-1,4.593571424E-1,-9.071081877E-2
1.975205360E-1,-2.544178963E-1,4.422534108E-1,-9.804098308E-2
1.999256920E-1,-2.397575527E-1,4.202629030E-1,-1.102579311E-1
2.023308480E-1,-2.250972092E-1,4.043808877E-1,-1.188097894E-1
2.047360040E-1,-2.092151791E-1,3.970507085E-1,-1.261399537E-1
2.071411610E-1,-1.884463727E-1,3.994941115E-1,-1.310267299E-1
2.095462650E-1,-1.725643575E-1,4.019374847E-1,-1.334701329E-1
2.119514210E-1,-1.542389393E-1,4.056025743E-1,-1.346918195E-1
2.143565770E-1,-1.408002973E-1,4.117110670E-1,-1.346918195E-1
2.167617340E-1,-1.298050433E-1,4.178195298E-1,-1.322484314E-1
2.191668900E-1,-1.212531775E-1,4.227063060E-1,-1.310267299E-1
2.215720460E-1,-1.151447073E-1,4.288147688E-1,-1.273616552E-1
2.239772020E-1,-1.102579311E-1,4.361449480E-1,-1.261399537E-1
2.263823590E-1,-1.078145429E-1,4.434750974E-1,-1.212531775E-1
2.287875150E-1,-1.053711548E-1,4.508052766E-1,-1.188097894E-1
2.311926710E-1,-1.053711548E-1,4.630222321E-1,-1.151447073E-1
2.335978270E-1,-1.029277667E-1,4.679090083E-1,-1.114796251E-1
2.360029840E-1,-1.053711548E-1,4.789042473E-1,-1.053711548E-1
2.384080880E-1,-1.078145429E-1,4.862344265E-1,-1.017060652E-1
2.408132440E-1,-1.102579311E-1,4.972296655E-1,-9.559759498E-2
2.432184000E-1,-1.175880954E-1,5.021164417E-1,-9.193251282E-2
2.456235570E-1,-1.261399537E-1,5.070032477E-1,-8.826743066E-2
2.480287130E-1,-1.334701329E-1,5.118899941E-1,-8.215895295E-2
2.504338690E-1,-1.456870735E-1,5.192201734E-1,-8.093725890E-2
2.528390250E-1,-1.530172378E-1,5.253286362E-1,-7.482878864E-2
2.552441820E-1,-1.640124917E-1,5.302154422E-1,-6.749862432E-2
2.576493380E-1,-1.750077456E-1,5.338805318E-1,-6.016845629E-2
2.600544940E-1,-1.774511337E-1,5.338805318E-1,-5.161659420E-2
2.624596500E-1,-1.847812980E-1,5.302154422E-1,-4.428642616E-2
2.648648070E-1,-1.884463727E-1,5.253286362E-1,-3.451287001E-2
2.672699630E-1,-1.884463727E-1,5.167768002E-1,-2.718270384E-2
2.696751190E-1,-1.896680743E-1,5.033381581E-1,-2.229592577E-2
2.720802230E-1,-1.884463727E-1,4.850127101E-1,-1.374406368E-2
2.744853790E-1,-1.872246861E-1,4.630222321E-1,-1.130067464E-2
2.768905360E-1,-1.872246861E-1,4.373666346E-1,-8.857285604E-3
2.792956920E-1,-1.860029846E-1,4.129327536E-1,-6.413896102E-3
2.817008480E-1,-1.847812980E-1,3.884988427E-1,-5.192201585E-3
2.841060040E-1,-1.835595965E-1,3.640649617E-1,-3.970507067E-3
2.865111610E-1,-1.847812980E-1,3.420744538E-1,-6.413896102E-3
2.889163170E-1,-1.835595965E-1,3.164188862E-1,-8.857285604E-3
2.913214730E-1,-1.835595965E-1,2.968717813E-1,-1.252236869E-2
2.937266290E-1,-1.872246861E-1,3.188622594E-1,-1.985253580E-2
2.961317860E-1,-1.896680743E-1,3.506263196E-1,-2.351761982E-2
2.985369420E-1,-1.945548505E-1,3.603998721E-1,-2.840439789E-2
3.009420980E-1,-2.067717910E-1,3.860554695E-1,-3.329117596E-2
3.033472020E-1,-2.348707765E-1,4.886777997E-1,-4.550812021E-2
3.057523590E-1,-2.751866877E-1,6.132906675E-1,-6.016845629E-2
3.081575150E-1,-3.008422852E-1,6.902574301E-1,-6.139015034E-2
3.105626710E-1,-3.142809272E-1,7.244648337E-1,-5.650337040E-2
3.129678270E-1,-3.216110766E-1,7.207997441E-1,-4.184303805E-2
3.153729840E-1,-3.240544796E-1,6.927008033E-1,-2.596100792E-2
3.177781400E-1,-3.289412558E-1,6.511631608E-1,-1.130067464E-2
3.201832960E-1,-3.350497186E-1,6.022953987E-1,3.359660041E-3
3.225884520E-1,-3.448232710E-1,5.570927262E-1,1.679829881E-2
3.249936090E-1,-3.497100472E-1,5.143333673E-1,2.901524492E-2
3.273987650E-1,-3.570402265E-1,4.752391577E-1,4.489727318E-2
3.298039210E-1,-3.631486893E-1,4.422534108E-1,5.955760926E-2
3.322090770E-1,-3.594835997E-1,4.165978432E-1,7.543963939E-2
3.346142340E-1,-3.545968235E-1,4.031592011E-1,8.521319181E-2
3.370193900E-1,-3.521534503E-1,4.092676640E-1,9.620844573E-2
3.394245460E-1,-3.423798978E-1,4.324798584E-1,1.047603041E-1
3.418296500E-1,-3.362714052E-1,4.776825607E-1,1.096470803E-1
3.442348070E-1,-3.264978528E-1,5.522059202E-1,1.145338640E-1
3.466399630E-1,-3.045073450E-1,6.536065936E-1,1.230857223E-1
3.490451190E-1,-2.727433145E-1,8.063184023E-1,1.377460510E-1
3.514502750E-1,-2.409792393E-1,9.529217482E-1,1.475196183E-1
3.538554320E-1,-2.165453583E-1,1.071426034E0,1.475196183E-1
3.562605880E-1,-2.043284029E-1,1.152057886E0,1.450762302E-1
3.586657440E-1,-1.994416267E-1,1.191152096E0,1.365243644E-1
3.610709000E-1,-1.957765520E-1,1.183822036E0,1.255291104E-1
3.634760570E-1,-1.957765520E-1,1.143506050E0,1.145338640E-1
3.658812130E-1,-1.957765520E-1,1.084864736E0,9.987352788E-2
3.682863690E-1,-1.933331639E-1,1.014006495E0,9.132166207E-2
3.706915250E-1,-1.872246861E-1,9.284878373E-1,8.399149776E-2
3.730966820E-1,-1.762294322E-1,8.307522535E-1,7.543963939E-2
3.755017860E-1,-1.615691036E-1,7.293516397E-1,7.055285573E-2
3.779069420E-1,-1.395785958E-1,6.426113248E-1,6.566607952E-2
3.803120980E-1,-1.102579311E-1,5.632011890E-1,6.566607952E-2
3.827172540E-1,-8.460234851E-2,4.801259339E-1,6.322269142E-2
3.851224110E-1,-5.650337040E-2,3.897205591E-1,5.833591148E-2
3.875275670E-1,-3.573456407E-2,2.919849753E-1,5.467082933E-2
3.899327230E-1,-1.618745178E-2,1.930277348E-1,4.978405312E-2
3.923378790E-1,9.162708884E-4,9.529217333E-2,4.978405312E-2
3.947430360E-1,1.679829881E-2,0.000000000E0,5.222744122E-2
3.971481920E-1,3.634541109E-2,-9.529217333E-2,5.711421743E-2
3.995533480E-1,5.711421743E-2,-1.747023165E-1,6.810946763E-2
4.019585040E-1,7.543963939E-2,-2.333436459E-1,8.154810965E-2
4.043636610E-1,9.620844573E-2,-2.761029601E-1,9.620844573E-2
4.067688170E-1,1.120904684E-1,-3.029802442E-1,1.169772521E-1
4.091739730E-1,1.206423342E-1,-3.188622594E-1,1.377460510E-1
4.115791290E-1,1.304158866E-1,-3.274141252E-1,1.572931707E-1
4.139842340E-1,1.340809762E-1,-3.274141252E-1,1.780619770E-1
4.163893900E-1,1.389677525E-1,-3.176405728E-1,1.976090819E-1
4.187945460E-1,1.365243644E-1,-3.005368412E-1,2.171562016E-1
4.211997020E-1,1.353026628E-1,-2.736595869E-1,2.428117841E-1
4.236048590E-1,1.377460510E-1,-2.443388999E-1,2.672456801E-1
4.260100150E-1,1.316375881E-1,-2.235700935E-1,2.916795611E-1
4.284151710E-1,1.304158866E-1,-2.052446753E-1,3.124483824E-1
4.308203270E-1,1.328592747E-1,-1.881409585E-1,3.307738006E-1
4.332254840E-1,1.316375881E-1,-1.783674061E-1,3.466558158E-1
4.356306400E-1,1.365243644E-1,-1.808107942E-1,3.600944579E-1
4.380357960E-1,1.426328421E-1,-1.832541823E-1,3.723114133E-1
4.404409520E-1,1.450762302E-1,-1.942494214E-1,3.845283389E-1
4.428461090E-1,1.524063945E-1,-2.174616307E-1,3.894151151E-1
4.452512650E-1,1.597365588E-1,-2.492256761E-1,3.967452943E-1
4.476564210E-1,1.670667231E-1,-2.822114229E-1,4.040754735E-1
4.500615250E-1,1.756185889E-1,-3.127537966E-1,4.101839364E-1
4.524666820E-1,1.866138428E-1,-3.310792148E-1,4.187358022E-1
4.548718380E-1,1.951656938E-1,-3.335226178E-1,4.260659516E-1
4.572769940E-1,2.061609477E-1,-3.213056624E-1,4.358395338E-1
4.596821500E-1,2.183778882E-1,-2.932066917E-1,4.456130862E-1
4.620873070E-1,2.220429778E-1,-2.455606014E-1,4.566083252E-1
4.644924630E-1,2.269297540E-1,-1.856975704E-1,4.676035643E-1
4.668976190E-1,2.305948436E-1,-1.038440317E-1,4.798205197E-1
4.693027750E-1,2.269297540E-1,-7.330167107E-3,4.908157587E-1
4.717079320E-1,2.183778882E-1,1.001789495E-1,5.042544007E-1
4.741130880E-1,2.086043358E-1,2.076880634E-1,5.140279531E-1
4.765182440E-1,1.963873953E-1,3.127537966E-1,5.225798488E-1
4.789234000E-1,1.780619770E-1,4.190412164E-1,5.286883116E-1
4.813285570E-1,1.585148573E-1,5.143333673E-1,5.323534012E-1
4.837337130E-1,1.377460510E-1,6.022953987E-1,5.347967744E-1
4.861388690E-1,1.181989461E-1,6.865923405E-1,5.347967744E-1
4.885440250E-1,9.865183383E-2,7.708892226E-1,5.323534012E-1
4.909491290E-1,7.910472155E-2,8.637380004E-1,5.347967744E-1
4.933542860E-1,6.810946763E-2,9.663603902E-1,5.335750580E-1
4.957594420E-1,5.955760926E-2,1.088529825E0,5.286883116E-1
4.981645980E-1,5.833591148E-2,1.226581335E0,5.274665952E-1
5.005697540E-1,6.200099736E-2,1.373184681E0,5.201364160E-1
5.029749110E-1,6.933116168E-2,1.522231340E0,5.128062963E-1
5.053800670E-1,7.666133344E-2,1.673721433E0,5.042544007E-1
5.077852230E-1,8.643488586E-2,1.827654958E0,4.957025647E-1
5.101903790E-1,9.865183383E-2,1.977923393E0,4.920374751E-1
5.125955360E-1,1.133121699E-1,2.122083426E0,4.895940721E-1
5.150006920E-1,1.243074164E-1,2.256622553E0,4.822639227E-1
5.174058480E-1,1.414111406E-1,2.364131689E0,4.785988331E-1
5.198110040E-1,1.377460510E-1,2.393452168E0,4.724903405E-1
5.222161610E-1,1.291942000E-1,2.387343884E0,4.627167881E-1
5.246213170E-1,1.133121699E-1,2.400782347E0,4.395045936E-1
5.270264730E-1,9.620844573E-2,2.432546616E0,4.126273096E-1
5.294316290E-1,7.788302749E-2,2.477749109E0,3.906368315E-1
5.318367860E-1,6.077930331E-2,2.546164036E0,3.759764731E-1
5.342419420E-1,5.467082933E-2,2.636569500E0,3.759764731E-1
5.366470460E-1,4.856235534E-2,2.758738995E0,3.881934285E-1
5.390522020E-1,4.734066129E-2,2.896790504E0,4.101839364E-1
5.414573590E-1,4.734066129E-2,3.053167343E0,4.456130862E-1
5.438625150E-1,4.611896724E-2,3.203435659E0,4.871506989E-1
5.462676710E-1,4.001049697E-2,3.310944796E0,5.323534012E-1
5.486728270E-1,3.145863488E-2,3.381803036E0,5.812211633E-1
5.510779840E-1,1.924168877E-2,3.411123753E0,6.337540150E-1
5.534831400E-1,5.803049076E-3,3.398906946E0,6.862868667E-1
5.558882960E-1,-1.527118147E-3,3.342708826E0,7.339329720E-1
5.582934520E-1,-2.473931387E-2,3.214431047E0,7.828007340E-1
5.606986090E-1,-5.894676223E-2,3.003077745E0,8.218950033E-1
5.631037650E-1,-8.460234851E-2,2.741635323E0,8.561024070E-1
5.655089210E-1,-1.139230132E-1,2.421551228E0,8.780929446E-1
