Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
19.00,1.75,-0.13,-1.37
19.00,1.73,-0.12,-1.36
19.00,1.72,-0.16,-1.37
19.00,1.70,-0.14,-1.38
19.00,1.69,-0.13,-1.37
19.01,1.67,-0.11,-1.31
19.01,1.64,-0.09,-1.25
19.01,1.62,-0.08,-1.22
19.01,1.59,-0.06,-1.17
19.01,1.58,-0.06,-1.15
19.02,1.54,-0.05,-1.11
19.02,1.49,-0.02,-1.07
19.02,1.47,-0.02,-1.05
19.02,1.42,0.00,-1.02
19.02,1.38,0.00,-1.00
19.03,1.32,0.02,-0.95
19.03,1.26,0.04,-0.89
19.03,1.23,0.05,-0.86
19.03,1.18,0.08,-0.80
19.03,1.11,0.10,-0.74
19.04,1.08,0.10,-0.72
19.04,1.01,0.12,-0.67
19.04,0.98,0.12,-0.65
19.04,0.91,0.13,-0.61
19.04,0.86,0.14,-0.56
19.05,0.82,0.14,-0.54
19.05,0.77,0.14,-0.50
19.05,0.74,0.14,-0.49
19.05,0.68,0.15,-0.45
19.05,0.63,0.16,-0.41
19.06,0.60,0.16,-0.40
19.06,0.55,0.18,-0.37
19.06,0.51,0.19,-0.34
19.06,0.49,0.20,-0.33
19.06,0.44,0.19,-0.32
19.07,0.39,0.19,-0.31
19.07,0.38,0.19,-0.30
19.07,0.34,0.23,-0.27
19.07,0.33,0.27,-0.25
19.07,0.31,0.30,-0.22
19.08,0.28,0.31,-0.21
19.08,0.26,0.32,-0.19
19.08,0.23,0.33,-0.17
19.08,0.21,0.33,-0.15
19.08,0.19,0.33,-0.14
19.09,0.17,0.33,-0.13
19.09,0.15,0.34,-0.10
19.09,0.12,0.34,-0.08
19.09,0.11,0.34,-0.07
19.09,0.09,0.34,-0.05
19.10,0.07,0.34,-0.04
19.10,0.06,0.34,-0.03
19.10,0.03,0.34,-0.01
19.10,0.02,0.33,0.00
19.10,-0.01,0.32,0.02
19.11,-0.03,0.32,0.04
19.11,-0.05,0.31,0.05
19.11,-0.07,0.31,0.07
19.11,-0.08,0.30,0.07
19.11,-0.11,0.29,0.10
19.12,-0.14,0.28,0.11
19.12,-0.15,0.27,0.12
19.12,-0.18,0.26,0.14
19.12,-0.19,0.26,0.15
19.12,-0.21,0.25,0.17
19.13,-0.24,0.24,0.18
19.13,-0.26,0.24,0.19
19.13,-0.28,0.23,0.21
19.13,-0.31,0.21,0.22
19.13,-0.32,0.21,0.23
19.14,-0.35,0.21,0.25
19.14,-0.36,0.20,0.25
19.14,-0.38,0.20,0.26
19.14,-0.41,0.18,0.28
19.14,-0.42,0.18,0.28
19.15,-0.45,0.17,0.30
19.15,-0.46,0.17,0.30
19.15,-0.48,0.16,0.31
19.15,-0.51,0.15,0.33
19.15,-0.52,0.15,0.33
19.16,-0.54,0.15,0.35
19.16,-0.56,0.14,0.35
19.16,-0.58,0.13,0.36
19.16,-0.60,0.13,0.38
19.16,-0.61,0.13,0.38
19.17,-0.63,0.14,0.40
19.17,-0.65,0.14,0.41
19.17,-0.66,0.14,0.41
19.17,-0.68,0.13,0.42
19.17,-0.69,0.14,0.42
19.18,-0.70,0.14,0.43
19.18,-0.72,0.15,0.44
19.18,-0.73,0.15,0.45
19.18,-0.74,0.15,0.46
19.18,-0.75,0.16,0.46
19.19,-0.77,0.16,0.47
19.19,-0.78,0.16,0.47
19.19,-0.79,0.16,0.48
19.19,-0.80,0.18,0.49
19.19,-0.82,0.18,0.49
19.20,-0.82,0.19,0.49
19.20,-0.84,0.18,0.49
19.20,-0.85,0.15,0.48
19.20,-0.86,0.14,0.48
19.20,-0.88,0.17,0.49
19.21,-0.88,0.19,0.50
19.21,-0.89,0.22,0.51
19.21,-0.89,0.23,0.51
19.21,-0.89,0.23,0.51
19.21,-0.89,0.24,0.51
19.22,-0.90,0.24,0.51
19.22,-0.89,0.25,0.52
19.22,-0.89,0.26,0.52
19.22,-0.89,0.26,0.52
19.22,-0.89,0.27,0.52
19.23,-0.89,0.27,0.53
19.23,-0.89,0.28,0.53
19.23,-0.89,0.29,0.53
19.23,-0.88,0.29,0.53
19.23,-0.88,0.29,0.54
19.24,-0.88,0.29,0.54
19.24,-0.87,0.29,0.54
19.24,-0.86,0.29,0.54
19.24,-0.86,0.30,0.54
19.24,-0.85,0.29,0.55
19.25,-0.84,0.29,0.54
19.25,-0.83,0.26,0.53
19.25,-0.82,0.27,0.54
19.25,-0.81,0.28,0.54
19.25,-0.80,0.29,0.55
19.26,-0.79,0.29,0.55
19.26,-0.78,0.29,0.55
19.26,-0.76,0.28,0.55
19.26,-0.76,0.27,0.54
19.26,-0.74,0.26,0.54
19.27,-0.74,0.25,0.53
19.27,-0.73,0.24,0.53
19.27,-0.71,0.22,0.52
19.27,-0.71,0.21,0.52
19.27,-0.70,0.19,0.52
19.28,-0.68,0.18,0.52
19.28,-0.68,0.16,0.51
19.28,-0.66,0.15,0.51
19.28,-0.65,0.14,0.50
19.28,-0.64,0.12,0.49
19.29,-0.62,0.10,0.49
19.29,-0.62,0.08,0.48
19.29,-0.60,0.07,0.48
19.29,-0.59,0.06,0.47
