Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
25.00,-2.22,8.82,1.41
25.00,-2.22,8.85,1.41
25.00,-2.09,8.87,1.37
25.00,-1.96,8.90,1.35
25.00,-1.92,8.91,1.34
25.01,-1.91,8.83,1.30
25.01,-1.94,8.71,1.25
25.01,-1.96,8.66,1.22
25.01,-1.92,8.56,1.11
25.01,-1.62,8.49,0.93
25.02,-1.62,8.49,0.93
25.02,-1.54,8.50,0.96
25.02,-1.49,8.52,0.97
25.02,-1.42,8.54,0.93
25.02,-1.41,8.53,0.90
25.03,-1.38,8.51,0.82
25.03,-1.34,8.50,0.77
25.03,-1.30,8.50,0.74
25.03,-1.26,8.47,0.66
25.03,-1.24,8.38,0.40
25.04,-1.18,8.44,0.45
25.04,-1.18,8.44,0.45
25.04,-1.12,8.47,0.50
25.04,-1.03,8.50,0.59
25.04,-0.97,8.52,0.57
25.05,-0.99,8.51,0.53
25.05,-1.05,8.55,0.46
25.05,-1.08,8.57,0.43
25.05,-1.13,8.56,0.40
25.05,-1.12,8.55,0.35
25.06,-1.12,8.55,0.35
25.06,-1.15,8.52,0.30
25.06,-1.22,8.45,0.24
25.06,-1.24,8.44,0.32
25.06,-1.13,8.46,0.47
25.07,-1.14,8.43,0.50
25.07,-1.25,8.40,0.56
25.07,-1.21,8.43,0.64
25.07,-1.12,8.45,0.67
25.07,-1.58,8.33,0.75
25.08,-1.58,8.33,0.75
25.08,-1.57,8.25,0.59
25.08,-1.14,8.37,0.54
25.08,-1.00,8.43,0.52
25.08,-0.96,8.44,0.52
25.09,-1.06,8.38,0.56
25.09,-1.24,8.29,0.67
25.09,-1.34,8.25,0.73
25.09,-1.23,8.30,0.73
25.09,-1.03,8.46,0.73
25.10,-1.07,8.46,0.79
25.10,-1.07,8.46,0.79
25.10,-1.10,8.50,0.84
25.10,-1.07,8.57,0.85
25.10,-1.06,8.65,0.80
25.11,-1.10,8.70,0.80
25.11,-1.14,8.74,0.80
25.11,-1.24,8.83,0.81
25.11,-1.21,8.89,0.81
25.11,-1.04,9.12,0.80
25.12,-1.02,9.18,0.78
25.12,-1.02,9.18,0.78
25.12,-1.02,9.31,0.74
25.12,-1.01,9.38,0.70
