Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
14.27,-0.02,0.03,-0.01
14.27,-0.02,0.03,-0.01
14.27,-0.02,0.04,-0.01
14.27,-0.02,0.03,-0.01
14.27,-0.02,0.04,-0.01
14.28,-0.02,0.04,-0.01
14.28,-0.02,0.04,-0.01
14.28,-0.02,0.04,-0.01
14.28,-0.02,0.04,-0.01
14.28,-0.02,0.04,-0.01
14.29,-0.02,0.04,-0.01
14.29,-0.02,0.04,-0.01
14.29,-0.02,0.04,-0.01
14.29,-0.02,0.04,-0.01
14.29,-0.01,0.04,-0.01
14.30,-0.02,0.04,-0.01
14.30,-0.02,0.04,-0.01
14.30,-0.02,0.04,-0.01
14.30,-0.02,0.04,-0.01
14.30,-0.02,0.04,-0.01
14.31,-0.02,0.04,-0.01
14.31,-0.02,0.04,-0.02
14.31,-0.02,0.04,-0.02
14.31,-0.02,0.04,-0.02
14.31,-0.01,0.03,-0.02
14.32,-0.02,0.04,-0.02
14.32,-0.02,0.04,-0.02
14.32,-0.02,0.03,-0.02
14.32,-0.02,0.04,-0.02
14.32,-0.02,0.03,-0.02
14.33,-0.02,0.04,-0.03
14.33,-0.02,0.03,-0.03
14.33,-0.02,0.04,-0.03
14.33,-0.02,0.04,-0.03
14.33,-0.02,0.04,-0.03
14.34,-0.01,0.04,-0.03
14.34,-0.01,0.04,-0.03
14.34,-0.01,0.04,-0.03
14.34,-0.02,0.04,-0.03
14.34,-0.01,0.04,-0.03
14.35,-0.01,0.04,-0.03
14.35,-0.01,0.04,-0.03
14.35,-0.01,0.04,-0.03
14.35,-0.01,0.04,-0.03
14.35,-0.01,0.04,-0.03
14.36,-0.01,0.04,-0.03
14.36,-0.01,0.04,-0.03
14.36,-0.01,0.04,-0.03
14.36,-0.02,0.04,-0.03
14.36,-0.02,0.04,-0.03
14.37,-0.01,0.04,-0.03
14.37,-0.02,0.04,-0.03
14.37,-0.02,0.04,-0.02
14.37,-0.02,0.04,-0.02
14.37,-0.02,0.04,-0.02
14.38,-0.03,0.04,-0.02
14.38,-0.02,0.04,-0.02
14.38,-0.02,0.03,-0.01
14.38,-0.03,0.04,-0.01
14.38,-0.03,0.03,-0.01
14.39,-0.03,0.03,0.00
14.39,-0.03,0.03,0.00
14.39,-0.03,0.03,0.00
14.39,-0.03,0.03,0.00
14.39,-0.02,0.03,0.01
14.40,-0.02,0.03,0.00
14.40,-0.03,0.02,0.01
14.40,-0.02,0.03,0.01
14.40,-0.02,0.02,0.01
14.40,-0.02,0.03,0.01
14.41,-0.01,0.03,0.01
14.41,-0.01,0.03,0.01
14.41,-0.01,0.03,0.02
14.41,-0.01,0.03,0.02
14.41,-0.01,0.03,0.02
14.42,-0.01,0.03,0.02
14.42,-0.01,0.03,0.02
14.42,-0.01,0.03,0.02
14.42,-0.01,0.03,0.02
14.42,-0.02,0.02,0.02
14.43,-0.01,0.03,0.02
14.43,-0.02,0.02,0.02
14.43,-0.02,0.02,0.02
14.43,-0.01,0.03,0.02
14.43,-0.02,0.02,0.02
14.44,-0.02,0.03,0.02
14.44,-0.02,0.03,0.03
14.44,-0.02,0.03,0.03
14.44,-0.02,0.04,0.03
14.44,-0.02,0.04,0.03
14.45,-0.02,0.04,0.03
14.45,-0.02,0.04,0.02
14.45,-0.02,0.05,0.02
14.45,-0.02,0.05,0.02
14.45,-0.02,0.05,0.02
14.46,-0.02,0.05,0.02
14.46,-0.02,0.05,0.02
14.46,-0.02,0.05,0.02
14.46,-0.02,0.05,0.02
14.46,-0.02,0.05,0.01
14.47,-0.02,0.05,0.02
14.47,-0.02,0.05,0.01
14.47,-0.03,0.05,0.01
14.47,-0.03,0.04,0.01
14.47,-0.02,0.05,0.01
14.48,-0.03,0.05,0.01
14.48,-0.03,0.05,0.01
14.48,-0.02,0.05,0.01
14.48,-0.03,0.04,0.00
14.48,-0.02,0.04,0.00
14.49,-0.02,0.03,0.00
14.49,-0.02,0.03,0.00
14.49,-0.01,0.03,0.00
14.49,-0.01,0.03,-0.01
14.49,-0.01,0.03,-0.01
14.50,-0.01,0.03,-0.01
14.50,-0.01,0.02,-0.01
14.50,-0.01,0.02,-0.01
14.50,0.00,0.02,-0.01
14.50,0.00,0.01,-0.01
14.51,0.00,0.00,-0.02
14.51,0.00,0.00,-0.02
14.51,0.00,0.00,-0.02
14.51,0.00,-0.01,-0.02
14.51,0.00,-0.01,-0.02
14.52,0.00,-0.01,-0.02
14.52,0.00,-0.02,-0.02
14.52,0.00,-0.02,-0.02
14.52,0.01,-0.03,-0.03
14.52,0.00,-0.03,-0.02
14.53,0.01,-0.03,-0.02
14.53,0.00,-0.03,-0.02
14.53,0.00,-0.03,-0.02
14.53,0.01,-0.03,-0.02
14.53,0.00,-0.03,-0.02
14.54,0.01,-0.03,-0.02
14.54,0.01,-0.02,-0.02
14.54,0.00,-0.02,-0.02
14.54,0.01,-0.02,-0.02
14.54,0.01,-0.02,-0.02
14.55,0.01,-0.01,-0.02
14.55,0.01,-0.01,-0.02
14.55,0.01,-0.01,-0.02
14.55,0.01,0.00,-0.02
14.55,0.02,0.00,-0.03
14.56,0.02,0.00,-0.03
14.56,0.01,0.00,-0.03
14.56,0.01,0.00,-0.03
14.56,0.02,0.00,-0.03
14.56,0.01,0.00,-0.03
14.57,0.01,0.00,-0.03
14.57,0.01,0.00,-0.03
14.57,0.01,0.00,-0.02
14.57,0.01,0.00,-0.02
14.57,0.01,0.00,-0.02
14.58,0.01,0.01,-0.02
14.58,0.01,0.00,-0.02
14.58,0.01,0.00,-0.02
14.58,0.01,0.00,-0.02
14.58,0.01,-0.01,-0.02
14.59,0.01,-0.01,-0.02
14.59,0.00,-0.01,-0.02
14.59,0.00,-0.01,-0.02
14.59,0.00,-0.02,-0.02
14.59,0.00,-0.02,-0.02
14.60,0.00,-0.02,-0.02
14.60,0.00,-0.02,-0.02
14.60,0.00,-0.03,-0.02
14.60,0.01,-0.02,-0.02
14.60,0.00,-0.03,-0.02
14.61,0.00,-0.03,-0.02
14.61,0.01,-0.03,-0.02
14.61,0.01,-0.02,-0.02
14.61,0.00,-0.03,-0.02
14.61,0.00,-0.03,-0.01
14.62,0.01,-0.03,-0.01
14.62,0.01,-0.03,-0.01
14.62,0.01,-0.03,-0.01
14.62,0.01,-0.03,-0.01
14.62,0.01,-0.03,-0.01
14.63,0.00,-0.03,-0.01
14.63,0.00,-0.03,-0.01
14.63,0.01,-0.03,-0.01
14.63,0.00,-0.03,-0.01
14.63,0.00,-0.03,-0.01
14.64,0.00,-0.03,-0.01
14.64,0.00,-0.03,-0.01
14.64,0.00,-0.03,-0.01
14.64,0.00,-0.03,-0.01
14.64,0.00,-0.03,-0.01
14.65,0.00,-0.03,-0.01
14.65,0.00,-0.03,-0.01
14.65,0.00,-0.03,-0.01
14.65,0.00,-0.03,0.00
14.65,0.00,-0.02,-0.01
14.66,0.00,-0.03,0.00
14.66,0.00,-0.03,0.00
14.66,0.00,-0.03,-0.01
14.66,0.00,-0.03,0.00
14.66,0.01,-0.03,0.00
14.67,0.00,-0.03,0.00
14.67,0.00,-0.03,0.00
14.67,0.01,-0.03,-0.01
14.67,0.00,-0.03,0.00
14.67,0.01,-0.03,0.00
14.68,0.00,-0.04,-0.01
14.68,0.01,-0.04,0.00
14.68,0.00,-0.04,0.00
14.68,0.00,-0.04,0.00
14.68,0.01,-0.04,0.00
14.69,0.01,-0.04,-0.01
14.69,0.01,-0.04,0.00
14.69,0.01,-0.04,0.00
14.69,0.01,-0.04,-0.01
14.69,0.01,-0.04,0.00
14.70,0.01,-0.04,0.00
14.70,0.01,-0.04,0.00
14.70,0.01,-0.04,0.00
14.70,0.01,-0.04,0.00
14.70,0.01,-0.04,0.00
14.71,0.01,-0.05,0.00
14.71,0.01,-0.04,0.00
14.71,0.01,-0.05,0.00
14.71,0.01,-0.04,0.00
14.71,0.01,-0.05,-0.01
14.72,0.01,-0.04,0.00
14.72,0.01,-0.05,0.00
14.72,0.01,-0.04,0.00
14.72,0.01,-0.04,0.00
14.72,0.01,-0.05,-0.01
14.73,0.01,-0.05,0.00
14.73,0.01,-0.05,-0.01
14.73,0.01,-0.04,-0.01
14.73,0.01,-0.04,-0.01
14.73,0.01,-0.04,-0.01
14.74,0.01,-0.04,0.00
14.74,0.00,-0.05,-0.01
14.74,0.01,-0.04,-0.01
14.74,0.01,-0.05,-0.01
14.74,0.01,-0.04,0.00
14.75,0.01,-0.05,-0.01
14.75,0.00,-0.05,-0.01
14.75,0.00,-0.04,-0.01
14.75,0.00,-0.04,-0.01
14.75,0.00,-0.04,-0.01
14.76,0.00,-0.04,0.00
14.76,0.00,-0.04,0.00
14.76,0.00,-0.04,0.00
14.76,0.00,-0.04,0.00
14.76,0.01,-0.04,0.00
14.77,0.01,-0.03,0.00
14.77,0.01,-0.03,0.00
14.77,0.01,-0.03,0.00
14.77,0.01,-0.03,-0.01
14.77,0.01,-0.02,0.00
14.78,0.01,-0.03,-0.01
14.78,0.01,-0.02,-0.01
14.78,0.01,-0.03,0.00
14.78,0.01,-0.02,0.00
14.78,0.01,-0.02,-0.01
14.79,0.01,-0.02,0.00
14.79,0.01,-0.02,0.00
14.79,0.01,-0.02,-0.01
14.79,0.01,-0.02,0.00
14.79,0.01,-0.02,0.00
14.80,0.02,-0.01,-0.01
14.80,0.01,-0.02,0.00
14.80,0.01,-0.01,-0.01
14.80,0.01,-0.01,-0.01
14.80,0.01,-0.01,-0.01
14.81,0.01,-0.01,-0.01
14.81,0.01,-0.02,-0.01
14.81,0.01,-0.01,-0.01
14.81,0.01,-0.01,-0.01
14.81,0.01,-0.01,-0.01
14.82,0.01,-0.01,-0.01
14.82,0.01,-0.01,-0.01
14.82,0.01,-0.01,-0.01
