Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
18.07,-0.86,9.90,-1.03
18.07,-0.86,9.90,-1.03
18.07,-0.88,9.95,-1.03
18.07,-0.87,9.96,-1.03
18.08,-0.86,9.97,-1.06
18.08,-0.85,9.98,-1.04
18.08,-0.85,9.98,-1.04
18.08,-0.87,10.01,-1.03
18.08,-0.87,10.01,-1.03
18.09,-0.87,10.01,-1.03
18.09,-0.87,10.03,-1.03
18.09,-0.88,10.02,-1.04
18.09,-0.88,10.01,-1.05
18.09,-0.86,10.01,-1.03
18.10,-0.87,10.02,-1.02
18.10,-0.88,10.03,-1.01
18.10,-0.88,10.03,-1.01
18.10,-0.90,10.03,-1.00
18.10,-0.90,10.03,-1.00
18.11,-0.90,10.03,-1.00
18.11,-0.89,10.03,-1.01
18.11,-0.91,10.04,-1.02
18.11,-0.93,10.04,-1.02
18.11,-0.94,10.03,-1.01
18.12,-0.94,10.03,-1.01
18.12,-0.94,10.02,-0.99
18.12,-0.96,10.02,-0.98
18.12,-0.99,10.03,-0.94
18.12,-0.98,10.02,-0.91
18.13,-0.98,10.02,-0.91
18.13,-0.99,10.00,-0.90
18.13,-0.99,9.97,-0.88
18.13,-1.00,9.97,-0.88
18.13,-1.03,9.96,-0.86
18.14,-1.03,9.95,-0.86
18.14,-1.03,9.93,-0.84
18.14,-1.02,9.93,-0.83
18.14,-1.04,9.92,-0.81
18.14,-1.04,9.92,-0.80
18.15,-1.04,9.92,-0.80
18.15,-1.04,9.90,-0.81
18.15,-1.04,9.88,-0.81
18.15,-1.02,9.88,-0.82
18.15,-1.04,9.88,-0.83
18.16,-1.03,9.86,-0.84
18.16,-1.02,9.86,-0.86
18.16,-1.03,9.88,-0.87
18.16,-1.02,9.90,-0.87
18.16,-1.02,9.90,-0.87
18.17,-1.02,9.91,-0.88
18.17,-1.02,9.93,-0.89
18.17,-1.03,9.91,-0.90
18.17,-1.03,9.92,-0.92
18.17,-1.04,9.93,-0.95
18.18,-1.03,9.94,-0.96
18.18,-1.03,9.96,-0.97
18.18,-1.02,9.96,-0.97
18.18,-1.04,9.95,-0.99
18.18,-1.03,9.95,-0.97
18.19,-1.03,9.95,-0.97
18.19,-1.04,9.95,-0.97
18.19,-1.06,9.92,-0.97
18.19,-1.05,9.91,-0.96
18.19,-1.06,9.92,-0.97
18.20,-1.08,9.90,-0.98
18.20,-1.08,9.90,-0.98
18.20,-1.09,9.88,-0.98
18.20,-1.07,9.86,-0.99
18.20,-1.07,9.86,-0.99
18.21,-1.07,9.86,-1.00
18.21,-1.07,9.86,-1.01
18.21,-1.06,9.85,-1.01
18.21,-1.07,9.87,-1.02
18.21,-1.07,9.86,-1.03
18.22,-1.07,9.85,-1.04
18.22,-1.07,9.86,-1.03
18.22,-1.06,9.85,-1.02
18.22,-1.05,9.85,-0.99
18.22,-1.05,9.85,-0.97
18.23,-1.05,9.85,-0.97
18.23,-1.06,9.86,-0.96
18.23,-1.06,9.84,-0.96
18.23,-1.06,9.83,-0.96
18.23,-1.07,9.83,-0.96
18.24,-1.07,9.83,-0.97
18.24,-1.07,9.81,-0.99
18.24,-1.06,9.80,-0.99
18.24,-1.05,9.82,-1.01
18.24,-1.05,9.82,-1.01
18.25,-1.05,9.84,-1.00
18.25,-1.06,9.86,-1.00
18.25,-1.07,9.87,-0.99
18.25,-1.08,9.88,-0.99
18.25,-1.08,9.87,-0.98
18.26,-1.08,9.87,-0.96
18.26,-1.07,9.88,-0.94
18.26,-1.07,9.88,-0.92
18.26,-1.10,9.92,-0.90
18.26,-1.09,9.93,-0.91
18.27,-1.09,9.93,-0.91
18.27,-1.08,9.94,-0.91
18.27,-1.08,9.95,-0.91
18.27,-1.08,9.94,-0.91
18.27,-1.09,9.95,-0.93
18.28,-1.08,9.95,-0.95
18.28,-1.08,9.94,-0.97
18.28,-1.09,9.94,-0.97
18.28,-1.09,9.94,-1.03
18.28,-1.09,9.94,-1.03
18.29,-1.09,9.96,-1.05
18.29,-1.09,9.97,-1.06
18.29,-1.08,9.99,-1.07
18.29,-1.10,9.99,-1.08
18.29,-1.11,10.00,-1.10
18.30,-1.11,10.00,-1.10
18.30,-1.09,10.01,-1.11
18.30,-1.11,10.01,-1.11
18.30,-1.13,10.01,-1.13
18.30,-1.14,10.01,-1.12
18.31,-1.14,10.01,-1.12
18.31,-1.14,10.00,-1.09
18.31,-1.13,10.00,-1.08
18.31,-1.13,9.99,-1.07
18.31,-1.13,10.01,-1.06
18.32,-1.13,10.00,-1.03
18.32,-1.13,9.99,-1.02
18.32,-1.12,10.01,-1.00
18.32,-1.13,10.00,-0.98
18.32,-1.13,10.00,-0.98
18.33,-1.13,10.00,-0.99
18.33,-1.10,10.00,-1.00
18.33,-1.08,10.01,-1.01
18.33,-1.09,10.01,-1.01
18.33,-1.07,10.02,-1.04
18.34,-1.06,10.01,-1.06
18.34,-1.05,10.01,-1.07
18.34,-1.04,10.01,-1.09
18.34,-1.00,10.05,-1.12
18.34,-1.00,10.05,-1.12
18.35,-1.00,10.06,-1.13
18.35,-1.01,10.07,-1.13
18.35,-1.00,10.04,-1.13
18.35,-1.00,10.04,-1.12
18.35,-1.01,10.02,-1.10
18.36,-1.00,10.03,-1.09
18.36,-1.01,10.03,-1.08
18.36,-1.00,10.03,-1.07
18.36,-1.02,9.97,-1.07
18.36,-1.02,9.97,-1.07
18.37,-1.02,9.95,-1.07
18.37,-1.01,9.93,-1.08
18.37,-1.01,9.93,-1.08
18.37,-0.99,9.91,-1.08
18.37,-0.98,9.91,-1.07
18.38,-0.99,9.87,-1.07
18.38,-1.00,9.85,-1.06
18.38,-0.99,9.85,-1.05
18.38,-0.98,9.81,-1.07
18.38,-0.97,9.83,-1.07
18.39,-0.97,9.83,-1.07
18.39,-0.96,9.84,-1.07
18.39,-0.98,9.85,-1.05
18.39,-0.98,9.85,-1.04
18.39,-0.97,9.85,-1.05
18.40,-0.96,9.83,-1.06
18.40,-0.98,9.83,-1.09
18.40,-0.98,9.83,-1.10
18.40,-1.02,9.86,-1.11
18.40,-1.02,9.86,-1.13
18.41,-1.02,9.86,-1.13
18.41,-1.03,9.86,-1.13
18.41,-1.03,9.86,-1.14
18.41,-1.03,9.89,-1.16
18.41,-1.03,9.89,-1.16
18.42,-1.06,9.91,-1.17
18.42,-1.07,9.94,-1.19
18.42,-1.08,9.93,-1.19
18.42,-1.11,9.93,-1.20
18.42,-1.11,9.93,-1.20
18.43,-1.10,9.94,-1.20
18.43,-1.08,9.92,-1.20
18.43,-1.08,9.91,-1.19
18.43,-1.12,9.92,-1.15
18.43,-1.13,9.90,-1.11
18.44,-1.13,9.91,-1.09
18.44,-1.14,9.92,-1.07
18.44,-1.13,9.91,-1.06
18.44,-1.11,9.88,-1.07
18.44,-1.11,9.87,-1.07
18.45,-1.11,9.87,-1.07
18.45,-1.13,9.88,-1.05
18.45,-1.12,9.89,-1.05
18.45,-1.10,9.88,-1.07
18.45,-1.10,9.88,-1.06
18.46,-1.10,9.87,-1.07
18.46,-1.09,9.87,-1.05
18.46,-1.08,9.86,-1.04
18.46,-1.08,9.84,-1.04
18.46,-1.08,9.84,-1.04
18.47,-1.08,9.84,-1.04
18.47,-1.08,9.84,-1.05
18.47,-1.08,9.82,-1.06
18.47,-1.07,9.82,-1.06
18.47,-1.07,9.83,-1.06
18.48,-1.06,9.82,-1.07
18.48,-1.06,9.81,-1.08
18.48,-1.07,9.83,-1.10
18.48,-1.09,9.83,-1.12
18.48,-1.09,9.83,-1.12
18.49,-1.11,9.83,-1.13
18.49,-1.12,9.83,-1.14
18.49,-1.13,9.84,-1.17
18.49,-1.12,9.84,-1.17
18.49,-1.13,9.84,-1.19
18.50,-1.12,9.85,-1.20
18.50,-1.12,9.84,-1.20
18.50,-1.14,9.85,-1.22
18.50,-1.16,9.85,-1.22
18.50,-1.16,9.85,-1.22
18.51,-1.17,9.85,-1.22
18.51,-1.18,9.85,-1.23
18.51,-1.19,9.87,-1.24
18.51,-1.19,9.87,-1.24
18.51,-1.19,9.88,-1.27
18.52,-1.18,9.88,-1.27
18.52,-1.18,9.89,-1.27
18.52,-1.20,9.91,-1.27
18.52,-1.19,9.93,-1.27
18.52,-1.19,9.93,-1.27
18.53,-1.19,9.93,-1.26
18.53,-1.20,9.94,-1.25
18.53,-1.19,9.93,-1.24
18.53,-1.18,9.93,-1.22
18.53,-1.17,9.92,-1.22
18.54,-1.17,9.95,-1.20
18.54,-1.18,9.94,-1.20
18.54,-1.15,9.96,-1.18
18.54,-1.16,9.95,-1.14
18.54,-1.16,9.95,-1.14
18.55,-1.16,9.94,-1.14
18.55,-1.16,9.94,-1.14
18.55,-1.15,9.95,-1.16
18.55,-1.13,9.95,-1.15
18.55,-1.13,9.96,-1.15
18.56,-1.11,9.95,-1.16
18.56,-1.11,9.97,-1.15
18.56,-1.10,9.97,-1.15
18.56,-1.11,9.96,-1.13
18.56,-1.11,9.96,-1.13
18.57,-1.11,9.96,-1.13
18.57,-1.12,9.97,-1.11
18.57,-1.12,9.96,-1.11
18.57,-1.12,9.94,-1.12
18.57,-1.13,9.94,-1.12
18.58,-1.13,9.92,-1.14
18.58,-1.11,9.93,-1.15
18.58,-1.11,9.92,-1.15
18.58,-1.07,9.88,-1.19
18.58,-1.07,9.88,-1.19
18.59,-1.07,9.88,-1.19
18.59,-1.07,9.87,-1.18
18.59,-1.06,9.86,-1.18
18.59,-1.04,9.83,-1.19
18.59,-1.04,9.83,-1.20
18.60,-1.05,9.81,-1.20
18.60,-1.05,9.80,-1.23
18.60,-1.04,9.81,-1.24
18.60,-1.01,9.80,-1.29
18.60,-1.01,9.80,-1.29
18.61,-1.01,9.80,-1.30
18.61,-1.02,9.79,-1.30
18.61,-1.03,9.79,-1.30
18.61,-1.03,9.81,-1.30
18.61,-1.02,9.80,-1.31
18.62,-1.01,9.79,-1.32
18.62,-1.03,9.81,-1.30
18.62,-1.03,9.82,-1.30
18.62,-1.05,9.82,-1.28
18.62,-1.06,9.82,-1.27
18.63,-1.06,9.82,-1.27
18.63,-1.07,9.82,-1.24
18.63,-1.08,9.84,-1.24
18.63,-1.09,9.84,-1.22
18.63,-1.11,9.85,-1.21
18.64,-1.11,9.86,-1.20
18.64,-1.11,9.87,-1.20
18.64,-1.10,9.88,-1.19
18.64,-1.09,9.88,-1.17
18.64,-1.09,9.88,-1.17
18.65,-1.09,9.88,-1.17
18.65,-1.09,9.89,-1.19
18.65,-1.10,9.89,-1.19
18.65,-1.11,9.88,-1.19
18.65,-1.11,9.88,-1.18
18.66,-1.10,9.88,-1.17
18.66,-1.09,9.91,-1.16
18.66,-1.10,9.91,-1.13
18.66,-1.07,9.92,-1.14
18.66,-1.07,9.92,-1.14
18.67,-1.06,9.93,-1.14
18.67,-1.05,9.93,-1.14
18.67,-1.05,9.92,-1.17
18.67,-1.05,9.91,-1.19
18.67,-1.02,9.92,-1.21
18.68,-1.04,9.93,-1.23
18.68,-1.04,9.93,-1.23
18.68,-1.04,9.91,-1.25
18.68,-1.03,9.93,-1.26
18.68,-1.03,9.93,-1.26
18.69,-1.03,9.93,-1.26
18.69,-1.02,9.93,-1.26
18.69,-1.01,9.92,-1.28
18.69,-1.00,9.91,-1.29
18.69,-0.98,9.92,-1.29
18.70,-0.97,9.93,-1.28
18.70,-0.97,9.92,-1.28
18.70,-1.01,9.91,-1.29
18.70,-1.03,9.89,-1.30
18.70,-1.03,9.89,-1.30
18.71,-1.04,9.90,-1.31
18.71,-1.05,9.90,-1.32
18.71,-1.06,9.89,-1.32
18.71,-1.07,9.88,-1.32
18.71,-1.06,9.87,-1.31
18.72,-1.07,9.87,-1.32
18.72,-1.08,9.86,-1.31
18.72,-1.10,9.87,-1.30
18.72,-1.12,9.86,-1.32
18.72,-1.12,9.86,-1.32
18.73,-1.13,9.86,-1.31
18.73,-1.14,9.89,-1.30
18.73,-1.16,9.89,-1.30
18.73,-1.18,9.87,-1.29
18.73,-1.19,9.88,-1.29
18.74,-1.21,9.88,-1.28
18.74,-1.22,9.88,-1.27
18.74,-1.23,9.88,-1.26
18.74,-1.26,9.90,-1.25
18.74,-1.26,9.90,-1.25
18.75,-1.26,9.90,-1.26
18.75,-1.25,9.90,-1.25
18.75,-1.25,9.90,-1.26
18.75,-1.23,9.91,-1.29
18.75,-1.23,9.91,-1.30
18.76,-1.25,9.92,-1.31
18.76,-1.25,9.91,-1.33
18.76,-1.24,9.91,-1.34
18.76,-1.22,9.90,-1.35
18.76,-1.21,9.90,-1.35
18.77,-1.21,9.90,-1.35
18.77,-1.20,9.89,-1.35
18.77,-1.19,9.89,-1.36
18.77,-1.18,9.90,-1.36
18.77,-1.13,9.88,-1.37
18.78,-1.11,9.88,-1.36
18.78,-1.10,9.86,-1.35
18.78,-1.09,9.86,-1.36
18.78,-1.03,9.84,-1.37
18.78,-1.03,9.84,-1.37
18.79,-1.03,9.84,-1.37
18.79,-1.01,9.83,-1.35
18.79,-1.02,9.82,-1.36
18.79,-0.99,9.79,-1.34
18.79,-0.94,9.79,-1.34
18.80,-0.93,9.79,-1.34
18.80,-0.91,9.78,-1.34
18.80,-0.88,9.75,-1.36
18.80,-0.85,9.73,-1.39
18.80,-0.85,9.72,-1.40
18.81,-0.85,9.72,-1.40
18.81,-0.85,9.69,-1.42
18.81,-0.85,9.68,-1.45
18.81,-0.85,9.67,-1.47
18.81,-0.87,9.64,-1.51
18.82,-0.88,9.64,-1.52
18.82,-0.91,9.62,-1.55
18.82,-0.91,9.62,-1.58
18.82,-0.96,9.60,-1.59
18.82,-0.96,9.60,-1.59
18.83,-0.96,9.60,-1.59
18.83,-1.02,9.59,-1.59
18.83,-1.06,9.59,-1.60
18.83,-1.08,9.59,-1.61
18.83,-1.12,9.60,-1.61
18.84,-1.16,9.61,-1.61
