Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
20.05,1.80,9.95,-0.25
20.05,1.77,9.96,-0.27
20.06,1.77,9.96,-0.26
20.06,1.77,9.97,-0.24
20.06,1.75,9.99,-0.23
20.06,1.73,10.00,-0.23
20.06,1.74,9.99,-0.23
20.07,1.76,10.00,-0.22
20.07,1.76,10.00,-0.22
20.07,1.76,10.00,-0.21
20.07,1.77,9.99,-0.21
20.07,1.76,9.98,-0.20
20.08,1.77,9.97,-0.18
20.08,1.76,9.96,-0.17
20.08,1.74,9.93,-0.18
20.08,1.73,9.93,-0.18
20.08,1.74,9.91,-0.20
20.09,1.76,9.86,-0.21
20.09,1.76,9.86,-0.21
20.09,1.75,9.85,-0.22
20.09,1.74,9.84,-0.23
20.09,1.73,9.82,-0.25
20.10,1.71,9.81,-0.23
20.10,1.71,9.81,-0.24
20.10,1.74,9.80,-0.27
20.10,1.73,9.79,-0.29
20.10,1.74,9.78,-0.30
20.11,1.70,9.77,-0.28
20.11,1.70,9.77,-0.28
20.11,1.70,9.77,-0.28
20.11,1.70,9.75,-0.32
20.11,1.70,9.74,-0.31
20.12,1.70,9.73,-0.30
20.12,1.70,9.74,-0.31
20.12,1.67,9.73,-0.31
20.12,1.68,9.73,-0.32
20.12,1.69,9.73,-0.33
20.13,1.70,9.71,-0.32
20.13,1.70,9.71,-0.32
20.13,1.70,9.70,-0.33
20.13,1.68,9.70,-0.34
20.13,1.68,9.70,-0.33
20.14,1.70,9.69,-0.33
20.14,1.71,9.69,-0.34
20.14,1.70,9.69,-0.33
20.14,1.69,9.72,-0.35
20.14,1.69,9.72,-0.35
20.15,1.68,9.73,-0.36
20.15,1.69,9.74,-0.35
20.15,1.69,9.74,-0.35
20.15,1.71,9.75,-0.34
20.15,1.71,9.76,-0.33
20.16,1.68,9.77,-0.32
20.16,1.65,9.78,-0.31
20.16,1.64,9.79,-0.30
20.16,1.68,9.80,-0.30
20.16,1.69,9.79,-0.31
20.17,1.68,9.81,-0.31
20.17,1.68,9.81,-0.31
20.17,1.68,9.81,-0.31
20.17,1.66,9.80,-0.32
20.17,1.66,9.80,-0.32
20.18,1.68,9.81,-0.32
20.18,1.70,9.82,-0.32
20.18,1.68,9.83,-0.32
20.18,1.64,9.83,-0.32
20.18,1.62,9.81,-0.30
20.19,1.63,9.83,-0.31
20.19,1.65,9.82,-0.31
20.19,1.65,9.82,-0.31
20.19,1.68,9.83,-0.31
20.19,1.65,9.80,-0.31
20.20,1.64,9.79,-0.30
20.20,1.64,9.79,-0.28
20.20,1.66,9.78,-0.28
20.20,1.68,9.77,-0.27
20.20,1.67,9.77,-0.30
20.21,1.67,9.78,-0.28
20.21,1.68,9.78,-0.28
20.21,1.68,9.78,-0.28
20.21,1.69,9.77,-0.28
20.21,1.70,9.77,-0.30
20.22,1.69,9.78,-0.29
20.22,1.70,9.79,-0.30
20.22,1.69,9.79,-0.31
20.22,1.68,9.79,-0.31
20.22,1.68,9.79,-0.32
20.23,1.62,9.80,-0.30
20.23,1.62,9.80,-0.30
20.23,1.61,9.80,-0.29
20.23,1.61,9.81,-0.29
20.23,1.63,9.86,-0.27
20.24,1.63,9.90,-0.27
20.24,1.64,9.92,-0.27
20.24,1.65,9.95,-0.26
20.24,1.67,9.95,-0.26
20.24,1.70,9.95,-0.25
20.25,1.70,9.90,-0.28
20.25,1.70,9.90,-0.28
20.25,1.69,9.90,-0.27
20.25,1.69,9.90,-0.27
20.25,1.67,9.88,-0.25
20.26,1.66,9.85,-0.23
20.26,1.66,9.85,-0.22
20.26,1.65,9.86,-0.19
20.26,1.66,9.86,-0.18
20.26,1.70,9.84,-0.19
20.27,1.69,9.84,-0.16
20.27,1.69,9.84,-0.16
20.27,1.68,9.83,-0.16
20.27,1.70,9.83,-0.17
20.27,1.71,9.84,-0.16
20.28,1.74,9.82,-0.17
20.28,1.74,9.81,-0.17
20.28,1.71,9.82,-0.16
20.28,1.72,9.83,-0.17
20.28,1.73,9.84,-0.18
20.29,1.72,9.82,-0.19
20.29,1.74,9.81,-0.20
20.29,1.74,9.81,-0.20
20.29,1.77,9.81,-0.20
20.29,1.75,9.80,-0.21
20.30,1.74,9.83,-0.22
20.30,1.76,9.83,-0.22
20.30,1.76,9.83,-0.22
20.30,1.74,9.83,-0.23
20.30,1.72,9.83,-0.23
20.31,1.73,9.82,-0.24
20.31,1.73,9.82,-0.24
20.31,1.73,9.82,-0.24
20.31,1.74,9.82,-0.23
20.31,1.74,9.81,-0.24
20.32,1.74,9.82,-0.25
20.32,1.69,9.83,-0.23
20.32,1.69,9.83,-0.22
20.32,1.71,9.84,-0.21
20.32,1.72,9.84,-0.21
20.33,1.70,9.82,-0.20
20.33,1.71,9.83,-0.20
20.33,1.71,9.83,-0.20
20.33,1.70,9.83,-0.21
20.33,1.70,9.81,-0.21
20.34,1.70,9.80,-0.20
20.34,1.71,9.81,-0.17
20.34,1.70,9.82,-0.16
20.34,1.70,9.83,-0.13
20.34,1.70,9.81,-0.12
20.35,1.72,9.83,-0.11
20.35,1.72,9.83,-0.11
20.35,1.72,9.83,-0.11
20.35,1.73,9.84,-0.10
20.35,1.71,9.85,-0.10
20.36,1.70,9.85,-0.10
20.36,1.71,9.85,-0.09
20.36,1.71,9.86,-0.10
20.36,1.73,9.85,-0.09
20.36,1.72,9.85,-0.10
20.37,1.71,9.85,-0.09
20.37,1.70,9.84,-0.09
20.37,1.70,9.85,-0.09
20.37,1.71,9.85,-0.11
20.37,1.69,9.87,-0.11
20.38,1.69,9.89,-0.11
20.38,1.70,9.90,-0.11
20.38,1.72,9.90,-0.10
20.38,1.75,9.89,-0.11
20.38,1.74,9.86,-0.12
20.39,1.65,9.84,-0.11
20.39,1.65,9.84,-0.11
20.39,1.64,9.83,-0.10
20.39,1.64,9.83,-0.10
20.39,1.66,9.82,-0.09
20.40,1.66,9.82,-0.09
20.40,1.70,9.82,-0.09
20.40,1.70,9.81,-0.08
20.40,1.69,9.80,-0.07
20.40,1.69,9.79,-0.08
20.41,1.71,9.78,-0.05
20.41,1.73,9.78,-0.05
20.41,1.73,9.78,-0.05
20.41,1.74,9.78,-0.05
20.41,1.72,9.80,-0.04
20.42,1.71,9.84,-0.06
20.42,1.73,9.85,-0.06
20.42,1.77,9.86,-0.06
20.42,1.79,9.86,-0.07
20.42,1.81,9.87,-0.12
20.43,1.83,9.86,-0.18
20.43,1.83,9.86,-0.18
20.43,1.84,9.85,-0.19
20.43,1.85,9.85,-0.20
20.43,1.82,9.87,-0.18
20.44,1.79,9.88,-0.13
20.44,1.77,9.87,-0.11
20.44,1.76,9.86,-0.09
20.44,1.75,9.86,-0.08
20.44,1.74,9.87,-0.08
20.45,1.77,9.87,-0.08
20.45,1.77,9.87,-0.08
20.45,1.78,9.86,-0.10
20.45,1.79,9.85,-0.11
20.45,1.78,9.85,-0.12
20.46,1.76,9.87,-0.13
20.46,1.76,9.88,-0.14
20.46,1.75,9.88,-0.14
20.46,1.78,9.89,-0.13
20.46,1.78,9.89,-0.14
20.47,1.80,9.90,-0.11
20.47,1.78,9.90,-0.11
20.47,1.78,9.90,-0.11
20.47,1.77,9.90,-0.10
20.47,1.78,9.90,-0.08
20.48,1.80,9.88,-0.06
20.48,1.81,9.86,-0.03
20.48,1.81,9.85,-0.03
20.48,1.83,9.84,0.00
20.48,1.82,9.83,0.01
20.49,1.81,9.79,0.06
20.49,1.81,9.79,0.06
20.49,1.83,9.78,0.07
20.49,1.86,9.78,0.08
20.49,1.87,9.78,0.07
20.50,1.87,9.76,0.05
20.50,1.87,9.76,0.07
20.50,1.88,9.75,0.07
20.50,1.89,9.72,0.06
20.50,1.89,9.71,0.06
20.51,1.89,9.71,0.06
20.51,1.89,9.71,0.06
20.51,1.89,9.71,0.06
20.51,1.90,9.70,0.04
20.51,1.90,9.69,0.02
20.52,1.89,9.69,0.01
