Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
20.28,0.02,-0.02,-0.02
20.28,0.03,-0.02,-0.02
20.28,0.02,-0.02,-0.02
20.29,0.02,-0.02,-0.02
20.29,0.02,-0.02,-0.02
20.29,0.02,-0.01,-0.02
20.29,0.02,-0.01,-0.02
20.29,0.02,-0.01,-0.02
20.30,0.02,-0.01,-0.02
20.30,0.02,-0.01,-0.02
20.30,0.02,-0.01,-0.02
20.30,0.02,0.00,-0.01
20.30,0.02,0.00,-0.01
20.31,0.02,-0.01,-0.01
20.31,0.02,0.00,-0.01
20.31,0.02,0.00,-0.01
20.31,0.02,0.00,-0.01
20.31,0.02,0.00,-0.01
20.32,0.02,0.00,-0.01
20.32,0.02,0.00,-0.01
20.32,0.02,0.00,-0.01
20.32,0.02,0.00,-0.01
20.32,0.02,0.00,-0.01
20.33,0.02,0.00,-0.01
20.33,0.01,0.00,-0.01
20.33,0.02,0.00,-0.01
20.33,0.02,0.00,-0.01
20.33,0.02,0.00,-0.01
20.34,0.02,0.00,0.00
20.34,0.02,0.00,-0.01
20.34,0.02,0.00,0.00
20.34,0.02,0.00,-0.01
20.34,0.02,0.00,0.00
20.35,0.02,0.00,0.00
20.35,0.02,0.00,-0.01
20.35,0.02,0.00,0.00
20.35,0.02,0.00,0.00
20.35,0.02,0.00,0.00
20.36,0.02,0.00,0.00
20.36,0.02,0.00,0.00
20.36,0.02,0.01,0.00
20.36,0.02,0.01,0.00
20.36,0.02,0.01,0.00
20.37,0.02,0.01,0.00
20.37,0.01,0.01,0.00
20.37,0.02,0.01,0.00
20.37,0.02,0.01,0.00
20.37,0.02,0.02,0.00
20.38,0.02,0.01,0.00
20.38,0.02,0.02,0.00
20.38,0.02,0.02,0.00
20.38,0.02,0.02,0.00
20.38,0.02,0.02,0.00
20.39,0.01,0.02,0.00
20.39,0.01,0.01,0.00
20.39,0.01,0.01,0.00
20.39,0.01,0.02,0.00
20.39,0.01,0.01,0.00
20.40,0.02,0.01,0.00
20.40,0.01,0.01,0.00
20.40,0.01,0.01,0.00
20.40,0.01,0.01,0.00
20.40,0.01,0.01,0.00
20.41,0.02,0.01,0.00
20.41,0.01,0.01,0.00
20.41,0.02,0.01,0.00
20.41,0.02,0.01,-0.01
20.41,0.02,0.00,0.00
20.42,0.02,0.00,0.00
20.42,0.02,0.00,0.00
20.42,0.02,0.00,0.00
20.42,0.02,0.00,0.00
20.42,0.02,0.00,0.00
20.43,0.02,0.00,0.00
20.43,0.01,-0.01,0.00
20.43,0.02,0.00,0.00
20.43,0.01,0.00,0.00
20.43,0.01,0.00,0.00
20.44,0.02,-0.01,0.00
20.44,0.01,0.00,0.00
20.44,0.01,-0.01,0.00
20.44,0.01,-0.01,0.00
20.44,0.01,-0.01,0.00
20.45,0.02,0.00,0.00
20.45,0.02,0.00,0.00
20.45,0.01,0.00,0.00
20.45,0.02,0.00,0.00
20.45,0.01,0.00,0.00
20.46,0.02,-0.01,0.00
20.46,0.02,0.00,0.00
20.46,0.01,-0.01,0.00
20.46,0.02,-0.01,0.00
20.46,0.02,0.00,0.00
20.47,0.02,-0.01,0.00
20.47,0.02,-0.01,0.00
20.47,0.02,-0.01,0.00
20.47,0.02,-0.01,0.00
20.47,0.02,-0.01,0.00
20.48,0.02,-0.01,0.00
20.48,0.02,-0.01,0.00
20.48,0.02,-0.01,0.00
20.48,0.02,-0.01,0.00
20.48,0.02,-0.02,0.00
20.49,0.02,-0.02,0.00
20.49,0.02,-0.02,0.00
20.49,0.02,-0.02,0.00
20.49,0.02,-0.02,0.00
20.49,0.02,-0.01,0.00
20.50,0.02,-0.02,0.00
20.50,0.02,-0.02,-0.01
20.50,0.02,-0.02,0.00
20.50,0.02,-0.02,-0.01
20.50,0.02,-0.02,-0.01
20.51,0.02,-0.02,0.00
20.51,0.02,-0.02,0.00
20.51,0.02,-0.02,0.00
20.51,0.02,-0.02,0.00
20.51,0.03,-0.02,0.00
20.52,0.02,-0.02,0.00
20.52,0.02,-0.02,0.00
20.52,0.03,-0.02,0.00
20.52,0.02,-0.02,0.00
20.52,0.03,-0.02,0.00
20.53,0.02,-0.02,0.00
20.53,0.02,-0.02,0.00
20.53,0.02,-0.02,0.00
20.53,0.02,-0.01,0.00
20.53,0.03,-0.01,0.00
20.54,0.02,-0.01,0.00
20.54,0.02,-0.01,0.01
20.54,0.02,-0.01,0.00
20.54,0.02,-0.01,0.01
20.54,0.02,-0.02,0.01
20.55,0.02,-0.02,0.01
20.55,0.02,-0.02,0.01
20.55,0.01,-0.02,0.01
