"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.299333333E-3,2.962339783E-1,9.760453033E0,8.937913513E-1
1.197333333E-2,3.366499329E-1,9.760752411E0,8.433462524E-1
2.164733333E-2,3.221301270E-1,9.723779297E0,8.050259399E-1
3.132133333E-2,3.338058472E-1,9.724677429E0,8.219407654E-1
4.102633333E-2,3.737727356E-1,9.707912292E0,8.493338013E-1
5.070033333E-2,3.430865479E-1,9.690548401E0,8.881031799E-1
6.037433333E-2,3.897894287E-1,9.803264008E0,9.017248535E-1
7.004833333E-2,3.366499329E-1,9.808054047E0,8.785231018E-1
7.975333333E-2,3.125500488E-1,9.790989532E0,8.692424011E-1
8.942733333E-2,3.412902832E-1,9.799821167E0,8.563691711E-1
9.910133333E-2,3.362008667E-1,9.800868988E0,8.496331787E-1
1.087753333E-1,3.436853027E-1,9.799072723E0,8.830137634E-1
1.184493333E-1,3.565585327E-1,9.805209961E0,8.782237244E-1
1.281533333E-1,3.912863159E-1,9.792935486E0,8.761280823E-1
1.378283333E-1,3.890409851E-1,9.776619415E0,8.723858643E-1
1.475023333E-1,3.824546814E-1,9.758507080E0,8.592132568E-1
1.571763333E-1,3.400927734E-1,9.775421906E0,8.345146179E-1
1.668503333E-1,3.640429688E-1,9.758058014E0,8.484356689E-1
1.765543333E-1,4.129911804E-1,9.767039337E0,8.729846191E-1
1.862283333E-1,4.204756165E-1,9.756561127E0,9.101074219E-1
1.959023333E-1,3.894900513E-1,9.765841827E0,8.910969543E-1
2.055773333E-1,3.543132019E-1,9.760303345E0,9.122030640E-1
2.152513333E-1,3.531156921E-1,9.722581787E0,9.083111572E-1
2.249553333E-1,3.526666260E-1,9.775272217E0,9.265731812E-1
2.346293333E-1,3.836521912E-1,9.803563385E0,9.196875000E-1
2.443033333E-1,4.393363953E-1,9.804611206E0,9.460327148E-1
2.539773333E-1,4.436773682E-1,9.761351166E0,9.318122864E-1
2.636823333E-1,4.525090027E-1,9.791288910E0,9.126521301E-1
2.733563333E-1,4.469705200E-1,9.782307587E0,9.295669556E-1
2.830303333E-1,4.203259277E-1,9.761500854E0,9.372010803E-1
2.927043333E-1,4.191284180E-1,9.749825134E0,9.047186279E-1
3.024093333E-1,4.463717651E-1,9.758507080E0,9.258247375E-1
3.120833333E-1,4.534071350E-1,9.766440582E0,9.282197571E-1
3.217573333E-1,4.402345276E-1,9.760902100E0,9.104067993E-1
3.314313333E-1,5.258564758E-1,9.747879181E0,9.803114319E-1
3.411053333E-1,4.972659302E-1,9.766739960E0,9.336085510E-1
3.508103333E-1,5.219645691E-1,9.762398987E0,9.729766846E-1
3.604843333E-1,5.252577209E-1,9.715696106E0,9.798623657E-1
3.701583333E-1,4.834945679E-1,9.712552643E0,9.973759460E-1
3.798323333E-1,4.926255798E-1,9.705816650E0,9.794132996E-1
3.895063333E-1,5.022056580E-1,9.719887390E0,1.008303223E0
3.992113333E-1,4.990621948E-1,9.760902100E0,1.043929138E0
4.088853333E-1,4.793032837E-1,9.782157898E0,1.039139099E0
4.185593333E-1,4.508624268E-1,9.762548676E0,9.906399536E-1
4.282333333E-1,4.605921936E-1,9.765542450E0,9.877958679E-1
4.379073333E-1,4.260140991E-1,9.738299103E0,9.972262573E-1
4.475813333E-1,4.152365112E-1,9.754315796E0,9.455836487E-1
4.572863333E-1,3.712280273E-1,9.704619141E0,9.583071899E-1
4.669344167E-1,4.266128540E-1,9.652826843E0,9.117539978E-1
4.766084167E-1,4.299060059E-1,9.603728943E0,9.909393311E-1
4.862824167E-1,4.568499756E-1,9.624835052E0,9.862989807E-1
4.959564167E-1,4.093986511E-1,9.702673187E0,9.867480469E-1
5.056304167E-1,3.161425781E-1,9.835746460E0,9.598040771E-1
5.153354167E-1,2.790197754E-1,9.869127045E0,9.506730652E-1
5.250094167E-1,2.412982178E-1,9.900861053E0,9.020242310E-1
5.346834167E-1,2.146536255E-1,9.895621948E0,8.749305725E-1
5.443574167E-1,2.095642090E-1,9.850415955E0,8.725355530E-1
5.540614167E-1,2.339634705E-1,9.769584045E0,8.538244629E-1
5.637354167E-1,3.124003601E-1,9.712103577E0,9.000782776E-1
5.734094167E-1,3.396437073E-1,9.750274200E0,8.910969543E-1
5.830844167E-1,3.597019958E-1,9.722432098E0,9.352551270E-1
5.927584167E-1,3.897894287E-1,9.752968597E0,9.725276184E-1
6.024324167E-1,3.679348755E-1,9.749974823E0,9.684860229E-1
6.121364167E-1,3.802093506E-1,9.736652527E0,9.816586304E-1
6.218104167E-1,3.534150696E-1,9.727072449E0,9.765692139E-1
6.314844167E-1,3.698808289E-1,9.670490112E0,9.904902649E-1
6.411584167E-1,3.969744873E-1,9.718540192E0,9.383985901E-1
6.508334167E-1,4.447251892E-1,9.711804199E0,9.358538818E-1
6.605074167E-1,4.713697815E-1,9.705966339E0,9.045689392E-1
6.702114167E-1,4.797523499E-1,9.749974823E0,9.036708069E-1
6.798854167E-1,4.849914551E-1,9.788744202E0,8.966354370E-1
6.895594167E-1,4.802014160E-1,9.758507080E0,9.117539978E-1
6.992334167E-1,4.933740234E-1,9.703271942E0,8.821156311E-1
7.089084167E-1,5.125341797E-1,9.656269684E0,9.375004578E-1
7.186124167E-1,5.557942200E-1,9.707463226E0,9.410929871E-1
7.282864167E-1,4.682263184E-1,9.691596222E0,9.430389404E-1
7.379604167E-1,5.068460083E-1,9.336384888E0,8.904981995E-1
7.476344167E-1,4.911286926E-1,9.313931580E0,8.153544617E-1
7.573084167E-1,4.906796265E-1,9.390572205E0,7.470964050E-1
7.670134167E-1,3.733236694E-1,9.260941772E0,8.036787415E-1
7.766874167E-1,2.451901245E-1,9.720486145E0,9.515711975E-1
7.863614167E-1,4.299060059E-1,8.992250519E0,9.536668396E-1
7.960354167E-1,4.517605591E-1,8.178093567E0,9.479786682E-1
8.057094167E-1,3.239263916E-1,1.030951126E1,1.225501556E0
8.153834167E-1,3.673361206E-1,1.074929672E1,9.752220154E-1
8.250884167E-1,3.281176758E-1,1.035890854E1,8.988807678E-1
8.347624167E-1,3.008743286E-1,9.913285217E0,8.792715454E-1
8.444364167E-1,3.311114502E-1,9.918973389E0,8.996292114E-1
8.541104167E-1,4.266128540E-1,9.996212769E0,9.404942322E-1
8.638154167E-1,3.894900513E-1,1.018302429E1,9.818083191E-1
8.734894167E-1,3.827540588E-1,1.018362305E1,9.734257507E-1
8.831634167E-1,3.085084534E-1,1.012868729E1,9.647438049E-1
8.928374167E-1,3.110531616E-1,1.005234604E1,8.890013123E-1
9.025114167E-1,3.161425781E-1,9.758956146E0,8.412506104E-1
9.122164167E-1,3.896397400E-1,9.482331390E0,8.434959412E-1
9.218904167E-1,4.724176025E-1,9.465266876E0,9.202862549E-1
9.315644167E-1,5.313949585E-1,9.439670105E0,9.361532593E-1
9.412384167E-1,4.406835938E-1,9.292077026E0,8.773255920E-1
9.509124167E-1,3.954776001E-1,9.042396240E0,8.003855896E-1
9.605864167E-1,3.513194275E-1,8.924142151E0,7.541317749E-1
9.702914167E-1,3.207829285E-1,8.745413818E0,7.699987793E-1
9.799654167E-1,4.052073669E-1,8.886570282E0,9.075627136E-1
9.896394167E-1,5.189707947E-1,8.987909546E0,9.925859070E-1
9.993134167E-1,4.435276794E-1,9.154962158E0,9.937834167E-1
1.008987417E0,4.466711426E-1,9.231153717E0,9.587562561E-1
1.018691417E0,3.984713745E-1,8.972641296E0,8.478369141E-1
1.028366417E0,3.475772095E-1,9.257648621E0,8.108638000E-1
1.038040417E0,3.469784546E-1,1.002929398E1,7.012916565E-1
1.047714417E0,3.847000122E-1,1.034738251E1,7.584727478E-1
1.057388417E0,3.869453430E-1,1.065095123E1,7.923023987E-1
1.067092417E0,4.065545654E-1,1.086201233E1,8.928932190E-1
1.076766417E0,3.600013733E-1,1.086740112E1,8.161029053E-1
1.086440417E0,3.097059631E-1,1.074914703E1,7.911048889E-1
1.096115417E0,2.911445618E-1,1.011731094E1,8.291258240E-1
1.105819417E0,2.667453003E-1,9.722282410E0,8.430468750E-1
1.115493417E0,2.567161560E-1,9.744436340E0,8.803193665E-1
1.125167417E0,2.523751831E-1,9.736502838E0,8.493338013E-1
1.134841417E0,2.809657288E-1,9.484726410E0,8.283773804E-1
1.144515417E0,2.954855347E-1,9.481582947E0,7.711962891E-1
1.154220417E0,3.338058472E-1,9.498198395E0,7.625143433E-1
1.163894417E0,3.823049927E-1,9.601333923E0,7.563771057E-1
1.173568417E0,3.266207886E-1,9.781110077E0,7.890092468E-1
1.183242417E0,3.622467041E-1,9.341474304E0,7.749385071E-1
1.192916417E0,4.049079895E-1,9.195378113E0,7.596702576E-1
1.202621417E0,4.035607910E-1,9.089099121E0,7.147636414E-1
1.212295417E0,5.087919617E-1,9.075327759E0,7.450007629E-1
1.221969417E0,5.415737915E-1,8.778495026E0,7.156617737E-1
1.231643417E0,3.101550293E-1,9.293573914E0,7.095245361E-1
1.241317417E0,2.185455322E-2,9.110953674E0,5.902226257E-1
1.250991417E0,-2.398013306E-1,9.101523285E0,6.770420837E-1
1.260696417E0,1.336720276E-1,1.110375961E1,9.096583557E-1
1.270370417E0,6.791377258E-1,1.103565125E1,6.881190491E-1
1.280044417E0,5.084925842E-1,1.168215683E1,7.316784668E-1
1.289718417E0,5.507048035E-1,1.099493591E1,8.672964478E-1
1.299392417E0,5.325924683E-1,1.087997498E1,9.638456726E-1
1.309066417E0,6.150709534E-1,1.086231171E1,1.021625519E0
1.318771417E0,5.757028198E-1,1.089928482E1,9.111552429E-1
1.328445417E0,3.318598938E-1,1.075258987E1,9.372010803E-1
1.338119417E0,2.417472839E-1,1.056832306E1,9.027726746E-1
1.347793417E0,2.353106689E-1,9.780361633E0,8.623567200E-1
1.357498417E0,2.624043274E-1,9.674980774E0,8.071215820E-1
1.367172417E0,3.480262756E-1,9.752968597E0,7.385641479E-1
1.376846417E0,3.183879089E-1,9.656868439E0,7.453001404E-1
1.386520417E0,3.001258850E-1,9.471104736E0,7.039860535E-1
1.396194417E0,3.471281433E-1,9.572144623E0,7.210505676E-1
1.405898417E0,4.975653076E-1,7.844587097E0,6.694079590E-1
1.415573417E0,5.194198608E-1,7.834557953E0,8.187973022E-1
1.425247417E0,3.920347595E-1,9.509724426E0,9.068142700E-1
1.434921417E0,3.808081055E-1,9.995614014E0,7.930508423E-1
1.444595417E0,3.465293884E-1,9.978250122E0,7.830216980E-1
1.454269417E0,3.562591553E-1,9.697583771E0,7.752378845E-1
1.463939542E0,4.011657715E-1,9.411828003E0,8.337661743E-1
1.473613542E0,4.291575623E-1,9.502090302E0,8.963360596E-1
1.483288542E0,4.706213379E-1,9.176217957E0,9.783654785E-1
1.492962542E0,5.147795105E-1,8.972940674E0,1.062191162E0
1.502666542E0,4.799020386E-1,9.529183960E0,1.049766998E0
1.512340542E0,4.517605591E-1,1.025128235E1,9.234297180E-1
1.522014542E0,4.016148376E-1,1.043315414E1,7.297325134E-1
1.531688542E0,3.382965088E-1,1.032822235E1,5.647755432E-1
1.541363542E0,2.742297363E-1,1.047701294E1,5.363346863E-1
1.551037542E0,2.423460388E-1,1.055125854E1,6.616241455E-1
1.560711542E0,2.350112915E-1,1.031250504E1,8.210426331E-1
1.570415542E0,3.044668579E-1,1.034124527E1,9.324110413E-1
1.580089542E0,3.978726196E-1,1.063957489E1,9.783654785E-1
1.589763542E0,4.590953064E-1,1.040695862E1,9.800120544E-1
1.599437542E0,4.424798584E-1,1.004965164E1,1.004111938E0
1.609142542E0,5.222639465E-1,9.901609497E0,1.004561005E0
1.618816542E0,6.060896301E-1,9.880802765E0,9.395960999E-1
1.628490542E0,5.876779175E-1,9.920021210E0,9.383985901E-1
1.638164542E0,6.505471802E-1,1.002031265E1,9.571096802E-1
1.647838542E0,5.763015747E-1,1.002315674E1,1.007405090E0
1.657543542E0,5.644761658E-1,9.994416504E0,1.021625519E0
1.667217542E0,5.411247253E-1,9.964778137E0,1.131047974E0
1.676891542E0,5.221142578E-1,1.008527756E1,8.626560974E-1
1.686565542E0,4.315525818E-1,9.919572144E0,8.128097534E-1
1.696239542E0,4.504133606E-1,9.882449341E0,7.797285461E-1
1.705944542E0,4.522096252E-1,9.945468292E0,6.313870239E-1
1.715618542E0,3.890409851E-1,9.896520081E0,6.357279968E-1
1.725292542E0,3.456312561E-1,9.840536499E0,5.875282288E-1
1.734966542E0,3.168910217E-1,9.908345490E0,6.846762085E-1
1.744671542E0,1.155596924E-1,9.728719025E0,6.638694763E-1
1.754345542E0,9.879455566E-2,9.814340973E0,7.482939148E-1
1.764019542E0,-1.586700439E-2,1.024394760E1,1.355431366E0
1.773693542E0,2.375559998E-1,9.641899567E0,5.978567505E-1
1.783397542E0,8.906478882E-1,9.412127380E0,1.081950073E0
1.793071542E0,4.658312988E-1,9.498797150E0,8.006849670E-1
1.802746542E0,2.475851440E-1,9.532626801E0,7.676037598E-1
1.812420542E0,2.544708252E-2,9.755064240E0,7.641609192E-1
1.822094542E0,-7.499404907E-2,9.892927551E0,8.039781189E-1
1.831768542E0,-8.038284302E-2,9.825417938E0,8.503816223E-1
1.841472542E0,4.086502075E-2,9.738598480E0,9.865983582E-1
1.851146542E0,1.953437805E-1,9.608369293E0,1.147962799E0
1.860821542E0,4.415817261E-1,9.530830536E0,1.291364594E0
1.870495542E0,6.170169067E-1,9.595196686E0,1.323847046E0
1.880169542E0,5.077441406E-1,9.616751862E0,1.244961090E0
1.889843542E0,6.592291260E-1,9.450747070E0,1.219813385E0
1.899547542E0,6.230044556E-1,9.473200378E0,1.188528442E0
1.909221542E0,5.492079163E-1,9.562564545E0,1.151405640E0
1.918895542E0,5.216651917E-1,9.586664429E0,1.156195679E0
1.928570542E0,4.411326599E-1,9.657766571E0,1.160536652E0
1.938244542E0,5.614823914E-1,9.389225006E0,1.078806610E0
1.947948542E0,4.752616882E-1,9.952803040E0,9.343569946E-1
1.957622542E0,3.866459656E-1,9.812544708E0,8.303233337E-1
1.967296542E0,5.152285767E-1,9.753118286E0,8.372090149E-1
1.976970542E0,6.216572571E-1,9.683513031E0,8.072712708E-1
1.986644542E0,3.243754578E-1,9.957293701E0,1.066831512E0
1.996349542E0,3.360511780E-1,9.995763702E0,1.063688049E0
2.006023542E0,3.028202820E-1,9.917925568E0,1.076411591E0
2.015697542E0,4.279600525E-1,9.795480194E0,1.114282837E0
2.025371542E0,4.975653076E-1,9.756561127E0,1.031954041E0
2.035076542E0,4.507127380E-1,9.811047821E0,9.503736877E-1
2.044750542E0,5.150788879E-1,9.875563660E0,9.852511597E-1
2.054424542E0,6.036946106E-1,9.726922760E0,1.005309448E0
2.064098542E0,6.640191650E-1,1.001657043E1,9.886940002E-1
2.073803542E0,5.406756592E-1,9.829758911E0,9.478289795E-1
2.083477542E0,4.670288086E-1,9.614506531E0,9.461824036E-1
2.093151542E0,3.516188049E-1,9.671987000E0,9.380992126E-1
2.102825542E0,1.196012878E-1,9.547895050E0,8.146060181E-1
2.112499542E0,6.735992432E-3,9.642648010E0,7.743397522E-1
2.122173542E0,1.363664246E-1,9.855505371E0,8.994795227E-1
2.131878542E0,4.348457336E-1,9.916877747E0,1.303339691E0
2.141552542E0,7.415579224E-1,9.652377777E0,1.393152924E0
2.151226542E0,9.354048157E-1,9.563462677E0,1.306183777E0
2.160900542E0,1.156944122E0,9.999805298E0,1.352587280E0
2.170604542E0,-1.125659180E-1,1.052057236E1,9.919871521E-1
2.180279542E0,-2.963836670E-2,9.318721619E0,9.261241150E-1
2.189953542E0,5.382806396E-1,9.329798584E0,9.975256348E-1
2.199627542E0,9.175918579E-2,9.621841278E0,9.654922485E-1
2.209301542E0,4.249662781E-1,1.030217651E1,1.366208954E0
2.219005542E0,-3.562591553E-2,1.007225464E1,7.125183105E-1
2.228679542E0,3.915856934E-1,9.949958954E0,1.239572296E0
2.238353542E0,4.122427368E-1,9.478439484E0,9.219328308E-1
2.248028542E0,4.400848389E-2,9.359436951E0,7.816744995E-1
2.257732542E0,2.839595032E-1,9.367220764E0,1.125659180E0
2.267406542E0,6.725514221E-1,9.714648285E0,1.338067474E0
2.277080542E0,8.045768738E-1,1.001672012E1,1.378333740E0
2.286754542E0,6.300398254E-1,9.872420197E0,1.184786224E0
2.296428542E0,2.668949890E-1,9.781110077E0,8.461903381E-1
2.306133542E0,1.133143616E-1,9.824220428E0,7.051835632E-1
2.315807542E0,1.628613281E-1,9.793085175E0,8.205935669E-1
2.325481542E0,1.815724182E-1,9.750723267E0,9.888436890E-1
2.335155542E0,1.833686829E-1,9.744885406E0,1.114432526E0
2.344829542E0,1.278341675E-1,9.776769104E0,1.150507507E0
2.354503542E0,1.110690308E-1,9.790540466E0,1.098116455E0
2.364208542E0,1.853146362E-1,9.764344940E0,1.029409332E0
2.373882542E0,1.666035461E-1,9.739346924E0,9.521699524E-1
2.383556542E0,2.522254944E-1,9.706565094E0,8.873547363E-1
2.393230542E0,3.582051086E-1,9.670639801E0,8.607101440E-1
2.402904542E0,3.703298950E-1,9.731263733E0,8.460406494E-1
2.412578542E0,3.180885315E-1,9.764943695E0,8.822653198E-1
2.422283542E0,2.496807861E-1,9.840835876E0,8.764274597E-1
2.431957542E0,2.022294617E-1,9.853110352E0,9.165440369E-1
2.441631542E0,1.514849854E-1,9.834998016E0,9.069639587E-1
2.451305542E0,1.272354126E-1,9.858050079E0,8.881031799E-1
2.460979542E0,1.044827271E-1,9.835596771E0,9.258247375E-1
2.470679958E0,9.804611206E-2,9.753267975E0,9.289682007E-1
2.480353958E0,1.908531189E-1,9.721533966E0,9.533674622E-1
2.490027958E0,3.031196594E-1,9.741442566E0,9.660910034E-1
2.499701958E0,3.308120728E-1,9.782307587E0,9.993218994E-1
2.509375958E0,4.445755005E-1,9.690099335E0,9.726773071E-1
2.519049958E0,4.869374084E-1,9.650880890E0,9.282197571E-1
2.528754958E0,4.439767456E-1,9.739496613E0,8.919950867E-1
2.538428958E0,5.385800171E-1,9.784552917E0,8.744815063E-1
2.548102958E0,5.740562439E-1,9.803862762E0,8.873547363E-1
2.557776958E0,5.825885010E-1,9.737251282E0,8.997789001E-1
2.567450958E0,5.957611084E-1,9.759405212E0,9.915380859E-1
2.577155958E0,6.033952332E-1,9.794731750E0,1.023122406E0
2.586829958E0,6.200106812E-1,9.760902100E0,1.018631744E0
2.596503958E0,6.529421997E-1,9.889035645E0,1.075663147E0
2.606177958E0,6.810836792E-1,9.782307587E0,1.068927155E0
2.615851958E0,7.131170654E-1,9.789642334E0,1.032852173E0
2.625525958E0,7.331753540E-1,9.779762878E0,9.948312378E-1
2.635230958E0,7.842192078E-1,9.803114319E0,9.177415466E-1
2.644904958E0,8.524772644E-1,9.695937195E0,9.777667236E-1
2.654578958E0,8.833131409E-1,9.661359100E0,1.033450928E0
2.664252958E0,8.556207275E-1,9.682465210E0,1.071771240E0
2.673926958E0,8.110134888E-1,9.698332214E0,1.042282562E0
2.683630958E0,7.695497131E-1,9.743687897E0,9.839039612E-1
2.693305958E0,8.687933350E-1,9.642498322E0,8.500822449E-1
2.702979958E0,2.522254944E-1,9.870025177E0,1.160087585E0
2.712653958E0,6.149212646E-1,9.693991241E0,9.050180054E-1
2.722357958E0,8.815168762E-1,9.633367310E0,7.327262878E-1
2.732031958E0,5.149291992E-1,9.836644592E0,1.011596375E0
2.741705958E0,6.999444580E-1,9.779164124E0,8.017327881E-1
2.751379958E0,7.039860535E-1,9.772577820E0,7.649093628E-1
2.761084958E0,7.017407227E-1,9.647737427E0,8.327183533E-1
2.770758958E0,5.743556213E-1,9.600735168E0,8.150550842E-1
2.780432958E0,4.623884583E-1,9.689350891E0,8.107141113E-1
2.790106958E0,4.358935547E-1,9.764794006E0,7.789801025E-1
2.799780958E0,3.841012573E-1,9.852212219E0,7.694000244E-1
2.809454958E0,3.769161987E-1,9.855954437E0,7.726931763E-1
2.819159958E0,4.719685364E-1,9.779164124E0,8.566685486E-1
2.828833958E0,5.327421570E-1,9.729317780E0,8.924441528E-1
2.838507958E0,5.565426636E-1,9.710606689E0,9.530680847E-1
2.848181958E0,5.385800171E-1,9.723629608E0,9.894424438E-1
2.857855958E0,4.613406372E-1,9.745184784E0,9.824070740E-1
