"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","LYA-AL00"
"deviceBrand","HUAWEI"
"deviceBoard","LYA"
"deviceManufacturer","HUAWEI"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","10"
"accelerometer Name","accelerometer-icm20690"
"accelerometer Vendor","invensense"
"accelerometer Range","78.4532"
"accelerometer Resolution","9.576806E-6"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.23"
"accelerometer Version","1"
"linear_acceleration Name","linear Acceleration"
"linear_acceleration Vendor","huawei"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.009576807"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","20000"
"linear_acceleration Power","0.2"
"linear_acceleration Version","1"
"gyroscope Name","gyroscope-icm20690"
"gyroscope Vendor","invensense"
"gyroscope Range","34.906586"
"gyroscope Resolution","1.7453292E-5"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","200000"
"gyroscope Power","6.1"
"gyroscope Version","1"
"magnetic_field Name","akm-akm09918"
"magnetic_field Vendor","akm"
"magnetic_field Range","2000.0"
"magnetic_field Resolution","0.0625"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","6.8"
"magnetic_field Version","1001"
"pressure Name","airpress-lps22bh"
"pressure Vendor","st"
"pressure Range","1100.0"
"pressure Resolution","0.01"
"pressure MinDelay","100000"
"pressure MaxDelay","1000000"
"pressure Power","0.65"
"pressure Version","1"
"light Name","als-apds9253"
"light Vendor","avago"
"light Range","10000.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.75"
"light Version","1"
"proximity Name","proximity"
"proximity Vendor","Taos"
"proximity Range","5.0"
"proximity Resolution","5.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","rotation Vector"
"attitude Vendor","huawei"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","20000"
"attitude Power","6.1"
"attitude Version","1"
