"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.741312000E-3,1.136972904E-1,-5.322163701E-1,-6.024658307E-2
1.074131200E-2,1.136972904E-1,-5.322163701E-1,-6.024658307E-2
1.274131200E-2,1.136972904E-1,-5.322163701E-1,-6.024658307E-2
1.474131200E-2,1.136972904E-1,-5.322163701E-1,-6.024658307E-2
1.674131200E-2,-4.965570867E-1,-6.171266437E-1,-9.995282441E-2
1.874131200E-2,-5.423719883E-1,-6.507241726E-1,-9.750936180E-2
2.073611200E-2,-5.747478604E-1,-6.922630668E-1,-9.506590664E-2
2.273611200E-2,-5.875760317E-1,-7.166976333E-1,-9.201157838E-2
2.473611200E-2,-6.077345610E-1,-7.728972435E-1,-8.956811577E-2
2.673623700E-2,-6.181192994E-1,-8.297077417E-1,-8.773551881E-2
2.873634800E-2,-6.211736202E-1,-8.474228382E-1,-8.651378751E-2
3.073644800E-2,-6.230061650E-1,-8.944594264E-1,-8.529205620E-2
3.273653800E-2,-6.193410158E-1,-9.451612234E-1,-7.918340713E-2
3.473662100E-2,-6.162866950E-1,-9.671524167E-1,-7.735081017E-2
3.673669700E-2,-6.095671654E-1,-1.009912968E0,-6.940956414E-2
3.873676800E-2,-6.016259193E-1,-1.056338668E0,-6.146831438E-2
4.073683400E-2,-5.979607105E-1,-1.078329921E0,-6.146831438E-2
4.273683400E-2,-5.887977481E-1,-1.124755621E0,-5.963572115E-2
4.473683400E-2,-5.759695768E-1,-1.147968531E0,-6.024658307E-2
4.673683400E-2,-5.698609352E-1,-1.143692493E0,-6.085744873E-2
4.873683400E-2,-5.661957264E-1,-1.137583852E0,-6.024658307E-2
5.073683400E-2,-5.576435924E-1,-1.116814375E0,-5.413793400E-2
5.273683400E-2,-5.558109879E-1,-1.098488450E0,-4.497495294E-2
5.473683400E-2,-5.509241223E-1,-1.096655846E0,-3.581197560E-2
5.673683400E-2,-5.509241223E-1,-1.097266674E0,-2.237293869E-2
5.873683400E-2,-5.515349507E-1,-1.100321054E0,-5.879578181E-3
6.073579400E-2,-5.594761968E-1,-1.108873129E0,1.000291854E-2
6.273475500E-2,-5.594761968E-1,-1.108873129E0,1.000291854E-2
6.473475500E-2,-5.692500472E-1,-1.116814375E0,1.916589774E-2
6.673475500E-2,-5.741369724E-1,-1.119257808E0,2.038762718E-2
6.873475500E-2,-5.881868601E-1,-1.107040524E0,2.222022414E-2
7.073475500E-2,-5.949063897E-1,-1.088103771E0,2.832887508E-2
7.273475500E-2,-5.997933149E-1,-1.046564937E0,3.321579844E-2
7.473478800E-2,-6.040693521E-1,-1.023962855E0,3.565925732E-2
7.673482100E-2,-6.089562774E-1,-9.867000580E-1,4.115704447E-2
7.873485400E-2,-6.156758070E-1,-9.604328871E-1,4.298964143E-2
8.073575400E-2,-6.168975234E-1,-9.531024694E-1,4.726569727E-2
8.273578700E-2,-6.266713738E-1,-9.463829994E-1,4.787656292E-2
8.473582000E-2,-6.340017915E-1,-9.482156038E-1,4.909829423E-2
8.673582000E-2,-6.413321495E-1,-9.469938278E-1,5.032002553E-2
8.873582000E-2,-6.468299627E-1,-9.433286786E-1,5.093089119E-2
9.073578600E-2,-6.523277164E-1,-9.439395070E-1,5.276348442E-2
9.273575200E-2,-6.559929252E-1,-9.402743578E-1,5.398521572E-2
9.473571800E-2,-6.572146416E-1,-9.366091490E-1,5.337435007E-2
9.673568400E-2,-6.566037536E-1,-9.384417534E-1,5.581781268E-2
9.873565000E-2,-6.541603208E-1,-9.512699246E-1,5.826127157E-2
1.007347500E-1,-6.113997698E-1,-1.052673578E0,6.803511828E-2
1.027338830E-1,-6.113997698E-1,-1.052673578E0,6.803511828E-2
1.047330160E-1,-6.113997698E-1,-1.052673578E0,6.803511828E-2
1.067331820E-1,-6.113997698E-1,-1.052673578E0,6.803511828E-2
1.087332150E-1,-5.869651437E-1,-1.103375316E0,6.742425263E-2
1.107332480E-1,-5.509241223E-1,-1.167516232E0,6.925684959E-2
