"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.621326920E-1,-6.775590777E-1,3.825934410E0,8.614637375E0
2.641326920E-1,-6.153098345E-1,3.478775024E0,8.444648743E0
2.661316920E-1,-5.554547906E-1,3.186682463E0,8.284236908E0
2.681311920E-1,-4.908113480E-1,2.949656487E0,8.135796547E0
2.701308580E-1,-4.285621047E-1,2.758120298E0,8.011298180E0
2.721306080E-1,-3.543418646E-1,2.609679937E0,7.903559208E0
2.741304080E-1,-2.777273953E-1,2.501940727E0,7.805397034E0
2.761302410E-1,-2.130839527E-1,2.425326347E0,7.707234383E0
2.781300980E-1,-1.388636976E-1,2.363077164E0,7.613860607E0
2.801299730E-1,-5.506663769E-2,2.312798738E0,7.510910034E0
2.821299730E-1,2.873042040E-2,2.269703150E0,7.391200066E0
2.841299730E-1,1.005564705E-1,2.233790159E0,7.276278019E0
2.861299730E-1,1.628057212E-1,2.200271368E0,7.142202854E0
2.881299730E-1,2.106897533E-1,2.164358377E0,6.986579895E0
2.901299730E-1,2.466027737E-1,2.130839586E0,6.838139534E0
2.921299730E-1,2.633621991E-1,2.090138197E0,6.675333500E0
2.941299730E-1,2.226607651E-1,2.030282974E0,6.411971569E0
2.961283480E-1,1.915361285E-1,1.982398987E0,6.201281548E0
2.981267000E-1,1.651999205E-1,1.944091797E0,6.033687592E0
3.001271440E-1,1.340752989E-1,1.900996208E0,5.849334240E0
3.021270910E-1,9.097966552E-2,1.860294700E0,5.645826817E0
3.041270410E-1,5.027823523E-2,1.824381709E0,5.456685066E0
3.061269930E-1,4.788403399E-3,1.790862918E0,5.250783443E0
3.081269470E-1,-3.351882473E-2,1.769315004E0,5.030517101E0
3.101269030E-1,-6.224924326E-2,1.750161409E0,4.829104900E0
3.121268610E-1,-8.619125932E-2,1.735796213E0,4.623203278E0
3.141263410E-1,-1.029506698E-1,1.742978811E0,4.422090530E0
3.161263020E-1,-1.149216816E-1,1.754949808E0,4.249708176E0
