"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.492567900E-2,1.219439730E-1,-1.095739484E0,-1.410411477E0
1.690067900E-2,1.219439730E-1,-1.095739484E0,-1.410411477E0
1.890067900E-2,1.219439730E-1,-1.095739484E0,-1.410411477E0
2.091667900E-2,1.219439730E-1,-1.095739484E0,-1.410411477E0
2.292534500E-2,3.459024429E-2,-8.367326856E-1,-1.478217483E0
2.493184500E-2,2.298380435E-2,-8.122980595E-1,-1.485547900E0
2.693704500E-2,9.926559869E-4,-7.677049041E-1,-1.499597788E0
2.894137800E-2,-2.038762718E-2,-7.310529947E-1,-1.511204243E0
3.094509200E-2,-2.771801129E-2,-7.170031071E-1,-1.520367265E0
3.294821700E-2,-4.360050708E-2,-6.925684810E-1,-1.533195376E0
3.495099400E-2,-5.948300287E-2,-6.760751009E-1,-1.542358398E0
3.695419400E-2,-6.925684959E-2,-6.650795341E-1,-1.557019114E0
3.895646600E-2,-7.414376736E-2,-6.644686460E-1,-1.564349532E0
4.095854900E-2,-7.964155823E-2,-6.595817208E-1,-1.583897233E0
4.296047200E-2,-8.147415519E-2,-6.589708924E-1,-1.600390553E0
4.496225700E-2,-8.391761035E-2,-6.601926088E-1,-1.605888367E0
4.696392300E-2,-8.575020730E-2,-6.632469296E-1,-1.613218784E0
4.896554800E-2,-9.063713253E-2,-6.742424965E-1,-1.615662217E0
5.096707700E-2,-9.185886383E-2,-6.779077053E-1,-1.618105650E0
5.296852100E-2,-9.491318464E-2,-6.919575930E-1,-1.618716598E0
5.496988900E-2,-9.674578160E-2,-7.053966522E-1,-1.620549083E0
5.696988900E-2,-1.022435725E-1,-7.206682563E-1,-1.618716598E0
5.897112700E-2,-1.065196246E-1,-7.273877859E-1,-1.619327426E0
6.097230800E-2,-1.144608781E-1,-7.402159572E-1,-1.617494822E0
6.297339400E-2,-1.242347211E-1,-7.469354868E-1,-1.611997008E0
6.497443500E-2,-1.291216463E-1,-7.506006956E-1,-1.610775352E0
6.697543500E-2,-1.413389444E-1,-7.506006956E-1,-1.602833986E0
6.897639600E-2,-1.553888470E-1,-7.487680912E-1,-1.597336292E0
7.097732100E-2,-1.614975035E-1,-7.469354868E-1,-1.593060255E0
7.297821300E-2,-1.737148017E-1,-7.432702780E-1,-1.586340666E0
7.497907500E-2,-1.865429729E-1,-7.383833528E-1,-1.582675457E0
7.697990800E-2,-2.005928755E-1,-7.347181439E-1,-1.578399420E0
7.898037400E-2,-2.091449946E-1,-7.304421067E-1,-1.577177763E0
8.098014000E-2,-2.231948823E-1,-7.249443531E-1,-1.568014741E0
8.298010600E-2,-2.348013222E-1,-7.206682563E-1,-1.563738704E0
8.498007200E-2,-2.427425832E-1,-7.145596147E-1,-1.559462667E0
8.698003800E-2,-2.586250603E-1,-7.115052938E-1,-1.552132249E0
8.898000400E-2,-2.714532316E-1,-7.066183686E-1,-1.543580174E0
9.097997000E-2,-2.775619030E-1,-7.053966522E-1,-1.538693190E0
9.297997000E-2,-2.934443951E-1,-6.992880106E-1,-1.530141115E0
9.498000300E-2,-3.074942827E-1,-6.950119138E-1,-1.518534660E0
9.697893600E-2,-3.270419836E-1,-6.846272349E-1,-1.498376131E0
9.897856900E-2,-3.270419836E-1,-6.846272349E-1,-1.498376131E0
1.009786020E-1,-3.423136175E-1,-6.779077053E-1,-1.486158729E0
1.029786350E-1,-3.545309305E-1,-6.748533845E-1,-1.471498013E0
1.049786680E-1,-3.618612885E-1,-6.730207801E-1,-1.466000199E0
1.069787010E-1,-3.771329224E-1,-6.705773473E-1,-1.453172088E0
1.089787010E-1,-3.911828399E-1,-6.687447429E-1,-1.441565633E0
1.109786670E-1,-3.997349441E-1,-6.663012505E-1,-1.435456991E0
1.129786330E-1,-4.125631154E-1,-6.614143252E-1,-1.426904798E0
1.149785990E-1,-4.284456074E-1,-6.516404748E-1,-1.420796156E0
1.169794320E-1,-4.388303161E-1,-6.510296464E-1,-1.414687514E0
1.189793980E-1,-4.443280995E-1,-6.473644376E-1,-1.410411477E0
1.209793640E-1,-4.522693455E-1,-6.449210048E-1,-1.407357216E0
1.229793640E-1,-4.608214796E-1,-6.455318332E-1,-1.403692007E0
1.249793640E-1,-4.663192630E-1,-6.479753256E-1,-1.402470231E0
1.269793970E-1,-4.724279046E-1,-6.571382880E-1,-1.398805022E0
1.289794300E-1,-4.767039716E-1,-6.699664593E-1,-1.399415970E0
1.309794630E-1,-4.785365760E-1,-6.785185933E-1,-1.398805022E0
1.329794960E-1,-4.828126132E-1,-6.974554062E-1,-1.399415970E0
1.349795290E-1,-4.840343595E-1,-7.200574279E-1,-1.400026798E0
1.369786950E-1,-4.919756055E-1,-7.658722997E-1,-1.400026798E0
1.389790950E-1,-4.919756055E-1,-7.658722997E-1,-1.400026798E0
1.409790950E-1,-4.986951053E-1,-7.945829630E-1,-1.400637627E0
1.429790950E-1,-5.017494559E-1,-8.177958727E-1,-1.400637627E0
1.449790950E-1,-5.060254931E-1,-8.312348723E-1,-1.401859403E0
1.469790950E-1,-5.103015304E-1,-8.532260060E-1,-1.404913664E0
1.489790950E-1,-5.145776272E-1,-8.764389157E-1,-1.406746268E0
1.509790950E-1,-5.188536644E-1,-8.856018782E-1,-1.407968044E0
1.529790950E-1,-5.243514776E-1,-9.033169746E-1,-1.411022305E0
1.549790610E-1,-5.280166268E-1,-9.204211831E-1,-1.414076686E0
1.569798940E-1,-5.316818357E-1,-9.265298843E-1,-1.415298462E0
1.589802600E-1,-5.390121937E-1,-9.387471676E-1,-1.418352723E0
1.609802260E-1,-5.457317233E-1,-9.509644508E-1,-1.418963552E0
1.629793260E-1,-5.500078201E-1,-9.595165849E-1,-1.419574499E0
1.649792920E-1,-5.561164618E-1,-9.656252265E-1,-1.419574499E0
1.669792580E-1,-5.591707826E-1,-9.760099649E-1,-1.418352723E0
1.689792240E-1,-5.665011406E-1,-9.815077186E-1,-1.414687514E0
1.709792240E-1,-5.695554614E-1,-9.906707406E-1,-1.412854910E0
1.729792570E-1,-5.719989538E-1,-9.986119866E-1,-1.409189820E0
1.749792900E-1,-5.774967074E-1,-1.012050986E0,-1.403081059E0
1.769784560E-1,-5.854379535E-1,-1.027322650E0,-1.395750761E0
1.789775890E-1,-5.854379535E-1,-1.027322650E0,-1.395750761E0
1.809776220E-1,-5.878814459E-1,-1.035874724E0,-1.390863776E0
1.829776550E-1,-5.909357667E-1,-1.046259403E0,-1.385976911E0
1.849776880E-1,-5.921574831E-1,-1.051146388E0,-1.381700873E0
1.869776880E-1,-5.958226919E-1,-1.063363671E0,-1.376813889E0
1.889776540E-1,-5.976552963E-1,-1.078024387E0,-1.372537851E0
1.909776200E-1,-6.000987291E-1,-1.081689596E0,-1.368872643E0
1.929775860E-1,-6.025422215E-1,-1.098793864E0,-1.362764001E0
1.949775520E-1,-6.055965424E-1,-1.116508961E0,-1.352990150E0
1.969783850E-1,-6.062073708E-1,-1.126893640E0,-1.350546718E0
1.989783510E-1,-6.104834676E-1,-1.146441340E0,-1.337718487E0
2.009783510E-1,-6.117051840E-1,-1.169043422E0,-1.329777241E0
2.029783510E-1,-6.153703928E-1,-1.199586630E0,-1.321225166E0
2.049783840E-1,-6.184247136E-1,-1.216079950E0,-1.314505696E0
2.069784170E-1,-6.239224672E-1,-1.255786180E0,-1.309007883E0
2.089784500E-1,-6.275876760E-1,-1.298546791E0,-1.303510070E0
2.109784830E-1,-6.294202805E-1,-1.322370529E0,-1.299844861E0
2.129785160E-1,-6.306419969E-1,-1.370018005E0,-1.296179652E0
2.149785490E-1,-6.373615265E-1,-1.414611220E0,-1.295568824E0
2.169777150E-1,-6.410267353E-1,-1.522734284E0,-1.296179652E0
2.189768810E-1,-6.410267353E-1,-1.522734284E0,-1.296179652E0
2.209769470E-1,-6.440810561E-1,-1.549612403E0,-1.296179652E0
2.229778130E-1,-6.453027725E-1,-1.600314260E0,-1.296790600E0
2.249778130E-1,-6.465244889E-1,-1.623527050E0,-1.299234033E0
2.269778130E-1,-6.465244889E-1,-1.674228907E0,-1.302288294E0
2.289778130E-1,-6.453027725E-1,-1.715767741E0,-1.304731846E0
2.309778130E-1,-6.434701681E-1,-1.736537218E0,-1.306564450E0
2.329777790E-1,-6.398049593E-1,-1.773799896E0,-1.308397055E0
2.349777450E-1,-6.336963177E-1,-1.808008432E0,-1.312673092E0
