"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.576956540E-1,-1.731007814E0,3.957615376E0,8.430283546E0
2.596956540E-1,-1.723825216E0,3.967192173E0,8.418312073E0
2.616696540E-1,-1.728613615E0,3.971980572E0,8.411129951E0
2.636561540E-1,-1.728613615E0,3.971980572E0,8.411129951E0
2.656561540E-1,-1.721431017E0,3.957615376E0,8.408735275E0
2.676561540E-1,-1.695094824E0,3.950432777E0,8.389581680E0
2.696561540E-1,-1.690306425E0,3.957615376E0,8.375216484E0
2.716561540E-1,-1.709460020E0,3.964797974E0,8.365639687E0
2.736561540E-1,-1.709460020E0,3.957615376E0,8.365639687E0
2.756561540E-1,-1.697489023E0,3.960009575E0,8.353669167E0
2.776561540E-1,-1.702277422E0,3.967192173E0,8.336909294E0
2.796561540E-1,-1.704671621E0,3.967192173E0,8.329727173E0
2.816561540E-1,-1.709460020E0,3.948038578E0,8.339303970E0
2.836561540E-1,-1.695094824E0,3.940855980E0,8.332120895E0
2.856562300E-1,-1.699883223E0,3.950432777E0,8.327332497E0
2.876563010E-1,-1.695094824E0,3.969586372E0,8.317755699E0
2.896563670E-1,-1.683123827E0,3.950432777E0,8.315361977E0
2.916564290E-1,-1.666364431E0,3.945644379E0,8.315361977E0
2.936564870E-1,-1.661576033E0,3.960009575E0,8.310573578E0
2.956565420E-1,-1.659181833E0,3.976768970E0,8.317755699E0
2.976565940E-1,-1.649604917E0,3.945644379E0,8.315361977E0
2.996565940E-1,-1.616086125E0,3.983951569E0,8.358457565E0
3.016553550E-1,-1.630451322E0,3.983951569E0,8.358457565E0
3.036541730E-1,-1.630451322E0,3.983951569E0,8.358457565E0
3.056530420E-1,-1.630451322E0,3.983951569E0,8.358457565E0
3.076519170E-1,-1.635239720E0,3.995922565E0,8.360851288E0
3.096519170E-1,-1.630451322E0,4.007893562E0,8.370428085E0
3.116519170E-1,-1.625662923E0,4.029441357E0,8.389581680E0
3.136519170E-1,-1.620874524E0,4.031835556E0,8.399158478E0
3.156519520E-1,-1.606509328E0,4.048594952E0,8.425495148E0
3.176519860E-1,-1.625662923E0,4.050989151E0,8.461407661E0
3.196520190E-1,-1.630451322E0,4.048594952E0,8.470984459E0
3.216529190E-1,-1.635239720E0,4.029441357E0,8.514080048E0
3.236538520E-1,-1.644816518E0,4.041412354E0,8.542811394E0
3.256538850E-1,-1.668758631E0,4.039018154E0,8.552388191E0
3.276539180E-1,-1.675941229E0,4.031835556E0,8.557176590E0
3.296539510E-1,-1.680729628E0,4.022258759E0,8.569147110E0
3.316539510E-1,-1.692700624E0,4.017470360E0,8.569147110E0
3.336539510E-1,-1.683123827E0,4.015076160E0,8.571541786E0
