"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.381069700E-2,-2.198351324E-1,-2.347249687E-1,1.916589774E-2
1.583669700E-2,-2.198351324E-1,-2.347249687E-1,1.916589774E-2
1.783669700E-2,-2.198351324E-1,-2.347249687E-1,1.916589774E-2
1.983669700E-2,-2.198351324E-1,-2.347249687E-1,1.916589774E-2
2.182803000E-2,-1.019381359E-1,-2.530509233E-1,-3.764457256E-2
2.382803000E-2,-9.644035250E-2,-2.493857294E-1,-3.947716579E-2
2.582803000E-2,-9.216429293E-2,-2.420553565E-1,-4.008803144E-2
2.782803000E-2,-8.788824081E-2,-2.396118939E-1,-4.130976275E-2
2.982803000E-2,-8.605564386E-2,-2.261728644E-1,-4.192062840E-2
3.182803000E-2,-8.544477820E-2,-2.121229619E-1,-4.130976275E-2
3.382803000E-2,-8.727737516E-2,-2.066251636E-1,-4.130976275E-2
3.582803000E-2,-8.972083032E-2,-1.913535446E-1,-4.069889709E-2
3.782803000E-2,-9.644035250E-2,-1.785253733E-1,-3.642284125E-2
3.982803000E-2,-9.827294946E-2,-1.748601794E-1,-3.703370690E-2
4.182803000E-2,-1.037707329E-1,-1.663080603E-1,-3.459024429E-2
4.382803000E-2,-1.117119789E-1,-1.583668143E-1,-3.153591976E-2
4.582803000E-2,-1.172097698E-1,-1.473712474E-1,-2.603813075E-2
4.782803000E-2,-1.196532324E-1,-1.443169117E-1,-2.787072770E-2
4.982808800E-2,-1.245401502E-1,-1.339322031E-1,-2.603813075E-2
5.182814300E-2,-1.269836128E-1,-1.119410545E-1,-2.909245715E-2
5.382819500E-2,-1.282053441E-1,-1.015563458E-1,-2.787072770E-2
5.582824500E-2,-1.300379336E-1,-8.750644326E-2,-2.725986205E-2
5.782829200E-2,-1.306488067E-1,-7.712173462E-2,-3.092505224E-2
5.982833700E-2,-1.330922693E-1,-7.590000331E-2,-3.153591976E-2
6.182725000E-2,-1.361465901E-1,-6.185010448E-2,-4.253149405E-2
6.382620800E-2,-1.361465901E-1,-6.185010448E-2,-4.253149405E-2
6.582620800E-2,-1.361465901E-1,-5.207626149E-2,-4.925100878E-2
6.782620800E-2,-1.367574632E-1,-4.474587739E-2,-5.230533704E-2
6.982620800E-2,-1.367574632E-1,-3.375030309E-2,-5.902485549E-2
7.182620800E-2,-1.373683214E-1,-2.458732575E-2,-6.574437022E-2
7.382620800E-2,-1.349248588E-1,-2.092213556E-2,-6.879869848E-2
7.582620800E-2,-1.355357319E-1,-1.298088674E-2,-7.246389240E-2
7.782620800E-2,-1.337031275E-1,-6.872233935E-3,-7.735081017E-2
7.982620800E-2,-1.330922693E-1,-5.650503561E-3,-7.735081017E-2
8.182710800E-2,-1.324813962E-1,-1.374446787E-3,-8.162686974E-2
8.382714100E-2,-1.324813962E-1,2.901609987E-3,-8.712465316E-2
8.582717400E-2,-1.306488067E-1,4.734205548E-3,-8.712465316E-2
8.782720700E-2,-1.330922693E-1,5.955935922E-3,-9.140071273E-2
8.982724000E-2,-1.306488067E-1,7.177666761E-3,-9.262244403E-2
9.182727300E-2,-1.288162023E-1,5.345070735E-3,-9.262244403E-2
9.382730600E-2,-1.288162023E-1,5.955935922E-3,-9.262244403E-2
9.582733900E-2,-1.294270754E-1,1.679879380E-3,-9.078984708E-2
9.782733900E-2,-1.288162023E-1,-1.527163113E-4,-9.017898142E-2
9.982733900E-2,-1.269836128E-1,-2.596177394E-3,-8.895725012E-2
1.018264720E-1,-1.172097698E-1,-2.764165215E-2,-7.490734756E-2
1.038256050E-1,-1.172097698E-1,-2.764165215E-2,-7.490734756E-2
1.058247380E-1,-1.172097698E-1,-2.764165215E-2,-7.490734756E-2
1.078248380E-1,-1.172097698E-1,-2.764165215E-2,-7.490734756E-2
1.098248040E-1,-1.147663072E-1,-3.741549700E-2,-7.246389240E-2
1.118247700E-1,-1.092685238E-1,-4.780020565E-2,-6.330090761E-2
1.138247360E-1,-1.080467924E-1,-5.146539584E-2,-6.024658307E-2
1.158247020E-1,-1.019381359E-1,-6.429356337E-2,-5.474879593E-2
1.178246680E-1,-9.399688989E-2,-7.467827946E-2,-4.619668424E-2
1.198246340E-1,-9.277515858E-2,-7.773260027E-2,-4.497495294E-2
1.218254670E-1,-8.483391255E-2,-8.933904022E-2,-3.825543448E-2
1.238263000E-1,-7.994698733E-2,-9.972374886E-2,-3.459024429E-2
1.258263000E-1,-7.689265907E-2,-1.027780771E-1,-3.153591976E-2
1.278263330E-1,-6.895141304E-2,-1.143845171E-1,-2.664899640E-2
1.298263660E-1,-6.162103266E-2,-1.235474944E-1,-2.542726509E-2
1.318263990E-1,-5.490151420E-2,-1.333213449E-1,-2.237293869E-2
1.338264320E-1,-5.001459271E-2,-1.351539344E-1,-2.176207490E-2
1.358264650E-1,-4.634939879E-2,-1.418734491E-1,-1.809688285E-2
1.378264980E-1,-4.024074972E-2,-1.473712474E-1,-1.687515154E-2
1.398265310E-1,-3.596469015E-2,-1.473712474E-1,-1.687515154E-2
1.418256640E-1,-2.435825206E-2,-1.595885456E-1,-1.626428775E-2
1.438247640E-1,-2.435825206E-2,-1.595885456E-1,-1.626428775E-2
1.458238640E-1,-2.435825206E-2,-1.595885456E-1,-1.626428775E-2
1.478231970E-1,-2.435825206E-2,-1.595885456E-1,-1.626428775E-2
1.498231630E-1,-2.496911772E-2,-1.589776874E-1,-1.565342210E-2
