"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.501291624E-3,1.584556848E-1,-7.710050046E-2,-2.394284010E-1
1.856229163E-2,-3.936493397E-2,-2.043381929E-1,-2.042191178E-1
2.862229163E-2,-2.389643341E-1,-2.677645683E-1,-1.362842768E-1
3.868229163E-2,-3.869834244E-1,-2.471864372E-1,-3.638728708E-2
4.874329164E-2,-4.379102588E-1,-2.552060187E-1,7.380899787E-2
5.880329164E-2,-4.189579189E-1,-2.607531846E-1,1.839119494E-1
6.886329164E-2,-3.574338257E-1,-2.569824159E-1,2.494611293E-1
7.892429165E-2,-2.991065383E-1,-2.597634494E-1,2.571591139E-1
8.898429165E-2,-2.528778017E-1,-2.606391013E-1,2.215220183E-1
9.904429165E-2,-2.316633463E-1,-2.982522547E-1,1.720949411E-1
1.091052917E-1,-2.146417499E-1,-4.040167630E-1,1.211111173E-1
1.191652917E-1,-1.984419972E-1,-4.349606335E-1,1.125402153E-1
1.292262917E-1,-1.993304342E-1,-4.436990023E-1,1.097673327E-1
1.392862916E-1,-2.001222223E-1,-4.655313790E-1,1.414154172E-1
1.493462916E-1,-1.982928962E-1,-4.988456666E-1,1.989769936E-1
1.594072916E-1,-2.000583112E-1,-4.778457582E-1,2.730205655E-1
1.694672916E-1,-2.253713906E-1,-4.281445146E-1,3.601059318E-1
1.795272916E-1,-2.574589849E-1,-3.629221022E-1,4.484113455E-1
1.895882916E-1,-2.508953810E-1,-1.908336878E-1,5.446665287E-1
1.996482916E-1,-1.731462777E-1,1.994770914E-1,6.467142701E-1
2.097082916E-1,-4.998571798E-2,7.352214456E-1,7.259802818E-1
2.197692916E-1,1.027679294E-1,1.308434367E0,7.572056651E-1
2.298291667E-1,2.340559214E-1,1.674527884E0,7.386496067E-1
2.398891667E-1,2.101409733E-1,1.663856387E0,5.937025547E-1
2.499501666E-1,-6.781528145E-2,1.386840224E0,2.887583971E-1
2.600101666E-1,-4.152073562E-1,1.180742979E0,-1.265492886E-1
2.700701666E-1,-7.420150042E-1,9.918516874E-1,-5.808914900E-1
2.801311666E-1,-1.043032169E0,8.902567625E-1,-1.033940911E0
2.901911666E-1,-1.357406259E0,7.748668194E-1,-1.380105257E0
3.002511666E-1,-1.550396562E0,8.466859460E-1,-1.508394718E0
3.103121666E-1,-1.355779648E0,6.186034679E-1,-1.412862301E0
3.203721666E-1,-9.575790167E-1,5.775972009E-1,-1.289414763E0
3.304321666E-1,-5.278145671E-1,7.646397948E-1,-1.204643607E0
3.404931666E-1,-2.193390578E-1,7.215159535E-1,-1.161422491E0
3.505531666E-1,-1.408309340E-1,4.156679213E-1,-1.162916541E0
3.606131666E-1,-2.563162148E-1,-3.764856458E-1,-1.145527959E0
3.706741667E-1,5.576738343E-2,-8.668226004E-1,-1.071591616E0
3.807341667E-1,4.028360844E-1,-6.470689178E-1,-8.849911094E-1
3.907941667E-1,4.552079439E-1,-3.463866115E-1,-6.062558889E-1
4.008551667E-1,-4.799440503E-2,-4.509277642E-1,-1.339572072E-1
