"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.767458336E-3,7.685018921E-1,1.278191986E0,8.758885803E0
8.292541665E-3,1.199455719E0,1.575024719E0,9.181457062E0
1.835254167E-2,1.423090668E0,1.816322937E0,9.757010193E0
2.841254167E-2,1.380429382E0,1.906884613E0,1.000564316E1
3.847354167E-2,1.350940704E0,2.101330261E0,9.959838409E0
4.853354167E-2,1.497186584E0,2.298919373E0,9.884694672E0
5.859354167E-2,1.658251648E0,2.410736847E0,9.795779572E0
6.865354168E-2,1.647474060E0,2.329455872E0,9.573491821E0
7.871354168E-2,1.436862030E0,2.027833099E0,9.318122864E0
8.877354168E-2,1.218765564E0,1.689237213E0,8.976383514E0
9.883354168E-2,1.039139099E0,1.463356934E0,8.702453156E0
1.088935417E-1,9.430389404E-1,1.413061523E0,8.528065796E0
1.189535417E-1,1.048270111E0,1.500779114E0,8.419840851E0
1.290135417E-1,1.318757629E0,1.647623749E0,8.333171082E0
1.390735417E-1,1.612446899E0,1.773661652E0,8.254135437E0
1.491335417E-1,1.834435272E0,1.881736908E0,8.228239288E0
1.591935417E-1,2.021396484E0,2.058968353E0,8.349187775E0
1.692535417E-1,2.090702362E0,2.199825439E0,8.519383850E0
1.793135417E-1,1.924248505E0,2.175875244E0,8.767118683E0
1.893735417E-1,1.597328339E0,1.985920258E0,9.055119781E0
1.994335417E-1,1.176403656E0,1.641037445E0,9.176068268E0
2.094935417E-1,8.247848511E-1,1.217118988E0,9.223519592E0
2.195535417E-1,7.316784668E-1,1.070424042E0,9.147926788E0
2.296135417E-1,8.907975769E-1,1.203048248E0,8.938362579E0
2.396735417E-1,1.219514008E0,1.488205261E0,8.653654633E0
2.497335417E-1,1.778302002E0,1.849853210E0,8.457263031E0
2.597935417E-1,2.050885162E0,2.091151428E0,8.114625549E0
2.698535417E-1,2.065704346E0,2.238145752E0,7.704029388E0
2.799135417E-1,2.021695862E0,2.334545288E0,7.492818604E0
2.899735417E-1,1.241967316E0,2.217189331E0,8.058641968E0
3.000335417E-1,-1.618135071E-1,1.387165375E0,1.028810577E1
3.100935417E-1,-4.114942932E-1,2.378553772E-1,1.269120850E1
3.201535417E-1,-1.462907867E0,-1.037193146E0,1.597433121E1
3.302135416E-1,2.694396973E-1,3.323089600E-1,8.570727081E0
3.402735416E-1,6.158193970E-1,5.272036743E-1,7.034022675E0
3.503335416E-1,1.018482056E0,1.480421448E0,8.479267273E0
3.603935416E-1,2.756517792E0,2.683170319E0,8.254883881E0
3.704535416E-1,2.550546112E0,3.077600098E0,8.258925476E0
3.805135416E-1,2.132914581E0,3.143762512E0,7.835755463E0
3.905735416E-1,1.667382660E0,3.489244080E0,7.870183868E0
4.006335416E-1,1.056053925E0,3.560046844E0,7.676187286E0
4.106935416E-1,3.911366272E-1,3.107238464E0,6.837182007E0
4.207535416E-1,-6.286926270E-2,2.826422424E0,5.727389832E0
4.308135416E-1,7.619155884E-2,2.229164429E0,6.210135956E0
4.408735416E-1,-6.936575317E-1,1.474882965E0,1.010294083E1
4.509335416E-1,-1.984872437E0,1.323248291E0,1.500180359E1
4.609935416E-1,-2.122586060E-1,2.046544189E0,1.783765640E1
4.710535416E-1,-5.075944519E-1,1.879192200E0,1.443852493E1
4.811135416E-1,-8.690927124E-1,1.644031219E0,1.218855377E1
4.911735416E-1,-2.642155609E0,7.470964050E-1,1.255873398E1
5.012335416E-1,-3.526815948E0,7.032376099E-1,1.023376877E1
5.112945416E-1,-3.065175934E0,1.993255005E0,9.918075256E0
5.213545416E-1,-2.982248383E0,3.310665436E0,1.065199905E1
5.314145416E-1,-2.870580597E0,3.766766968E0,9.242679749E0
5.414745416E-1,-2.276316376E0,3.275338898E0,9.551637268E0
5.515345416E-1,-1.932032318E0,2.851869507E0,9.050928497E0
5.615945417E-1,-2.351609802E0,2.531835022E0,8.641679535E0
5.716545417E-1,-2.890938263E0,2.608625336E0,8.312214661E0
5.817145417E-1,-2.925067291E0,2.734363861E0,8.351133728E0
5.917745417E-1,-2.612217865E0,2.663411407E0,8.299042053E0
6.018345417E-1,-2.193089447E0,2.638563080E0,8.087980957E0
6.118945417E-1,-1.625769196E0,2.590962067E0,8.027506714E0
6.219545417E-1,-1.073866882E0,2.488425293E0,7.729476471E0
6.320145417E-1,-1.032253418E0,2.130519562E0,7.957452393E0
6.420745417E-1,-1.797611847E0,1.348096619E0,8.731343079E0
6.521345417E-1,-2.757565613E0,7.665559387E-1,9.921817474E0
6.621945417E-1,-2.792143707E0,9.656419373E-1,1.109193420E1
6.722545417E-1,-2.237097931E0,1.252595215E0,1.166464325E1
6.823145417E-1,-1.801952820E0,1.451830902E0,1.160267212E1
6.923745417E-1,-1.315015411E0,1.745969238E0,1.126602219E1
7.024345417E-1,-6.741979980E-1,1.886077881E0,1.076187057E1
7.124942083E-1,-3.796105957E-1,1.683848419E0,1.010922775E1
7.225542083E-1,-7.084767151E-1,1.363664246E0,9.900711365E0
7.326142083E-1,-9.626481628E-1,1.165626068E0,9.987830200E0
7.426742083E-1,-8.214916992E-1,9.653425598E-1,1.004067032E1
7.527342083E-1,-7.303312683E-1,6.442602539E-1,1.003588028E1
7.627942083E-1,-5.002597046E-1,3.788621521E-1,9.852511597E0
7.728542083E-1,-3.668870544E-1,1.838177490E-1,9.499695282E0
7.829142083E-1,-3.577560425E-1,3.513194275E-1,9.130413208E0
7.929742083E-1,-2.510279846E-1,7.132667542E-1,8.531658325E0
8.030342083E-1,-4.188290405E-1,9.252259827E-1,8.197104034E0
8.130942083E-1,-5.882766724E-1,1.128503265E0,8.050109711E0
8.231542083E-1,-4.896318054E-1,1.363813934E0,8.050708466E0
8.332142083E-1,-4.685256958E-2,1.456620941E0,7.931107178E0
8.432742083E-1,3.332070923E-1,1.425335999E0,7.892337799E0
8.533342083E-1,6.664141846E-1,1.293011169E0,8.233777771E0
8.633942083E-1,4.986131287E-1,9.837542725E-1,8.125103760E0
8.734542083E-1,3.501219177E-1,1.312770081E0,7.436236267E0
8.835142083E-1,7.264393616E-1,1.369801483E0,7.189998322E0
8.935742083E-1,8.241860962E-1,1.064735870E0,6.998995514E0
9.036342083E-1,6.604266357E-1,1.031205597E0,6.809788971E0
9.136942083E-1,5.289999390E-1,1.049617310E0,6.845115509E0
9.237542083E-1,7.436535645E-1,9.955796814E-1,6.691534882E0
9.338142083E-1,1.187779999E0,8.059240723E-1,6.494843903E0
9.438742083E-1,1.460512848E0,5.435197449E-1,6.416407013E0
9.539352083E-1,1.629361725E0,3.652404785E-1,6.220314789E0
9.639952083E-1,1.712588654E0,3.168910217E-1,5.829627228E0
9.740552083E-1,1.704206085E0,1.233435059E-1,5.531596985E0
9.841152083E-1,1.918260956E0,4.550537109E-2,5.722450104E0
9.941752083E-1,2.370171204E0,2.573149109E-1,5.955216064E0
1.004235208E0,2.509082336E0,2.095642090E-1,5.833369446E0
1.014295208E0,2.500250702E0,-5.373825073E-2,5.724246368E0
1.024355208E0,2.511477356E0,-2.326162720E-1,5.884263611E0
1.034415208E0,2.521356812E0,-3.161425781E-1,6.128854980E0
1.044475208E0,2.527044983E0,-4.522096252E-1,6.346502380E0
1.054535208E0,2.449506226E0,-7.156617737E-1,6.444698181E0
1.064595208E0,2.272125092E0,-9.773176575E-1,6.708898773E0
1.074655208E0,2.192341003E0,-1.113833771E0,7.057074738E0
1.084715208E0,2.441872101E0,-1.124611359E0,7.548203430E0
1.094775208E0,2.723885651E0,-1.022523651E0,7.974666595E0
1.104835208E0,3.142115936E0,-7.212002563E-1,8.470136261E0
1.114895208E0,3.747307434E0,-5.174739075E-1,9.169032898E0
1.124955208E0,4.477489014E0,-4.312532043E-1,9.666897583E0
1.135015208E0,5.175188141E0,-3.382965088E-1,1.010922775E1
1.145075208E0,5.503605194E0,-6.535409546E-1,1.039453445E1
1.155135208E0,5.758525085E0,-8.173004150E-1,1.057266403E1
1.165195208E0,6.118676147E0,-1.135538635E0,1.068073929E1
1.175255208E0,6.430627441E0,-1.527872772E0,1.065589096E1
1.185315208E0,6.718778229E0,-1.738784180E0,1.062834824E1
1.195375208E0,7.038812714E0,-1.974843292E0,1.064182022E1
1.205435208E0,7.409591675E0,-2.099234619E0,1.066606979E1
1.215495208E0,7.795339508E0,-2.001936951E0,1.085497696E1
1.225555208E0,8.313561859E0,-1.993704071E0,1.126033401E1
1.235615208E0,8.923244019E0,-1.993404694E0,1.125314896E1
1.245675208E0,9.482181702E0,-1.972747650E0,1.119387222E1
1.255735208E0,9.850116577E0,-2.006427612E0,1.116692825E1
1.265795208E0,1.010503647E1,-2.043550415E0,1.093012070E1
1.275855208E0,1.030891251E1,-2.038910065E0,1.044752426E1
1.285915208E0,1.046907944E1,-1.981728973E0,9.964628448E0
1.295975208E0,1.166344574E1,-1.518292694E0,9.694739685E0
1.306035208E0,1.078537170E1,-1.646426239E0,9.273665314E0
1.316095208E0,1.098400864E1,-1.327589264E0,9.110654297E0
1.326155208E0,1.135673355E1,-1.293909302E0,8.859925690E0
1.336215208E0,1.157423126E1,-1.252445526E0,8.245154114E0
1.346276208E0,1.095077774E1,-1.363514557E0,8.098459167E0
1.356336208E0,1.059541672E1,-1.360221405E0,7.927065582E0
1.366396208E0,1.051802765E1,-1.426683197E0,7.905360718E0
1.376456208E0,1.014051270E1,-1.412013702E0,7.565267944E0
1.386516208E0,9.865534515E0,-1.366358643E0,7.181166687E0
1.396576208E0,9.270970917E0,-1.489253082E0,7.048243103E0
1.406636208E0,8.639284515E0,-1.475032654E0,6.967411194E0
1.416696208E0,8.167016602E0,-1.554217987E0,6.813231812E0
1.426756208E0,7.826025696E0,-1.706002350E0,6.585106201E0
1.436816208E0,7.590265961E0,-1.821861420E0,6.411766663E0
1.446876208E0,7.360194397E0,-1.841021576E0,6.457571411E0
1.456936208E0,7.126380615E0,-1.809736633E0,6.364614716E0
1.466996208E0,6.910529480E0,-1.795965271E0,6.025719452E0
1.477056208E0,6.763235779E0,-1.686692505E0,5.866151276E0
1.487116208E0,6.708000641E0,-1.648970947E0,5.695655823E0
1.497176208E0,6.719077606E0,-1.762434998E0,5.568270721E0
1.507236208E0,6.744674377E0,-1.898651733E0,5.718109131E0
1.517296208E0,6.685247955E0,-1.908980255E0,5.760321350E0
1.527356208E0,6.605014801E0,-1.884431305E0,5.701793060E0
1.537416208E0,6.425388336E0,-1.962868195E0,5.767057343E0
1.547476208E0,6.090834045E0,-2.064357147E0,5.802533569E0
1.557536208E0,5.867498474E0,-2.011367340E0,5.690865784E0
1.567596208E0,5.801635437E0,-1.851350098E0,5.557792511E0
1.577656208E0,5.712121582E0,-1.675016785E0,5.377267914E0
1.587716208E0,5.768404541E0,-1.311273193E0,5.381758575E0
1.597776208E0,6.338868256E0,-5.668711853E-1,4.228556671E0
1.607836208E0,7.490722961E0,-1.136137390E-1,2.631976776E0
1.617896208E0,8.182883606E0,-4.459226990E-1,2.274969177E0
1.627956208E0,8.437055054E0,-7.822732544E-1,2.642904053E0
1.638016208E0,8.518485718E0,-1.257385254E0,3.116369476E0
1.648076208E0,8.483757935E0,-1.574276276E0,3.559747467E0
1.658136208E0,8.342900848E0,-1.630259857E0,3.833677826E0
1.668196208E0,7.991132355E0,-1.807940369E0,3.877536621E0
1.678256208E0,7.688312073E0,-2.107617188E0,4.132606201E0
1.688316208E0,7.544161835E0,-2.382295990E0,4.332740021E0
1.698376208E0,7.430548096E0,-2.554587708E0,4.245920563E0
1.708437208E0,7.328909454E0,-2.726130981E0,4.328698425E0
1.718497042E0,7.589517517E0,-2.820584564E0,4.873116302E0
1.728557042E0,8.192912750E0,-2.705773315E0,5.453160095E0
1.738617042E0,8.647367706E0,-3.357068939E0,5.690267029E0
1.748677042E0,8.975784760E0,-3.541335754E0,5.300926666E0
1.758737042E0,8.762628021E0,-3.554059296E0,4.731361084E0
1.768797042E0,8.290060730E0,-3.820505219E0,4.392316132E0
1.778857042E0,7.597001953E0,-3.973187714E0,3.767216034E0
1.788917042E0,7.001240845E0,-4.366270294E0,2.965333557E0
1.798977042E0,6.908583527E0,-4.965773621E0,2.384691010E0
1.809037042E0,7.554939423E0,-5.449118500E0,2.324366455E0
1.819097042E0,7.571405182E0,-5.157973938E0,3.033292236E0
1.829157042E0,7.311994629E0,-5.615272980E0,3.522175598E0
1.839217042E0,7.198231201E0,-6.379134521E0,4.013603668E0
1.849277042E0,6.424789581E0,-8.178392944E0,3.848946075E0
1.859337042E0,6.005361786E0,-9.264983368E0,3.442690887E0
1.869397042E0,6.105952606E0,-6.972949677E0,3.205883331E0
1.879457042E0,6.030210114E0,-8.584049377E0,2.520159302E0
1.889517042E0,6.147266693E0,-7.354655914E0,2.725532227E0
1.899577042E0,6.059998169E0,-5.830675049E0,3.079695740E0
1.909637042E0,6.146069183E0,-4.773872681E0,2.887645111E0
1.919697042E0,6.491550751E0,-4.076173553E0,3.253933411E0
1.929757042E0,6.552623749E0,-5.379363556E0,3.707789612E0
1.939817042E0,6.284680939E0,-5.366640015E0,3.884571991E0
1.949877042E0,6.157295837E0,-5.470224609E0,4.033212891E0
1.959937042E0,5.767955475E0,-6.226452026E0,3.833378448E0
1.969997042E0,5.062173157E0,-6.722221069E0,3.751798096E0
1.980057042E0,4.046086121E0,-7.378755798E0,3.324436798E0
1.990117042E0,3.315305786E0,-7.425458679E0,2.507435760E0
2.000177042E0,3.325334930E0,-7.310198364E0,1.525178375E0
2.010237042E0,3.591481476E0,-7.001839600E0,6.915618896E-1
2.020297042E0,4.115391998E0,-7.119045868E0,2.339634705E-1
2.030357042E0,4.626878357E0,-6.601871338E0,1.616638184E-1
2.040417042E0,4.945865021E0,-6.832691345E0,1.431024170E-1
2.050477042E0,5.045108643E0,-6.904990997E0,6.288423157E-1
2.060538042E0,5.236261139E0,-7.101083221E0,1.370849304E0
2.070598042E0,5.094505920E0,-6.810387726E0,1.542242889E0
2.080658042E0,4.815935211E0,-6.832841034E0,1.336271210E0
2.090718042E0,4.552932129E0,-7.169041901E0,1.418600006E0
2.100778042E0,4.533322906E0,-7.229216766E0,8.086184692E-1
2.110838042E0,4.947062531E0,-7.228618011E0,3.026705933E-1
2.120898042E0,5.138215027E0,-7.928113403E0,8.002359009E-1
2.130958042E0,4.439767456E0,-9.429790649E0,2.895877991E0
2.141018042E0,3.419189758E0,-9.587113495E0,3.455713806E0
2.151078042E0,2.928809509E0,-9.140292664E0,3.209026794E0
2.161138042E0,3.173700256E0,-9.849517822E0,3.460204468E0
2.171198042E0,3.323239288E0,-1.129985184E1,2.903362427E0
2.181258042E0,2.981350250E0,-1.110375961E1,2.645897827E0
2.191318042E0,1.250200195E0,-1.186597458E1,1.664089508E0
2.201378042E0,-6.102809143E-1,-1.287667282E1,1.721420288E-2
2.211438042E0,2.681673431E0,-1.320778427E1,-6.984475708E-1
2.221498042E0,4.592449951E0,-1.406385406E1,-1.531614990E0
2.231558042E0,4.535717926E0,-1.278117142E1,-1.018182678E0
2.241618042E0,3.790866852E0,-1.122500748E1,2.781216431E-1
2.251678042E0,3.383264465E0,-1.015009277E1,6.679110718E-1
2.261738042E0,2.951262817E0,-9.628277893E0,9.424401855E-1
2.271798042E0,2.610122223E0,-9.249415741E0,2.088307343E0
2.281858042E0,2.720742188E0,-8.990454254E0,3.674109650E0
2.291918042E0,3.602408752E0,-8.418643341E0,2.656675415E0
2.301978042E0,3.722010040E0,-8.306376801E0,2.836750946E0
2.312038042E0,3.799399109E0,-8.468938751E0,2.605332184E0
2.322098042E0,3.880231018E0,-8.650960236E0,2.388133850E0
2.332158042E0,3.659739532E0,-8.716972961E0,2.220033417E0
2.342218042E0,3.664230194E0,-8.804840240E0,1.938319244E0
2.352278042E0,3.451672211E0,-8.877439270E0,1.397793274E0
2.362338042E0,3.395389252E0,-8.539891205E0,7.884104919E-1
2.372398042E0,3.371588745E0,-8.710236969E0,4.375401306E-1
2.382459042E0,2.977458344E0,-8.998537445E0,1.600172424E-1
2.392519042E0,3.001558228E0,-9.091045074E0,5.125341797E-1
2.402579042E0,3.110830994E0,-9.086704102E0,1.144969025E0
2.412639042E0,2.873125305E0,-9.143885193E0,1.551972656E0
2.422699042E0,2.554887085E0,-9.292526093E0,1.683099976E0
