"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.644166816E-4,-1.274449768E0,1.849703522E0,8.897946625E0
9.795583319E-3,-1.305734711E0,1.985770569E0,9.336983643E0
1.985558332E-2,-1.307381287E0,1.980830841E0,9.686806183E0
2.991558332E-2,-1.231040039E0,2.002535706E0,9.908195801E0
3.997558332E-2,-1.117725677E0,2.040706329E0,9.996063080E0
5.003558332E-2,-9.789642334E-1,2.069147186E0,9.908495178E0
6.009458331E-2,-8.009843445E-1,2.164947968E0,9.649533691E0
7.015458331E-2,-6.704557800E-1,2.362088013E0,9.294172668E0
8.021458331E-2,-6.664141846E-1,2.536175995E0,8.969946899E0
9.027458332E-2,-6.845265198E-1,2.543810120E0,8.732989655E0
1.003345833E-1,-7.679031372E-1,2.365979919E0,8.607550507E0
1.103945833E-1,-7.441026306E-1,2.150577850E0,8.423134003E0
1.204545833E-1,-6.764433289E-1,1.963317261E0,8.299790497E0
1.305145833E-1,-6.301895142E-1,1.944157104E0,8.136779480E0
1.405745833E-1,-5.468128967E-1,2.174378357E0,7.977061615E0
1.506345833E-1,-5.005590820E-1,2.458786926E0,7.952213287E0
1.606935833E-1,-5.379812622E-1,2.563119965E0,8.118068390E0
1.707535833E-1,-5.439688110E-1,2.599344635E0,8.349337463E0
1.808135833E-1,-5.593867493E-1,2.606829071E0,8.584498444E0
1.908735833E-1,-6.014492798E-1,2.582878876E0,8.768615570E0
2.009335833E-1,-5.947132874E-1,2.584824829E0,8.805289307E0
2.109935833E-1,-5.104385376E-1,2.630180511E0,8.724008331E0
2.210535833E-1,-4.695735168E-1,2.762954407E0,8.530460815E0
2.311135833E-1,-3.309617615E-1,2.898722076E0,8.382418671E0
2.411735833E-1,-1.978884888E-1,3.057541809E0,8.327183533E0
2.512335833E-1,-1.776805115E-1,3.121907959E0,8.369695129E0
2.612925833E-1,-3.047662354E-1,2.976709900E0,8.412655792E0
2.713525833E-1,-4.851411438E-1,2.766546936E0,8.450227661E0
2.814125833E-1,-6.343807983E-1,2.580334167E0,8.452323303E0
2.914725833E-1,-6.313870239E-1,2.394869843E0,8.381670227E0
3.015325833E-1,-6.017486572E-1,2.118544464E0,8.298742676E0
3.115925833E-1,-5.590873718E-1,1.812880096E0,8.317453766E0
3.216525833E-1,-6.104306030E-1,1.493444366E0,8.397387543E0
3.317125833E-1,-1.208586731E0,1.024319916E0,8.725355530E0
3.417725833E-1,-1.411864014E0,6.797364807E-1,8.715775452E0
3.518325833E-1,-1.539847870E0,8.427474976E-2,9.659113770E0
3.618915833E-1,-1.420096893E0,-1.204994202E-1,9.950408020E0
3.719515833E-1,-1.402733002E0,1.538800049E-1,9.368867340E0
3.820115833E-1,-1.424587555E0,9.220825195E-2,9.310488739E0
3.920715833E-1,-1.403331757E0,-8.128097534E-2,9.229806519E0
4.021315833E-1,-1.964664459E0,-6.444099426E-1,9.502539368E0
4.121915833E-1,-4.111649780E0,-2.101479950E0,1.112830856E1
4.222515833E-1,-4.105512543E0,-2.433489532E0,1.076202026E1
4.323115833E-1,-3.446732483E0,-1.813778229E0,9.399852905E0
