"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.765583319E-3,4.984109402E-1,-1.304635704E-1,-1.145035699E-1
1.482558332E-2,4.349595308E-1,-9.635248780E-2,-1.711418182E-1
2.488558332E-2,3.373737633E-1,-1.007119492E-1,-1.950959712E-1
3.494558332E-2,2.041469961E-1,-1.473963708E-1,-2.020350993E-1
4.500558332E-2,3.561313823E-2,-2.021687329E-1,-1.877140999E-1
5.506558332E-2,-1.583089381E-1,-2.358654439E-1,-1.503877789E-1
6.512458331E-2,-3.469001651E-1,-2.550844252E-1,-8.214064687E-2
7.518458331E-2,-5.049439073E-1,-2.613604069E-1,1.513557043E-2
8.524458332E-2,-5.765609741E-1,-2.713036835E-1,8.187948167E-2
9.530458332E-2,-5.451939702E-1,-2.575271428E-1,1.031059399E-1
1.053645833E-1,-4.349456429E-1,-2.021281123E-1,1.152693033E-1
1.154245833E-1,-2.753695548E-1,-1.364050210E-1,1.222537085E-1
1.254845833E-1,-1.232938096E-1,-1.219599973E-2,1.304873526E-1
1.355445833E-1,-4.007961228E-2,1.495063454E-1,1.771267653E-1
1.456045833E-1,-2.360806614E-2,2.966494858E-1,2.478234172E-1
1.556645833E-1,-3.405404836E-2,4.017237127E-1,3.138301373E-1
1.657235833E-1,-5.269414559E-2,4.802012444E-1,3.926499486E-1
1.757835833E-1,-8.134389669E-2,5.256108046E-1,4.767041206E-1
1.858435833E-1,-1.086079329E-1,5.422196388E-1,5.503520370E-1
1.959035833E-1,-1.333518922E-1,5.477113128E-1,6.213803887E-1
2.059635833E-1,-1.530517638E-1,5.581443906E-1,6.981402040E-1
2.160235833E-1,-1.796128005E-1,6.250280738E-1,7.773261070E-1
2.260835833E-1,-2.118580043E-1,7.381924987E-1,8.657556176E-1
2.361435833E-1,-2.411058992E-1,8.626729250E-1,9.656137824E-1
2.462035833E-1,-2.677167058E-1,9.932159781E-1,1.080165625E0
2.562635833E-1,-2.796090245E-1,1.106487393E0,1.207180500E0
2.663225833E-1,-2.859540880E-1,1.161509156E0,1.325669885E0
2.763825833E-1,-3.032742143E-1,1.201700568E0,1.432237148E0
2.864425833E-1,-3.408292234E-1,1.243162155E0,1.528549671E0
2.965025833E-1,-3.863181472E-1,1.322114468E0,1.595197916E0
3.065625833E-1,-4.155038893E-1,1.426479459E0,1.619614124E0
3.166225833E-1,-4.157158732E-1,1.513950944E0,1.608202696E0
3.266825833E-1,-4.045118392E-1,1.503508568E0,1.481814623E0
3.367425833E-1,-3.687157333E-1,1.490081549E0,1.366277695E0
3.468025833E-1,-4.459279776E-1,1.289650083E0,1.235896111E0
3.568625833E-1,-5.735144019E-1,1.166449070E0,1.161077499E0
3.669215833E-1,-6.509670615E-1,1.154501319E0,1.086086154E0
3.769815833E-1,-6.978408098E-1,1.220692277E0,1.005294085E0
3.870415833E-1,-7.239675522E-1,1.301833034E0,9.149745107E-1
3.971015833E-1,-7.279625535E-1,1.290614486E0,7.171450853E-1
4.071615833E-1,-7.967346907E-1,1.004917741E0,2.237139195E-1
4.172215833E-1,-7.726658583E-1,1.064584017E0,-1.831284165E-1
4.272815833E-1,-5.596484542E-1,1.261830568E0,-3.916822970E-1
4.373415833E-1,-2.209966481E-1,1.303304195E0,-5.100752711E-1
4.474015833E-1,2.378146201E-1,1.348843217E0,-5.019912124E-1
4.574605833E-1,7.064079642E-1,1.418539762E0,-3.442593813E-1
4.675205833E-1,1.027397633E0,1.162802100E0,-2.275461853E-1
4.775805833E-1,1.108585477E0,8.563278913E-1,-1.529363990E-1
4.876405833E-1,9.877181649E-1,6.786842942E-1,-2.368389368E-1
4.977005833E-1,7.359445095E-1,4.911402464E-1,-4.154209197E-1
5.077605833E-1,5.334606767E-1,2.961435318E-1,-5.340320468E-1
5.178205833E-1,1.850768626E-1,1.370217800E-1,-5.135084391E-1
5.278805833E-1,-2.097535133E-1,9.943465889E-2,-3.552923501E-1
5.379405833E-1,-2.433282435E-1,-9.790323973E-1,3.743591905E-1
