Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.006450319,-1.12873745,-0.549724996,0.345674992
0.023476856,-1.209312439,-1.012687445,0.415387511
0.040503343,-1.376787543,-1.268025041,0.50819999
0.05752981,-1.634462476,-1.338974953,0.451962501
0.074556514,-1.812937498,-1.095737457,0.128287494
0.091582733,-1.820225,-0.574199975,-0.179574996
0.108609395,-1.691937447,-0.0243375,-0.091712497
0.125635844,-1.61864996,-0.940637469,-0.37015
0.142662301,-1.617412448,-0.71458751,-0.652437508
0.159688781,-1.577124953,-0.472725004,-0.89182502
0.176715318,-1.928987503,-0.145337492,-0.724487484
0.193741779,-2.015749931,-0.050049998,-0.48386249
0.210768252,-2.113374949,0.080712497,-0.386099994
0.227794695,-2.175800085,0.356812507,-0.476437509
0.244821161,-2.19037509,0.684199989,-0.603487492
0.261847604,-2.212374926,1.058062553,-0.779487491
0.278874274,-2.071850061,1.138637543,-0.967587471
0.29590078,-1.855700016,1.037299991,-1.149637461
0.312927243,-1.617412448,0.796674967,-1.253450036
0.329953714,-1.465887547,0.587674975,-1.41968751
0.34698026,-1.380362511,0.254237503,-1.527212501
0.364006729,-1.319312453,-0.0133375,-1.561312437
0.381033204,-1.275312543,-0.177100003,-1.566262484
0.398059656,-1.282737494,-0.473962486,-1.503975034
0.415086351,-1.24849999,-0.67058748,-1.330449939
0.432112806,-1.117737532,-1.104400039,-1.263212442
0.449139277,-0.984637499,-1.407312512,-1.180162549
0.466165743,-0.877112508,-1.37431252,-1.043349981
0.483192195,-0.863637507,-1.257025003,-0.813724995
0.500218741,-0.957687497,-1.010349989,-0.599912524
0.517245234,-1.028499961,-0.658487499,-0.588912487
0.534271685,-1.059162498,-0.428725004,-0.725724995
0.551298133,-0.883162499,-0.577775002,-0.879587472
0.568324783,-0.713349998,-0.729300022,-0.965112507
0.585351257,-0.565537512,-0.649824977,-0.96153748
0.602377727,-0.487300009,-0.44591251,-0.910250008
0.619404194,-0.473962486,-0.350625008,-0.874774993
0.63643073,-0.519062519,-0.343199998,-0.851537466
0.653457216,-0.603349984,-0.290674985,-0.828299999
0.670483656,-0.682824969,-0.155100003,-0.82348752
0.687510117,-0.647350013,-0.073287502,-0.828299999
0.704536793,-0.517825007,-0.207625002,-0.833249986
0.721563269,-0.404249996,-0.648724973,-0.829537511
0.738589752,-0.284487486,-0.907637477,-0.788012505
0.755616203,0.024612499,-0.901587486,-0.665912509
0.77264274,0.334812492,-0.69024998,-0.610912502
0.789669182,0.513287485,-0.557012498,-0.548624992
0.806695675,0.712387502,-0.37015,-0.475199997
0.823722139,0.967724979,-0.367675006,-0.312812507
0.840748836,1.257300019,-0.422674984,0.0072875
0.857775311,1.668974996,-0.423912495,0.41415
0.874801814,2.160125017,-0.488674998,0.83434999
0.891828255,2.441037416,-0.774537504,1.257162452
0.908854708,2.444750071,-0.893062472,1.621124983
0.925881245,2.312750101,-1.005399942,1.897362471
0.942907727,2.044075012,-1.312024951,2.172224998
0.959934189,1.851024985,-1.727412462,2.16122508
0.976960636,1.814312458,-1.76412499,1.911937475
0.993987312,1.708024979,-1.575887442,1.635837436
1.011013761,1.235299945,-1.232687473,1.455024958
1.028040203,1.012962461,-0.461724997,1.747074962
1.045066637,0.752674997,-0.328624994,1.941224933
1.062093073,0.415524989,-0.895399988,1.948650002
1.079119636,0.386237502,-0.847824991,2.183224916
1.096146083,0.420475006,-1.301025033,2.068412542
1.11317255,0.30318749,-1.996224999,1.898599982
1.130199001,0.124712497,-2.671762466,1.722599983
1.147225692,-0.0231,-3.068862438,1.550312519
1.164252126,-0.139149994,-3.304674864,1.347499967
1.181278674,-0.255199999,-3.313199997,1.19363749
1.198305042,-0.3944875,-3.004100084,1.025062442
1.215331595,-0.461724997,-2.742712498,0.830775023
1.232358045,-0.531300008,-2.647424936,0.620674968
1.249384516,-0.662062526,-2.710949898,0.350625008
1.266410934,-0.833112478,-2.659524918,0.079475001
1.283437626,-0.892925024,-2.294324875,-0.219862506
1.300464096,-0.836687505,-1.871649981,-0.516725004
1.317490617,-0.510537505,-1.870412469,-0.726962507
1.334517081,0.161424995,-2.21003747,-0.695199966
1.351543564,0.55962497,-2.223375082,-0.063524999
1.368570045,0.157712504,-1.544124961,0.505725026
1.385596516,-0.026675001,-1.489125013,0.638962507
1.402623192,-0.096387498,-1.656599998,0.570487499
1.419649684,-0.114675,-1.522125006,0.372624993
1.436676122,-0.134200007,-1.140974998,0.160050005
1.453702603,-0.071912497,-0.645012498,0.180812493
1.470729153,0.206662506,-0.586300015,0.186862499
1.487755625,0.387474984,-1.155687451,-0.080574997
1.504782117,0.70372498,-1.348737478,-0.328624994
1.521808574,0.498575002,-1.819124937,-0.552200019
1.538835059,0.095425002,-1.761649966,-0.818537474
1.555861759,-0.272387505,-1.013924956,-1.051874995
1.572888198,-0.594962478,-0.612012506,-1.301162481
1.589914699,-0.762300015,-1.259500027,-1.315874934
1.606941165,-0.698774993,-1.572312474,-0.976249993
1.623967711,-0.5839625,-1.134925008,-0.676912487
1.640994146,-0.568012476,-1.138637543,-0.49733749
1.658020598,-0.541199982,-1.285212517,-0.44591251
1.675047045,-0.453199983,-1.220450044,-0.527862489
1.692073723,-0.509437501,-1.367025018,-0.555912495
1.709100186,-0.62053752,-1.362212539,-0.547387481
1.726126627,-0.663299978,-1.293737531,-0.518100023
1.743153135,-0.63401252,-1.15444994,-0.547387481
1.760179598,-0.612012506,-0.926062524,-0.575437486
1.77720606,-0.537487507,-0.802587509,-0.579150021
1.794232531,-0.382250011,-0.773299992,-0.576674998
1.811259222,-0.313912511,-0.866112471,-0.618200004
1.82828545,-0.291912496,-1.110450029,-0.689149976
1.845312135,-0.381150007,-0.947924972,-0.707437515
1.862338632,-0.410437495,-0.693825007,-0.707437515
1.879365183,-0.329724997,-0.502012491,-0.636487484
1.896391647,-0.221100003,-0.57653749,-0.505862474
1.913418097,-0.118387498,-0.6523,-0.373862505
1.930444569,0.101475,-0.604725003,-0.245574996
1.947471249,0.492387503,-0.541199982,-0.119762503
1.964497721,0.871199966,-0.663299978,0.009762499
1.981524169,1.265825033,-0.806299985,0.0463375
1.998550641,1.75931251,-0.880824983,0.130624995
2.015577107,2.222412586,-1.199687481,0.350625008
2.032603649,2.712325096,-1.406075001,0.736587524
2.049630126,3.143524885,-1.456262469,1.175212502
2.066656569,3.354862452,-1.381737471,1.618787527
2.083683045,3.1410501,-1.645599961,1.924175024
2.10070973,2.69389987,-1.726174951,2.092750072
2.117736202,2.212650061,-1.009112477,2.218562603
2.134762689,1.609025002,-0.117287502,2.222275019
2.151789122,1.104537487,0.891962469,2.370087385
2.168815639,1.116775036,1.157062531,2.79399991
2.185842213,1.719025016,-0.581487477,3.343724966
2.20286854,2.026887417,-1.353549957,3.666300058
2.219895245,2.103887558,-1.419549942,3.462249994
2.236921722,2.376275063,-2.181849957,3.266862392
2.253948194,2.52532506,-2.586237431,3.062812567
2.270974621,2.720849991,-2.723187447,2.7817626
2.288001158,2.835662603,-2.686475039,2.534950018
2.305027603,2.652374983,-2.506900072,2.157512426
2.322054049,2.365274906,-2.151324987,1.734837532
2.339080502,1.997599959,-1.748175025,1.456262469
2.356107187,1.514974952,-1.318212509,1.222924948
2.373133661,1.050775051,-1.088449955,0.982162476
2.390160121,0.628099978,-0.934587479,0.78429997
2.407186593,0.111237496,-0.687775016,0.707300007
2.42421302,-0.25643751,-0.742775023,0.692725003
2.441239557,-0.565537512,-0.85263747,0.717062473
2.45826603,-0.883162499,-0.813587487,0.618200004
2.475292507,-1.336500049,-0.685299993,0.425150007
2.492318998,-1.781175017,-0.241862506,0.122099996
2.509345698,-1.865462542,0.383625001,0.105049998
2.526372147,-2.067037582,0.343337506,0.166099995
2.543398632,-2.114749908,-0.111100003,0.142862499
2.560425094,-1.804412484,-0.324912489,0
2.577451625,-1.970512509,-0.653537512,-0.200337499
2.594478083,-2.082987547,-0.35186249,-0.39586249
2.611504789,-2.2026124,-0.070812501,-0.564437509
2.628531012,-2.086562395,0.029424999,-0.744012475
2.645557717,-1.906987548,0.036712501,-0.854012489
2.662584173,-1.766462445,0.064762503,-0.957825005
2.679610626,-1.649175048,0.141762495,-1.078824997
2.696637154,-1.573549986,0.140524998,-1.141112447
2.713663614,-1.573549986,0.279812485,-1.030012488
2.73069006,-1.472074986,0.474099994,-0.509437501
2.747716508,-1.514837503,0.588912487,-1.188825011
2.764743203,-1.589362502,0.211475,-0.96153748
2.781769679,-1.654124975,0.162524998,-1.329212546
2.798796137,-1.619887471,-0.1123375,-1.282874942
2.815822688,-1.621124983,-0.113574997,-1.019012451
2.832849055,-1.53807497,-0.174624994,-0.757487476
2.849875613,-1.413499951,-0.240624994,-0.656149983
2.866902098,-1.36083746,-0.321200013,-0.601149976
