Time(s);X(rad/s);Y(rad/s);Z(rad/s)
0,008036523;1,640650034;-0,75721252;-0,085524999
0,025064823;1,810462475;-0,609399974;-0,079475001
0,042092923;1,873987436;-0,400399983;-0,085524999
0,059121227;1,957037449;-0,595924974;-0,081950001
0,076149213;1,724937439;-0,356537491;-0,229762495
0,093177509;1,481837511;-0,547112525;-0,370287508
0,11020573;1,578362465;-0,534874976;-0,387337506
0,127234063;1,779937506;-0,790212512;-0,184524998
0,144262134;1,910562515;-1,267887473;0,2138125
0,161290391;1,946037531;-1,091887474;0,814824998
0,178318696;1,9765625;-0,462825;1,199687481
0,195346739;1,829987526;-0,004675;1,106874943
0,212374968;1,787225008;0,433950007;0,729300022
0,22940324;1,496412516;0,784574986;0,618200004
0,246431319;1,213024974;0,817574978;0,649962485
0,263459564;0,916162491;0,759000003;0,588774979
0,280487845;0,537487507;0,580524981;0,40191251
0,297515927;0,074387498;0,317900002;0,069574997
0,314544207;-0,305525005;0,091849998;-0,117287502
0,331572437;-0,546287477;-0,0584375;-0,168712497
0,348600487;-0,757624984;-0,091437496;-0,136812493
0,365628752;-1,023962498;0,0100375;-0,133237496
0,382657081;-1,309824944;0,2226125;-0,243237495
0,399685172;-1,547974944;0,416900009;-0,384862512
0,4167135;-1,700737476;0,433950007;-0,521674991
0,433741711;-1,809499979;0,30318749;-0,64762497
0,450770034;-1,877974987;0,28490001;-0,676912487
0,46779813;-1,865737438;0,239662498;-0,602387488
0,48482637;-1,789975047;0,267850012;-0,494862497
0,501854701;-1,681212544;0,42295;-0,271287501
0,518882783;-1,679975033;0,550000012;-0,092950001
0,535911024;-1,653162479;0,543950021;0,167337492
0,55293906;-1,565162539;0,541474998;0,357912511
0,569967376;-1,428349972;0,455949992;0,422674984
0,586995567;-1,242587447;0,419237495;0,450724989
0,604023852;-1,019012451;0,493762493;0,44591251
0,621051914;-0,789387524;0,619712472;0,41415
0,638080149;-0,52305001;0,785812497;0,387199998
0,655108217;-0,321474999;0,758862495;0,278437495
0,672136534;-0,228662506;0,444949985;0,0793375
0,689164764;-0,184662506;0,269087493;-0,218762502
0,70619307;-0,085662499;0,459662497;-0,413049996
0,723221169;0,0451;0,795575023;-0,515625
0,740249424;0,185487494;0,971575022;-0,469150007
0,757277724;0,553300023;0,782100022;-0,581624985
0,774305818;-0,051424999;1,317250013;-0,455812484
0,791334144;-0,573099971;2,093024969;-0,01595
0,80836216;-1,012962461;1,638587475;0,34443751
0,82539047;-1,09353745;1,232962489;0,084287502
0,842418688;-0,678149998;0,270187497;-0,183287501
0,859446998;-0,272525013;-0,026675001;-0,163762495
0,876475053;-0,173662499;-0,203775004;-0,387337506
0,8935033;-0,414287508;-0,060775001;-0,584100008
0,910531572;-0,709912479;0,773575008;-0,467912495
0,927559658;-0,72338748;1,334300041;-0,300574988
0,944587905;-0,692862511;1,546875;-0,331099987
0,961616202;-0,626862526;1,467537522;-0,518100023
0,978644283;-0,552337468;1,441825032;-0,69024998
0,995672521;-0,488812506;1,479774952;-0,854012489
1,012700818;-0,476574987;1,476062536;-0,928537488
1,029728894;-0,527862489;1,338012457;-0,944487512
1,046757203;-0,676912487;1,127912521;-0,829537511
1,063785408;-0,753912509;0,888387501;-0,675674975
1,080813459;-0,685437501;0,61847502;-0,549862504
1,097841763;-0,419099987;0,651475012;-0,361624986
1,114869966;-0,166237503;0,922625005;-0,239525005
1,131898062;0,021862499;1,01433754;-0,254099995
1,14892638;0,144099996;1,097387552;-0,402049989
1,165954629;0,162387505;0,966624975;-0,586437523
1,182982924;0,089100003;0,679525018;-0,691487491
1,200010994;-0,057475001;0,419237495;-0,603625
1,217039256;-0,279949993;0,377712488;-0,35186249
1,234067572;-0,464337498;0,633050025;-0,128287494
1,251095693;-0,430099994;0,954387486;0,015812499
1,268124001;-0,226187497;1,022862554;0,051287498
1,285152256;-0,067374997;1,226912498;0,124574997
1,302180346;0,00715;1,545774937;0,114812501
1,319208632;0,203912497;1,705824971;0,062287498
1,336236842;0,448249996;1,898737431;0,00605
1,353264925;0,552062511;2,309312582;0,161287502
1,370293227;0,699874997;2,286074877;0,271149993
1,387321467;0,907637477;2,072262526;0,484962493
1,404349533;1,018737435;1,656875014;0,778249979
1,421377838;1,376787543;1,061912537;1,035925031
1,438406043;1,761649966;0,711287499;1,203400016
1,455434376;2,128087521;0,740575016;1,259500027
1,472462452;2,498374939;0,94462502;1,345024943
1,48949067;2,739000082;1,226912498;1,11787498
1,506518951;2,696237564;1,88045001;0,717062473
1,523547057;2,504425049;2,335025072;0,343337506
1,540575283;2,339425087;2,096737385;0,145337492
1,557603596;2,007225037;1,339249969;0,0122375
1,574631673;1,574650049;1,160912514;-0,0232375
1,591659982;1,260737538;1,064387441;0,255337507
1,608688215;1,232687473;0,916575015;0,455675006
1,625716541;1,231449962;0,651475012;0,510675013
1,642744635;1,131212473;0,164037496;0,475199997
