Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00075524,1.464000106,-8.031000137,-2.749950171
0.01778393,-1.120950103,-9.592050552,-2.154000044
0.03481255,-3.157950163,-9.220950127,-1.335000038
0.05184141,-4.497000217,-9.228000641,-1.203000069
0.06887012,-5.304000378,-9.796050072,-1.402050018
0.08589872,-5.581050396,-10.11195087,-2.329050064
0.10292759,-5.062050343,-10.33200073,-2.500950098
0.11995627,-4.714950085,-9.570000648,-1.117050052
0.13698512,-4.842000008,-9.001049995,1.113000035
0.15401374,-4.363049984,-8.521950722,1.903050065
0.17104243,-3.988950253,-8.359050751,0.799950063
0.18807126,-3.940950155,-8.293950081,-0.114000008
0.20509993,-3.640050173,-7.972950459,-0.673950017
0.22212857,-2.884950161,-7.780050278,-1.186950088
0.23915743,-2.313000202,-7.807950497,-1.692000031
0.25618611,-2.521950006,-7.798950195,-2.170950174
0.27321497,-2.827950239,-7.897050381,-2.320950031
0.29024359,-3.436050177,-8.182050705,-2.25
0.30727227,-4.104000092,-8.428050041,-1.741950035
0.32430113,-4.663950443,-8.529000282,-1.186950088
0.34132983,-5.340000153,-8.650950432,-0.832050026
0.35835842,-5.87100029,-8.413949966,-0.48300001
0.37538727,-6.28305006,-7.939950466,0
0.39241588,-6.381000519,-7.636050224,0.589050055
0.40944457,-5.61495018,-8.401950836,0.970050037
0.42647341,-4.501950264,-9.403050423,0.879000068
0.44350208,-3.514950275,-9.910050392,0.934050024
0.46053077,-3.154050112,-10.08000088,1.630950093
0.47755951,-4.260000229,-10.79400063,2.491950035
0.49458822,-4.990050316,-12.16095066,3.18900013
0.51161683,-5.680050373,-13.02105045,3.690000057
0.5286457,-5.124000072,-12.42000103,3.44505024
0.5456744,-3.448050261,-10.93005085,3.10800004
0.56270325,-1.40805006,-10.24305058,1.876950145
0.5797319,-0.136950001,-10.26195049,1.132050037
0.59676059,0.319050014,-10.7890501,1.30005002
0.61378946,0.420000017,-11.7300005,0.963000059
0.63081808,1.002000093,-12.49605083,-0.624000013
0.64784678,4.777950287,-11.01900005,-4.085999966
0.66487561,0.916050017,-9.027000427,0.120000005
0.68190422,-0.325950027,-7.590000153,0.445050031
0.69893291,-2.083050013,-7.174050331,-0.873000026
0.71596171,-2.701050043,-5.806950092,-0.376950026
0.73299041,-4.015950203,-5.730000496,0.031050002
0.75001924,-5.067000389,-5.833050251,0.579000056
0.76704786,-4.837050438,-5.826000214,1.522950053
0.78407652,-4.492050171,-5.839950085,2.119050026
0.80110513,-4.114050388,-5.980950356,2.26695013
0.81813397,-3.520050049,-5.899950504,1.683000088
0.83516267,-2.919000149,-5.797050476,1.261950016
0.85219151,-2.443050146,-5.806950092,0.910050035
0.86922012,-2.281949997,-5.974050522,0.83100003
0.88624882,-2.15805006,-5.950050354,0.778050065
0.90327768,-1.960950136,-6.124950409,0.855000019
0.9203064,-2.493000031,-6.373950481,1.420050025
0.93733503,-3.145950079,-6.819000244,1.903050065
0.95436388,-3.682950258,-7.492050171,2.3989501
0.9713926,-4.34100008,-8.893050194,4.659000397
0.98842145,-6.067050457,-10.4779501,7.237950325
1.00545006,-8.887950897,-10.43700027,7.072950363
1.02247874,-10.33905029,-9.823950768,6.184050083
1.0395076,-9.297000885,-9.468000412,6.453000069
1.05653631,-6.883950233,-9.834000587,5.880000114
1.07356497,-5.502000332,-10.75605011,5.272050381
1.09059382,-4.06305027,-12.86295033,4.21200037
1.10762244,-3.616050243,-14.17695045,2.116950035
1.12465108,-2.067000151,-13.78905106,-2.808000088
1.14167991,-0.594000042,-12.77595043,-4.909950256
1.15870861,0.919950068,-10.55700016,-5.950950146
1.17573723,1.339050055,-7.483050346,-4.263000011
1.19276609,1.596000075,-5.491050243,-1.917000055
1.20979478,1.171950102,-4.654950142,-0.856050015
1.22682362,-0.223050013,-4.485000134,-1.366050124
1.24385225,-0.582000017,-5.878050327,-2.512950182
1.26088092,-2.119050026,-7.543050289,-2.206950188
1.27790978,-4.384050369,-8.359050751,-1.03305006
1.29493848,-6.099000454,-9.159000397,0.061950002
1.3119671,-6.834000111,-10.29600048,0.691950023
1.32899598,-6.802950382,-10.93305016,1.16595006
1.34602456,-5.863950253,-11.2459507,0.493050009
1.36305322,-4.648050308,-10.31700039,-0.741000056
1.38008206,-4.888950348,-8.778000832,-0.331950009
1.39711075,-3.249000072,-8.337000847,0.984000027
1.41413936,-2.313000202,-8.050050735,0.868950069
1.43116821,-2.401950121,-7.674000263,0.478950024
1.44819688,-2.446950197,-7.357950211,0.189000011
1.46522571,-2.536050081,-7.180950165,-0.175950006
