Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.034846741,-0.004125,-0.0165,-0.0033
0.051869544,-0.0053625,-0.031075001,-0.005775
0.068892319,0.000825,-0.034787498,-0.005775
0.085915107,-0.0004125,-0.0237875,-0.0020625
0.102937809,-0.004125,-0.0078375,-0.0045375
0.119960569,-0.0028875,-0.00055,-0.0020625
0.13698336,-0.004125,0.0031625,-0.0009625
0.154006138,-0.011412499,-0.0042625,-0.0020625
0.171028922,-0.0176,-0.015262499,-0.005775
0.188051706,-0.0199375,-0.0188375,-0.0070125
0.205074227,-0.021175001,-0.020075001,-0.0033
0.222096986,-0.0138875,-0.015262499,-0.0033
0.239119713,-0.0053625,-0.009075,-0.0009625
0.256142482,-0.0004125,-0.0055,-0.0020625
0.27316515,0.0056375,-0.0055,0.000275
0.29018792,0.0033,-0.0067375,0.005225
0.307210687,0.0044,-0.0055,0.0064625
0.324233446,0.0033,-0.0042625,0.0064625
0.341256191,0.0044,-0.0042625,0.005225
0.35827873,0.0044,0.009212499,0.0064625
0.37530174,0.0056375,0.01045,0.0064625
0.392324294,0.008112499,0.012925,0.0077
0.409347093,0.0056375,0.0165,0.0064625
0.426369866,-0.0004125,0.015262499,0.0077
0.443392582,-0.01265,0.0067375,0.005225
0.460415357,-0.038362499,0.001925,0.0015125
0.477438158,-0.037124999,-0.0067375,0.000275
0.494460941,-0.0089375,0.007975,-0.0105875
0.511483734,0.041112501,0.058024999,-0.032587498
0.528506285,0.103399999,0.121550001,-0.077825002
0.545529288,0.143687502,0.1607375,-0.148774996
0.562551779,0.133925006,0.169262499,-0.233062506
0.57957453,0.080162503,0.098449998,-0.30992499
0.596597275,0.031350002,-0.047024999,-0.356400013
0.613619972,-0.0309375,-0.178887501,-0.366162509
0.630642742,-0.105462499,-0.263175011,-0.355162501
0.647665514,-0.172700003,-0.293837488,-0.305112511
0.664688268,-0.214224994,-0.314599991,-0.219587505
0.681710989,-0.220275,-0.41346249,-0.117012501
0.69873373,-0.199512497,-0.594274998,-0.0105875
0.715756494,-0.113987498,-0.655462503,0.065037496
0.732779029,0.0056375,-0.508750022,0.088275
0.749801823,0.146162495,-0.347462505,0.0748
0.766824602,0.271975011,-0.274174988,0.049224999
0.783847386,0.346500009,-0.214362502,0.0100375
0.80087007,0.364787489,-0.121550001,-0.041249998
0.817892832,0.350212485,-0.128837496,-0.0705375
0.834915596,0.337974995,-0.031075001,-0.090062499
0.851938384,0.386787504,0.1057375,-0.1255375
0.868961149,0.512600005,0.185075,-0.137775004
0.885983696,0.675125003,0.149737492,-0.080300003
0.903006486,0.824175,-0.015262499,0.099275
0.920029256,0.907225013,-0.241312504,0.258087486
0.937052011,0.821699977,-0.611462474,0.3680875
0.954074794,0.721599996,-1.131899953,0.529375017
0.971097477,0.710600019,-1.368950009,0.661237478
0.988120328,0.786362469,-1.377475023,0.837237477
1.005143037,0.855937481,-1.151425004,1.079100013
1.022165802,0.855937481,-0.676225007,1.265962481
1.039188576,0.714174986,-0.170362502,1.247674942
1.056211369,0.439312488,0.048262499,1.217149973
1.073234153,0.290262491,-0.095837496,1.224437475
1.090256684,0.317212492,-0.707987487,1.21467495
1.107279716,0.036162499,-1.559525013,0.977625012
1.124302244,-0.357225001,-1.911387444,0.648999989
1.141325006,-0.408512503,-1.411712527,0.388850004
1.158347795,-0.354750007,-0.762849987,0.242275
1.175370568,-0.344987512,-0.187549993,0.172562495
1.192393241,-0.442750007,0.270599991,0.146987498
1.209416073,-0.571037471,0.460074991,0.123750001
1.226438741,-0.673612475,0.395312488,0.016224999
1.2434615,-0.738375008,0.354887486,-0.011962499
1.260484275,-0.777424991,0.337837488,0.106562503
1.277507048,-0.832424998,0.248600006,0.263037503
1.294529832,-0.883712471,0.100787498,0.3680875
1.311552606,-0.948475003,-0.263175011,0.432850003
1.328575165,-1.096287489,-0.660274983,0.377849996
1.345598163,-1.266100049,-0.921662509,0.238562495
1.362620698,-1.24781251,-0.718987525,0.076037496
1.379643461,-0.887425005,-0.188649997,-0.074249998
1.396666246,-0.407274991,0.064212501,-0.220825002
1.413689059,-0.015125,0.292600006,-0.364924997
1.430711819,0.224399999,0.330549985,-0.466399998
1.447734583,0.369737506,0.150975004,-0.5311625
1.464757285,0.323262513,0.0042625,-0.553025007
1.481780107,0.044824999,0.0031625,-0.571449995
1.498802788,-0.327800006,0.031212499,-0.582449973
1.515825554,-0.638137519,-0.0385,-0.595787525
1.532848321,-0.812900007,-0.259599984,-0.616687477
1.549871095,-0.928950012,-0.560037494,-0.436975002
1.566893865,-1.009524941,-0.501462519,-0.099825002
1.583916634,-0.932662487,0.014162499,0.105462499
1.600939388,-0.864187479,0.249837503,0.182325006
1.617962126,-0.728612483,0.220550001,0.219037503
1.63498488,-0.556325018,0.0116875,0.162799999
1.652007644,-0.426800013,0.007975,-0.0020625
1.669030164,-0.497612506,0.335362494,-0.208587498
