Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.035374443,-0.004125,-0.095974997,0.0020625
0.05239796,-0.004125,-0.088687502,0.005775
0.06942144,-0.0028875,-0.083875,0.013062499
0.086444894,-0.0077,-0.076449998,0.0105875
0.103468549,-0.005225,-0.0594,-0.0039875
0.12049201,-0.0077,-0.036162499,-0.01375
0.137515406,-0.011412499,-0.02145,-0.017462499
0.15453905,-0.0077,-0.001925,-0.017462499
0.171562505,-0.0077,0.01155,-0.012512499
0.18858612,0.0020625,0.010312499,-0.0039875
0.205609597,0.013062499,0.004125,0.005775
0.222633202,0.017875001,0.004125,0.013062499
0.239656582,0.0215875,0.0066,0.019112499
0.256680041,0.025162499,0.0138875,0.02035
0.273703669,0.014162499,0.048124999,0.0155375
0.29072715,0.0056375,0.0616,0.00935
0.307750794,0.006875,0.060362499,0.00935
0.324774195,0.0020625,0.067649998,0.013062499
0.341797644,0.0031625,0.068887502,0.0143
0.358821255,0.0020625,0.0616,0.0143
0.375844736,0.0031625,0.0726,0.016775001
0.392868361,0.0031625,0.088412501,0.016775001
0.409891822,0.008112499,0.066412501,0.013062499
0.426915203,0.022824999,0.020075001,0.005775
0.443938847,0.0264,0.011412499,-0.010175
0.460962293,0.0276375,0.0188375,-0.01265
0.477985661,0.072875001,0.0053625,-0.0138875
0.495009237,0.078924999,0.0506,-0.044412501
0.512032688,0.031350002,0.1189375,-0.056649998
0.529056283,0.017875001,0.121412501,-0.032175001
0.54607975,0.0264,0.049362499,0.008112499
0.563103126,0.028875001,0.0518375,0.030112499
0.580126718,0.063112497,0.038362499,0.030112499
0.597150194,0.138874993,0.106700003,0.0265375
0.614173789,0.170637503,0.282700002,-0.0077
0.63119723,0.223162502,0.371937484,-0.046750002
0.648220856,0.227974996,0.29975,-0.067649998
0.665244245,0.097350001,0.192224994,-0.087174997
0.682267711,-0.015125,0.0066,-0.088412501
0.699291321,-0.035887498,-0.099687502,-0.056649998
0.716314721,0.0143,-0.135162503,-0.027224999
0.73333818,0.074112497,-0.192499995,-0.021175001
0.750361793,0.136399999,-0.124162503,-0.01375
0.767385279,0.154687494,0.009075,0.00935
0.784408665,0.088825002,0.0286,0.0033
0.80143237,-0.015125,-0.023924999,0.0105875
0.818455754,-0.089649998,-0.066687502,0.053350002
0.835479384,-0.140937492,0.046887498,0.118112497
0.852502841,-0.126224995,0.067649998,0.184112504
0.869526213,-0.175174996,-0.083875,0.232924998
0.886549843,-0.241037503,-0.282974988,0.229350001
0.903573298,-0.270462513,-0.399024993,0.143824995
0.920596698,-0.291224986,-0.33426249,0.074112497
0.937620399,-0.260699987,-0.312262505,0.030112499
0.954644009,-0.178749993,-0.306212485,0.016775001
0.971667381,-0.061462499,-0.159500003,0.0033
0.98869081,0.042350002,0.094599999,-0.0419375
1.005714413,0.129112497,0.283937484,-0.0639375
1.022737819,0.197449997,0.269225001,-0.0517
1.039761295,0.210924998,0.200887501,-0.0039875
1.056784916,0.147399992,0.143412501,0.0473
1.073808297,0.069162503,0.095837496,0.079062499
1.090831761,0.024062499,0.004125,0.075350001
1.107855442,0.0215875,-0.0276375,0.0583
1.124878809,0.0374,0.057887498,0.057062499
1.141902418,0.031350002,0.065174997,0.019112499
1.158925846,0.0155375,0.038362499,-0.02365
1.175949475,0.00935,-0.0154,-0.062700003
1.192972872,0.030112499,-0.0056375,-0.073699996
1.209996326,0.044824999,0.0248875,-0.060224999
1.227019923,0.057062499,0.00165,-0.032175001
1.244043388,0.093637496,-0.012925,-0.005225
1.261066783,0.127875,0.0078375,0.0070125
1.278090391,0.160874993,0.0396,0.000825
1.29511385,0.174349994,0.079887502,-0.01265
1.312137466,0.173112497,0.110412501,-0.028462499
1.329160852,0.157162502,0.138599992,-0.038224999
1.346184351,0.126637504,0.133650005,-0.035750002
1.363207976,0.093637496,0.1189375,-0.0309375
1.380231443,0.0583,0.098174997,-0.0259875
