Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00237842,-4.107000351,-5.893050194,2.059050083
0.01940613,-3.582000256,-6.039000511,2.410950184
0.0364339,-3.027000189,-6.843000412,2.622000217
0.05346184,-3.163050175,-7.80300045,2.794050217
0.07048964,-4.095000267,-8.280000687,2.950050116
0.08751757,-4.662000179,-8.593950272,2.715000153
0.10454533,-4.684050083,-9.091950417,2.341950178
0.12157326,-4.666950226,-9.570000648,2.410950184
0.13860105,-5.103000164,-10.03005028,2.497050047
0.155629,-5.443050385,-10.39905071,2.446950197
0.17265677,-5.562000275,-9.954000473,2.184000015
0.18968468,-5.625000477,-9.091950417,1.5160501
0.2067124,-5.481000423,-8.104949951,0.448050022
0.22374017,-5.377950191,-7.573950291,-1.017000079
0.2407681,-4.789050102,-6.235050201,-1.813950062
0.25779583,-3.493950129,-5.517000198,-2.142000198
0.27482374,-2.839950085,-5.33700037,-1.869000077
0.29185152,-2.446950197,-5.893050194,-0.649950028
0.30887942,-2.526000023,-6.973050117,-0.195000008
0.32590718,-2.85705018,-8.032950401,0.262950003
0.34293505,-3.355050087,-8.416049957,0.727950037
0.3599628,-3.520050049,-8.359050751,1.67595005
0.3769907,-3.36405015,-8.068950653,1.34100008
0.39401838,-3.313950062,-7.750950336,0.306000024
0.41104614,-3.385950089,-7.978050232,-0.997050047
0.42807404,-3.187050104,-8.115000725,-1.789950132
0.4451018,-2.737050056,-8.115000725,-2.017050028
0.46212976,-2.236950159,-8.392050743,-1.816050053
0.47915751,-2.308050156,-8.710950851,0.112950005
0.49618545,-3.457950115,-9.523050308,1.858050108
0.5132132,-4.432050228,-10.14705086,2.26695013
0.53024113,-5.26995039,-9.75,1.753050089
0.54726885,-6.192000389,-9.088950157,0.14805001
0.56429662,-6.510000229,-8.517000198,-0.775050044
0.58132455,-6.244950294,-7.831950188,-0.882000029
0.59835232,-5.931000233,-7.552050591,-0.633000016
0.61538023,-4.594950199,-9.502950668,-0.052050002
0.632408,-2.778000116,-11.90700054,0.342000008
0.6494357,-2.203050137,-13.79400063,-0.304950029
0.66646363,-2.874000072,-13.97805023,-0.303000003
0.6834914,-3.084000111,-12.80505085,0.594000042
0.70051933,-3.309000254,-11.69205093,1.333950043
0.7175471,-3.44595027,-10.81605053,1.786050081
0.73457479,-3.442950249,-9.774000168,1.777050138
0.75160267,-3.400050163,-8.842950821,1.683000088
0.76863049,-3.088950157,-8.577000618,1.261950016
0.78565844,-2.955000162,-8.371050835,0.771000028
0.80268621,-2.88105011,-8.068950653,0.867000043
0.81971414,-2.268000126,-8.067000389,0.910050035
0.83674181,-1.26000011,-8.646000862,-0.01305
0.85376958,-2.016000032,-9.376950264,-2.821950197
0.87079749,-2.847000122,-9.199050903,-0.727050006
0.88782525,-3.240000248,-9.046050072,0.274950028
0.90485297,-2.986050129,-8.127000809,2.21505022
0.92188088,-1.762950063,-7.255050182,2.248050213
0.93890869,-2.083050013,-6.927000523,1.827000141
0.95593639,-2.458950043,-7.558950424,1.477050066
0.97296432,-2.818050146,-8.560050011,1.528050065
0.98999209,-3.058050156,-8.862000465,1.563000083
1.00702001,-3.466950178,-8.657999992,1.614000082
1.02404771,-4.140000343,-7.914000511,1.507950068
1.04107547,-4.741050243,-7.150050163,1.683000088
1.0581034,-4.534950256,-6.700050354,2.13105011
1.07513116,-4.120950222,-6.513000488,2.3989501
1.09215911,-3.799950123,-6.409950256,2.836950064
1.10918685,-2.608050108,-7.080000401,1.695000052
1.12621451,-2.421000004,-7.179000378,0.958050072
1.1432424,-2.806050062,-7.095000267,0.649050057
1.16027016,-3.319050074,-6.80700016,0.619950056
1.17729785,-3.987000227,-6.582000256,0.940950036
1.19432578,-4.605000019,-6.424050331,1.096950054
1.21135354,-4.810050011,-6.490950108,1.099050045
1.22838125,-3.673050165,-7.047000408,1.060950041
1.24540918,-3.490950108,-7.296000481,0.883050025
1.26243693,-3.336000204,-7.723950386,1.144050002
1.27946484,-3.361950159,-8.191050529,1.534950018
1.29649261,-3.304050207,-8.665050507,2.196000099
1.31352032,-3.406950235,-8.88105011,3.08100009
1.33054825,-3.80700016,-9.440999985,3.859950066
1.34757595,-4.390950203,-9.86700058,4.924950123
1.36460374,-4.899000168,-9.415050507,6.01695013
1.38163163,-4.849050045,-8.527050018,6.139050484
1.39865942,-4.827000141,-7.605000496,4.963050365
1.41568709,-4.936950207,-6.87195015,3.754050255
1.43271503,-4.669050217,-6.496050358,3.381000042
1.44974281,-4.200000286,-6.673050404,2.454000235
1.46677049,-3.858000278,-7.291050434,1.000950098
1.48379844,-4.255050182,-8.376000404,-0.52305001
1.50082619,-5.562000275,-8.971950531,-1.656000137
