"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.152042260E-1,-4.331558049E-1,3.149795830E-1,-4.864058197E-1
2.172073510E-1,-4.619013965E-1,2.606823742E-1,-4.874704480E-1
2.212042260E-1,-4.959702194E-1,1.765749604E-1,-4.981169701E-1
2.232042260E-1,-5.066167116E-1,1.414414793E-1,-5.055695176E-1
2.252042260E-1,-5.108753443E-1,1.116487086E-1,-5.130220652E-1
2.272042260E-1,-5.183278918E-1,8.820894361E-2,-5.162160397E-1
2.292042260E-1,-5.289744139E-1,6.904522330E-2,-5.194099545E-1
2.332042260E-1,-5.587846041E-1,5.841616914E-2,-5.130220652E-1
2.352042260E-1,-5.811423063E-1,7.010987401E-2,-5.087634921E-1
2.372042260E-1,-5.992413163E-1,9.140289575E-2,-5.034402013E-1
2.392042260E-1,-6.226636767E-1,1.393121779E-1,-5.045048594E-1
2.432026640E-1,-6.482152939E-1,2.691995800E-1,-5.236685872E-1
2.452042260E-1,-6.705729365E-1,3.320139945E-1,-5.343151093E-1
2.472042260E-1,-6.908013225E-1,3.884579241E-1,-5.460262299E-1
2.492042260E-1,-7.131589651E-1,4.438023269E-1,-5.598667264E-1
2.512104760E-1,-7.376459241E-1,5.023755431E-1,-5.726425052E-1
2.552042260E-1,-7.812966108E-1,6.205343604E-1,-6.056467295E-1
2.592167260E-1,-8.238652349E-1,7.589564323E-1,-6.397155523E-1
2.612182890E-1,-8.451756835E-1,8.377231359E-1,-6.567499638E-1
2.652042260E-1,-8.866970539E-1,1.010196567E0,-6.950773597E-1
2.692042260E-1,-9.356535673E-1,1.188010693E0,-7.323401570E-1
2.712042260E-1,-9.463000894E-1,1.233790755E0,-7.408573627E-1
2.732042260E-1,-9.686577320E-1,1.322174191E0,-7.589389682E-1
2.752073510E-1,-9.678723216E-1,1.320690632E0,-7.586422563E-1
2.792042260E-1,-1.011121631E0,1.475623488E0,-7.944214940E-1
2.812042260E-1,-1.033810854E0,1.545524001E0,-8.139168620E-1
2.832073510E-1,-1.058821440E0,1.625425100E0,-8.376184106E-1
2.852104760E-1,-1.082889557E0,1.698990703E0,-8.599062562E-1
2.892042260E-1,-1.123067021E0,1.824532270E0,-8.986176848E-1
2.912042260E-1,-1.145651579E0,1.895253062E0,-9.194568992E-1
2.932042260E-1,-1.169370651E0,1.969481826E0,-9.402437806E-1
2.952042260E-1,-1.195114255E0,2.046730042E0,-9.597565532E-1
2.992448510E-1,-1.254874229E0,2.211628914E0,-9.993580580E-1
3.032042260E-1,-1.323762417E0,2.398431540E0,-1.034474134E0
3.052042260E-1,-1.362124801E0,2.495943069E0,-1.050827861E0
3.072042260E-1,-1.401726246E0,2.595287085E0,-1.066623092E0
3.092120390E-1,-1.448466182E0,2.712119579E0,-1.084111214E0
3.112182890E-1,-1.491174459E0,2.821534157E0,-1.100063562E0
3.152042260E-1,-1.568283081E0,3.006556511E0,-1.126417994E0
3.172151640E-1,-1.607797265E0,3.100472689E0,-1.138757467E0
3.212042260E-1,-1.686913133E0,3.275651455E0,-1.163279414E0
3.232042260E-1,-1.724577308E0,3.352672815E0,-1.175531626E0
3.252042260E-1,-1.761700392E0,3.419693470E0,-1.187783837E0
3.272042260E-1,-1.794791818E0,3.473484516E0,-1.200664401E0
3.292042260E-1,-1.825631857E0,3.515581846E0,-1.214417577E0
3.312042260E-1,-1.853330255E0,3.548516273E0,-1.228868842E0
3.332042260E-1,-1.876595497E0,3.572008371E0,-1.243896127E0
3.352042260E-1,-1.895863891E0,3.586930752E0,-1.259796143E0
3.372042260E-1,-1.910018563E0,3.595221281E0,-1.277319193E0
3.392042260E-1,-1.918291330E0,3.596390486E0,-1.295819640E0
3.412042260E-1,-1.920717359E0,3.589915276E0,-1.315018296E0
3.432104760E-1,-1.918867350E0,3.575289488E0,-1.334827781E0
3.472042260E-1,-1.901414037E0,3.521603107E0,-1.375808120E0
3.492042260E-1,-1.883856058E0,3.483712196E0,-1.396507740E0
3.512089140E-1,-1.861882329E0,3.439258575E0,-1.417242289E0
3.552042260E-1,-1.802907705E0,3.332758665E0,-1.457681537E0
3.572042260E-1,-1.764213681E0,3.274918318E0,-1.477176905E0
3.592042260E-1,-1.721959233E0,3.215070963E0,-1.496794343E0
3.612042260E-1,-1.672252297E0,3.153774977E0,-1.517092586E0
3.632042260E-1,-1.614446998E0,3.089058161E0,-1.538298249E0
3.652042260E-1,-1.551475525E0,3.018529415E0,-1.561441302E0
3.692104760E-1,-1.411116123E0,2.857906818E0,-1.610851645E0
3.732026640E-1,-1.259778619E0,2.671505690E0,-1.662932277E0
3.752057890E-1,-1.178900123E0,2.576472521E0,-1.690770268E0
3.792026640E-1,-1.007194638E0,2.398640871E0,-1.747737765E0
3.812026640E-1,-9.151110053E-1,2.321165800E0,-1.778001785E0
3.832339140E-1,-8.163777590E-1,2.254895687E0,-1.809888959E0
3.872026640E-1,-6.087708473E-1,2.152287722E0,-1.870643854E0
3.892026640E-1,-5.016774535E-1,2.118934393E0,-1.900314450E0
3.912120390E-1,-3.930481374E-1,2.096506834E0,-1.930072308E0
3.932136010E-1,-2.853962481E-1,2.079489946E0,-1.961121798E0
3.972104760E-1,-7.354817539E-2,2.044426203E0,-2.040935755E0
4.012042260E-1,1.195550561E-1,1.996586800E0,-2.146632910E0
4.052042260E-1,3.033207655E-1,1.942708492E0,-2.267741203E0
4.072057890E-1,3.900810778E-1,1.921572566E0,-2.326471567E0
4.092057890E-1,4.740139842E-1,1.908552408E0,-2.380035639E0
4.112276640E-1,5.545608997E-1,1.904503226E0,-2.425833225E0
4.152026640E-1,6.979746222E-1,1.925970793E0,-2.480269909E0
4.172026640E-1,7.587295175E-1,1.952325344E0,-2.484615803E0
4.192042260E-1,8.093440533E-1,1.987982392E0,-2.475033998E0
4.212042260E-1,8.510923386E-1,2.031842470E0,-2.453130007E0
4.232042260E-1,8.864003420E-1,2.085371733E0,-2.421487331E0
4.272120390E-1,9.350601435E-1,2.233567715E0,-2.343802691E0
4.312042260E-1,9.641373158E-1,2.438818455E0,-2.268474340E0
4.332042260E-1,9.712408185E-1,2.550571918E0,-2.240269661E0
4.352042260E-1,9.738064408E-1,2.663302660E0,-2.222170591E0
4.372042260E-1,9.723404050E-1,2.777045727E0,-2.214159489E0
4.392042260E-1,9.685704708E-1,2.892150164E0,-2.217213869E0
4.412042260E-1,9.632646441E-1,3.008144855E0,-2.229832649E0
4.432042260E-1,9.566673040E-1,3.124470949E0,-2.251055956E0
4.452042260E-1,9.517803788E-1,3.242210865E0,-2.279592037E0
4.472042260E-1,9.504190683E-1,3.362429142E0,-2.313608408E0
4.492042260E-1,9.498779774E-1,3.484270573E0,-2.351761341E0
4.512136010E-1,9.515360594E-1,3.608991861E0,-2.393177986E0
4.552042260E-1,9.686926603E-1,3.863338709E0,-2.476674557E0
4.572042260E-1,9.857096076E-1,3.990241528E0,-2.514094353E0
4.592042260E-1,1.009690404E0,4.116062164E0,-2.547622204E0
4.612042260E-1,1.041228533E0,4.240521908E0,-2.577065945E0
4.652042260E-1,1.129175663E0,4.476298332E0,-2.624381781E0
4.672104760E-1,1.184554935E0,4.582850456E0,-2.642393589E0
4.712042260E-1,1.318648577E0,4.766843319E0,-2.670179129E0
4.732042260E-1,1.394884586E0,4.843149185E0,-2.683129549E0
4.752042260E-1,1.476426363E0,4.908302307E0,-2.694718599E0
4.772042260E-1,1.561999917E0,4.962599277E0,-2.706063271E0
4.792042260E-1,1.650505543E0,5.006791115E0,-2.718263149E0
4.812042260E-1,1.740180492E0,5.040877342E0,-2.732051134E0
4.832042260E-1,1.829401731E0,5.066114902E0,-2.748718977E0
4.852089140E-1,1.918116808E0,5.083969593E0,-2.767184496E0
4.892042260E-1,2.093662024E0,5.087948799E0,-2.808845520E0
4.912042260E-1,2.168658972E0,5.072956562E0,-2.835531712E0
4.932057890E-1,2.238960743E0,5.058976650E0,-2.866912842E0
4.972042260E-1,2.380349874E0,5.053565979E0,-2.943375587E0
4.992104760E-1,2.448225737E0,5.051715851E0,-2.991930723E0
5.032042260E-1,2.577589512E0,5.038939953E0,-3.118118048E0
5.052042260E-1,2.636476994E0,5.032499790E0,-3.193725586E0
5.072042260E-1,2.690424919E0,5.026722908E0,-3.275022984E0
5.092042260E-1,2.739852667E0,5.019008636E0,-3.359549284E0
5.112104760E-1,2.782683134E0,5.007018089E0,-3.444459677E0
5.132276640E-1,2.818113327E0,4.988883972E0,-3.526053667E0
5.172026640E-1,2.868937254E0,4.936349392E0,-3.672643900E0
5.192042260E-1,2.883528233E0,4.904567242E0,-3.738564968E0
5.212042260E-1,2.891050577E0,4.870795250E0,-3.804852724E0
5.232042260E-1,2.892220020E0,4.836534023E0,-3.878872156E0
5.252042260E-1,2.888275623E0,4.805868626E0,-3.957603931E0
5.272354760E-1,2.881608486E0,4.781381607E0,-4.031012535E0
5.312042260E-1,2.860402584E0,4.737032890E0,-4.153901100E0
5.332042260E-1,2.845323086E0,4.711080074E0,-4.204340935E0
5.352073510E-1,2.827520609E0,4.679978371E0,-4.245705605E0
5.392026640E-1,2.786173820E0,4.609623909E0,-4.305430412E0
5.412104760E-1,2.766504049E0,4.576829433E0,-4.324733734E0
5.452026640E-1,2.732819080E0,4.527890205E0,-4.344962120E0
5.472026640E-1,2.720811129E0,4.508831024E0,-4.347440720E0
5.492026640E-1,2.711491108E0,4.492233276E0,-4.344979763E0
5.512042260E-1,2.704544783E0,4.475076675E0,-4.337980747E0
5.532042260E-1,2.700146437E0,4.454830647E0,-4.326932907E0
5.552042260E-1,2.701822042E0,4.437115669E0,-4.313598633E0
5.572042260E-1,2.708820820E0,4.427062511E0,-4.301538467E0
5.592042260E-1,2.719554663E0,4.424234867E0,-4.290630341E0
5.612042260E-1,2.737810612E0,4.427498817E0,-4.279879093E0
5.632042260E-1,2.772385597E0,4.435143471E0,-4.273612976E0
5.652042260E-1,2.812353849E0,4.442683220E0,-4.274206638E0
5.672042260E-1,2.850716114E0,4.447011471E0,-4.284870625E0
5.692042260E-1,2.895989895E0,4.450973511E0,-4.309095860E0
5.712042260E-1,2.945679426E0,4.457326412E0,-4.345468521E0
5.732042260E-1,2.998091698E0,4.465599537E0,-4.390899181E0
5.752042260E-1,3.051306725E0,4.476211071E0,-4.443486214E0
5.772042260E-1,3.111799955E0,4.491273403E0,-4.508447170E0
5.792042260E-1,3.166411161E0,4.505602360E0,-4.568661213E0
5.812042260E-1,3.209468603E0,4.516493320E0,-4.618106365E0
5.832042260E-1,3.252874851E0,4.525656223E0,-4.671373844E0
5.852042260E-1,3.293593407E0,4.530961990E0,-4.725566387E0
5.872042260E-1,3.329721689E0,4.531869411E0,-4.778240204E0
5.892042260E-1,3.361486673E0,4.526860237E0,-4.827144146E0
