"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.335516671E-2,-2.490775436E-1,9.488979727E-2,-2.003103048E-1
2.340816666E-2,-3.376630545E-1,3.374204338E-1,-3.013460934E-1
3.346016665E-2,-4.012546837E-1,5.070424676E-1,-3.715488613E-1
4.351316666E-2,-4.383637011E-1,6.043586731E-1,-4.093582928E-1
5.356516666E-2,-4.496280849E-1,6.506201029E-1,-4.304124415E-1
6.361816666E-2,-4.673942924E-1,6.894455552E-1,-4.068261385E-1
7.367116667E-2,-4.915886521E-1,7.053325176E-1,-3.370363414E-1
8.372316667E-2,-5.150172114E-1,6.938662529E-1,-2.730304599E-1
9.377616667E-2,-5.392426252E-1,6.825699806E-1,-2.287372053E-1
1.038291667E-1,-5.550549030E-1,6.415429115E-1,-2.082289904E-1
1.138811667E-1,-5.512664914E-1,5.885714889E-1,-2.082187235E-1
1.239341667E-1,-5.265560746E-1,5.147086978E-1,-2.006806433E-1
1.339861667E-1,-4.830048382E-1,4.223893881E-1,-1.737574488E-1
1.440391667E-1,-4.423111975E-1,3.003846407E-1,-1.351099163E-1
1.540921667E-1,-3.867484927E-1,1.629786342E-1,-8.590314537E-2
1.641441667E-1,-3.103860915E-1,5.298715830E-2,-6.061749905E-2
1.741971667E-1,-2.282143384E-1,-3.065574449E-3,-4.553427920E-2
1.842501667E-1,-1.649117917E-1,-1.204974856E-2,-4.054537788E-2
1.943021667E-1,-1.263112128E-1,2.392842434E-2,-4.574028403E-2
2.043551667E-1,-1.277911216E-1,8.996363729E-2,-5.965583399E-2
2.144071667E-1,-1.586228311E-1,1.633960009E-1,-8.786821365E-2
2.244601667E-1,-2.068036795E-1,2.264316976E-1,-1.217361689E-1
2.345131667E-1,-2.449780554E-1,2.668121159E-1,-1.528880447E-1
2.445651667E-1,-2.811166048E-1,2.859453261E-1,-1.709562689E-1
2.546181667E-1,-3.097666502E-1,2.705974281E-1,-1.881671995E-1
2.646701667E-1,-3.193724155E-1,2.243625224E-1,-2.106301636E-1
2.747231667E-1,-3.005828559E-1,1.870600432E-1,-2.253941745E-1
2.847761667E-1,-2.806919813E-1,1.662378609E-1,-2.224979848E-1
2.948281667E-1,-2.636510134E-1,1.648486853E-1,-2.185420096E-1
3.048811667E-1,-2.613343298E-1,1.574474871E-1,-2.176168263E-1
3.149341667E-1,-2.521578670E-1,1.448315382E-1,-2.183886766E-1
3.249861667E-1,-2.328696549E-1,1.572695673E-1,-2.139595747E-1
3.350391667E-1,-2.158683538E-1,1.853026152E-1,-1.905566752E-1
3.450911667E-1,-1.983769834E-1,1.943794638E-1,-1.741824895E-1
3.551441667E-1,-1.790257692E-1,1.857489347E-1,-1.665022224E-1
3.651971667E-1,-1.553870291E-1,1.682956368E-1,-1.664042175E-1
3.752491667E-1,-1.298326552E-1,1.338900030E-1,-1.685086489E-1
3.853021667E-1,-9.785369039E-2,1.038969457E-1,-1.753923893E-1
3.953551667E-1,-6.940390915E-2,7.664337009E-2,-1.748941243E-1
4.054071667E-1,-4.880942032E-2,4.293201119E-2,-1.706703603E-1
4.154601667E-1,-4.163926840E-2,1.124335732E-2,-1.615260988E-1
4.255121667E-1,-6.408971548E-2,-5.791819189E-3,-1.565989852E-1
4.355651667E-1,-9.834402800E-2,1.590628061E-3,-1.442530155E-1
4.456181667E-1,-1.245282218E-1,4.766624421E-2,-1.416825205E-1
4.556701667E-1,-1.196013689E-1,1.156902537E-1,-1.436452568E-1
4.657231667E-1,-8.377332985E-2,1.825182885E-1,-1.282809526E-1
4.757751667E-1,-3.355250880E-2,2.194118649E-1,-1.059055924E-1
4.858281667E-1,7.539003156E-3,2.147507966E-1,-9.026218951E-2
4.958811667E-1,3.244825080E-2,1.763109416E-1,-7.824209332E-2
5.059331667E-1,3.997780383E-2,1.044862866E-1,-6.282559037E-2
5.159861667E-1,3.291033208E-2,4.014087841E-2,-4.787068814E-2
5.260391667E-1,-4.753203248E-4,-1.004372723E-2,-3.194045275E-2
5.360911667E-1,-4.757431149E-2,-3.759663180E-2,-2.098010853E-2
5.461441667E-1,-9.078117460E-2,-2.176413685E-2,-1.880590245E-2
5.561961667E-1,-1.194241568E-1,3.646662086E-2,-1.489047054E-2
5.662491667E-1,-1.347607672E-1,1.028994322E-1,-1.024352014E-2
5.763021667E-1,-1.372145116E-1,1.565789580E-1,-2.247564495E-3
5.863541667E-1,-1.264012754E-1,1.854271293E-1,-3.206568770E-3
5.964071667E-1,-1.093414947E-1,1.931601465E-1,-1.689671166E-2
6.064591667E-1,-8.975873888E-2,1.832497269E-1,-3.836764768E-2
6.165121667E-1,-5.763375387E-2,1.639236510E-1,-7.521000504E-2
6.265651667E-1,-2.024164051E-2,1.462149620E-1,-1.233309284E-1
6.366171667E-1,7.898868062E-3,1.353278160E-1,-1.687305421E-1
6.466701667E-1,2.047617920E-2,1.247361600E-1,-2.090058029E-1
6.567231667E-1,2.468298003E-2,1.106489524E-1,-2.345725596E-1
6.667751667E-1,1.988423057E-2,8.096829057E-2,-2.449098825E-1
6.768281667E-1,1.664720662E-2,4.565299675E-2,-2.363215089E-1
6.868801667E-1,2.997632697E-2,9.284014232E-4,-2.199830115E-1
6.969331667E-1,5.281765386E-2,-2.321721613E-2,-1.924426109E-1
7.069861667E-1,6.886346638E-2,-2.500419691E-2,-1.570499986E-1
7.170381667E-1,6.074867025E-2,4.270100035E-3,-1.059612408E-1
7.270911667E-1,2.529214323E-2,4.112318903E-2,-4.805266112E-2
7.371431667E-1,-2.864858881E-2,8.316331357E-2,1.319418196E-2
7.471961667E-1,-9.445130825E-2,1.267909557E-1,5.361617729E-2
7.572491667E-1,-1.578624099E-1,1.558116823E-1,4.542918503E-2
7.673011667E-1,-2.003749758E-1,1.850622445E-1,9.447216056E-3
7.773541667E-1,-2.032972872E-1,1.910633147E-1,-5.829560757E-2
7.874071667E-1,-1.739625633E-1,1.852264702E-1,-1.243973970E-1
7.974591667E-1,-1.421291232E-1,2.029345781E-1,-1.794665307E-1
8.075121667E-1,-1.275094450E-1,2.347226143E-1,-2.103408277E-1
8.175641667E-1,-1.262221634E-1,2.637698650E-1,-2.197751254E-1
8.276171667E-1,-1.370567083E-1,2.829004228E-1,-2.063927501E-1
8.376701667E-1,-1.617158353E-1,2.940433919E-1,-1.705929786E-1
8.477221667E-1,-1.974338740E-1,3.002139330E-1,-1.071804538E-1
8.577751667E-1,-2.399515063E-1,3.141373694E-1,-2.604481392E-2
8.678271667E-1,-2.795076966E-1,3.039377332E-1,3.639353067E-2
8.778801667E-1,-2.945934236E-1,2.705630958E-1,4.416353256E-2
8.879331667E-1,-2.683610320E-1,2.209023237E-1,1.115178782E-2
8.979851667E-1,-1.995424479E-1,1.840294152E-1,-7.131877542E-2
9.080381667E-1,-9.059572220E-2,1.862797886E-1,-1.617661268E-1
9.180911667E-1,1.359103899E-2,1.904304177E-1,-2.347272784E-1
9.281431667E-1,5.558829010E-2,1.292307079E-1,-2.772704661E-1
9.381961667E-1,1.937125809E-2,-3.207935393E-2,-2.983192205E-1
9.482481667E-1,-6.037656963E-2,-2.042569816E-1,-2.829658389E-1
9.583011667E-1,-1.319272071E-1,-2.937023938E-1,-2.485598624E-1
9.683541667E-1,-1.556607634E-1,-2.995014191E-1,-2.184299231E-1
9.784061667E-1,-1.487696171E-1,-2.646687329E-1,-1.645985693E-1
9.884591667E-1,-1.204756573E-1,-1.601838619E-1,-1.213088855E-1
9.985111667E-1,-8.689647168E-2,2.043608576E-2,-8.182096481E-2
1.008564167E0,-6.304173917E-2,2.021297216E-1,-4.537667707E-2
1.018617208E0,-6.461019814E-2,2.986458242E-1,1.215903275E-2
1.028669208E0,-1.054487079E-1,2.510221303E-1,4.576998949E-2
1.038722208E0,-1.559249312E-1,1.614152789E-1,3.160943091E-2
1.048774208E0,-1.553196013E-1,9.242422879E-2,-4.652372003E-2
1.058827208E0,-7.513809949E-2,-1.268606335E-1,-1.681851149E-1
1.068880208E0,1.149745286E-2,-9.618881345E-1,-4.453288317E-1
1.078932208E0,-2.690252103E-2,-9.568406343E-1,-7.486680150E-1
1.088985208E0,7.309510373E-3,-7.446452975E-1,-8.652614355E-1
1.099038208E0,5.432096124E-2,-5.558705926E-1,-8.310584426E-1
1.109090208E0,2.382852836E-4,-2.697970569E-1,-7.403088808E-1
1.119143208E0,-1.577493846E-1,-1.555076987E-1,-6.189684868E-1
1.129195208E0,-3.575647473E-1,-2.292245328E-1,-5.118244290E-1
1.139248208E0,-5.178697705E-1,-3.450999558E-1,-4.395959973E-1
1.149301208E0,-5.859292150E-1,-4.181177020E-1,-3.878736794E-1
1.159353208E0,-5.798288584E-1,-4.452894330E-1,-3.599209189E-1
1.169406208E0,-5.423147678E-1,-3.607052863E-1,-3.525695205E-1
1.179458208E0,-4.917675257E-1,-1.116938964E-1,-3.384511769E-1
1.189511208E0,-4.403882325E-1,2.203042805E-1,-3.179858625E-1
1.199564208E0,-3.978275657E-1,5.042482615E-1,-3.004851639E-1
1.209616208E0,-4.146568775E-1,6.096341014E-1,-2.885443568E-1
1.219669208E0,-5.205762386E-1,5.008226633E-1,-2.935202420E-1
1.229721208E0,-6.682852507E-1,2.371587902E-1,-3.236936033E-1
1.239774208E0,-7.472437024E-1,-2.109827474E-3,-3.348465264E-1
1.249827208E0,-6.793469191E-1,-5.948550254E-2,-3.436842263E-1
1.259879208E0,-4.847949147E-1,6.139651686E-2,-3.750166893E-1
1.269932208E0,-2.245769352E-1,2.524671555E-1,-4.403959811E-1
1.279985208E0,2.668370493E-3,4.531963468E-1,-5.396296978E-1
1.290037208E0,1.745437235E-1,6.247848868E-1,-6.471881270E-1
1.300090208E0,3.157885671E-1,7.978156805E-1,-7.181224227E-1
1.310142208E0,4.403459430E-1,9.976963401E-1,-7.461822629E-1
1.320195208E0,5.495076776E-1,1.194785237E0,-7.451483607E-1
1.330248208E0,6.306179762E-1,1.346642494E0,-7.092702389E-1
1.340300208E0,6.180591583E-1,1.423186064E0,-6.304560304E-1
1.350353208E0,4.876390398E-1,1.370314837E0,-5.370402932E-1
1.360405208E0,2.749513984E-1,1.336041570E0,-4.603638053E-1
1.370458208E0,2.392080277E-1,1.750579834E0,-4.516965747E-1
1.380511208E0,3.703263104E-1,2.183192492E0,-2.970608175E-1
1.390563208E0,4.870364368E-1,2.833180428E0,-1.145450771E-1
1.400616208E0,4.640417993E-1,2.704683781E0,6.757086515E-2
1.410668208E0,3.432665020E-2,1.916299582E0,-2.159489989E-1
1.420721208E0,-6.147241592E-1,2.088535786E0,-7.441708446E-1
1.430774208E0,-2.978912890E-1,2.819074154E0,-8.380041122E-1
1.440826208E0,1.233608183E-2,2.914134026E0,-5.963090658E-1
1.450879208E0,2.837231159E-1,3.239705324E0,-3.327538073E-1
1.460932208E0,3.169619143E-1,3.165683270E0,-1.334202290E-1
1.470984208E0,9.554429352E-2,2.890384197E0,-9.135029279E-3
1.481037208E0,-3.011236787E-1,2.348439693E0,8.442847431E-2
1.491089208E0,-1.511107564E0,-2.205709070E-1,-2.902074456E-1
1.501142208E0,-2.145245790E0,-2.196004152E0,-6.721501946E-1
1.511195208E0,-1.835962653E0,-1.553976774E0,-2.707628012E-1
1.521247208E0,-1.193663239E0,-4.059272707E-1,-1.187473983E-1
1.531300208E0,-7.574105859E-1,-7.846591473E-1,-2.765814960E-1
1.541352208E0,-6.304360628E-1,-6.040146351E-1,-2.446580231E-1
1.551405208E0,-3.082745671E-1,-9.225223064E-1,-3.762201965E-2
1.561458208E0,2.144817263E-1,-1.626009345E0,2.605025768E-1
1.571510208E0,6.433936954E-1,-1.512734890E0,2.209652960E-1
1.581563208E0,9.017813802E-1,-1.299986362E0,-4.899129272E-2
1.591615208E0,1.044797659E0,-1.247083783E0,-3.274708390E-1
1.601668208E0,9.728019238E-1,-1.299580932E0,-5.032169223E-1
1.611721208E0,5.457326174E-1,-8.366942406E-1,-5.395352244E-1
1.621773208E0,2.470096946E-1,-1.730390936E-1,-4.580048919E-1
1.631826208E0,6.884156168E-2,-7.941140980E-2,-3.491750658E-1
1.641878208E0,-1.810008138E-1,-1.892351508E-1,-2.398056686E-1
1.651931208E0,-4.086765945E-1,6.087733433E-3,-6.483944505E-2
1.661984208E0,-6.921384931E-1,3.290166259E-1,2.093124390E-1
1.672036208E0,-8.935089111E-1,5.974643826E-1,3.945147693E-1
1.682089208E0,-1.020548463E0,5.633355975E-1,4.858711362E-1
1.692142208E0,-1.259218812E0,5.618824437E-2,6.065053940E-1
1.702194208E0,-1.599720240E0,-3.600941002E-1,8.308466077E-1
